,time,into,inth,intl,intc
0,2024-02-02 09:15:00,414.5,416.0,414.4,415.0
1,2024-02-02 09:20:00,414.55,415.5,414.2,414.5
2,2024-02-02 09:25:00,414.0,414.95,413.95,414.9
3,2024-02-02 09:30:00,414.65,415.15,414.3,414.7
4,2024-02-02 09:35:00,414.95,417.3,414.7,416.8
5,2024-02-02 09:40:00,416.9,417.05,416.25,416.55
6,2024-02-02 09:45:00,416.2,416.9,415.5,416.9
7,2024-02-02 09:50:00,416.65,417.0,416.2,416.9
8,2024-02-02 09:55:00,417.0,417.0,416.1,416.1
9,2024-02-02 10:00:00,416.6,416.6,415.35,416.3
10,2024-02-02 10:05:00,416.15,416.5,415.7,416.2
11,2024-02-02 10:10:00,415.9,416.5,415.15,415.35
12,2024-02-02 10:15:00,415.4,416.3,415.4,416.05
13,2024-02-02 10:20:00,416.25,417.0,416.05,416.65
14,2024-02-02 10:25:00,416.9,417.4,416.7,417.4
15,2024-02-02 10:30:00,417.2,421.1,417.2,420.5
16,2024-02-02 10:35:00,420.45,422.1,420.25,421.0
17,2024-02-02 10:40:00,420.75,421.5,420.5,421.35
18,2024-02-02 10:45:00,421.1,422.3,421.1,422.0
19,2024-02-02 10:50:00,422.2,423.0,421.8,422.65
20,2024-02-02 10:55:00,422.75,423.9,422.75,423.05
21,2024-02-02 11:00:00,422.9,423.7,422.9,423.15
22,2024-02-02 11:05:00,423.5,423.5,421.25,421.6
23,2024-02-02 11:10:00,421.5,421.85,421.0,421.55
24,2024-02-02 11:15:00,421.7,422.0,421.3,421.5
25,2024-02-02 11:20:00,421.7,422.0,421.25,421.75
26,2024-02-02 11:25:00,421.95,422.0,421.25,421.25
27,2024-02-02 11:30:00,421.45,421.9,420.95,421.75
28,2024-02-02 11:35:00,421.6,421.85,421.25,421.4
29,2024-02-02 11:40:00,421.75,421.75,420.2,420.5
30,2024-02-02 11:45:00,420.45,421.0,420.2,420.8
31,2024-02-02 11:50:00,421.0,422.0,421.0,421.35
32,2024-02-02 11:55:00,421.25,421.9,421.05,421.9
33,2024-02-02 12:00:00,421.7,422.5,421.7,421.85
34,2024-02-02 12:05:00,421.95,422.25,421.25,421.5
35,2024-02-02 12:10:00,421.75,421.75,420.3,420.35
36,2024-02-02 12:15:00,420.2,420.7,419.25,420.0
37,2024-02-02 12:20:00,419.95,421.0,419.8,420.5
38,2024-02-02 12:25:00,420.45,420.75,418.3,418.6
39,2024-02-02 12:30:00,419.05,419.85,417.4,419.2
40,2024-02-02 12:35:00,419.3,419.75,417.4,419.35
41,2024-02-02 12:40:00,419.4,420.0,418.95,419.8
42,2024-02-02 12:45:00,419.75,420.2,419.0,419.4
43,2024-02-02 12:50:00,419.0,420.1,418.5,419.85
44,2024-02-02 12:55:00,419.8,419.8,418.35,418.85
45,2024-02-02 13:00:00,418.8,419.3,418.55,419.0
46,2024-02-02 13:05:00,418.95,419.0,418.2,418.2
47,2024-02-02 13:10:00,419.15,419.9,418.55,418.6
48,2024-02-02 13:15:00,418.75,419.3,418.15,418.75
49,2024-02-02 13:20:00,418.85,419.05,417.25,417.25
50,2024-02-02 13:25:00,417.6,417.8,417.0,417.25
51,2024-02-02 13:30:00,416.9,417.2,415.85,416.7
52,2024-02-02 13:35:00,416.75,417.7,416.5,417.35
53,2024-02-02 13:40:00,417.4,417.95,417.0,417.7
54,2024-02-02 13:45:00,417.6,418.5,417.55,417.9
55,2024-02-02 13:50:00,417.65,418.3,417.0,418.2
56,2024-02-02 13:55:00,418.35,420.35,418.25,420.35
57,2024-02-02 14:00:00,420.4,421.0,419.75,420.5
58,2024-02-02 14:05:00,420.35,421.0,419.65,421.0
59,2024-02-02 14:10:00,420.7,421.45,420.55,421.15
60,2024-02-02 14:15:00,420.7,421.5,420.2,420.9
61,2024-02-02 14:20:00,420.95,421.6,420.7,421.2
62,2024-02-02 14:25:00,420.85,421.3,420.45,420.8
63,2024-02-02 14:30:00,421.0,421.65,420.55,420.6
64,2024-02-02 14:35:00,421.0,421.2,420.05,420.95
65,2024-02-02 14:40:00,420.65,421.4,420.55,421.3
66,2024-02-02 14:45:00,421.4,421.4,420.85,421.3
67,2024-02-02 14:50:00,421.25,421.3,420.25,420.75
68,2024-02-02 14:55:00,420.3,420.7,419.0,419.9
69,2024-02-02 15:00:00,420.0,421.25,419.25,419.8
70,2024-02-02 15:05:00,419.95,420.5,419.15,420.2
71,2024-02-02 15:10:00,420.35,420.35,419.05,419.95
72,2024-02-02 15:15:00,419.45,419.8,419.0,419.75
73,2024-02-02 15:20:00,419.6,420.5,419.25,420.05
74,2024-02-02 15:25:00,420.0,421.0,420.0,420.5
75,2024-02-03 11:00:00,420.5,420.5,420.5,420.5
76,2024-02-03 11:05:00,420.5,436.8,420.5,436.8
77,2024-02-03 12:20:00,436.8,436.8,436.8,436.8
78,2024-02-03 12:25:00,436.8,436.8,436.8,436.8
79,2024-02-03 12:30:00,436.8,436.8,436.8,436.8
80,2024-02-03 12:35:00,436.8,436.8,436.8,436.8
81,2024-02-03 12:40:00,436.8,436.8,435.8,435.8
82,2024-02-03 12:45:00,436.8,436.8,436.8,436.8
83,2024-02-03 12:50:00,436.8,436.8,414.2,416.75
84,2024-02-03 12:55:00,416.65,423.5,415.55,423.5
85,2024-02-05 09:15:00,421.15,423.9,421.15,423.65
86,2024-02-05 09:20:00,423.25,423.85,422.0,423.85
87,2024-02-05 09:25:00,423.95,423.95,421.8,422.25
88,2024-02-05 09:30:00,422.0,422.5,421.1,421.55
89,2024-02-05 09:35:00,421.6,422.95,421.1,422.6
90,2024-02-05 09:40:00,422.7,422.95,421.45,422.1
91,2024-02-05 09:45:00,422.35,423.55,422.0,423.25
92,2024-02-05 09:50:00,423.0,423.25,422.4,423.05
93,2024-02-05 09:55:00,422.85,425.65,422.7,425.65
94,2024-02-05 10:00:00,425.6,427.85,425.25,427.3
95,2024-02-05 10:05:00,427.7,427.9,425.75,426.5
96,2024-02-05 10:10:00,426.3,427.0,425.3,426.45
97,2024-02-05 10:15:00,426.3,427.6,425.5,425.6
98,2024-02-05 10:20:00,425.5,426.9,425.25,426.9
99,2024-02-05 10:25:00,426.55,426.8,425.7,426.0
100,2024-02-05 10:30:00,426.2,426.25,425.05,425.65
101,2024-02-05 10:35:00,425.6,426.2,425.1,426.0
102,2024-02-05 10:40:00,426.25,427.75,426.05,427.45
103,2024-02-05 10:45:00,427.8,428.0,427.3,427.95
104,2024-02-05 10:50:00,427.7,428.9,427.3,428.05
105,2024-02-05 10:55:00,428.0,428.8,427.8,428.0
106,2024-02-05 11:00:00,428.2,428.5,427.6,427.75
107,2024-02-05 11:05:00,427.8,428.05,427.25,427.55
108,2024-02-05 11:10:00,427.85,428.45,427.75,428.15
109,2024-02-05 11:15:00,428.3,428.85,427.85,428.0
110,2024-02-05 11:20:00,427.95,428.35,427.4,427.85
111,2024-02-05 11:25:00,427.9,427.95,427.05,427.65
112,2024-02-05 11:30:00,427.8,427.8,427.35,427.6
113,2024-02-05 11:35:00,427.7,427.7,427.3,427.5
114,2024-02-05 11:40:00,427.35,427.5,426.4,427.2
115,2024-02-05 11:45:00,427.1,427.4,426.45,427.2
116,2024-02-05 11:50:00,427.0,427.4,426.5,427.1
117,2024-02-05 11:55:00,427.15,428.0,426.75,427.65
118,2024-02-05 12:00:00,427.7,428.35,427.3,427.7
119,2024-02-05 12:05:00,427.9,427.95,427.35,427.95
120,2024-02-05 12:10:00,427.85,428.0,427.75,427.75
121,2024-02-05 12:15:00,427.9,428.2,427.75,428.0
122,2024-02-05 12:20:00,427.95,428.0,427.75,427.75
123,2024-02-05 12:25:00,427.9,428.0,427.75,427.8
124,2024-02-05 12:30:00,427.75,427.8,426.3,426.45
125,2024-02-05 12:35:00,426.65,427.8,426.45,427.3
126,2024-02-05 12:40:00,426.65,428.0,426.65,427.8
127,2024-02-05 12:45:00,428.0,429.85,427.8,429.85
128,2024-02-05 12:50:00,429.4,433.0,429.3,432.95
129,2024-02-05 12:55:00,433.0,433.8,431.35,431.95
130,2024-02-05 13:00:00,431.85,433.2,431.55,432.9
131,2024-02-05 13:05:00,432.85,433.0,431.8,432.15
132,2024-02-05 13:10:00,432.25,432.25,431.15,431.55
133,2024-02-05 13:15:00,431.8,431.8,431.2,431.45
134,2024-02-05 13:20:00,431.7,431.95,431.35,431.6
135,2024-02-05 13:25:00,431.4,431.8,429.5,429.5
136,2024-02-05 13:30:00,429.85,430.75,429.4,430.75
137,2024-02-05 13:35:00,430.6,431.35,430.3,430.4
138,2024-02-05 13:40:00,430.7,431.0,430.3,430.55
139,2024-02-05 13:45:00,430.8,431.4,430.45,431.4
140,2024-02-05 13:50:00,431.5,431.7,431.0,431.15
141,2024-02-05 13:55:00,431.05,431.3,430.5,430.55
142,2024-02-05 14:00:00,430.8,430.9,429.25,429.95
143,2024-02-05 14:05:00,429.7,430.25,429.45,429.45
144,2024-02-05 14:10:00,429.3,431.65,429.0,431.5
145,2024-02-05 14:15:00,431.55,431.55,430.25,430.9
146,2024-02-05 14:20:00,430.7,430.7,429.6,429.8
147,2024-02-05 14:25:00,430.0,430.25,428.3,428.3
148,2024-02-05 14:30:00,428.4,429.3,427.25,427.6
149,2024-02-05 14:35:00,427.35,427.5,425.1,425.1
150,2024-02-05 14:40:00,425.4,427.1,425.1,426.3
151,2024-02-05 14:45:00,426.05,428.25,425.8,427.75
152,2024-02-05 14:50:00,427.45,428.05,427.0,427.05
153,2024-02-05 14:55:00,427.4,427.45,426.05,427.05
154,2024-02-05 15:00:00,426.8,428.0,426.55,427.5
155,2024-02-05 15:05:00,427.35,428.45,427.35,428.45
156,2024-02-05 15:10:00,428.35,429.0,427.5,428.0
157,2024-02-05 15:15:00,427.95,428.35,426.95,427.7
158,2024-02-05 15:20:00,427.5,427.55,426.65,427.3
159,2024-02-05 15:25:00,427.5,430.85,426.75,430.85
160,2024-02-06 09:15:00,431.7,431.7,427.7,429.0
161,2024-02-06 09:20:00,428.8,429.2,422.8,425.45
162,2024-02-06 09:25:00,425.5,426.35,424.35,425.1
163,2024-02-06 09:30:00,425.45,427.0,425.0,426.85
164,2024-02-06 09:35:00,426.7,427.05,426.1,426.15
165,2024-02-06 09:40:00,426.5,426.5,425.3,425.7
166,2024-02-06 09:45:00,425.55,426.1,424.6,426.1
167,2024-02-06 09:50:00,425.8,426.5,424.85,426.3
168,2024-02-06 09:55:00,426.0,427.0,425.25,426.25
169,2024-02-06 10:00:00,426.4,427.45,425.8,426.6
170,2024-02-06 10:05:00,426.4,427.85,426.4,427.85
171,2024-02-06 10:10:00,428.0,429.75,427.7,429.75
172,2024-02-06 10:15:00,429.95,431.0,429.25,430.3
173,2024-02-06 10:20:00,430.1,430.7,429.5,429.5
174,2024-02-06 10:25:00,429.4,429.7,427.45,427.95
175,2024-02-06 10:30:00,427.5,428.0,426.45,427.3
176,2024-02-06 10:35:00,427.15,428.05,426.55,427.55
177,2024-02-06 10:40:00,427.75,429.4,427.5,429.05
178,2024-02-06 10:45:00,429.1,429.1,428.15,428.15
179,2024-02-06 10:50:00,428.0,429.45,428.0,429.25
180,2024-02-06 10:55:00,429.45,429.65,428.85,429.5
181,2024-02-06 11:00:00,429.75,429.8,428.9,428.9
182,2024-02-06 11:05:00,429.3,430.0,429.1,429.3
183,2024-02-06 11:10:00,429.25,429.85,429.2,429.3
184,2024-02-06 11:15:00,429.6,430.9,429.4,430.0
185,2024-02-06 11:20:00,429.75,430.45,428.8,428.8
186,2024-02-06 11:25:00,429.45,429.75,429.05,429.35
187,2024-02-06 11:30:00,429.3,430.1,429.1,429.8
188,2024-02-06 11:35:00,429.55,429.55,428.4,429.0
189,2024-02-06 11:40:00,429.0,429.25,427.85,428.15
190,2024-02-06 11:45:00,428.55,429.0,428.35,428.9
191,2024-02-06 11:50:00,429.0,429.55,428.95,428.95
192,2024-02-06 11:55:00,429.3,429.65,428.95,429.25
193,2024-02-06 12:00:00,429.55,429.55,428.6,428.75
194,2024-02-06 12:05:00,428.85,429.0,428.5,428.75
195,2024-02-06 12:10:00,428.5,428.75,427.5,427.9
196,2024-02-06 12:15:00,427.75,427.75,426.5,426.8
197,2024-02-06 12:20:00,426.65,427.15,425.7,425.7
198,2024-02-06 12:25:00,425.55,426.95,425.45,426.95
199,2024-02-06 12:30:00,426.85,427.65,426.85,427.2
200,2024-02-06 12:35:00,427.45,428.3,427.2,428.15
201,2024-02-06 12:40:00,427.7,428.4,427.55,427.8
202,2024-02-06 12:45:00,428.0,428.25,426.3,426.8
203,2024-02-06 12:50:00,426.85,426.95,426.05,426.4
204,2024-02-06 12:55:00,426.7,426.8,426.35,426.35
205,2024-02-06 13:00:00,426.3,427.35,426.3,426.5
206,2024-02-06 13:05:00,426.55,427.0,426.5,427.0
207,2024-02-06 13:10:00,427.3,427.3,426.2,426.2
208,2024-02-06 13:15:00,426.35,426.4,425.25,425.6
209,2024-02-06 13:20:00,425.8,426.75,424.8,425.15
210,2024-02-06 13:25:00,425.1,425.95,425.1,425.45
211,2024-02-06 13:30:00,425.65,425.9,424.75,425.65
212,2024-02-06 13:35:00,425.75,425.85,424.1,424.75
213,2024-02-06 13:40:00,424.8,425.0,424.6,424.65
214,2024-02-06 13:45:00,424.7,424.95,424.6,424.85
215,2024-02-06 13:50:00,424.65,425.75,424.65,425.7
216,2024-02-06 13:55:00,425.5,425.75,424.9,425.75
217,2024-02-06 14:00:00,425.55,426.95,425.5,426.85
218,2024-02-06 14:05:00,427.0,427.25,426.6,427.25
219,2024-02-06 14:10:00,427.35,427.5,426.45,426.8
220,2024-02-06 14:15:00,426.6,427.15,426.2,426.95
221,2024-02-06 14:20:00,426.55,427.0,426.5,426.65
222,2024-02-06 14:25:00,426.75,427.5,426.75,427.5
223,2024-02-06 14:30:00,427.35,428.7,427.35,428.3
224,2024-02-06 14:35:00,428.0,428.85,428.0,428.85
225,2024-02-06 14:40:00,428.8,429.85,428.45,429.4
226,2024-02-06 14:45:00,429.35,429.55,428.8,428.8
227,2024-02-06 14:50:00,429.0,429.1,428.65,428.75
228,2024-02-06 14:55:00,428.8,429.9,428.0,429.5
229,2024-02-06 15:00:00,429.85,429.85,428.85,429.4
230,2024-02-06 15:05:00,429.5,429.6,428.6,428.9
231,2024-02-06 15:10:00,429.15,429.15,428.1,428.45
232,2024-02-06 15:15:00,428.0,428.6,427.3,427.75
233,2024-02-06 15:20:00,427.65,428.5,427.65,428.45
234,2024-02-06 15:25:00,428.35,428.5,427.0,427.35
235,2024-02-07 09:15:00,432.65,432.65,428.55,431.85
236,2024-02-07 09:20:00,431.25,432.95,430.55,432.9
237,2024-02-07 09:25:00,432.95,432.95,431.25,432.5
238,2024-02-07 09:30:00,432.3,432.65,430.55,431.2
239,2024-02-07 09:35:00,431.65,436.5,431.65,434.55
240,2024-02-07 09:40:00,434.85,436.0,432.95,435.3
241,2024-02-07 09:45:00,435.35,436.95,434.0,434.8
242,2024-02-07 09:50:00,435.2,435.65,433.3,434.4
243,2024-02-07 09:55:00,434.55,434.6,432.6,434.4
244,2024-02-07 10:00:00,434.0,434.9,433.0,433.9
245,2024-02-07 10:05:00,433.7,435.0,433.5,433.9
246,2024-02-07 10:10:00,433.95,434.75,433.65,434.3
247,2024-02-07 10:15:00,434.6,434.7,433.8,433.95
248,2024-02-07 10:20:00,433.75,434.65,433.45,434.0
249,2024-02-07 10:25:00,433.8,434.7,433.4,434.2
250,2024-02-07 10:30:00,433.85,434.3,432.45,432.85
251,2024-02-07 10:35:00,432.95,433.9,431.8,433.9
252,2024-02-07 10:40:00,433.95,434.2,432.5,433.5
253,2024-02-07 10:45:00,433.1,434.5,433.1,434.5
254,2024-02-07 10:50:00,434.2,434.5,433.75,434.15
255,2024-02-07 10:55:00,434.5,434.8,433.8,434.0
256,2024-02-07 11:00:00,434.3,434.5,433.05,433.35
257,2024-02-07 11:05:00,433.7,433.9,432.25,432.9
258,2024-02-07 11:10:00,432.75,434.0,432.75,433.95
259,2024-02-07 11:15:00,433.5,433.9,432.65,433.5
260,2024-02-07 11:20:00,433.15,433.95,432.6,433.35
261,2024-02-07 11:25:00,433.05,433.5,432.5,432.8
262,2024-02-07 11:30:00,432.2,432.4,431.0,431.9
263,2024-02-07 11:35:00,431.6,433.1,431.15,431.75
264,2024-02-07 11:40:00,431.4,432.1,430.75,431.6
265,2024-02-07 11:45:00,431.2,431.95,431.05,431.25
266,2024-02-07 11:50:00,431.5,431.7,430.35,430.7
267,2024-02-07 11:55:00,430.9,431.65,429.35,431.0
268,2024-02-07 12:00:00,431.1,431.45,430.4,430.9
269,2024-02-07 12:05:00,430.85,431.0,430.5,430.6
270,2024-02-07 12:10:00,430.95,431.7,430.15,430.5
271,2024-02-07 12:15:00,430.7,431.45,430.45,431.25
272,2024-02-07 12:20:00,431.0,431.9,430.85,431.5
273,2024-02-07 12:25:00,431.55,431.65,431.1,431.45
274,2024-02-07 12:30:00,431.3,432.85,431.0,432.85
275,2024-02-07 12:35:00,432.6,432.9,431.65,432.65
276,2024-02-07 12:40:00,432.1,433.0,432.1,432.7
277,2024-02-07 12:45:00,432.4,433.0,432.35,432.95
278,2024-02-07 12:50:00,433.0,433.0,431.7,432.0
279,2024-02-07 12:55:00,431.7,432.7,431.3,431.5
280,2024-02-07 13:00:00,431.55,431.6,430.55,431.05
281,2024-02-07 13:05:00,431.1,431.6,430.6,431.5
282,2024-02-07 13:10:00,431.6,431.6,430.95,431.2
283,2024-02-07 13:15:00,431.15,433.0,431.15,432.9
284,2024-02-07 13:20:00,432.8,433.95,432.75,433.6
285,2024-02-07 13:25:00,433.55,433.55,432.85,433.05
286,2024-02-07 13:30:00,433.0,433.95,432.8,433.95
287,2024-02-07 13:35:00,433.85,434.0,433.3,434.0
288,2024-02-07 13:40:00,434.15,435.6,434.15,435.45
