,time,into,inth,intl,intc
0,2024-02-01 09:55:00,504.7,505.0,504.35,504.35
1,2024-02-01 10:00:00,504.65,505.2,504.3,504.35
2,2024-02-01 10:05:00,504.25,505.6,504.2,505.35
3,2024-02-01 10:10:00,505.4,505.7,504.05,504.05
4,2024-02-01 10:15:00,504.2,504.65,502.8,504.65
5,2024-02-01 10:20:00,504.35,504.35,503.05,503.8
6,2024-02-01 10:25:00,503.85,504.5,503.6,504.4
7,2024-02-01 10:30:00,504.2,504.5,503.25,504.45
8,2024-02-01 10:35:00,504.2,504.45,503.45,503.5
9,2024-02-01 10:40:00,503.55,504.35,502.95,504.1
10,2024-02-01 10:45:00,504.35,504.55,503.5,503.75
11,2024-02-01 10:50:00,503.8,504.0,503.5,504.0
12,2024-02-01 10:55:00,503.75,503.85,503.0,503.85
13,2024-02-01 11:00:00,503.8,504.5,503.5,504.1
14,2024-02-01 11:05:00,504.0,504.1,502.55,503.9
15,2024-02-01 11:10:00,503.95,503.95,503.0,503.05
16,2024-02-01 11:15:00,503.35,503.35,500.2,502.65
17,2024-02-01 11:20:00,502.7,503.9,502.65,503.55
18,2024-02-01 11:25:00,503.7,504.8,502.95,504.65
19,2024-02-01 11:30:00,504.15,505.6,504.0,505.4
20,2024-02-01 11:35:00,505.05,505.95,505.05,505.9
21,2024-02-01 11:40:00,505.95,506.0,504.95,505.35
22,2024-02-01 11:45:00,505.1,505.25,503.6,504.2
23,2024-02-01 11:50:00,504.25,506.15,503.95,505.95
24,2024-02-01 11:55:00,506.05,506.7,504.9,506.3
25,2024-02-01 12:00:00,506.7,508.9,506.45,508.6
26,2024-02-01 12:05:00,508.9,510.95,508.65,510.55
27,2024-02-01 12:10:00,510.8,516.05,510.5,513.4
28,2024-02-01 12:15:00,513.65,516.85,512.75,513.4
29,2024-02-01 12:20:00,513.65,513.65,511.45,511.45
30,2024-02-01 12:25:00,511.65,512.75,510.15,510.95
31,2024-02-01 12:30:00,510.55,511.8,510.05,511.65
32,2024-02-01 12:35:00,511.55,513.45,511.05,513.1
33,2024-02-01 12:40:00,513.2,515.9,512.75,514.55
34,2024-02-01 12:45:00,514.6,515.0,512.05,512.5
35,2024-02-01 12:50:00,512.6,514.2,511.55,513.75
36,2024-02-01 12:55:00,513.7,513.7,512.7,513.0
37,2024-02-01 13:00:00,513.3,513.75,512.45,513.25
38,2024-02-01 13:05:00,513.15,513.55,512.9,513.05
39,2024-02-01 13:10:00,513.4,513.5,512.35,513.5
40,2024-02-01 13:15:00,513.25,513.25,511.9,511.9
41,2024-02-01 13:20:00,511.85,513.5,511.55,513.15
42,2024-02-01 13:25:00,513.1,515.35,512.05,515.35
43,2024-02-01 13:30:00,515.3,515.85,514.0,515.05
44,2024-02-01 13:35:00,515.1,515.5,512.95,513.35
45,2024-02-01 13:40:00,513.25,515.35,512.6,513.1
46,2024-02-01 13:45:00,513.05,515.15,512.6,514.95
47,2024-02-01 13:50:00,514.55,515.65,514.55,515.35
48,2024-02-01 13:55:00,515.7,517.15,515.35,515.45
49,2024-02-01 14:00:00,515.4,515.4,514.65,515.4
50,2024-02-01 14:05:00,515.2,516.5,515.2,516.15
51,2024-02-01 14:10:00,515.8,515.95,514.7,514.7
52,2024-02-01 14:15:00,514.75,515.0,513.9,514.6
53,2024-02-01 14:20:00,514.7,515.0,514.6,514.85
54,2024-02-01 14:25:00,514.9,515.0,514.7,514.8
55,2024-02-01 14:30:00,514.95,515.0,514.55,514.6
56,2024-02-01 14:35:00,514.55,514.7,513.95,514.45
57,2024-02-01 14:40:00,514.5,514.95,514.35,514.5
58,2024-02-01 14:45:00,514.4,516.1,514.3,516.1
59,2024-02-01 14:50:00,515.9,516.4,515.25,515.45
60,2024-02-01 14:55:00,515.65,516.5,515.45,516.3
