,time,into,inth,intl,intc
0,2024-02-02 09:15:00,14.35,14.35,14.2,14.35
1,2024-02-02 09:20:00,14.3,14.35,14.25,14.3
2,2024-02-02 09:25:00,14.25,14.3,14.2,14.25
3,2024-02-02 09:30:00,14.3,14.3,14.2,14.3
4,2024-02-02 09:35:00,14.25,14.5,14.25,14.5
5,2024-02-02 09:40:00,14.45,14.5,14.4,14.45
6,2024-02-02 09:45:00,14.4,14.45,14.35,14.4
7,2024-02-02 09:50:00,14.45,14.65,14.4,14.55
8,2024-02-02 09:55:00,14.6,14.7,14.55,14.7
9,2024-02-02 10:00:00,14.65,14.7,14.6,14.6
10,2024-02-02 10:05:00,14.65,14.65,14.5,14.55
11,2024-02-02 10:10:00,14.6,14.6,14.5,14.5
12,2024-02-02 10:15:00,14.55,14.6,14.5,14.5
13,2024-02-02 10:20:00,14.55,14.55,14.45,14.5
14,2024-02-02 10:25:00,14.45,14.55,14.45,14.55
15,2024-02-02 10:30:00,14.5,14.6,14.5,14.55
16,2024-02-02 10:35:00,14.5,14.55,14.5,14.55
17,2024-02-02 10:40:00,14.5,14.55,14.5,14.55
18,2024-02-02 10:45:00,14.5,14.55,14.45,14.45
19,2024-02-02 10:50:00,14.5,14.5,14.45,14.45
20,2024-02-02 10:55:00,14.5,14.55,14.45,14.5
21,2024-02-02 11:00:00,14.55,14.55,14.5,14.5
22,2024-02-02 11:05:00,14.55,14.55,14.45,14.55
23,2024-02-02 11:10:00,14.5,14.55,14.5,14.55
24,2024-02-02 11:15:00,14.5,14.55,14.5,14.55
25,2024-02-02 11:20:00,14.5,14.55,14.5,14.55
26,2024-02-02 11:25:00,14.5,14.55,14.45,14.5
27,2024-02-02 11:30:00,14.55,14.55,14.45,14.45
28,2024-02-02 11:35:00,14.5,14.5,14.45,14.45
29,2024-02-02 11:40:00,14.5,14.5,14.4,14.4
30,2024-02-02 11:45:00,14.45,14.45,14.4,14.4
31,2024-02-02 11:50:00,14.45,14.45,14.4,14.45
32,2024-02-02 11:55:00,14.4,14.45,14.4,14.4
33,2024-02-02 12:00:00,14.45,14.45,14.4,14.45
34,2024-02-02 12:05:00,14.4,14.45,14.4,14.4
35,2024-02-02 12:10:00,14.45,14.45,14.4,14.45
36,2024-02-02 12:15:00,14.4,14.45,14.35,14.4
37,2024-02-02 12:20:00,14.35,14.4,14.35,14.4
38,2024-02-02 12:25:00,14.35,14.35,14.25,14.3
39,2024-02-02 12:30:00,14.25,14.35,14.2,14.35
40,2024-02-02 12:35:00,14.25,14.35,14.2,14.35
41,2024-02-02 12:40:00,14.3,14.35,14.25,14.3
42,2024-02-02 12:45:00,14.25,14.3,14.25,14.25
43,2024-02-02 12:50:00,14.3,14.3,14.25,14.25
44,2024-02-02 12:55:00,14.3,14.3,14.25,14.3
45,2024-02-02 13:00:00,14.25,14.3,14.2,14.3
46,2024-02-02 13:05:00,14.25,14.3,14.2,14.3
47,2024-02-02 13:10:00,14.25,14.3,14.15,14.2
48,2024-02-02 13:15:00,14.15,14.25,14.15,14.25
49,2024-02-02 13:20:00,14.2,14.25,14.1,14.15
50,2024-02-02 13:25:00,14.1,14.2,14.1,14.2
51,2024-02-02 13:30:00,14.15,14.2,14.1,14.15
52,2024-02-02 13:35:00,14.1,14.2,14.1,14.2
53,2024-02-02 13:40:00,14.15,14.2,14.15,14.15
54,2024-02-02 13:45:00,14.2,14.2,14.1,14.1
55,2024-02-02 13:50:00,14.15,14.2,14.1,14.15
56,2024-02-02 13:55:00,14.2,14.2,14.15,14.15
57,2024-02-02 14:00:00,14.2,14.2,14.05,14.15
58,2024-02-02 14:05:00,14.1,14.15,14.1,14.15
59,2024-02-02 14:10:00,14.1,14.15,14.1,14.15
60,2024-02-02 14:15:00,14.1,14.15,14.1,14.15
61,2024-02-02 14:20:00,14.1,14.15,14.05,14.15
62,2024-02-02 14:25:00,14.1,14.15,14.05,14.1
63,2024-02-02 14:30:00,14.15,14.15,14.1,14.15
64,2024-02-02 14:35:00,14.1,14.15,14.1,14.15
65,2024-02-02 14:40:00,14.1,14.15,14.1,14.15
66,2024-02-02 14:45:00,14.1,14.15,14.1,14.1
67,2024-02-02 14:50:00,14.15,14.15,14.1,14.1
68,2024-02-02 14:55:00,14.15,14.15,14.05,14.1
69,2024-02-02 15:00:00,14.05,14.1,14.0,14.05
70,2024-02-02 15:05:00,14.0,14.05,14.0,14.05
71,2024-02-02 15:10:00,14.0,14.1,14.0,14.05
72,2024-02-02 15:15:00,14.0,14.05,14.0,14.05
73,2024-02-02 15:20:00,14.0,14.1,14.0,14.1
74,2024-02-02 15:25:00,14.05,14.15,14.05,14.1
75,2024-02-03 11:00:00,14.1,14.1,14.1,14.1
76,2024-02-03 11:05:00,14.1,14.1,12.65,12.65
77,2024-02-03 11:35:00,12.65,12.7,12.65,12.65
78,2024-02-03 12:05:00,12.7,12.75,12.65,12.7
