,time,into,inth,intl,intc
0,2024-02-01 09:55:00,83.7,83.85,83.65,83.8
1,2024-02-01 10:00:00,83.75,83.8,83.6,83.7
2,2024-02-01 10:05:00,83.65,83.9,83.6,83.85
3,2024-02-01 10:10:00,83.9,83.9,83.7,83.8
4,2024-02-01 10:15:00,83.75,83.8,83.65,83.75
5,2024-02-01 10:20:00,83.8,83.8,83.6,83.75
6,2024-02-01 10:25:00,83.7,83.75,83.6,83.6
7,2024-02-01 10:30:00,83.65,83.7,83.5,83.6
8,2024-02-01 10:35:00,83.55,83.85,83.55,83.85
9,2024-02-01 10:40:00,83.8,83.85,83.65,83.7
10,2024-02-01 10:45:00,83.75,83.85,83.65,83.75
11,2024-02-01 10:50:00,83.85,83.85,83.7,83.75
12,2024-02-01 10:55:00,83.7,83.8,83.35,83.6
13,2024-02-01 11:00:00,83.55,83.75,83.5,83.7
14,2024-02-01 11:05:00,83.65,83.7,83.5,83.55
15,2024-02-01 11:10:00,83.5,83.65,83.45,83.6
16,2024-02-01 11:15:00,83.55,83.6,83.1,83.2
17,2024-02-01 11:20:00,83.3,83.35,83.1,83.25
18,2024-02-01 11:25:00,83.2,83.25,83.1,83.25
19,2024-02-01 11:30:00,83.2,83.25,83.1,83.1
20,2024-02-01 11:35:00,83.15,83.25,83.05,83.15
21,2024-02-01 11:40:00,83.2,83.25,83.05,83.1
22,2024-02-01 11:45:00,83.05,83.15,82.85,83.05
23,2024-02-01 11:50:00,83.1,83.25,82.95,83.2
24,2024-02-01 11:55:00,83.25,83.25,82.8,82.95
25,2024-02-01 12:00:00,83.0,83.05,82.6,82.8
26,2024-02-01 12:05:00,82.85,83.65,82.75,83.65
27,2024-02-01 12:10:00,83.6,83.65,83.15,83.3
28,2024-02-01 12:15:00,83.25,83.35,83.05,83.1
29,2024-02-01 12:20:00,83.05,83.05,82.65,82.95
30,2024-02-01 12:25:00,82.9,83.05,82.75,82.8
31,2024-02-01 12:30:00,82.85,82.95,82.7,82.95
32,2024-02-01 12:35:00,82.85,83.05,82.8,82.9
33,2024-02-01 12:40:00,82.95,83.25,82.85,83.25
34,2024-02-01 12:45:00,83.2,83.55,83.2,83.55
35,2024-02-01 12:50:00,83.5,83.75,83.4,83.7
36,2024-02-01 12:55:00,83.65,83.7,83.4,83.55
37,2024-02-01 13:00:00,83.6,83.6,83.3,83.4
38,2024-02-01 13:05:00,83.45,83.5,83.3,83.35
39,2024-02-01 13:10:00,83.4,83.45,83.2,83.3
40,2024-02-01 13:15:00,83.25,83.4,83.05,83.15
41,2024-02-01 13:20:00,83.05,83.3,83.05,83.25
42,2024-02-01 13:25:00,83.2,83.25,82.85,83.0
43,2024-02-01 13:30:00,83.05,83.1,82.95,83.0
44,2024-02-01 13:35:00,83.05,83.25,83.0,83.0
45,2024-02-01 13:40:00,83.1,83.2,82.95,83.05
46,2024-02-01 13:45:00,83.1,83.2,83.0,83.2
47,2024-02-01 13:50:00,83.15,83.2,83.1,83.15
48,2024-02-01 13:55:00,83.1,83.15,83.05,83.1
49,2024-02-01 14:00:00,83.15,83.2,83.05,83.1
50,2024-02-01 14:05:00,83.15,83.2,83.1,83.2
51,2024-02-01 14:10:00,83.15,83.25,83.1,83.15
52,2024-02-01 14:15:00,83.25,83.25,83.0,83.15
53,2024-02-01 14:20:00,83.1,83.25,83.05,83.15
54,2024-02-01 14:25:00,83.2,83.3,83.15,83.3
55,2024-02-01 14:30:00,83.25,83.25,83.1,83.2
56,2024-02-01 14:35:00,83.1,83.3,83.1,83.25
57,2024-02-01 14:40:00,83.2,83.25,83.15,83.2
58,2024-02-01 14:45:00,83.15,83.3,83.15,83.25
59,2024-02-01 14:50:00,83.2,83.5,83.2,83.45
60,2024-02-01 14:55:00,83.35,83.45,83.3,83.4
61,2024-02-01 15:00:00,83.35,83.5,83.3,83.45
62,2024-02-01 15:05:00,83.5,83.5,83.35,83.4
63,2024-02-01 15:10:00,83.45,83.45,83.3,83.35
64,2024-02-01 15:15:00,83.3,83.35,83.25,83.35
65,2024-02-01 15:20:00,83.3,83.5,83.3,83.4
66,2024-02-01 15:25:00,83.45,84.0,83.3,84.0
67,2024-02-02 09:15:00,84.15,84.15,83.9,84.0
68,2024-02-02 09:20:00,83.95,84.0,83.7,83.95
69,2024-02-02 09:25:00,83.9,84.0,83.8,83.9
70,2024-02-02 09:30:00,83.85,84.05,83.75,83.95
71,2024-02-02 09:35:00,84.0,84.2,83.9,84.05
72,2024-02-02 09:40:00,84.15,84.25,84.05,84.25
73,2024-02-02 09:45:00,84.15,84.3,84.05,84.3
74,2024-02-02 09:50:00,84.25,84.4,84.25,84.3
75,2024-02-02 09:55:00,84.25,84.4,84.25,84.35
76,2024-02-02 10:00:00,84.3,84.45,84.3,84.4
77,2024-02-02 10:05:00,84.45,84.5,84.25,84.25
78,2024-02-02 10:10:00,84.3,84.4,84.2,84.4
79,2024-02-02 10:15:00,84.35,84.4,84.15,84.2
80,2024-02-02 10:20:00,84.25,84.35,84.1,84.35
81,2024-02-02 10:25:00,84.3,84.4,84.25,84.4
82,2024-02-02 10:30:00,84.35,84.4,84.25,84.3
83,2024-02-02 10:35:00,84.25,84.4,84.2,84.3
84,2024-02-02 10:40:00,84.35,84.35,84.1,84.3
85,2024-02-02 10:45:00,84.25,84.35,84.2,84.35
86,2024-02-02 10:50:00,84.3,84.35,84.25,84.35
87,2024-02-02 10:55:00,84.3,84.35,84.2,84.2
88,2024-02-02 11:00:00,84.25,84.3,84.1,84.1
89,2024-02-02 11:05:00,84.15,84.15,84.0,84.05
90,2024-02-02 11:10:00,84.1,84.15,84.0,84.15
91,2024-02-02 11:15:00,84.1,84.15,83.65,83.8
92,2024-02-02 11:20:00,83.75,83.8,83.65,83.75
93,2024-02-02 11:25:00,83.7,83.75,83.6,83.6
94,2024-02-02 11:30:00,83.65,83.7,83.55,83.65
95,2024-02-02 11:35:00,83.7,83.75,83.55,83.65
96,2024-02-02 11:40:00,83.75,83.85,83.65,83.7
97,2024-02-02 11:45:00,83.65,83.7,83.55,83.7
98,2024-02-02 11:50:00,83.6,83.75,83.6,83.7
99,2024-02-02 11:55:00,83.75,83.9,83.7,83.85
100,2024-02-02 12:00:00,83.8,83.9,83.8,83.85
101,2024-02-02 12:05:00,83.9,83.9,83.7,83.75
102,2024-02-02 12:10:00,83.7,83.8,83.6,83.65
103,2024-02-02 12:15:00,83.6,83.65,83.55,83.6
104,2024-02-02 12:20:00,83.55,83.6,83.5,83.55
105,2024-02-02 12:25:00,83.5,83.6,83.3,83.3
106,2024-02-02 12:30:00,83.35,83.4,83.0,83.3
107,2024-02-02 12:35:00,83.25,83.3,83.05,83.2
108,2024-02-02 12:40:00,83.3,83.35,83.1,83.3
109,2024-02-02 12:45:00,83.2,83.3,83.0,83.1
110,2024-02-02 12:50:00,83.05,83.2,82.9,83.2
111,2024-02-02 12:55:00,83.15,83.15,82.95,82.95
112,2024-02-02 13:00:00,83.0,83.15,82.95,83.0
113,2024-02-02 13:05:00,82.95,83.05,82.75,82.85
114,2024-02-02 13:10:00,82.8,82.95,82.8,82.85
115,2024-02-02 13:15:00,82.8,83.05,82.7,83.0
116,2024-02-02 13:20:00,82.95,83.05,82.8,82.85
117,2024-02-02 13:25:00,82.8,83.0,82.8,82.95
118,2024-02-02 13:30:00,82.9,83.0,82.75,82.9
119,2024-02-02 13:35:00,82.95,83.05,82.85,83.05
120,2024-02-02 13:40:00,82.95,83.05,82.85,82.95
121,2024-02-02 13:45:00,83.0,83.05,82.9,82.95
122,2024-02-02 13:50:00,83.0,83.0,82.9,82.9
123,2024-02-02 13:55:00,83.0,83.15,82.9,83.05
124,2024-02-02 14:00:00,83.15,83.15,83.0,83.05
125,2024-02-02 14:05:00,83.0,83.1,82.95,83.05
126,2024-02-02 14:10:00,83.0,83.1,82.95,83.05
127,2024-02-02 14:15:00,83.0,83.1,82.95,83.0
