,time,into,inth,intl,intc
0,2024-01-30 09:15:00,500.1,500.1,496.5,497.0
1,2024-01-30 09:20:00,496.65,498.8,496.4,496.6
2,2024-01-30 09:25:00,496.4,496.6,492.9,493.2
3,2024-01-30 09:30:00,493.1,495.15,491.25,491.65
4,2024-01-30 09:35:00,491.8,492.85,491.5,492.5
5,2024-01-30 09:40:00,492.25,495.0,492.05,494.5
6,2024-01-30 09:45:00,494.35,494.75,491.0,491.55
7,2024-01-30 09:50:00,491.45,492.6,491.0,492.6
8,2024-01-30 09:55:00,492.7,493.4,492.1,492.7
9,2024-01-30 10:00:00,492.75,492.85,491.5,492.4
10,2024-01-30 10:05:00,492.45,492.65,490.85,491.15
11,2024-01-30 10:10:00,491.4,493.15,491.15,492.1
12,2024-01-30 10:15:00,492.3,492.35,491.3,491.65
13,2024-01-30 10:20:00,491.7,493.0,491.3,492.4
14,2024-01-30 10:25:00,492.2,492.25,489.8,490.45
15,2024-01-30 10:30:00,490.35,490.35,489.25,489.6
16,2024-01-30 10:35:00,489.7,490.75,489.0,490.75
17,2024-01-30 10:40:00,490.55,491.05,490.0,490.3
18,2024-01-30 10:45:00,490.0,490.3,489.0,489.25
19,2024-01-30 10:50:00,489.1,489.25,488.0,488.55
20,2024-01-30 10:55:00,488.8,490.15,488.05,488.85
21,2024-01-30 11:00:00,488.55,489.05,488.15,488.95
22,2024-01-30 11:05:00,489.0,489.0,487.2,487.45
23,2024-01-30 11:10:00,487.5,488.3,487.15,488.05
24,2024-01-30 11:15:00,488.1,488.85,487.5,488.25
25,2024-01-30 11:20:00,488.3,488.8,487.65,488.55
26,2024-01-30 11:25:00,488.8,488.85,487.5,488.3
27,2024-01-30 11:30:00,488.55,490.45,488.35,489.8
28,2024-01-30 11:35:00,489.55,490.0,488.65,488.9
29,2024-01-30 11:40:00,488.95,489.5,488.4,489.2
30,2024-01-30 11:45:00,489.25,490.3,488.65,490.3
31,2024-01-30 11:50:00,490.4,490.4,488.6,488.9
32,2024-01-30 11:55:00,489.15,489.8,488.9,489.45
33,2024-01-30 12:00:00,489.75,489.85,489.15,489.6
34,2024-01-30 12:05:00,489.4,490.8,489.3,490.8
35,2024-01-30 12:10:00,490.75,490.9,490.45,490.7
36,2024-01-30 12:15:00,490.5,491.3,490.2,491.05
37,2024-01-30 12:20:00,491.3,491.8,490.3,490.35
38,2024-01-30 12:25:00,490.55,491.2,490.3,490.95
