,time,into,inth,intl,intc
0,2024-02-01 09:55:00,1533.85,1537.5,1533.3,1535.65
1,2024-02-01 10:00:00,1535.6,1536.05,1532.05,1534.4
2,2024-02-01 10:05:00,1534.05,1539.05,1533.35,1537.0
3,2024-02-01 10:10:00,1537.75,1540.0,1536.5,1537.65
4,2024-02-01 10:15:00,1537.0,1538.15,1534.9,1535.75
5,2024-02-01 10:20:00,1536.15,1536.85,1534.95,1536.65
6,2024-02-01 10:25:00,1536.7,1538.9,1535.6,1537.85
7,2024-02-01 10:30:00,1537.95,1538.65,1536.55,1537.55
8,2024-02-01 10:35:00,1537.7,1544.1,1537.6,1543.3
9,2024-02-01 10:40:00,1543.35,1543.55,1542.25,1543.05
10,2024-02-01 10:45:00,1543.1,1544.4,1542.2,1542.65
11,2024-02-01 10:50:00,1542.0,1544.0,1541.95,1543.35
12,2024-02-01 10:55:00,1543.8,1543.8,1536.35,1540.0
13,2024-02-01 11:00:00,1540.55,1540.55,1536.1,1538.6
14,2024-02-01 11:05:00,1538.9,1539.0,1534.05,1537.25
15,2024-02-01 11:10:00,1537.2,1538.75,1535.9,1538.0
16,2024-02-01 11:15:00,1537.4,1538.0,1527.8,1531.4
17,2024-02-01 11:20:00,1531.9,1536.15,1530.5,1533.9
18,2024-02-01 11:25:00,1534.2,1536.15,1532.6,1534.55
19,2024-02-01 11:30:00,1534.45,1534.65,1531.8,1533.8
20,2024-02-01 11:35:00,1533.7,1536.3,1532.55,1534.05
21,2024-02-01 11:40:00,1534.55,1534.95,1532.5,1533.75
22,2024-02-01 11:45:00,1533.85,1534.85,1532.2,1533.45
23,2024-02-01 11:50:00,1533.55,1537.7,1533.1,1534.6
24,2024-02-01 11:55:00,1535.1,1536.5,1530.75,1532.45
25,2024-02-01 12:00:00,1533.2,1533.75,1523.95,1529.8
26,2024-02-01 12:05:00,1529.45,1541.8,1527.1,1541.8
27,2024-02-01 12:10:00,1541.9,1542.5,1536.05,1537.65
28,2024-02-01 12:15:00,1537.35,1538.85,1535.2,1536.7
29,2024-02-01 12:20:00,1536.8,1537.6,1533.35,1536.9
30,2024-02-01 12:25:00,1535.8,1538.0,1534.4,1536.1
31,2024-02-01 12:30:00,1536.55,1537.5,1532.85,1535.3
32,2024-02-01 12:35:00,1536.0,1539.0,1535.15,1537.85
33,2024-02-01 12:40:00,1537.7,1541.3,1536.55,1540.1
34,2024-02-01 12:45:00,1539.8,1547.55,1539.8,1544.55
35,2024-02-01 12:50:00,1544.6,1546.95,1542.4,1544.5
36,2024-02-01 12:55:00,1545.5,1545.5,1540.4,1541.0
37,2024-02-01 13:00:00,1541.4,1542.5,1538.0,1538.7
38,2024-02-01 13:05:00,1538.45,1541.2,1538.0,1539.65
39,2024-02-01 13:10:00,1539.45,1546.3,1539.45,1540.3
40,2024-02-01 13:15:00,1540.8,1541.2,1535.95,1536.45
41,2024-02-01 13:20:00,1536.7,1539.9,1536.7,1538.0
42,2024-02-01 13:25:00,1538.05,1539.25,1535.0,1538.2
43,2024-02-01 13:30:00,1537.6,1538.65,1534.95,1537.2
44,2024-02-01 13:35:00,1536.65,1538.5,1534.45,1535.95
45,2024-02-01 13:40:00,1535.3,1538.0,1533.25,1536.8
46,2024-02-01 13:45:00,1536.75,1538.0,1534.9,1537.7
47,2024-02-01 13:50:00,1537.75,1538.5,1535.2,1535.4
48,2024-02-01 13:55:00,1535.8,1536.2,1533.9,1535.35
49,2024-02-01 14:00:00,1535.5,1536.95,1533.95,1535.55
50,2024-02-01 14:05:00,1535.65,1536.15,1533.9,1535.65
51,2024-02-01 14:10:00,1535.7,1538.8,1534.9,1536.65
52,2024-02-01 14:15:00,1537.1,1537.25,1534.4,1535.7
53,2024-02-01 14:20:00,1536.0,1538.85,1535.05,1537.7
54,2024-02-01 14:25:00,1537.75,1539.1,1537.05,1539.1
55,2024-02-01 14:30:00,1539.15,1539.2,1535.8,1536.5
56,2024-02-01 14:35:00,1536.45,1537.8,1534.5,1535.9
57,2024-02-01 14:40:00,1535.65,1537.95,1535.3,1535.75
58,2024-02-01 14:45:00,1535.85,1538.0,1535.65,1537.35
59,2024-02-01 14:50:00,1537.9,1541.0,1537.0,1540.0
60,2024-02-01 14:55:00,1539.5,1540.4,1538.5,1540.0
61,2024-02-01 15:00:00,1539.95,1542.85,1538.0,1539.8
62,2024-02-01 15:05:00,1539.9,1542.6,1539.4,1540.3
63,2024-02-01 15:10:00,1540.05,1542.0,1538.75,1539.4
64,2024-02-01 15:15:00,1538.85,1543.0,1538.85,1542.8
65,2024-02-01 15:20:00,1542.85,1545.0,1539.85,1542.3
66,2024-02-01 15:25:00,1542.45,1551.0,1536.95,1551.0
67,2024-02-02 09:15:00,1550.2,1554.75,1548.25,1552.55
68,2024-02-02 09:20:00,1552.1,1556.0,1551.2,1554.3
69,2024-02-02 09:25:00,1554.05,1554.65,1550.0,1550.3
70,2024-02-02 09:30:00,1550.5,1552.3,1549.0,1549.6
71,2024-02-02 09:35:00,1550.0,1551.0,1547.35,1548.5
72,2024-02-02 09:40:00,1548.65,1549.95,1548.0,1549.0
73,2024-02-02 09:45:00,1549.15,1549.2,1547.05,1548.5
74,2024-02-02 09:50:00,1548.7,1553.65,1547.85,1552.15
75,2024-02-02 09:55:00,1552.6,1553.1,1550.4,1553.1
76,2024-02-02 10:00:00,1552.85,1554.85,1552.55,1553.85
77,2024-02-02 10:05:00,1554.0,1555.05,1553.45,1554.8
78,2024-02-02 10:10:00,1554.9,1557.7,1554.3,1557.05
79,2024-02-02 10:15:00,1557.1,1557.65,1555.8,1557.4
80,2024-02-02 10:20:00,1557.35,1557.35,1553.4,1556.7
81,2024-02-02 10:25:00,1556.85,1558.65,1556.15,1558.2
82,2024-02-02 10:30:00,1558.35,1559.65,1556.4,1557.4
83,2024-02-02 10:35:00,1557.15,1559.4,1556.2,1559.3
84,2024-02-02 10:40:00,1559.35,1559.9,1556.0,1558.5
85,2024-02-02 10:45:00,1558.1,1558.5,1556.25,1556.9
86,2024-02-02 10:50:00,1557.05,1557.5,1556.0,1556.35
87,2024-02-02 10:55:00,1556.3,1556.8,1554.0,1554.6
88,2024-02-02 11:00:00,1555.0,1556.4,1554.0,1555.55
89,2024-02-02 11:05:00,1555.85,1556.6,1555.0,1556.35
90,2024-02-02 11:10:00,1556.1,1557.0,1555.2,1555.9
91,2024-02-02 11:15:00,1556.0,1557.05,1555.05,1556.0
92,2024-02-02 11:20:00,1555.75,1558.0,1555.15,1557.8
93,2024-02-02 11:25:00,1557.5,1560.0,1557.5,1557.95
94,2024-02-02 11:30:00,1558.0,1564.5,1557.05,1562.55
95,2024-02-02 11:35:00,1562.5,1564.7,1561.3,1562.55
96,2024-02-02 11:40:00,1562.5,1564.45,1560.05,1561.75
97,2024-02-02 11:45:00,1561.7,1563.8,1560.55,1560.95
98,2024-02-02 11:50:00,1561.5,1564.45,1560.9,1563.0
99,2024-02-02 11:55:00,1563.4,1564.6,1561.9,1563.65
100,2024-02-02 12:00:00,1563.4,1564.5,1563.05,1564.25
101,2024-02-02 12:05:00,1564.05,1564.55,1561.8,1563.15
102,2024-02-02 12:10:00,1563.7,1563.9,1560.45,1562.2
