,time,into,inth,intl,intc
0,2024-02-02 09:15:00,1111.15,1119.95,1111.15,1119.0
1,2024-02-02 09:20:00,1118.6,1120.3,1116.75,1117.7
2,2024-02-02 09:25:00,1117.05,1117.05,1113.4,1115.25
3,2024-02-02 09:30:00,1115.3,1117.0,1113.95,1116.8
4,2024-02-02 09:35:00,1115.55,1118.65,1115.5,1115.85
5,2024-02-02 09:40:00,1116.5,1116.85,1114.0,1114.0
6,2024-02-02 09:45:00,1113.75,1117.85,1113.6,1117.8
7,2024-02-02 09:50:00,1117.25,1117.85,1115.85,1116.7
8,2024-02-02 09:55:00,1116.55,1116.65,1113.45,1113.45
9,2024-02-02 10:00:00,1113.85,1114.2,1112.0,1112.7
10,2024-02-02 10:05:00,1112.0,1112.55,1110.1,1110.1
11,2024-02-02 10:10:00,1109.95,1111.2,1109.9,1110.6
12,2024-02-02 10:15:00,1110.05,1111.0,1108.75,1108.75
13,2024-02-02 10:20:00,1109.7,1111.05,1108.85,1110.25
14,2024-02-02 10:25:00,1110.7,1118.0,1110.15,1116.8
15,2024-02-02 10:30:00,1117.3,1117.55,1115.05,1116.1
16,2024-02-02 10:35:00,1115.85,1116.75,1111.35,1113.25
17,2024-02-02 10:40:00,1113.0,1113.5,1111.6,1112.65
18,2024-02-02 10:45:00,1113.25,1113.65,1112.4,1113.65
19,2024-02-02 10:50:00,1113.25,1115.0,1113.25,1114.4
20,2024-02-02 10:55:00,1115.0,1115.75,1114.55,1115.55
21,2024-02-02 11:00:00,1115.6,1115.95,1114.9,1115.15
22,2024-02-02 11:05:00,1115.15,1116.0,1114.9,1115.1
23,2024-02-02 11:10:00,1115.95,1117.0,1115.2,1117.0
24,2024-02-02 11:15:00,1116.5,1118.0,1115.8,1117.75
25,2024-02-02 11:20:00,1117.75,1119.25,1117.75,1118.3
26,2024-02-02 11:25:00,1118.85,1119.15,1118.35,1118.4
27,2024-02-02 11:30:00,1118.45,1119.4,1115.65,1115.75
28,2024-02-02 11:35:00,1116.75,1118.25,1116.6,1117.85
29,2024-02-02 11:40:00,1118.75,1118.75,1115.35,1115.35
30,2024-02-02 11:45:00,1115.65,1116.1,1113.3,1116.1
31,2024-02-02 11:50:00,1115.65,1116.15,1114.95,1116.15
32,2024-02-02 11:55:00,1116.65,1118.1,1116.0,1116.95
33,2024-02-02 12:00:00,1117.0,1117.0,1115.9,1116.9
34,2024-02-02 12:05:00,1116.95,1116.95,1114.9,1114.9
35,2024-02-02 12:10:00,1114.25,1116.35,1113.65,1113.65
36,2024-02-02 12:15:00,1113.6,1114.1,1111.6,1111.6
37,2024-02-02 12:20:00,1111.7,1113.3,1111.3,1111.3
38,2024-02-02 12:25:00,1111.3,1112.45,1108.05,1109.8
39,2024-02-02 12:30:00,1109.9,1112.05,1108.05,1110.9
40,2024-02-02 12:35:00,1110.65,1110.65,1107.8,1109.65
41,2024-02-02 12:40:00,1110.0,1113.85,1109.8,1113.85
42,2024-02-02 12:45:00,1114.2,1115.25,1112.3,1112.3
43,2024-02-02 12:50:00,1112.3,1116.35,1112.3,1116.1
44,2024-02-02 12:55:00,1116.15,1117.0,1113.5,1113.5
45,2024-02-02 13:00:00,1112.8,1113.7,1112.35,1112.8
46,2024-02-02 13:05:00,1112.65,1114.3,1111.6,1113.55
