,time,into,inth,intl,intc
0,2024-02-01 09:55:00,749.1,751.25,748.35,750.2
1,2024-02-01 10:00:00,750.55,750.6,748.35,749.0
2,2024-02-01 10:05:00,749.2,750.5,748.15,748.6
3,2024-02-01 10:10:00,748.5,748.5,745.0,745.7
4,2024-02-01 10:15:00,745.5,745.9,743.15,744.1
5,2024-02-01 10:20:00,744.3,747.0,743.25,746.75
6,2024-02-01 10:25:00,746.9,746.9,742.2,742.8
7,2024-02-01 10:30:00,743.2,744.95,740.35,742.95
8,2024-02-01 10:35:00,742.8,744.25,742.3,743.65
9,2024-02-01 10:40:00,743.7,744.3,742.0,743.0
10,2024-02-01 10:45:00,742.55,743.3,741.9,742.5
11,2024-02-01 10:50:00,742.3,743.3,742.0,743.15
12,2024-02-01 10:55:00,743.45,744.3,741.0,744.3
13,2024-02-01 11:00:00,744.2,744.2,741.0,742.3
14,2024-02-01 11:05:00,742.0,742.4,740.05,741.4
15,2024-02-01 11:10:00,741.1,741.8,738.85,738.9
16,2024-02-01 11:15:00,738.75,739.1,733.25,735.1
17,2024-02-01 11:20:00,735.45,737.0,735.2,735.45
18,2024-02-01 11:25:00,735.5,735.9,734.0,735.0
19,2024-02-01 11:30:00,735.15,735.45,733.6,734.5
20,2024-02-01 11:35:00,734.15,736.4,732.85,736.05
21,2024-02-01 11:40:00,735.8,739.2,735.8,739.2
22,2024-02-01 11:45:00,739.25,739.45,737.7,738.95
23,2024-02-01 11:50:00,738.9,740.6,738.85,739.45
24,2024-02-01 11:55:00,739.55,740.0,737.65,739.4
25,2024-02-01 12:00:00,739.7,739.8,734.05,735.15
26,2024-02-01 12:05:00,735.5,743.5,735.35,743.1
27,2024-02-01 12:10:00,743.4,745.6,743.05,744.25
28,2024-02-01 12:15:00,744.05,745.5,742.45,742.9
29,2024-02-01 12:20:00,743.0,743.0,739.15,739.15
30,2024-02-01 12:25:00,739.1,740.8,737.15,737.55
31,2024-02-01 12:30:00,737.85,739.9,735.6,736.85
32,2024-02-01 12:35:00,736.9,737.05,735.55,736.4
33,2024-02-01 12:40:00,736.55,737.3,736.0,737.3
34,2024-02-01 12:45:00,737.25,737.95,736.65,737.25
35,2024-02-01 12:50:00,737.5,740.5,737.0,739.85
36,2024-02-01 12:55:00,740.0,740.3,738.1,739.65
37,2024-02-01 13:00:00,739.7,739.7,735.35,736.0
38,2024-02-01 13:05:00,735.75,736.9,735.75,736.65
39,2024-02-01 13:10:00,736.3,740.35,735.25,739.5
40,2024-02-01 13:15:00,739.7,741.45,738.3,738.95
41,2024-02-01 13:20:00,738.85,742.9,738.85,742.1
42,2024-02-01 13:25:00,742.5,742.5,739.75,742.5
