,time,into,inth,intl,intc
0,2024-02-01 09:55:00,3447.95,3459.9,3446.2,3454.0
1,2024-02-01 10:00:00,3453.95,3454.5,3448.0,3451.9
2,2024-02-01 10:05:00,3451.75,3457.0,3451.05,3454.0
3,2024-02-01 10:10:00,3453.35,3457.4,3453.3,3455.85
4,2024-02-01 10:15:00,3455.2,3455.95,3450.0,3454.45
5,2024-02-01 10:20:00,3454.25,3454.85,3452.0,3454.0
6,2024-02-01 10:25:00,3453.4,3455.0,3451.05,3451.05
7,2024-02-01 10:30:00,3451.8,3455.0,3450.05,3453.6
8,2024-02-01 10:35:00,3453.55,3454.6,3448.0,3449.0
9,2024-02-01 10:40:00,3450.05,3454.2,3449.0,3450.0
10,2024-02-01 10:45:00,3449.4,3450.95,3448.35,3449.95
11,2024-02-01 10:50:00,3449.5,3450.65,3446.55,3449.4
12,2024-02-01 10:55:00,3449.5,3452.0,3448.45,3450.0
13,2024-02-01 11:00:00,3450.9,3452.5,3448.0,3452.35
14,2024-02-01 11:05:00,3452.3,3452.95,3442.15,3450.45
15,2024-02-01 11:10:00,3451.0,3451.0,3445.0,3446.55
16,2024-02-01 11:15:00,3445.5,3446.8,3429.0,3435.0
17,2024-02-01 11:20:00,3436.5,3439.05,3433.35,3437.9
18,2024-02-01 11:25:00,3437.0,3442.65,3435.25,3437.25
19,2024-02-01 11:30:00,3437.95,3439.0,3435.1,3435.65
20,2024-02-01 11:35:00,3436.0,3448.1,3435.0,3436.45
21,2024-02-01 11:40:00,3436.95,3439.1,3429.1,3430.15
22,2024-02-01 11:45:00,3431.05,3434.0,3423.35,3428.0
23,2024-02-01 11:50:00,3427.65,3430.0,3424.8,3429.4
24,2024-02-01 11:55:00,3429.5,3430.0,3410.0,3414.1
25,2024-02-01 12:00:00,3414.95,3420.0,3410.2,3413.15
26,2024-02-01 12:05:00,3413.65,3418.15,3403.3,3410.0
27,2024-02-01 12:10:00,3409.2,3410.05,3397.1,3399.15
28,2024-02-01 12:15:00,3399.0,3401.2,3394.05,3399.5
29,2024-02-01 12:20:00,3399.4,3400.7,3388.0,3393.6
30,2024-02-01 12:25:00,3393.35,3393.35,3378.0,3379.9
31,2024-02-01 12:30:00,3379.95,3383.2,3376.2,3380.2
32,2024-02-01 12:35:00,3380.3,3381.0,3371.0,3378.0
33,2024-02-01 12:40:00,3378.3,3381.0,3376.0,3377.0
34,2024-02-01 12:45:00,3377.6,3399.8,3376.6,3399.0
35,2024-02-01 12:50:00,3398.7,3406.4,3396.05,3405.0
36,2024-02-01 12:55:00,3404.9,3405.0,3399.95,3401.55
37,2024-02-01 13:00:00,3401.5,3404.75,3399.5,3402.2
38,2024-02-01 13:05:00,3401.65,3402.0,3398.85,3400.5
39,2024-02-01 13:10:00,3400.6,3401.2,3398.0,3399.9
40,2024-02-01 13:15:00,3399.95,3400.0,3392.6,3394.15
41,2024-02-01 13:20:00,3393.95,3397.55,3393.3,3394.3
42,2024-02-01 13:25:00,3393.55,3399.4,3393.05,3396.6
43,2024-02-01 13:30:00,3396.8,3398.7,3395.55,3396.85
44,2024-02-01 13:35:00,3396.15,3399.0,3393.15,3394.35
45,2024-02-01 13:40:00,3394.3,3398.95,3393.6,3395.75
46,2024-02-01 13:45:00,3395.8,3395.8,3392.4,3393.0
47,2024-02-01 13:50:00,3392.95,3396.25,3391.25,3393.15
48,2024-02-01 13:55:00,3393.4,3395.9,3391.25,3394.9
49,2024-02-01 14:00:00,3395.0,3398.5,3393.35,3397.6
50,2024-02-01 14:05:00,3397.2,3402.35,3396.85,3401.1
51,2024-02-01 14:10:00,3401.05,3405.2,3400.15,3401.0
52,2024-02-01 14:15:00,3401.05,3405.95,3399.05,3404.45
53,2024-02-01 14:20:00,3404.5,3405.0,3400.65,3401.15
54,2024-02-01 14:25:00,3400.8,3402.95,3396.0,3401.75
55,2024-02-01 14:30:00,3401.0,3401.8,3397.55,3399.0
56,2024-02-01 14:35:00,3399.05,3403.7,3397.1,3400.65
57,2024-02-01 14:40:00,3400.6,3400.8,3387.25,3387.25
58,2024-02-01 14:45:00,3387.5,3398.35,3386.3,3396.7
59,2024-02-01 14:50:00,3397.8,3399.0,3395.25,3396.25
60,2024-02-01 14:55:00,3395.45,3400.0,3395.05,3399.35
61,2024-02-01 15:00:00,3399.85,3399.9,3392.35,3395.0
62,2024-02-01 15:05:00,3395.7,3400.0,3394.35,3397.15
63,2024-02-01 15:10:00,3398.2,3400.0,3393.1,3396.3
64,2024-02-01 15:15:00,3396.35,3400.0,3394.45,3400.0
65,2024-02-01 15:20:00,3399.4,3400.6,3397.1,3400.0
66,2024-02-01 15:25:00,3400.1,3402.7,3394.0,3402.7
67,2024-02-02 09:15:00,3402.9,3411.4,3362.25,3378.8
68,2024-02-02 09:20:00,3382.0,3398.95,3380.0,3384.8
69,2024-02-02 09:25:00,3384.25,3395.2,3380.35,3393.0
70,2024-02-02 09:30:00,3392.0,3423.85,3392.0,3412.0
71,2024-02-02 09:35:00,3411.9,3422.0,3410.95,3411.55
72,2024-02-02 09:40:00,3411.5,3418.95,3407.6,3418.05
73,2024-02-02 09:45:00,3418.0,3420.0,3403.3,3408.0
74,2024-02-02 09:50:00,3408.1,3417.15,3406.0,3414.9
75,2024-02-02 09:55:00,3416.4,3418.0,3400.2,3403.05
76,2024-02-02 10:00:00,3403.3,3405.65,3399.8,3400.0
77,2024-02-02 10:05:00,3399.8,3409.5,3399.5,3406.9
78,2024-02-02 10:10:00,3406.0,3412.7,3406.0,3406.6
79,2024-02-02 10:15:00,3405.95,3410.0,3405.0,3405.4
80,2024-02-02 10:20:00,3405.8,3408.2,3394.45,3396.15
81,2024-02-02 10:25:00,3396.6,3404.5,3395.75,3403.3
82,2024-02-02 10:30:00,3403.35,3405.8,3400.0,3400.25
83,2024-02-02 10:35:00,3400.3,3404.0,3399.15,3402.0
84,2024-02-02 10:40:00,3402.45,3419.0,3401.25,3407.45
85,2024-02-02 10:45:00,3407.35,3435.5,3404.75,3424.85
86,2024-02-02 10:50:00,3424.15,3424.15,3404.0,3406.0
87,2024-02-02 10:55:00,3406.45,3407.9,3400.0,3403.7
88,2024-02-02 11:00:00,3403.65,3408.0,3397.3,3404.15
89,2024-02-02 11:05:00,3404.0,3405.0,3401.0,3404.65
90,2024-02-02 11:10:00,3404.85,3419.9,3403.3,3414.9
91,2024-02-02 11:15:00,3414.7,3425.0,3414.35,3417.4
92,2024-02-02 11:20:00,3416.0,3420.25,3412.9,3420.05
93,2024-02-02 11:25:00,3420.15,3422.0,3415.0,3420.0
94,2024-02-02 11:30:00,3420.15,3422.0,3415.8,3420.4
95,2024-02-02 11:35:00,3420.25,3423.0,3416.1,3420.6
96,2024-02-02 11:40:00,3419.5,3430.0,3417.3,3422.1
97,2024-02-02 11:45:00,3422.05,3424.2,3416.0,3417.15
98,2024-02-02 11:50:00,3417.2,3419.15,3415.0,3415.25
99,2024-02-02 11:55:00,3415.3,3421.65,3414.3,3419.0
100,2024-02-02 12:00:00,3419.05,3422.9,3416.05,3417.05
101,2024-02-02 12:05:00,3417.0,3419.55,3415.0,3417.2
102,2024-02-02 12:10:00,3417.7,3419.0,3414.0,3414.4
103,2024-02-02 12:15:00,3414.2,3424.65,3414.2,3420.8
104,2024-02-02 12:20:00,3420.0,3422.5,3415.0,3415.0
105,2024-02-02 12:25:00,3415.75,3420.15,3406.9,3408.0
106,2024-02-02 12:30:00,3408.1,3413.35,3403.5,3408.9
107,2024-02-02 12:35:00,3408.6,3409.5,3392.7,3409.5
108,2024-02-02 12:40:00,3409.7,3416.65,3405.65,3412.9
109,2024-02-02 12:45:00,3412.85,3413.6,3401.0,3402.0
110,2024-02-02 12:50:00,3402.15,3402.95,3396.05,3399.25
111,2024-02-02 12:55:00,3399.15,3404.45,3399.0,3399.1
112,2024-02-02 13:00:00,3399.15,3404.65,3396.95,3401.75
113,2024-02-02 13:05:00,3401.5,3402.9,3397.85,3398.8
114,2024-02-02 13:10:00,3399.0,3403.0,3387.35,3387.75
115,2024-02-02 13:15:00,3387.8,3394.65,3383.65,3389.0
116,2024-02-02 13:20:00,3388.85,3393.25,3387.45,3388.2
117,2024-02-02 13:25:00,3388.4,3392.8,3383.0,3391.0
118,2024-02-02 13:30:00,3391.05,3392.5,3383.9,3385.05
119,2024-02-02 13:35:00,3385.0,3392.0,3384.1,3391.35
120,2024-02-02 13:40:00,3391.4,3391.75,3383.25,3384.15
121,2024-02-02 13:45:00,3384.4,3386.35,3380.05,3383.0
122,2024-02-02 13:50:00,3382.95,3382.95,3376.9,3381.4
123,2024-02-02 13:55:00,3381.55,3384.4,3380.0,3383.25
124,2024-02-02 14:00:00,3383.2,3385.75,3380.35,3384.8
125,2024-02-02 14:05:00,3383.9,3390.0,3383.9,3387.7
126,2024-02-02 14:10:00,3387.75,3388.45,3384.0,3386.3
127,2024-02-02 14:15:00,3386.25,3387.6,3383.0,3383.15
128,2024-02-02 14:20:00,3383.2,3385.4,3380.0,3383.0
129,2024-02-02 14:25:00,3384.55,3386.5,3377.25,3378.0
130,2024-02-02 14:30:00,3377.9,3383.55,3376.5,3381.15
131,2024-02-02 14:35:00,3381.1,3391.95,3378.15,3387.1
132,2024-02-02 14:40:00,3387.05,3390.7,3384.3,3388.0
133,2024-02-02 14:45:00,3388.85,3389.95,3384.05,3386.75
134,2024-02-02 14:50:00,3386.95,3387.6,3378.05,3380.8
135,2024-02-02 14:55:00,3380.7,3380.7,3373.0,3380.3
136,2024-02-02 15:00:00,3380.95,3386.5,3374.05,3378.2
137,2024-02-02 15:05:00,3378.75,3380.0,3376.3,3378.65
138,2024-02-02 15:10:00,3378.8,3379.9,3373.05,3374.35
139,2024-02-02 15:15:00,3374.05,3375.4,3370.25,3371.65
140,2024-02-02 15:20:00,3371.75,3377.4,3371.5,3376.05
141,2024-02-02 15:25:00,3377.35,3380.65,3373.0,3380.6
142,2024-02-03 11:00:00,3380.6,3380.6,3380.6,3380.6
143,2024-02-03 11:05:00,3380.6,3406.0,3380.6,3406.0
144,2024-02-03 11:15:00,3688.0,3713.65,3688.0,3713.65
145,2024-02-03 11:20:00,3713.65,3713.65,3713.65,3713.65
146,2024-02-03 11:25:00,3688.0,3710.0,3285.0,3710.0
147,2024-02-03 11:30:00,3710.0,3710.0,3710.0,3710.0
148,2024-02-03 11:35:00,3710.0,3710.0,3426.0,3710.0
149,2024-02-03 12:10:00,3710.0,3710.0,3710.0,3710.0
150,2024-02-03 12:15:00,3710.0,3710.0,3710.0,3710.0
151,2024-02-03 12:20:00,3710.0,3710.0,3645.0,3710.0
152,2024-02-03 12:25:00,3710.0,3710.0,3708.0,3708.0
153,2024-02-03 12:30:00,3708.0,3710.0,3708.0,3710.0
154,2024-02-03 12:35:00,3377.0,3710.0,3377.0,3710.0
155,2024-02-03 12:40:00,3710.0,3710.0,3370.05,3410.0
156,2024-02-03 12:45:00,3412.95,3418.3,3400.0,3408.1
157,2024-02-03 12:50:00,3408.05,3434.9,3400.05,3416.7
158,2024-02-03 12:55:00,3416.75,3422.25,3376.05,3376.05
159,2024-02-03 14:45:00,3376.05,3376.05,3376.05,3376.05
160,2024-02-03 14:50:00,3443.55,3443.55,3402.05,3402.05
161,2024-02-03 14:55:00,3402.05,3713.65,3402.05,3713.65
162,2024-02-03 15:00:00,3713.65,3713.65,3391.25,3391.25
163,2024-02-03 15:05:00,3391.65,3397.5,3391.65,3397.5
164,2024-02-03 15:10:00,3391.3,3398.25,3391.15,3391.15
165,2024-02-03 15:15:00,3398.2,3403.1,3398.2,3403.1
166,2024-02-03 15:20:00,3403.55,3406.15,3403.55,3406.15
167,2024-02-03 15:25:00,3406.15,3406.15,3375.5,3375.5
168,2024-02-05 09:15:00,3383.6,3394.55,3375.6,3389.95
169,2024-02-05 09:20:00,3390.1,3403.5,3385.35,3403.5
170,2024-02-05 09:25:00,3402.45,3406.35,3378.05,3379.05
171,2024-02-05 09:30:00,3379.8,3386.95,3378.9,3379.95
172,2024-02-05 09:35:00,3379.75,3390.0,3378.35,3388.55
173,2024-02-05 09:40:00,3388.95,3389.3,3375.0,3379.7
174,2024-02-05 09:45:00,3379.75,3387.4,3378.0,3385.0
175,2024-02-05 09:50:00,3385.3,3387.6,3382.0,3382.05
176,2024-02-05 09:55:00,3382.1,3383.9,3378.1,3379.0
177,2024-02-05 10:00:00,3380.0,3383.4,3367.1,3367.1
178,2024-02-05 10:05:00,3367.75,3378.65,3367.75,3376.2
179,2024-02-05 10:10:00,3376.5,3380.0,3372.0,3372.05
180,2024-02-05 10:15:00,3371.2,3381.0,3370.45,3373.45
181,2024-02-05 10:20:00,3373.2,3374.0,3366.45,3368.8
182,2024-02-05 10:25:00,3369.15,3376.75,3368.25,3372.45
183,2024-02-05 10:30:00,3375.0,3375.0,3370.0,3370.05
184,2024-02-05 10:35:00,3370.0,3371.45,3367.35,3370.0
185,2024-02-05 10:40:00,3370.05,3374.95,3369.05,3370.7
186,2024-02-05 10:45:00,3370.65,3372.5,3369.0,3369.05
187,2024-02-05 10:50:00,3369.0,3370.0,3356.1,3365.7
