,time,into,inth,intl,intc
0,2024-02-02 09:15:00,10612.45,10642.85,10556.85,10613.0
1,2024-02-02 09:20:00,10613.65,10634.95,10594.55,10616.6
2,2024-02-02 09:25:00,10618.85,10639.0,10605.0,10636.1
3,2024-02-02 09:30:00,10638.55,10655.05,10626.25,10645.0
4,2024-02-02 09:35:00,10646.5,10646.5,10595.35,10599.0
5,2024-02-02 09:40:00,10595.85,10602.0,10575.85,10576.9
6,2024-02-02 09:45:00,10577.3,10584.45,10562.3,10570.1
7,2024-02-02 09:50:00,10570.05,10595.0,10567.1,10593.65
8,2024-02-02 09:55:00,10591.0,10598.0,10572.0,10573.85
9,2024-02-02 10:00:00,10573.4,10573.95,10540.4,10543.15
10,2024-02-02 10:05:00,10543.2,10568.1,10543.2,10564.0
11,2024-02-02 10:10:00,10563.65,10586.0,10556.65,10578.85
12,2024-02-02 10:15:00,10583.0,10583.0,10565.05,10578.0
13,2024-02-02 10:20:00,10577.8,10590.0,10577.8,10589.1
14,2024-02-02 10:25:00,10590.0,10635.0,10589.0,10629.65
15,2024-02-02 10:30:00,10627.1,10639.0,10625.25,10639.0
16,2024-02-02 10:35:00,10645.9,10686.0,10631.0,10636.3
17,2024-02-02 10:40:00,10636.65,10637.0,10623.3,10629.25
18,2024-02-02 10:45:00,10628.9,10631.7,10616.05,10629.95
19,2024-02-02 10:50:00,10630.25,10650.0,10625.0,10648.5
20,2024-02-02 10:55:00,10648.6,10655.0,10625.7,10629.0
21,2024-02-02 11:00:00,10629.05,10633.35,10620.0,10628.95
22,2024-02-02 11:05:00,10629.0,10638.0,10623.0,10632.85
23,2024-02-02 11:10:00,10632.9,10668.0,10631.35,10659.95
24,2024-02-02 11:15:00,10659.9,10675.9,10647.0,10665.0
25,2024-02-02 11:20:00,10661.85,10696.05,10657.05,10694.65
26,2024-02-02 11:25:00,10694.5,10694.5,10683.0,10688.0
27,2024-02-02 11:30:00,10688.05,10694.7,10675.0,10692.55
28,2024-02-02 11:35:00,10692.5,10699.9,10685.0,10699.0
29,2024-02-02 11:40:00,10694.55,10707.7,10685.0,10700.1
30,2024-02-02 11:45:00,10704.75,10705.65,10686.8,10700.0
31,2024-02-02 11:50:00,10703.0,10711.6,10694.0,10700.4
32,2024-02-02 11:55:00,10697.0,10700.9,10678.9,10684.75
33,2024-02-02 12:00:00,10686.0,10698.0,10678.2,10698.0
34,2024-02-02 12:05:00,10695.9,10700.0,10686.35,10695.0
35,2024-02-02 12:10:00,10696.9,10705.5,10685.05,10704.1
36,2024-02-02 12:15:00,10703.1,10704.1,10684.95,10687.35
37,2024-02-02 12:20:00,10687.2,10694.05,10657.05,10663.6
38,2024-02-02 12:25:00,10658.15,10673.4,10630.0,10630.65
39,2024-02-02 12:30:00,10630.0,10637.95,10603.3,10634.7
40,2024-02-02 12:35:00,10633.2,10633.2,10588.6,10625.05
41,2024-02-02 12:40:00,10627.5,10642.3,10611.15,10620.65
42,2024-02-02 12:45:00,10620.8,10620.8,10583.1,10591.05
43,2024-02-02 12:50:00,10595.0,10600.0,10575.05,10579.65
44,2024-02-02 12:55:00,10580.0,10604.95,10576.8,10589.9
45,2024-02-02 13:00:00,10593.85,10616.0,10587.45,10616.0
46,2024-02-02 13:05:00,10614.4,10618.5,10586.05,10587.05
47,2024-02-02 13:10:00,10594.0,10608.25,10582.15,10600.8
48,2024-02-02 13:15:00,10603.6,10618.0,10595.45,10615.85
49,2024-02-02 13:20:00,10616.85,10630.0,10610.0,10610.0
50,2024-02-02 13:25:00,10610.05,10642.0,10610.0,10638.95
51,2024-02-02 13:30:00,10637.95,10640.0,10614.0,10631.1
52,2024-02-02 13:35:00,10633.2,10644.5,10627.35,10641.65
53,2024-02-02 13:40:00,10642.05,10642.05,10622.85,10627.95
54,2024-02-02 13:45:00,10631.85,10640.0,10629.3,10634.35
55,2024-02-02 13:50:00,10635.75,10642.7,10632.0,10640.0
56,2024-02-02 13:55:00,10639.1,10645.0,10631.85,10635.0
57,2024-02-02 14:00:00,10635.05,10645.0,10626.8,10643.75
58,2024-02-02 14:05:00,10642.55,10663.55,10642.55,10657.25
59,2024-02-02 14:10:00,10656.65,10670.0,10654.0,10668.55
60,2024-02-02 14:15:00,10667.5,10680.0,10662.05,10675.6
61,2024-02-02 14:20:00,10672.5,10677.15,10655.05,10660.0
62,2024-02-02 14:25:00,10660.05,10660.05,10643.45,10654.05
63,2024-02-02 14:30:00,10654.8,10663.95,10644.75,10659.4
64,2024-02-02 14:35:00,10660.15,10670.85,10655.05,10666.55
65,2024-02-02 14:40:00,10667.95,10675.0,10663.6,10666.45
66,2024-02-02 14:45:00,10668.0,10680.0,10665.95,10675.05
67,2024-02-02 14:50:00,10673.6,10675.05,10645.05,10652.7
68,2024-02-02 14:55:00,10650.0,10651.7,10632.35,10643.05
69,2024-02-02 15:00:00,10644.1,10656.7,10631.2,10649.95
70,2024-02-02 15:05:00,10649.65,10657.45,10645.0,10647.85
71,2024-02-02 15:10:00,10652.6,10664.65,10647.05,10659.7
72,2024-02-02 15:15:00,10659.55,10661.45,10650.0,10655.05
73,2024-02-02 15:20:00,10658.2,10659.0,10649.0,10658.0
74,2024-02-02 15:25:00,10658.4,10670.0,10630.0,10630.0
75,2024-02-03 11:00:00,10630.0,10630.0,10630.0,10630.0
76,2024-02-03 11:05:00,10630.0,10751.0,10630.0,10751.0
77,2024-02-03 11:15:00,10500.0,10800.0,10500.0,10500.0
78,2024-02-03 11:20:00,10500.0,11150.0,10500.0,11150.0
79,2024-02-03 11:25:00,11124.0,11250.0,10259.85,10957.15
80,2024-02-03 11:30:00,10683.2,11710.0,10522.95,11710.0
81,2024-02-03 11:35:00,11715.0,11715.0,10751.0,10815.0
82,2024-02-03 12:05:00,10815.0,10815.0,10815.0,10815.0
83,2024-02-03 12:10:00,10815.0,10815.0,10815.0,10815.0
84,2024-02-03 12:15:00,10815.0,10815.0,10815.0,10815.0
85,2024-02-03 12:20:00,10815.0,10815.0,10815.0,10815.0
86,2024-02-03 12:25:00,10815.0,10815.0,10815.0,10815.0
87,2024-02-03 12:30:00,10815.0,11000.0,10815.0,11000.0
88,2024-02-03 12:35:00,11000.0,11701.7,10747.55,11701.7
89,2024-02-03 12:40:00,11701.7,11701.7,10563.9,10631.45
90,2024-02-03 12:45:00,10630.2,10650.2,10542.3,10584.05
91,2024-02-03 12:50:00,10584.0,10689.9,10584.0,10689.9
92,2024-02-03 12:55:00,10688.15,10695.95,10654.5,10668.0
93,2024-02-03 15:05:00,10650.0,10650.0,10608.75,10624.4
94,2024-02-03 15:10:00,10624.4,10630.45,10621.25,10630.45
95,2024-02-03 15:15:00,10634.95,10634.95,10634.95,10634.95
96,2024-02-03 15:20:00,10634.95,10634.95,10621.25,10621.25
97,2024-02-03 15:25:00,10621.25,10621.25,10602.0,10602.0
98,2024-02-05 09:15:00,10602.1,10680.0,10592.0,10634.5
99,2024-02-05 09:20:00,10637.65,10699.4,10633.0,10690.6
100,2024-02-05 09:25:00,10696.2,10759.9,10692.55,10726.95
101,2024-02-05 09:30:00,10720.4,10737.95,10648.5,10648.5
102,2024-02-05 09:35:00,10650.7,10676.6,10624.4,10650.3
103,2024-02-05 09:40:00,10652.05,10671.1,10640.5,10650.0
104,2024-02-05 09:45:00,10651.6,10672.2,10648.8,10650.0
105,2024-02-05 09:50:00,10654.05,10674.65,10651.55,10673.95
106,2024-02-05 09:55:00,10669.5,10671.8,10644.4,10646.4
107,2024-02-05 10:00:00,10647.0,10649.95,10622.1,10633.45
108,2024-02-05 10:05:00,10630.0,10640.05,10617.0,10617.0
109,2024-02-05 10:10:00,10618.7,10637.95,10612.05,10622.6
110,2024-02-05 10:15:00,10621.65,10631.1,10582.8,10584.2
111,2024-02-05 10:20:00,10589.0,10620.0,10582.0,10615.6
112,2024-02-05 10:25:00,10617.3,10630.0,10595.05,10595.1
113,2024-02-05 10:30:00,10602.95,10605.0,10584.95,10584.95
114,2024-02-05 10:35:00,10582.15,10598.15,10573.25,10588.15
115,2024-02-05 10:40:00,10584.15,10615.7,10579.0,10613.8
116,2024-02-05 10:45:00,10615.55,10623.0,10600.7,10602.0
117,2024-02-05 10:50:00,10603.9,10608.85,10600.0,10600.0
118,2024-02-05 10:55:00,10600.8,10609.25,10600.0,10606.1
119,2024-02-05 11:00:00,10602.05,10604.9,10595.0,10600.15
120,2024-02-05 11:05:00,10602.1,10602.1,10584.1,10591.65
121,2024-02-05 11:10:00,10594.7,10597.9,10587.0,10590.85
122,2024-02-05 11:15:00,10595.65,10597.95,10585.0,10585.05
123,2024-02-05 11:20:00,10589.75,10591.75,10569.4,10578.35
124,2024-02-05 11:25:00,10578.15,10578.35,10568.05,10576.55
125,2024-02-05 11:30:00,10573.0,10576.95,10566.75,10570.95
126,2024-02-05 11:35:00,10575.0,10593.8,10571.05,10593.05
127,2024-02-05 11:40:00,10593.45,10594.8,10551.55,10555.0
128,2024-02-05 11:45:00,10555.35,10568.25,10550.0,10560.15
129,2024-02-05 11:50:00,10560.1,10562.9,10540.05,10546.05
130,2024-02-05 11:55:00,10550.35,10553.3,10531.0,10549.95
131,2024-02-05 12:00:00,10553.25,10553.7,10538.0,10545.85
132,2024-02-05 12:05:00,10546.9,10547.2,10535.0,10535.05
133,2024-02-05 12:10:00,10537.0,10543.75,10533.15,10536.6
134,2024-02-05 12:15:00,10538.0,10538.0,10525.0,10525.45
135,2024-02-05 12:20:00,10525.9,10535.65,10516.15,10516.4
136,2024-02-05 12:25:00,10517.0,10527.55,10512.85,10515.25
137,2024-02-05 12:30:00,10515.65,10531.3,10515.0,10527.65
138,2024-02-05 12:35:00,10523.5,10554.3,10523.5,10533.05
139,2024-02-05 12:40:00,10533.0,10539.05,10525.0,10530.0
140,2024-02-05 12:45:00,10526.75,10530.0,10521.7,10528.05
141,2024-02-05 12:50:00,10528.15,10530.0,10521.7,10526.1
142,2024-02-05 12:55:00,10528.1,10529.35,10520.25,10520.35
143,2024-02-05 13:00:00,10521.05,10527.0,10515.05,10517.3
144,2024-02-05 13:05:00,10517.7,10535.35,10515.0,10522.85
145,2024-02-05 13:10:00,10525.75,10528.25,10513.75,10514.8
146,2024-02-05 13:15:00,10514.4,10518.0,10506.6,10513.5
147,2024-02-05 13:20:00,10513.7,10513.75,10500.55,10504.25
148,2024-02-05 13:25:00,10504.5,10508.0,10490.75,10495.65
149,2024-02-05 13:30:00,10495.0,10514.5,10495.0,10508.0
150,2024-02-05 13:35:00,10505.0,10509.15,10495.0,10495.0
151,2024-02-05 13:40:00,10495.7,10502.95,10491.85,10496.95
152,2024-02-05 13:45:00,10492.1,10511.0,10492.1,10509.5
153,2024-02-05 13:50:00,10509.7,10513.45,10505.6,10505.7
154,2024-02-05 13:55:00,10505.6,10515.55,10502.85,10514.0
155,2024-02-05 14:00:00,10512.05,10526.6,10500.0,10500.0
156,2024-02-05 14:05:00,10500.1,10505.05,10485.0,10486.55
157,2024-02-05 14:10:00,10485.0,10497.45,10481.0,10497.3
158,2024-02-05 14:15:00,10497.45,10498.4,10483.35,10487.45
159,2024-02-05 14:20:00,10486.5,10489.55,10475.1,10480.2
160,2024-02-05 14:25:00,10480.15,10482.0,10474.1,10475.15
161,2024-02-05 14:30:00,10475.0,10484.2,10466.05,10474.3
162,2024-02-05 14:35:00,10473.0,10482.0,10456.0,10462.0
163,2024-02-05 14:40:00,10462.25,10475.95,10446.05,10447.05
164,2024-02-05 14:45:00,10448.45,10455.4,10423.3,10433.15
165,2024-02-05 14:50:00,10433.55,10445.4,10428.05,10432.95
166,2024-02-05 14:55:00,10432.55,10432.95,10406.75,10410.9
167,2024-02-05 15:00:00,10411.6,10422.15,10400.0,10418.6
168,2024-02-05 15:05:00,10419.95,10440.0,10415.25,10430.9
169,2024-02-05 15:10:00,10433.65,10435.0,10422.0,10425.05
170,2024-02-05 15:15:00,10425.0,10434.95,10418.9,10425.65
