,time,into,inth,intl,intc
0,2024-02-01 09:55:00,1632.85,1633.55,1631.2,1632.0
1,2024-02-01 10:00:00,1631.8,1631.85,1626.0,1630.95
2,2024-02-01 10:05:00,1632.05,1632.5,1627.45,1627.45
3,2024-02-01 10:10:00,1627.0,1628.4,1620.55,1625.45
4,2024-02-01 10:15:00,1624.85,1625.9,1613.95,1625.9
5,2024-02-01 10:20:00,1627.45,1627.45,1620.05,1621.45
6,2024-02-01 10:25:00,1621.95,1623.75,1619.05,1623.6
7,2024-02-01 10:30:00,1622.65,1623.85,1620.55,1621.65
8,2024-02-01 10:35:00,1621.35,1626.9,1620.3,1624.95
9,2024-02-01 10:40:00,1624.45,1624.95,1619.6,1620.95
10,2024-02-01 10:45:00,1619.9,1622.05,1618.7,1619.8
11,2024-02-01 10:50:00,1619.5,1625.05,1618.8,1625.0
12,2024-02-01 10:55:00,1623.8,1624.65,1621.75,1624.0
13,2024-02-01 11:00:00,1625.5,1627.55,1623.15,1625.7
14,2024-02-01 11:05:00,1624.75,1625.7,1621.6,1624.8
15,2024-02-01 11:10:00,1623.55,1624.0,1619.9,1623.35
16,2024-02-01 11:15:00,1623.55,1624.85,1613.5,1623.8
17,2024-02-01 11:20:00,1624.1,1625.5,1619.1,1624.45
18,2024-02-01 11:25:00,1625.35,1626.45,1622.35,1624.1
19,2024-02-01 11:30:00,1625.8,1629.9,1624.8,1627.15
20,2024-02-01 11:35:00,1628.0,1630.25,1627.15,1629.8
21,2024-02-01 11:40:00,1629.9,1632.0,1628.1,1629.45
22,2024-02-01 11:45:00,1628.15,1629.35,1625.25,1627.8
23,2024-02-01 11:50:00,1628.85,1629.0,1624.1,1625.4
24,2024-02-01 11:55:00,1624.0,1625.0,1621.0,1622.0
25,2024-02-01 12:00:00,1622.45,1622.5,1617.2,1618.55
26,2024-02-01 12:05:00,1619.45,1626.1,1618.55,1623.0
27,2024-02-01 12:10:00,1623.85,1624.95,1619.9,1621.7
28,2024-02-01 12:15:00,1621.1,1622.75,1619.35,1621.0
29,2024-02-01 12:20:00,1621.3,1621.3,1616.6,1618.0
30,2024-02-01 12:25:00,1617.95,1618.7,1615.1,1616.55
31,2024-02-01 12:30:00,1616.7,1621.3,1616.0,1620.9
32,2024-02-01 12:35:00,1620.95,1623.5,1619.9,1620.4
33,2024-02-01 12:40:00,1620.45,1624.65,1620.45,1624.05
34,2024-02-01 12:45:00,1624.3,1625.75,1623.6,1625.75
35,2024-02-01 12:50:00,1624.1,1629.0,1623.5,1629.0
36,2024-02-01 12:55:00,1628.95,1628.95,1623.9,1627.9
37,2024-02-01 13:00:00,1627.85,1628.3,1625.2,1626.9
38,2024-02-01 13:05:00,1628.05,1628.05,1625.4,1625.6
39,2024-02-01 13:10:00,1626.45,1627.05,1623.45,1623.45
40,2024-02-01 13:15:00,1622.4,1623.4,1620.55,1620.55
41,2024-02-01 13:20:00,1621.95,1624.25,1619.0,1621.85
42,2024-02-01 13:25:00,1621.45,1623.45,1620.45,1621.2
43,2024-02-01 13:30:00,1620.5,1623.3,1619.15,1622.2
44,2024-02-01 13:35:00,1622.9,1623.95,1619.95,1621.2
45,2024-02-01 13:40:00,1622.0,1624.45,1620.0,1622.55
46,2024-02-01 13:45:00,1622.15,1627.55,1622.15,1626.95
47,2024-02-01 13:50:00,1627.5,1631.3,1627.05,1631.0
48,2024-02-01 13:55:00,1630.0,1632.0,1630.0,1630.05
49,2024-02-01 14:00:00,1631.1,1631.65,1628.3,1630.0
50,2024-02-01 14:05:00,1630.1,1633.95,1630.05,1632.6
51,2024-02-01 14:10:00,1631.45,1632.75,1629.45,1631.1
52,2024-02-01 14:15:00,1630.2,1632.0,1628.5,1631.45
53,2024-02-01 14:20:00,1630.65,1632.3,1630.2,1632.0
54,2024-02-01 14:25:00,1631.95,1632.4,1630.1,1630.35
55,2024-02-01 14:30:00,1630.25,1633.45,1630.25,1632.85
56,2024-02-01 14:35:00,1631.6,1633.4,1630.25,1631.45
57,2024-02-01 14:40:00,1632.0,1634.15,1630.65,1632.15
58,2024-02-01 14:45:00,1633.3,1634.0,1630.1,1631.8
59,2024-02-01 14:50:00,1631.3,1631.85,1630.1,1630.1
60,2024-02-01 14:55:00,1629.8,1632.7,1628.15,1631.7
61,2024-02-01 15:00:00,1632.55,1632.55,1629.75,1631.95
62,2024-02-01 15:05:00,1631.45,1631.45,1630.0,1630.35
63,2024-02-01 15:10:00,1630.4,1631.4,1630.0,1630.0
