,time,into,inth,intl,intc
0,2024-01-30 09:15:00,903.25,904.35,897.95,897.95
1,2024-01-30 09:20:00,898.15,900.3,897.0,899.65
2,2024-01-30 09:25:00,900.0,900.4,893.9,894.7
3,2024-01-30 09:30:00,894.65,895.5,889.2,889.65
4,2024-01-30 09:35:00,889.7,892.0,889.3,890.0
5,2024-01-30 09:40:00,889.6,891.3,887.5,889.6
6,2024-01-30 09:45:00,889.0,890.0,887.65,888.95
7,2024-01-30 09:50:00,888.85,889.9,886.25,888.6
8,2024-01-30 09:55:00,888.05,891.2,886.35,890.5
9,2024-01-30 10:00:00,890.4,890.45,888.4,890.2
10,2024-01-30 10:05:00,889.9,890.45,888.3,889.9
11,2024-01-30 10:10:00,889.5,891.3,889.1,890.65
12,2024-01-30 10:15:00,890.05,890.65,889.35,889.85
13,2024-01-30 10:20:00,889.5,890.0,889.5,889.85
14,2024-01-30 10:25:00,889.5,890.0,886.35,888.55
15,2024-01-30 10:30:00,889.0,889.95,887.45,889.45
16,2024-01-30 10:35:00,889.25,889.25,886.6,886.6
17,2024-01-30 10:40:00,886.5,887.4,885.1,885.6
18,2024-01-30 10:45:00,885.15,887.8,885.15,886.65
19,2024-01-30 10:50:00,886.4,886.95,885.15,886.95
20,2024-01-30 10:55:00,887.35,887.5,885.95,887.35
21,2024-01-30 11:00:00,887.05,887.35,885.95,886.95
22,2024-01-30 11:05:00,887.0,887.0,885.75,885.95
23,2024-01-30 11:10:00,886.9,887.95,885.65,887.35
24,2024-01-30 11:15:00,887.6,888.2,887.1,887.85
25,2024-01-30 11:20:00,887.9,887.9,885.25,886.4
26,2024-01-30 11:25:00,886.05,886.8,885.3,886.15
27,2024-01-30 11:30:00,886.0,888.2,886.0,888.15
28,2024-01-30 11:35:00,887.5,888.05,886.1,887.7
29,2024-01-30 11:40:00,887.65,887.85,886.5,887.45
30,2024-01-30 11:45:00,887.0,887.35,886.5,886.7
31,2024-01-30 11:50:00,886.6,886.8,886.2,886.8
32,2024-01-30 11:55:00,886.75,886.8,886.1,886.7
33,2024-01-30 12:00:00,886.5,887.4,886.0,887.4
34,2024-01-30 12:05:00,887.15,887.45,886.0,886.0
35,2024-01-30 12:10:00,886.25,887.55,886.25,886.75
36,2024-01-30 12:15:00,887.2,887.5,886.9,887.5
37,2024-01-30 12:20:00,887.2,887.65,886.5,887.15
38,2024-01-30 12:25:00,887.25,888.3,887.0,888.0
39,2024-01-30 12:30:00,887.55,888.0,886.9,887.95
40,2024-01-30 12:35:00,887.55,889.0,887.5,888.0
41,2024-01-30 12:40:00,887.8,888.0,886.65,886.95
42,2024-01-30 12:45:00,886.65,887.45,886.25,887.4
43,2024-01-30 12:50:00,887.45,887.55,886.45,886.85
44,2024-01-30 12:55:00,886.45,886.85,886.25,886.7
45,2024-01-30 13:00:00,886.3,887.9,886.3,887.4
46,2024-01-30 13:05:00,887.05,887.55,885.5,885.6
47,2024-01-30 13:10:00,886.0,886.55,885.85,886.0
48,2024-01-30 13:15:00,885.9,886.0,885.2,885.4
49,2024-01-30 13:20:00,885.35,886.75,884.0,886.75
50,2024-01-30 13:25:00,886.2,888.25,885.8,887.25
51,2024-01-30 13:30:00,887.2,887.2,886.05,886.5
52,2024-01-30 13:35:00,886.1,886.5,886.05,886.5
53,2024-01-30 13:40:00,886.0,886.5,884.0,885.6
54,2024-01-30 13:45:00,885.4,885.45,883.35,883.7
55,2024-01-30 13:50:00,883.6,884.6,883.15,883.75
56,2024-01-30 13:55:00,883.8,884.9,881.65,881.95
57,2024-01-30 14:00:00,881.85,882.55,880.55,880.95
58,2024-01-30 14:05:00,880.85,881.85,880.0,880.45
59,2024-01-30 14:10:00,880.25,880.75,880.0,880.25
60,2024-01-30 14:15:00,880.1,881.3,879.6,880.75
61,2024-01-30 14:20:00,880.9,882.3,880.2,881.55
62,2024-01-30 14:25:00,882.15,882.65,880.05,880.8
63,2024-01-30 14:30:00,880.45,881.7,880.0,880.5
64,2024-01-30 14:35:00,880.25,881.25,879.85,879.85
