,time,into,inth,intl,intc
0,2024-02-01 09:55:00,2603.8,2603.8,2600.0,2602.35
1,2024-02-01 10:00:00,2603.0,2606.55,2601.1,2605.0
2,2024-02-01 10:05:00,2603.45,2609.35,2601.45,2602.65
3,2024-02-01 10:10:00,2600.75,2606.55,2600.0,2602.75
4,2024-02-01 10:15:00,2600.65,2602.95,2600.0,2602.25
5,2024-02-01 10:20:00,2601.95,2601.95,2599.85,2600.0
6,2024-02-01 10:25:00,2600.35,2601.65,2599.1,2601.2
7,2024-02-01 10:30:00,2602.0,2602.55,2599.0,2601.1
8,2024-02-01 10:35:00,2601.0,2601.9,2599.0,2600.0
9,2024-02-01 10:40:00,2601.0,2601.3,2598.0,2600.1
10,2024-02-01 10:45:00,2600.0,2603.4,2600.0,2601.15
11,2024-02-01 10:50:00,2601.5,2613.35,2600.3,2613.35
12,2024-02-01 10:55:00,2613.05,2619.2,2609.6,2618.05
13,2024-02-01 11:00:00,2616.8,2629.5,2616.05,2622.0
14,2024-02-01 11:05:00,2620.7,2622.0,2610.2,2612.5
15,2024-02-01 11:10:00,2611.35,2613.6,2606.45,2612.45
16,2024-02-01 11:15:00,2613.15,2614.1,2601.15,2607.6
17,2024-02-01 11:20:00,2607.8,2609.0,2600.95,2604.4
18,2024-02-01 11:25:00,2602.05,2604.8,2600.2,2601.2
19,2024-02-01 11:30:00,2600.0,2604.9,2600.0,2604.9
20,2024-02-01 11:35:00,2603.0,2606.05,2600.05,2602.35
21,2024-02-01 11:40:00,2601.55,2605.0,2600.0,2600.5
22,2024-02-01 11:45:00,2600.75,2610.0,2599.85,2610.0
23,2024-02-01 11:50:00,2609.2,2612.0,2601.65,2602.05
24,2024-02-01 11:55:00,2600.75,2604.8,2600.0,2601.8
25,2024-02-01 12:00:00,2602.4,2604.45,2599.35,2604.45
26,2024-02-01 12:05:00,2605.55,2612.95,2603.65,2610.0
27,2024-02-01 12:10:00,2609.7,2619.7,2609.55,2614.55
28,2024-02-01 12:15:00,2611.5,2615.2,2606.4,2614.25
29,2024-02-01 12:20:00,2613.0,2614.5,2607.15,2609.0
30,2024-02-01 12:25:00,2610.0,2610.0,2600.35,2601.65
31,2024-02-01 12:30:00,2603.5,2604.65,2597.1,2600.0
32,2024-02-01 12:35:00,2600.2,2605.25,2600.2,2602.1
33,2024-02-01 12:40:00,2602.0,2609.0,2602.0,2605.7
34,2024-02-01 12:45:00,2606.35,2608.45,2605.0,2606.0
35,2024-02-01 12:50:00,2608.1,2612.0,2606.55,2612.0
36,2024-02-01 12:55:00,2610.9,2610.95,2607.0,2609.25
37,2024-02-01 13:00:00,2607.8,2610.55,2605.9,2610.4
38,2024-02-01 13:05:00,2609.1,2610.4,2601.3,2604.2
39,2024-02-01 13:10:00,2605.45,2605.45,2601.35,2602.75
40,2024-02-01 13:15:00,2602.05,2603.4,2598.45,2600.0
41,2024-02-01 13:20:00,2600.05,2603.8,2599.75,2600.0
42,2024-02-01 13:25:00,2602.35,2602.35,2599.6,2600.0
43,2024-02-01 13:30:00,2600.35,2600.75,2581.0,2583.0
44,2024-02-01 13:35:00,2585.9,2603.0,2585.85,2600.1
45,2024-02-01 13:40:00,2600.25,2605.0,2600.0,2605.0
46,2024-02-01 13:45:00,2605.85,2612.7,2603.35,2612.7
47,2024-02-01 13:50:00,2611.25,2613.0,2610.0,2610.35
48,2024-02-01 13:55:00,2609.0,2612.0,2600.0,2606.0
49,2024-02-01 14:00:00,2606.15,2609.15,2602.95,2607.0
50,2024-02-01 14:05:00,2605.85,2606.95,2601.95,2604.35
51,2024-02-01 14:10:00,2605.85,2609.35,2600.85,2607.2
52,2024-02-01 14:15:00,2606.35,2607.15,2601.55,2606.4
53,2024-02-01 14:20:00,2607.25,2607.25,2601.4,2602.3
54,2024-02-01 14:25:00,2602.85,2605.0,2601.3,2603.0
55,2024-02-01 14:30:00,2604.85,2608.25,2601.7,2606.1
