,time,into,inth,intl,intc
0,2024-02-01 09:55:00,250.05,250.6,249.8,250.0
1,2024-02-01 10:00:00,249.95,250.1,249.5,249.75
2,2024-02-01 10:05:00,249.8,250.55,249.65,250.1
3,2024-02-01 10:10:00,250.15,250.2,249.5,249.85
4,2024-02-01 10:15:00,249.8,251.55,249.55,251.35
5,2024-02-01 10:20:00,251.3,251.5,250.55,251.35
6,2024-02-01 10:25:00,251.3,251.4,250.6,251.0
7,2024-02-01 10:30:00,250.95,251.0,250.45,250.45
8,2024-02-01 10:35:00,250.5,250.65,249.8,249.9
9,2024-02-01 10:40:00,249.95,251.7,249.9,251.5
10,2024-02-01 10:45:00,251.45,251.5,250.5,250.75
11,2024-02-01 10:50:00,250.65,251.1,250.65,251.05
12,2024-02-01 10:55:00,250.95,251.0,249.85,250.1
13,2024-02-01 11:00:00,250.05,250.1,248.55,248.7
14,2024-02-01 11:05:00,248.65,249.15,248.45,248.55
15,2024-02-01 11:10:00,248.6,248.95,248.1,248.3
16,2024-02-01 11:15:00,248.35,248.35,246.35,247.25
17,2024-02-01 11:20:00,247.2,249.8,247.15,248.3
18,2024-02-01 11:25:00,248.2,248.6,247.25,247.85
19,2024-02-01 11:30:00,247.9,247.9,246.8,247.25
20,2024-02-01 11:35:00,247.2,247.25,246.8,247.1
21,2024-02-01 11:40:00,247.05,247.95,247.05,247.85
22,2024-02-01 11:45:00,247.95,247.95,245.8,246.9
23,2024-02-01 11:50:00,246.95,248.0,246.75,247.75
24,2024-02-01 11:55:00,247.7,247.75,246.8,247.45
25,2024-02-01 12:00:00,247.4,247.65,246.7,247.4
26,2024-02-01 12:05:00,247.35,248.95,247.2,248.65
27,2024-02-01 12:10:00,248.5,249.75,248.5,249.15
28,2024-02-01 12:15:00,249.05,249.65,248.8,248.85
29,2024-02-01 12:20:00,248.9,249.1,248.3,248.8
30,2024-02-01 12:25:00,248.75,250.0,248.35,248.45
31,2024-02-01 12:30:00,248.4,248.85,247.85,248.1
32,2024-02-01 12:35:00,248.15,248.35,247.3,247.35
33,2024-02-01 12:40:00,247.25,248.25,247.0,247.9
34,2024-02-01 12:45:00,247.95,248.35,247.7,248.35
35,2024-02-01 12:50:00,248.4,249.25,248.05,248.9
36,2024-02-01 12:55:00,248.85,248.9,248.25,248.25
37,2024-02-01 13:00:00,248.3,248.95,248.2,248.95
38,2024-02-01 13:05:00,249.0,249.35,248.55,248.75
39,2024-02-01 13:10:00,248.7,248.9,248.4,248.55
40,2024-02-01 13:15:00,248.5,248.85,247.8,247.95
41,2024-02-01 13:20:00,247.9,248.85,247.85,248.4
42,2024-02-01 13:25:00,248.45,248.8,247.95,248.25
43,2024-02-01 13:30:00,248.2,248.35,247.4,247.9
44,2024-02-01 13:35:00,247.95,247.95,247.1,247.3
45,2024-02-01 13:40:00,247.35,247.7,247.15,247.3
46,2024-02-01 13:45:00,247.2,247.55,246.7,246.75
47,2024-02-01 13:50:00,246.7,247.55,246.35,246.55
48,2024-02-01 13:55:00,246.6,247.65,246.55,247.35
49,2024-02-01 14:00:00,247.4,247.8,247.0,247.65
50,2024-02-01 14:05:00,247.6,248.25,247.3,248.05
51,2024-02-01 14:10:00,248.15,248.25,247.7,247.8
52,2024-02-01 14:15:00,247.7,249.45,247.6,248.85
53,2024-02-01 14:20:00,248.9,249.05,248.65,248.9
54,2024-02-01 14:25:00,248.8,249.15,248.5,248.7
55,2024-02-01 14:30:00,248.6,248.7,248.1,248.3
56,2024-02-01 14:35:00,248.35,248.65,248.25,248.4
57,2024-02-01 14:40:00,248.35,249.75,248.35,248.75
58,2024-02-01 14:45:00,248.7,249.3,248.1,248.85
59,2024-02-01 14:50:00,248.9,249.05,248.3,248.8
60,2024-02-01 14:55:00,248.95,248.95,248.5,248.7
61,2024-02-01 15:00:00,248.8,248.8,247.5,247.55
62,2024-02-01 15:05:00,247.7,247.85,247.5,247.6
63,2024-02-01 15:10:00,247.55,247.8,247.15,247.25
64,2024-02-01 15:15:00,247.1,247.8,247.1,247.55
65,2024-02-01 15:20:00,247.5,247.75,247.35,247.45
66,2024-02-01 15:25:00,247.4,250.0,247.4,250.0
67,2024-02-02 09:15:00,249.9,251.55,249.6,251.3
68,2024-02-02 09:20:00,251.25,252.85,251.0,252.6
69,2024-02-02 09:25:00,252.5,252.6,251.35,251.75
70,2024-02-02 09:30:00,251.85,252.3,251.05,252.25
71,2024-02-02 09:35:00,252.3,252.3,251.5,251.7
72,2024-02-02 09:40:00,251.8,252.7,251.65,252.4
73,2024-02-02 09:45:00,252.45,252.5,251.8,252.25
74,2024-02-02 09:50:00,252.3,254.0,252.25,252.85
75,2024-02-02 09:55:00,252.95,253.2,252.25,252.9
76,2024-02-02 10:00:00,252.95,253.0,252.4,252.7
77,2024-02-02 10:05:00,252.55,253.45,252.5,253.35
78,2024-02-02 10:10:00,253.4,253.6,252.55,252.9
79,2024-02-02 10:15:00,252.75,254.15,252.7,253.85
80,2024-02-02 10:20:00,253.95,254.0,252.6,252.85
81,2024-02-02 10:25:00,252.8,254.05,252.7,254.05
82,2024-02-02 10:30:00,254.0,254.9,253.85,254.5
83,2024-02-02 10:35:00,254.4,254.8,253.4,253.7
84,2024-02-02 10:40:00,253.75,254.3,253.5,253.8
85,2024-02-02 10:45:00,253.7,253.75,252.75,253.55
86,2024-02-02 10:50:00,253.5,254.25,253.3,254.15
87,2024-02-02 10:55:00,254.1,254.2,253.6,254.1
88,2024-02-02 11:00:00,254.05,255.1,254.0,254.9
89,2024-02-02 11:05:00,254.85,255.3,254.4,255.0
90,2024-02-02 11:10:00,254.9,255.35,254.7,255.15
91,2024-02-02 11:15:00,255.2,255.2,254.55,255.15
92,2024-02-02 11:20:00,255.05,255.8,255.0,255.5
93,2024-02-02 11:25:00,255.45,255.75,255.15,255.5
94,2024-02-02 11:30:00,255.6,255.65,254.75,254.95
95,2024-02-02 11:35:00,254.9,255.75,254.85,255.6
96,2024-02-02 11:40:00,255.75,256.15,254.95,255.0
97,2024-02-02 11:45:00,254.95,256.1,254.7,255.65
98,2024-02-02 11:50:00,255.5,256.4,255.4,256.0
99,2024-02-02 11:55:00,256.05,256.4,255.95,256.15
100,2024-02-02 12:00:00,256.1,256.7,256.0,256.25
101,2024-02-02 12:05:00,256.3,256.4,255.85,256.2
102,2024-02-02 12:10:00,256.15,256.25,255.4,255.9
103,2024-02-02 12:15:00,255.85,256.85,255.65,256.75
104,2024-02-02 12:20:00,256.85,257.2,256.0,256.0
105,2024-02-02 12:25:00,256.05,256.55,255.3,255.8
106,2024-02-02 12:30:00,255.75,255.8,254.65,255.3
107,2024-02-02 12:35:00,255.25,255.3,254.3,255.25
108,2024-02-02 12:40:00,255.3,256.1,255.25,256.0
109,2024-02-02 12:45:00,256.05,256.15,255.45,255.45
110,2024-02-02 12:50:00,255.55,256.5,254.7,256.5
111,2024-02-02 12:55:00,256.4,256.8,256.35,256.6
112,2024-02-02 13:00:00,256.55,256.9,256.35,256.55
113,2024-02-02 13:05:00,256.6,256.75,255.75,256.0
114,2024-02-02 13:10:00,256.1,257.15,255.9,256.0
115,2024-02-02 13:15:00,256.1,256.3,255.35,256.1
116,2024-02-02 13:20:00,256.05,256.05,255.05,255.05
117,2024-02-02 13:25:00,255.1,256.1,254.7,255.8
118,2024-02-02 13:30:00,255.7,256.0,254.7,255.1
119,2024-02-02 13:35:00,255.05,255.5,254.8,255.3
120,2024-02-02 13:40:00,255.35,255.55,255.05,255.45
121,2024-02-02 13:45:00,255.5,256.15,255.45,255.9
122,2024-02-02 13:50:00,255.95,256.45,255.8,255.95
123,2024-02-02 13:55:00,255.9,257.1,255.75,257.05
124,2024-02-02 14:00:00,257.0,257.8,256.9,257.1
125,2024-02-02 14:05:00,257.15,258.0,257.1,257.5
126,2024-02-02 14:10:00,257.4,258.25,257.35,257.85
127,2024-02-02 14:15:00,258.0,259.55,257.4,259.45
128,2024-02-02 14:20:00,259.35,259.95,259.0,259.05
129,2024-02-02 14:25:00,259.1,259.4,258.35,258.55
130,2024-02-02 14:30:00,258.6,259.05,258.45,259.0
131,2024-02-02 14:35:00,258.95,259.1,258.35,258.5
132,2024-02-02 14:40:00,258.45,258.95,258.45,258.85
133,2024-02-02 14:45:00,258.9,259.0,258.35,258.75
134,2024-02-02 14:50:00,258.85,258.85,257.25,257.35
135,2024-02-02 14:55:00,257.4,257.4,256.3,256.65
136,2024-02-02 15:00:00,256.7,257.35,256.55,257.1
137,2024-02-02 15:05:00,257.05,257.95,256.95,257.7
138,2024-02-02 15:10:00,257.8,257.8,257.0,257.4
139,2024-02-02 15:15:00,257.3,257.45,256.75,257.15
140,2024-02-02 15:20:00,257.2,257.75,256.9,257.3
141,2024-02-02 15:25:00,257.35,257.8,257.0,257.15
