,time,into,inth,intl,intc
0,2024-02-01 09:55:00,264.3,264.45,263.65,263.8
1,2024-02-01 10:00:00,263.65,264.25,263.25,264.25
2,2024-02-01 10:05:00,264.3,264.65,263.85,264.0
3,2024-02-01 10:10:00,263.8,264.3,263.7,264.15
4,2024-02-01 10:15:00,264.1,264.4,263.8,264.2
5,2024-02-01 10:20:00,264.05,264.25,263.7,264.25
6,2024-02-01 10:25:00,264.2,264.25,263.85,264.0
7,2024-02-01 10:30:00,263.9,264.05,263.65,263.9
8,2024-02-01 10:35:00,263.85,264.1,263.8,263.95
9,2024-02-01 10:40:00,263.9,263.95,263.55,263.75
10,2024-02-01 10:45:00,263.8,263.85,263.5,263.6
11,2024-02-01 10:50:00,263.55,263.6,263.05,263.35
12,2024-02-01 10:55:00,263.3,264.05,263.1,264.0
13,2024-02-01 11:00:00,263.95,264.1,263.2,263.35
14,2024-02-01 11:05:00,263.3,263.4,262.55,262.75
15,2024-02-01 11:10:00,262.85,263.15,262.55,262.8
16,2024-02-01 11:15:00,262.7,262.8,261.3,262.2
17,2024-02-01 11:20:00,262.15,263.25,262.05,263.05
18,2024-02-01 11:25:00,263.1,264.45,263.1,264.25
19,2024-02-01 11:30:00,264.05,264.05,263.45,263.85
20,2024-02-01 11:35:00,263.8,265.0,263.8,264.35
21,2024-02-01 11:40:00,264.15,264.85,264.15,264.6
22,2024-02-01 11:45:00,264.65,265.1,264.2,264.4
23,2024-02-01 11:50:00,264.35,264.55,264.25,264.3
24,2024-02-01 11:55:00,264.45,264.45,263.15,263.65
25,2024-02-01 12:00:00,263.5,263.5,262.35,262.7
26,2024-02-01 12:05:00,262.75,263.7,262.45,263.15
27,2024-02-01 12:10:00,263.05,263.45,262.75,263.0
28,2024-02-01 12:15:00,263.05,263.1,262.3,262.45
29,2024-02-01 12:20:00,262.6,262.65,261.7,262.1
30,2024-02-01 12:25:00,262.0,262.3,261.1,261.1
31,2024-02-01 12:30:00,261.15,262.0,261.15,261.4
32,2024-02-01 12:35:00,261.25,261.9,261.2,261.55
33,2024-02-01 12:40:00,261.45,262.4,261.35,262.4
34,2024-02-01 12:45:00,262.2,262.85,262.2,262.65
35,2024-02-01 12:50:00,262.5,263.05,262.5,263.05
36,2024-02-01 12:55:00,263.1,263.65,263.0,263.2
37,2024-02-01 13:00:00,263.25,263.35,262.7,263.15
38,2024-02-01 13:05:00,263.2,263.2,262.7,262.95
39,2024-02-01 13:10:00,263.0,263.1,262.45,262.85
40,2024-02-01 13:15:00,262.75,263.1,262.35,262.35
41,2024-02-01 13:20:00,262.45,263.05,262.3,262.85
42,2024-02-01 13:25:00,263.0,263.0,262.1,262.6
43,2024-02-01 13:30:00,262.4,262.6,261.3,261.65
44,2024-02-01 13:35:00,261.75,262.2,261.5,261.75
