,time,into,inth,intl,intc
0,2024-02-01 09:55:00,265.45,267.2,265.35,267.1
1,2024-02-01 10:00:00,267.0,267.25,266.0,266.9
2,2024-02-01 10:05:00,266.85,268.45,266.75,268.0
3,2024-02-01 10:10:00,267.95,268.65,267.9,268.15
4,2024-02-01 10:15:00,268.25,269.7,268.0,269.3
5,2024-02-01 10:20:00,269.45,270.3,268.5,268.75
6,2024-02-01 10:25:00,268.85,269.75,268.5,269.3
7,2024-02-01 10:30:00,269.2,269.25,267.3,267.3
8,2024-02-01 10:35:00,267.5,268.0,267.4,267.85
9,2024-02-01 10:40:00,267.75,268.0,267.25,267.8
10,2024-02-01 10:45:00,267.85,268.8,267.5,268.7
11,2024-02-01 10:50:00,268.75,269.7,268.7,269.5
12,2024-02-01 10:55:00,269.55,270.9,269.5,270.25
13,2024-02-01 11:00:00,270.2,270.65,268.3,268.35
14,2024-02-01 11:05:00,268.3,268.5,267.0,267.2
15,2024-02-01 11:10:00,267.3,267.4,266.8,267.25
16,2024-02-01 11:15:00,267.3,267.75,265.5,266.65
17,2024-02-01 11:20:00,266.8,268.2,266.6,267.5
18,2024-02-01 11:25:00,267.55,268.0,267.05,267.9
19,2024-02-01 11:30:00,267.85,267.85,267.3,267.65
20,2024-02-01 11:35:00,267.6,267.8,267.05,267.8
21,2024-02-01 11:40:00,267.75,268.0,267.45,267.45
22,2024-02-01 11:45:00,267.4,267.5,266.55,267.1
23,2024-02-01 11:50:00,267.05,267.5,266.8,267.15
24,2024-02-01 11:55:00,267.25,267.3,266.0,266.35
25,2024-02-01 12:00:00,266.5,266.7,265.2,265.95
26,2024-02-01 12:05:00,266.0,266.5,265.7,266.1
27,2024-02-01 12:10:00,266.15,266.85,265.85,265.85
28,2024-02-01 12:15:00,265.75,266.0,265.0,265.65
29,2024-02-01 12:20:00,265.6,265.65,264.75,265.3
30,2024-02-01 12:25:00,264.95,265.4,264.2,264.25
31,2024-02-01 12:30:00,264.35,265.2,264.2,264.6
32,2024-02-01 12:35:00,264.75,265.05,264.45,264.85
33,2024-02-01 12:40:00,264.8,265.2,264.7,265.1
34,2024-02-01 12:45:00,265.15,265.5,264.8,265.5
