,time,into,inth,intl,intc
0,2024-01-30 09:15:00,257.25,261.05,256.5,260.5
1,2024-01-30 09:20:00,260.3,260.75,259.0,260.15
2,2024-01-30 09:25:00,260.25,260.25,259.2,259.6
3,2024-01-30 09:30:00,259.2,260.65,258.75,259.5
4,2024-01-30 09:35:00,260.0,261.05,259.8,260.0
5,2024-01-30 09:40:00,259.85,260.9,259.35,260.7
6,2024-01-30 09:45:00,260.55,261.4,259.8,260.85
7,2024-01-30 09:50:00,260.6,260.85,259.2,259.3
8,2024-01-30 09:55:00,259.25,260.3,259.0,260.3
9,2024-01-30 10:00:00,260.35,261.25,260.2,261.25
10,2024-01-30 10:05:00,261.1,262.5,260.65,262.5
11,2024-01-30 10:10:00,262.55,263.5,262.0,262.15
12,2024-01-30 10:15:00,262.2,262.45,261.7,262.15
13,2024-01-30 10:20:00,262.3,263.1,262.05,262.85
14,2024-01-30 10:25:00,262.95,262.95,261.55,262.0
15,2024-01-30 10:30:00,262.15,262.15,261.35,261.5
16,2024-01-30 10:35:00,261.55,262.05,260.65,260.85
17,2024-01-30 10:40:00,260.7,260.7,259.65,259.95
18,2024-01-30 10:45:00,259.85,260.5,259.7,259.8
19,2024-01-30 10:50:00,259.95,259.95,259.0,259.95
20,2024-01-30 10:55:00,260.0,260.4,259.9,260.25
21,2024-01-30 11:00:00,260.2,260.4,260.0,260.25
22,2024-01-30 11:05:00,260.3,260.45,259.7,259.7
23,2024-01-30 11:10:00,259.75,260.2,259.6,260.1
24,2024-01-30 11:15:00,260.15,260.3,260.05,260.2
25,2024-01-30 11:20:00,260.15,260.2,259.2,259.2
26,2024-01-30 11:25:00,259.15,260.0,259.0,259.8
27,2024-01-30 11:30:00,259.75,260.1,259.6,260.1
28,2024-01-30 11:35:00,260.05,260.05,259.2,259.55
29,2024-01-30 11:40:00,259.6,259.75,259.2,259.7
30,2024-01-30 11:45:00,259.55,259.75,259.4,259.55
31,2024-01-30 11:50:00,259.4,259.7,259.35,259.55
32,2024-01-30 11:55:00,259.7,260.35,259.55,260.2
33,2024-01-30 12:00:00,260.3,261.2,260.2,260.85
34,2024-01-30 12:05:00,260.75,260.9,260.25,260.4
35,2024-01-30 12:10:00,260.5,260.9,260.45,260.7
36,2024-01-30 12:15:00,260.5,260.85,260.5,260.8
37,2024-01-30 12:20:00,260.65,260.9,260.3,260.3
38,2024-01-30 12:25:00,260.25,260.7,260.15,260.35
39,2024-01-30 12:30:00,260.25,260.35,259.8,260.0
40,2024-01-30 12:35:00,259.95,260.1,259.85,260.0
41,2024-01-30 12:40:00,259.9,260.25,259.1,259.3
42,2024-01-30 12:45:00,259.1,259.75,259.1,259.55
43,2024-01-30 12:50:00,259.5,259.9,259.4,259.75
44,2024-01-30 12:55:00,259.8,259.8,259.45,259.7
45,2024-01-30 13:00:00,259.6,259.9,259.45,259.8
46,2024-01-30 13:05:00,259.75,259.75,259.25,259.35
47,2024-01-30 13:10:00,259.4,260.0,259.1,260.0
48,2024-01-30 13:15:00,259.85,259.85,259.1,259.2
49,2024-01-30 13:20:00,259.35,259.35,258.15,259.15
50,2024-01-30 13:25:00,258.95,259.5,258.95,259.15
51,2024-01-30 13:30:00,259.0,259.2,258.7,259.1
52,2024-01-30 13:35:00,258.9,259.35,258.9,259.35
53,2024-01-30 13:40:00,259.5,259.5,258.5,258.65
54,2024-01-30 13:45:00,258.55,258.95,258.5,258.6
55,2024-01-30 13:50:00,258.8,259.2,258.6,258.7
56,2024-01-30 13:55:00,258.85,259.05,258.55,258.65
57,2024-01-30 14:00:00,258.9,259.2,258.4,259.0
58,2024-01-30 14:05:00,258.9,259.0,257.75,258.85
59,2024-01-30 14:10:00,258.75,259.15,258.5,259.05
60,2024-01-30 14:15:00,259.1,259.1,257.55,257.95
61,2024-01-30 14:20:00,258.15,258.2,257.65,258.1
62,2024-01-30 14:25:00,258.25,258.5,256.55,256.8
63,2024-01-30 14:30:00,256.6,257.2,256.2,257.15
64,2024-01-30 14:35:00,257.0,257.2,256.15,256.9
65,2024-01-30 14:40:00,256.75,257.0,256.35,256.7
66,2024-01-30 14:45:00,256.55,256.85,255.55,256.8
67,2024-01-30 14:50:00,256.7,257.35,256.3,256.4
68,2024-01-30 14:55:00,256.5,256.8,256.1,256.55
69,2024-01-30 15:00:00,256.6,256.85,255.65,256.25
70,2024-01-30 15:05:00,256.35,256.35,255.35,255.55
71,2024-01-30 15:10:00,255.35,255.75,255.35,255.55
