,time,into,inth,intl,intc
0,2024-02-01 09:55:00,2855.95,2856.8,2853.3,2856.8
1,2024-02-01 10:00:00,2856.0,2856.9,2852.5,2856.45
2,2024-02-01 10:05:00,2856.35,2870.5,2855.25,2867.45
3,2024-02-01 10:10:00,2866.6,2885.65,2864.45,2878.95
4,2024-02-01 10:15:00,2879.0,2879.0,2868.95,2874.7
5,2024-02-01 10:20:00,2874.2,2874.5,2870.1,2873.35
6,2024-02-01 10:25:00,2873.7,2874.9,2870.0,2871.85
7,2024-02-01 10:30:00,2871.05,2873.5,2866.25,2872.6
8,2024-02-01 10:35:00,2872.1,2872.8,2864.05,2865.85
9,2024-02-01 10:40:00,2864.8,2869.0,2863.4,2868.95
10,2024-02-01 10:45:00,2868.5,2870.0,2865.1,2865.95
11,2024-02-01 10:50:00,2865.4,2867.5,2863.5,2865.95
12,2024-02-01 10:55:00,2866.05,2866.05,2859.8,2862.9
13,2024-02-01 11:00:00,2862.15,2867.3,2859.75,2866.8
14,2024-02-01 11:05:00,2866.75,2868.7,2858.65,2867.95
15,2024-02-01 11:10:00,2867.85,2871.4,2867.7,2868.3
16,2024-02-01 11:15:00,2868.05,2869.45,2841.1,2856.45
17,2024-02-01 11:20:00,2857.25,2861.3,2853.1,2856.85
18,2024-02-01 11:25:00,2856.3,2860.0,2854.0,2856.95
19,2024-02-01 11:30:00,2856.9,2859.3,2855.0,2858.15
20,2024-02-01 11:35:00,2858.7,2860.7,2855.05,2857.15
21,2024-02-01 11:40:00,2857.9,2862.45,2856.75,2862.05
22,2024-02-01 11:45:00,2861.9,2865.0,2861.7,2864.65
23,2024-02-01 11:50:00,2864.6,2868.95,2864.45,2865.8
24,2024-02-01 11:55:00,2866.15,2866.45,2856.5,2863.5
25,2024-02-01 12:00:00,2863.9,2865.85,2854.6,2861.35
26,2024-02-01 12:05:00,2861.3,2869.0,2859.45,2862.8
27,2024-02-01 12:10:00,2862.9,2864.25,2855.7,2857.3
28,2024-02-01 12:15:00,2856.75,2859.6,2853.15,2855.85
29,2024-02-01 12:20:00,2855.5,2858.0,2853.5,2858.0
30,2024-02-01 12:25:00,2857.7,2863.35,2857.25,2862.9
31,2024-02-01 12:30:00,2863.0,2864.85,2856.4,2861.0
32,2024-02-01 12:35:00,2860.95,2864.95,2859.4,2862.0
33,2024-02-01 12:40:00,2861.6,2862.9,2857.2,2858.95
34,2024-02-01 12:45:00,2859.5,2862.0,2857.6,2860.0
35,2024-02-01 12:50:00,2859.5,2860.0,2857.7,2859.5
36,2024-02-01 12:55:00,2859.65,2859.65,2856.0,2856.7
37,2024-02-01 13:00:00,2856.6,2857.0,2848.6,2849.05
38,2024-02-01 13:05:00,2849.2,2853.0,2844.0,2849.2
39,2024-02-01 13:10:00,2849.15,2854.4,2848.6,2852.4
40,2024-02-01 13:15:00,2851.8,2853.5,2847.2,2847.95
41,2024-02-01 13:20:00,2847.3,2849.35,2845.0,2845.0
42,2024-02-01 13:25:00,2845.05,2845.2,2836.5,2841.45
43,2024-02-01 13:30:00,2841.2,2843.0,2837.05,2841.65
44,2024-02-01 13:35:00,2841.05,2842.8,2839.55,2839.9
45,2024-02-01 13:40:00,2839.8,2847.25,2837.95,2843.0
46,2024-02-01 13:45:00,2843.7,2845.45,2841.05,2842.0
47,2024-02-01 13:50:00,2841.45,2843.65,2840.4,2841.0
48,2024-02-01 13:55:00,2840.75,2844.8,2839.3,2844.55
49,2024-02-01 14:00:00,2844.8,2852.85,2844.65,2851.5
50,2024-02-01 14:05:00,2851.45,2859.0,2848.05,2856.0
51,2024-02-01 14:10:00,2855.05,2860.95,2854.7,2858.7
52,2024-02-01 14:15:00,2858.45,2859.55,2853.4,2857.95
53,2024-02-01 14:20:00,2857.4,2860.0,2856.0,2859.85
54,2024-02-01 14:25:00,2859.5,2860.0,2858.4,2859.15
55,2024-02-01 14:30:00,2859.2,2860.0,2857.55,2859.75
56,2024-02-01 14:35:00,2859.9,2860.0,2858.55,2859.9
57,2024-02-01 14:40:00,2859.55,2860.0,2858.5,2858.7
58,2024-02-01 14:45:00,2858.65,2860.0,2857.4,2859.4
59,2024-02-01 14:50:00,2859.5,2860.0,2857.6,2859.95
60,2024-02-01 14:55:00,2859.6,2866.65,2859.4,2863.4
61,2024-02-01 15:00:00,2863.2,2863.2,2855.25,2855.3
62,2024-02-01 15:05:00,2855.55,2857.85,2853.25,2854.25
63,2024-02-01 15:10:00,2854.35,2857.0,2850.4,2851.2
64,2024-02-01 15:15:00,2851.25,2853.0,2846.2,2853.0
65,2024-02-01 15:20:00,2852.9,2853.65,2848.35,2851.25
66,2024-02-01 15:25:00,2851.3,2866.35,2847.0,2866.35
67,2024-02-02 09:15:00,2872.4,2905.0,2868.55,2905.0
68,2024-02-02 09:20:00,2904.4,2906.5,2894.95,2906.3
69,2024-02-02 09:25:00,2906.05,2916.25,2905.0,2914.35
70,2024-02-02 09:30:00,2914.25,2930.4,2910.1,2923.1
71,2024-02-02 09:35:00,2923.2,2923.35,2913.05,2916.05
72,2024-02-02 09:40:00,2916.6,2922.95,2915.0,2916.0
73,2024-02-02 09:45:00,2916.55,2921.0,2904.8,2912.55
