,time,into,inth,intl,intc
0,2024-01-30 09:15:00,121.55,122.8,121.45,122.4
1,2024-01-30 09:20:00,122.3,122.9,121.9,122.25
2,2024-01-30 09:25:00,122.15,122.7,121.8,122.55
3,2024-01-30 09:30:00,122.5,122.9,121.9,121.9
4,2024-01-30 09:35:00,122.0,122.5,121.9,122.2
5,2024-01-30 09:40:00,122.1,122.8,122.1,122.7
6,2024-01-30 09:45:00,122.8,123.1,122.4,122.75
7,2024-01-30 09:50:00,122.8,122.85,122.4,122.5
8,2024-01-30 09:55:00,122.45,123.0,122.45,123.0
9,2024-01-30 10:00:00,122.9,123.0,122.55,122.65
10,2024-01-30 10:05:00,122.7,122.75,122.55,122.65
11,2024-01-30 10:10:00,122.7,122.95,122.5,122.65
12,2024-01-30 10:15:00,122.7,123.05,122.65,122.95
13,2024-01-30 10:20:00,122.9,123.2,122.7,123.15
14,2024-01-30 10:25:00,123.2,123.8,123.15,123.8
15,2024-01-30 10:30:00,123.75,124.35,123.55,124.05
16,2024-01-30 10:35:00,124.15,124.35,123.85,124.1
17,2024-01-30 10:40:00,124.05,124.5,123.75,124.45
18,2024-01-30 10:45:00,124.5,124.8,124.1,124.4
19,2024-01-30 10:50:00,124.3,124.35,123.4,123.6
20,2024-01-30 10:55:00,123.55,123.9,123.5,123.6
21,2024-01-30 11:00:00,123.55,123.7,122.95,123.25
22,2024-01-30 11:05:00,123.2,123.35,122.85,122.85
23,2024-01-30 11:10:00,122.9,123.5,122.85,123.45
24,2024-01-30 11:15:00,123.4,123.7,122.9,122.9
25,2024-01-30 11:20:00,122.95,122.95,122.15,122.3
26,2024-01-30 11:25:00,122.35,122.65,122.1,122.5
27,2024-01-30 11:30:00,122.45,122.65,122.25,122.6
28,2024-01-30 11:35:00,122.65,122.7,122.4,122.5
29,2024-01-30 11:40:00,122.45,122.8,122.45,122.8
30,2024-01-30 11:45:00,122.7,123.2,122.6,123.05
31,2024-01-30 11:50:00,122.95,123.6,122.9,123.6
32,2024-01-30 11:55:00,123.5,123.75,123.5,123.65
33,2024-01-30 12:00:00,123.6,123.7,122.9,123.1
34,2024-01-30 12:05:00,123.05,123.25,122.65,122.75
35,2024-01-30 12:10:00,122.65,123.0,122.6,122.7
36,2024-01-30 12:15:00,122.65,123.0,122.6,123.0
37,2024-01-30 12:20:00,122.95,123.3,122.8,122.95
38,2024-01-30 12:25:00,122.85,123.1,122.85,122.95
39,2024-01-30 12:30:00,123.0,123.2,122.8,122.9
40,2024-01-30 12:35:00,122.95,123.1,122.75,123.05
41,2024-01-30 12:40:00,123.0,123.0,122.7,122.95
42,2024-01-30 12:45:00,123.0,123.0,122.7,122.9
43,2024-01-30 12:50:00,122.8,123.8,122.8,123.4
44,2024-01-30 12:55:00,123.3,123.6,123.2,123.5
45,2024-01-30 13:00:00,123.45,123.7,123.4,123.7
46,2024-01-30 13:05:00,123.65,123.8,123.3,123.4
47,2024-01-30 13:10:00,123.35,123.7,123.25,123.55
48,2024-01-30 13:15:00,123.5,123.65,123.35,123.55
49,2024-01-30 13:20:00,123.6,123.6,123.0,123.5
50,2024-01-30 13:25:00,123.55,123.8,123.45,123.75
51,2024-01-30 13:30:00,123.65,123.75,123.35,123.4
52,2024-01-30 13:35:00,123.35,123.6,123.0,123.2
53,2024-01-30 13:40:00,123.25,123.3,122.85,122.9
54,2024-01-30 13:45:00,122.95,123.0,122.5,122.85
55,2024-01-30 13:50:00,122.75,122.95,122.6,122.6
56,2024-01-30 13:55:00,122.7,122.9,122.5,122.7
57,2024-01-30 14:00:00,122.75,123.0,122.55,122.95
58,2024-01-30 14:05:00,122.85,122.95,122.45,122.55
59,2024-01-30 14:10:00,122.6,122.9,122.45,122.8
60,2024-01-30 14:15:00,122.85,122.9,122.3,122.35
61,2024-01-30 14:20:00,122.3,122.5,122.1,122.3
62,2024-01-30 14:25:00,122.4,122.4,121.75,121.9
63,2024-01-30 14:30:00,122.0,122.0,121.5,121.75
64,2024-01-30 14:35:00,121.7,121.95,121.25,121.7
65,2024-01-30 14:40:00,121.8,121.8,121.25,121.35
66,2024-01-30 14:45:00,121.4,121.7,121.1,121.65
67,2024-01-30 14:50:00,121.7,121.75,121.25,121.4
68,2024-01-30 14:55:00,121.45,121.65,121.2,121.65
69,2024-01-30 15:00:00,121.6,121.9,121.15,121.5
70,2024-01-30 15:05:00,121.6,121.65,121.15,121.15
71,2024-01-30 15:10:00,121.25,121.3,120.85,121.15
72,2024-01-30 15:15:00,121.1,121.3,121.0,121.05
73,2024-01-30 15:20:00,121.0,121.25,120.9,121.05
74,2024-01-30 15:25:00,121.1,121.5,120.65,121.5
75,2024-01-31 09:15:00,121.2,121.8,120.7,121.8
76,2024-01-31 09:20:00,121.75,122.1,121.3,122.0
77,2024-01-31 09:25:00,121.9,122.45,121.8,122.25
78,2024-01-31 09:30:00,122.2,122.75,121.85,122.4
79,2024-01-31 09:35:00,122.5,122.7,122.3,122.65
80,2024-01-31 09:40:00,122.85,123.1,122.5,122.85
81,2024-01-31 09:45:00,122.95,122.95,122.15,122.3
82,2024-01-31 09:50:00,122.35,122.8,122.25,122.6
83,2024-01-31 09:55:00,122.55,122.8,122.5,122.65
84,2024-01-31 10:00:00,122.7,122.85,122.3,122.85
85,2024-01-31 10:05:00,122.9,122.9,122.4,122.5
86,2024-01-31 10:10:00,122.45,122.9,122.1,122.8
87,2024-01-31 10:15:00,122.9,122.95,122.65,122.95
88,2024-01-31 10:20:00,122.9,123.3,122.85,122.9
89,2024-01-31 10:25:00,122.85,122.95,122.4,122.6
90,2024-01-31 10:30:00,122.65,122.9,122.6,122.7
91,2024-01-31 10:35:00,122.8,122.8,122.65,122.75
92,2024-01-31 10:40:00,122.65,122.85,122.35,122.5
93,2024-01-31 10:45:00,122.45,123.0,122.45,122.9
94,2024-01-31 10:50:00,122.95,123.25,122.8,123.25
95,2024-01-31 10:55:00,123.2,123.5,123.1,123.45
96,2024-01-31 11:00:00,123.4,123.45,123.2,123.3
97,2024-01-31 11:05:00,123.25,123.75,123.25,123.7
98,2024-01-31 11:10:00,123.75,123.8,123.3,123.4
99,2024-01-31 11:15:00,123.35,123.5,122.75,123.0
100,2024-01-31 11:20:00,123.05,123.05,122.8,122.95
101,2024-01-31 11:25:00,122.9,123.2,122.9,123.05
102,2024-01-31 11:30:00,123.15,123.7,123.0,123.55
103,2024-01-31 11:35:00,123.5,123.7,123.25,123.45
104,2024-01-31 11:40:00,123.4,123.5,123.3,123.3
105,2024-01-31 11:45:00,123.25,123.45,123.0,123.15
106,2024-01-31 11:50:00,123.1,123.2,122.9,123.1
107,2024-01-31 11:55:00,123.15,123.7,123.1,123.65
108,2024-01-31 12:00:00,123.7,123.75,123.4,123.55
109,2024-01-31 12:05:00,123.6,123.7,123.5,123.5
110,2024-01-31 12:10:00,123.55,123.75,123.3,123.7
111,2024-01-31 12:15:00,123.65,123.7,123.1,123.3
112,2024-01-31 12:20:00,123.25,123.7,123.25,123.6
113,2024-01-31 12:25:00,123.7,123.7,123.2,123.45
114,2024-01-31 12:30:00,123.3,123.95,123.25,123.8
115,2024-01-31 12:35:00,123.9,124.3,123.5,123.5
116,2024-01-31 12:40:00,123.55,123.65,123.0,123.0
117,2024-01-31 12:45:00,123.05,123.25,122.9,123.1
118,2024-01-31 12:50:00,123.05,123.15,122.5,122.7
119,2024-01-31 12:55:00,122.65,122.8,122.35,122.75
120,2024-01-31 13:00:00,122.65,122.8,122.5,122.7
121,2024-01-31 13:05:00,122.8,122.85,122.6,122.75
122,2024-01-31 13:10:00,122.7,123.0,122.6,122.9
123,2024-01-31 13:15:00,122.95,123.0,122.8,122.85
124,2024-01-31 13:20:00,122.95,123.0,122.7,122.7
125,2024-01-31 13:25:00,122.75,123.05,122.7,123.05
126,2024-01-31 13:30:00,123.1,123.25,123.0,123.1
127,2024-01-31 13:35:00,123.05,123.15,122.8,122.9
128,2024-01-31 13:40:00,122.95,123.0,122.85,122.9
129,2024-01-31 13:45:00,122.95,123.1,122.6,122.7
130,2024-01-31 13:50:00,122.65,122.9,122.6,122.85
131,2024-01-31 13:55:00,122.95,122.95,122.7,122.75
132,2024-01-31 14:00:00,122.8,122.9,122.7,122.7
133,2024-01-31 14:05:00,122.75,122.75,122.5,122.65
134,2024-01-31 14:10:00,122.7,122.75,122.5,122.55
135,2024-01-31 14:15:00,122.5,122.65,122.4,122.6
136,2024-01-31 14:20:00,122.55,122.8,122.4,122.5
137,2024-01-31 14:25:00,122.55,122.65,122.4,122.55
138,2024-01-31 14:30:00,122.6,122.7,122.45,122.6
139,2024-01-31 14:35:00,122.55,122.65,122.45,122.5
