,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1425.1,1432.95,1405.65,1409.65
1,2024-01-30 09:20:00,1409.35,1409.45,1393.1,1397.95
2,2024-01-30 09:25:00,1397.75,1399.9,1394.0,1398.25
3,2024-01-30 09:30:00,1398.15,1406.05,1397.0,1404.5
4,2024-01-30 09:35:00,1403.7,1409.05,1402.95,1407.15
5,2024-01-30 09:40:00,1406.95,1408.75,1405.45,1407.55
6,2024-01-30 09:45:00,1407.25,1408.15,1405.3,1407.25
7,2024-01-30 09:50:00,1406.75,1412.75,1406.75,1412.05
8,2024-01-30 09:55:00,1412.5,1416.7,1410.7,1415.05
9,2024-01-30 10:00:00,1413.9,1417.05,1410.0,1415.3
10,2024-01-30 10:05:00,1415.1,1415.85,1409.0,1414.0
11,2024-01-30 10:10:00,1414.05,1414.4,1406.8,1407.15
12,2024-01-30 10:15:00,1407.6,1409.45,1406.15,1407.3
13,2024-01-30 10:20:00,1407.55,1408.7,1406.65,1407.15
14,2024-01-30 10:25:00,1407.7,1408.35,1406.0,1407.25
15,2024-01-30 10:30:00,1408.0,1412.4,1407.3,1411.0
16,2024-01-30 10:35:00,1410.65,1411.2,1407.75,1408.8
17,2024-01-30 10:40:00,1408.75,1409.85,1407.1,1409.85
18,2024-01-30 10:45:00,1409.8,1411.15,1408.9,1410.65
19,2024-01-30 10:50:00,1410.75,1411.45,1408.65,1411.4
20,2024-01-30 10:55:00,1411.45,1413.6,1409.55,1410.6
21,2024-01-30 11:00:00,1410.0,1411.55,1409.7,1411.0
22,2024-01-30 11:05:00,1410.6,1411.5,1409.3,1411.2
23,2024-01-30 11:10:00,1411.35,1412.95,1410.0,1412.85
24,2024-01-30 11:15:00,1412.9,1413.3,1410.95,1411.55
25,2024-01-30 11:20:00,1411.4,1411.95,1408.8,1411.3
26,2024-01-30 11:25:00,1411.2,1412.45,1409.1,1409.5
27,2024-01-30 11:30:00,1410.15,1410.7,1408.1,1410.7
28,2024-01-30 11:35:00,1410.5,1410.75,1408.05,1410.6
29,2024-01-30 11:40:00,1410.45,1412.4,1410.45,1411.7
30,2024-01-30 11:45:00,1412.0,1413.35,1411.7,1411.85
31,2024-01-30 11:50:00,1412.0,1413.0,1410.35,1412.8
32,2024-01-30 11:55:00,1412.75,1413.0,1410.8,1411.45
33,2024-01-30 12:00:00,1412.05,1412.5,1410.05,1412.0
34,2024-01-30 12:05:00,1411.85,1412.4,1410.6,1412.2
35,2024-01-30 12:10:00,1412.25,1416.55,1412.2,1415.05
36,2024-01-30 12:15:00,1414.65,1416.4,1414.45,1416.15
37,2024-01-30 12:20:00,1416.0,1416.9,1413.8,1414.55
38,2024-01-30 12:25:00,1415.1,1417.3,1414.1,1415.9
39,2024-01-30 12:30:00,1416.05,1416.65,1413.95,1415.0
40,2024-01-30 12:35:00,1415.05,1416.45,1414.2,1414.6
41,2024-01-30 12:40:00,1415.05,1415.5,1414.1,1414.75
42,2024-01-30 12:45:00,1415.3,1415.7,1411.35,1413.7
43,2024-01-30 12:50:00,1413.75,1415.15,1412.0,1412.0
44,2024-01-30 12:55:00,1412.1,1413.7,1411.75,1412.75
45,2024-01-30 13:00:00,1413.5,1413.55,1412.2,1412.75
46,2024-01-30 13:05:00,1412.55,1412.8,1411.3,1411.8
47,2024-01-30 13:10:00,1412.0,1412.85,1411.0,1412.0
48,2024-01-30 13:15:00,1411.95,1412.15,1410.35,1412.0
49,2024-01-30 13:20:00,1412.05,1412.5,1408.3,1411.4
50,2024-01-30 13:25:00,1411.35,1412.8,1411.05,1411.9
51,2024-01-30 13:30:00,1412.75,1412.85,1411.35,1411.95
52,2024-01-30 13:35:00,1412.05,1412.4,1410.3,1411.45
53,2024-01-30 13:40:00,1412.35,1412.4,1410.0,1411.0
54,2024-01-30 13:45:00,1410.3,1412.55,1410.3,1412.0
55,2024-01-30 13:50:00,1412.45,1412.45,1410.25,1411.0
56,2024-01-30 13:55:00,1410.25,1411.5,1409.4,1410.45
57,2024-01-30 14:00:00,1411.25,1411.25,1404.6,1406.5
58,2024-01-30 14:05:00,1406.05,1407.0,1403.8,1404.9
59,2024-01-30 14:10:00,1404.7,1408.95,1403.3,1404.95
60,2024-01-30 14:15:00,1405.65,1408.0,1404.8,1406.4
61,2024-01-30 14:20:00,1406.45,1409.7,1405.7,1408.0
62,2024-01-30 14:25:00,1408.1,1408.95,1406.9,1408.3
63,2024-01-30 14:30:00,1408.25,1412.0,1407.1,1411.9
64,2024-01-30 14:35:00,1411.05,1414.5,1409.3,1409.3
65,2024-01-30 14:40:00,1409.1,1409.9,1404.1,1405.4
66,2024-01-30 14:45:00,1404.85,1405.95,1400.0,1401.65
67,2024-01-30 14:50:00,1400.95,1402.15,1398.6,1399.15
68,2024-01-30 14:55:00,1398.7,1401.1,1398.65,1399.9
69,2024-01-30 15:00:00,1400.55,1402.0,1398.35,1399.6
70,2024-01-30 15:05:00,1399.65,1401.65,1398.95,1399.0
71,2024-01-30 15:10:00,1399.05,1399.45,1397.75,1398.5
72,2024-01-30 15:15:00,1398.95,1399.0,1396.1,1397.9
73,2024-01-30 15:20:00,1397.95,1401.65,1397.45,1399.55
74,2024-01-30 15:25:00,1399.7,1401.1,1396.8,1400.0
75,2024-01-31 09:15:00,1399.5,1399.95,1389.0,1390.2
76,2024-01-31 09:20:00,1389.75,1392.4,1389.05,1391.8
77,2024-01-31 09:25:00,1390.55,1393.1,1388.2,1393.1
78,2024-01-31 09:30:00,1392.95,1395.8,1390.2,1395.35
79,2024-01-31 09:35:00,1395.3,1397.0,1392.35,1393.0
80,2024-01-31 09:40:00,1392.8,1394.45,1391.0,1393.4
81,2024-01-31 09:45:00,1392.8,1393.25,1389.0,1390.4
82,2024-01-31 09:50:00,1390.9,1391.55,1390.0,1390.75
83,2024-01-31 09:55:00,1391.2,1392.05,1388.2,1388.45
84,2024-01-31 10:00:00,1388.5,1389.0,1383.85,1385.95
85,2024-01-31 10:05:00,1386.0,1387.8,1385.7,1386.15
86,2024-01-31 10:10:00,1386.2,1386.2,1383.5,1384.6
87,2024-01-31 10:15:00,1384.35,1385.8,1383.75,1384.0
88,2024-01-31 10:20:00,1384.05,1384.05,1381.7,1382.4
89,2024-01-31 10:25:00,1382.45,1384.95,1382.45,1383.2
90,2024-01-31 10:30:00,1383.1,1385.75,1383.0,1384.55
91,2024-01-31 10:35:00,1384.0,1387.0,1383.85,1386.8
