,time,into,inth,intl,intc
0,2024-02-02 09:15:00,2397.55,2405.95,2391.1,2394.95
1,2024-02-02 09:20:00,2394.35,2402.1,2392.0,2398.9
2,2024-02-02 09:25:00,2397.25,2410.55,2397.25,2404.1
3,2024-02-02 09:30:00,2404.8,2408.0,2401.6,2405.6
4,2024-02-02 09:35:00,2405.15,2408.9,2404.9,2408.15
5,2024-02-02 09:40:00,2408.3,2409.95,2405.85,2409.05
6,2024-02-02 09:45:00,2409.5,2409.5,2405.05,2407.15
7,2024-02-02 09:50:00,2408.9,2417.05,2408.9,2416.8
8,2024-02-02 09:55:00,2416.85,2421.15,2412.0,2417.0
9,2024-02-02 10:00:00,2417.35,2418.1,2415.0,2415.8
10,2024-02-02 10:05:00,2415.25,2415.8,2411.0,2413.2
11,2024-02-02 10:10:00,2411.95,2413.15,2408.8,2409.85
12,2024-02-02 10:15:00,2409.8,2411.55,2408.65,2411.55
13,2024-02-02 10:20:00,2412.45,2413.85,2409.2,2413.3
14,2024-02-02 10:25:00,2412.45,2414.45,2409.6,2412.5
15,2024-02-02 10:30:00,2412.65,2413.8,2410.15,2411.45
16,2024-02-02 10:35:00,2411.65,2415.0,2408.6,2409.85
17,2024-02-02 10:40:00,2409.9,2419.6,2409.9,2417.3
18,2024-02-02 10:45:00,2417.25,2419.85,2413.2,2416.55
19,2024-02-02 10:50:00,2416.65,2417.65,2410.45,2411.55
20,2024-02-02 10:55:00,2411.7,2412.65,2408.7,2410.2
21,2024-02-02 11:00:00,2409.9,2410.75,2406.7,2408.45
22,2024-02-02 11:05:00,2409.0,2411.65,2406.8,2410.0
23,2024-02-02 11:10:00,2410.4,2412.3,2402.75,2405.0
24,2024-02-02 11:15:00,2404.9,2408.45,2403.7,2408.45
25,2024-02-02 11:20:00,2408.2,2408.9,2405.0,2406.05
26,2024-02-02 11:25:00,2406.65,2408.0,2404.6,2406.25
27,2024-02-02 11:30:00,2406.3,2410.2,2406.25,2410.2
28,2024-02-02 11:35:00,2410.05,2410.05,2403.1,2403.5
29,2024-02-02 11:40:00,2403.3,2406.05,2400.1,2401.15
30,2024-02-02 11:45:00,2400.8,2403.4,2400.65,2402.05
31,2024-02-02 11:50:00,2402.35,2403.25,2400.75,2402.2
32,2024-02-02 11:55:00,2402.15,2405.45,2401.1,2403.2
33,2024-02-02 12:00:00,2402.75,2404.95,2401.4,2402.15
34,2024-02-02 12:05:00,2402.05,2403.15,2400.15,2401.0
35,2024-02-02 12:10:00,2400.35,2401.6,2393.5,2399.3
36,2024-02-02 12:15:00,2399.25,2402.75,2399.25,2400.3
37,2024-02-02 12:20:00,2400.35,2401.1,2399.25,2399.8
38,2024-02-02 12:25:00,2400.0,2400.85,2392.05,2393.25
39,2024-02-02 12:30:00,2393.4,2394.15,2386.0,2393.25
40,2024-02-02 12:35:00,2392.65,2397.4,2391.4,2396.1
41,2024-02-02 12:40:00,2397.2,2399.95,2396.05,2399.6
42,2024-02-02 12:45:00,2399.65,2403.35,2397.95,2398.85
43,2024-02-02 12:50:00,2399.0,2402.95,2398.5,2402.05
44,2024-02-02 12:55:00,2402.75,2407.95,2401.95,2407.05
45,2024-02-02 13:00:00,2407.1,2411.1,2405.75,2409.95
46,2024-02-02 13:05:00,2409.7,2411.35,2408.65,2411.35
47,2024-02-02 13:10:00,2411.45,2416.25,2409.75,2412.35
48,2024-02-02 13:15:00,2412.4,2418.0,2410.2,2414.45
49,2024-02-02 13:20:00,2414.2,2417.75,2409.55,2409.55
50,2024-02-02 13:25:00,2409.3,2416.95,2408.05,2414.35
51,2024-02-02 13:30:00,2413.1,2415.8,2410.4,2412.7
52,2024-02-02 13:35:00,2411.25,2416.15,2411.0,2412.1
53,2024-02-02 13:40:00,2412.05,2413.35,2410.05,2411.2
54,2024-02-02 13:45:00,2411.55,2414.05,2409.45,2410.4
55,2024-02-02 13:50:00,2410.75,2416.4,2410.35,2415.0
56,2024-02-02 13:55:00,2415.5,2417.8,2412.35,2413.8
57,2024-02-02 14:00:00,2414.15,2414.15,2409.0,2411.65
58,2024-02-02 14:05:00,2411.55,2413.4,2409.3,2412.4
59,2024-02-02 14:10:00,2412.45,2413.25,2408.8,2413.1
60,2024-02-02 14:15:00,2413.3,2413.45,2410.05,2410.65
61,2024-02-02 14:20:00,2411.0,2412.55,2410.05,2410.35
62,2024-02-02 14:25:00,2410.4,2412.9,2410.05,2412.75
63,2024-02-02 14:30:00,2412.8,2415.0,2410.55,2411.15
64,2024-02-02 14:35:00,2411.2,2413.5,2409.15,2410.95
65,2024-02-02 14:40:00,2410.7,2415.0,2410.5,2414.8
66,2024-02-02 14:45:00,2414.85,2415.15,2411.25,2414.0
67,2024-02-02 14:50:00,2413.45,2414.2,2407.3,2409.6
68,2024-02-02 14:55:00,2409.7,2411.05,2406.15,2408.85
69,2024-02-02 15:00:00,2411.05,2411.05,2406.15,2408.95
70,2024-02-02 15:05:00,2409.25,2411.25,2405.85,2410.5
71,2024-02-02 15:10:00,2410.55,2411.3,2407.1,2410.55
72,2024-02-02 15:15:00,2410.7,2411.8,2404.05,2404.65
73,2024-02-02 15:20:00,2404.3,2405.6,2394.8,2399.2
74,2024-02-02 15:25:00,2398.95,2400.0,2391.05,2398.45
75,2024-02-03 11:00:00,2398.45,2398.45,2398.45,2398.45
76,2024-02-03 11:05:00,2398.45,2613.8,2398.45,2613.8
77,2024-02-03 11:30:00,2613.8,2613.8,2613.8,2613.8
78,2024-02-03 11:35:00,2613.8,2646.05,2320.0,2320.0
79,2024-02-03 12:45:00,2320.0,2402.9,2320.0,2396.35
80,2024-02-03 12:50:00,2397.35,2419.9,2397.35,2412.5
81,2024-02-03 12:55:00,2412.45,2413.95,2401.45,2402.35
82,2024-02-03 15:15:00,2402.4,2402.4,2402.4,2402.4
83,2024-02-03 15:20:00,2402.4,2402.4,2402.4,2402.4
84,2024-02-03 15:25:00,2402.4,2419.0,2402.4,2419.0
85,2024-02-05 09:15:00,2418.95,2424.3,2408.0,2421.8
86,2024-02-05 09:20:00,2421.55,2429.9,2418.65,2425.0
87,2024-02-05 09:25:00,2422.25,2432.4,2422.25,2424.95
88,2024-02-05 09:30:00,2423.6,2425.3,2420.0,2424.35
89,2024-02-05 09:35:00,2424.3,2428.4,2420.75,2424.9
90,2024-02-05 09:40:00,2425.8,2427.2,2422.3,2425.0
91,2024-02-05 09:45:00,2421.05,2426.95,2421.05,2426.95
92,2024-02-05 09:50:00,2427.1,2429.0,2423.1,2424.25
93,2024-02-05 09:55:00,2425.3,2425.95,2421.35,2421.35
94,2024-02-05 10:00:00,2421.55,2422.35,2415.15,2418.1
95,2024-02-05 10:05:00,2417.0,2419.45,2413.2,2416.05
