,time,into,inth,intl,intc
0,2024-02-01 09:55:00,747.5,747.95,745.75,746.25
1,2024-02-01 10:00:00,746.65,748.55,745.05,748.45
2,2024-02-01 10:05:00,747.35,748.25,745.0,745.95
3,2024-02-01 10:10:00,746.0,746.2,744.0,746.2
4,2024-02-01 10:15:00,746.1,746.9,744.2,745.9
5,2024-02-01 10:20:00,745.3,746.9,745.1,746.05
6,2024-02-01 10:25:00,746.15,746.4,744.9,745.45
7,2024-02-01 10:30:00,745.3,745.45,742.15,743.65
8,2024-02-01 10:35:00,743.75,746.5,743.15,745.5
9,2024-02-01 10:40:00,745.35,745.8,743.0,743.75
10,2024-02-01 10:45:00,744.0,744.45,742.45,743.05
11,2024-02-01 10:50:00,743.1,744.35,742.7,744.2
12,2024-02-01 10:55:00,744.25,744.45,743.05,744.45
13,2024-02-01 11:00:00,744.85,745.0,743.5,744.35
14,2024-02-01 11:05:00,743.9,744.35,742.0,744.0
15,2024-02-01 11:10:00,744.1,744.3,742.05,743.05
16,2024-02-01 11:15:00,742.75,743.6,739.6,742.4
17,2024-02-01 11:20:00,742.25,743.15,741.0,741.3
18,2024-02-01 11:25:00,741.85,742.45,740.0,741.05
19,2024-02-01 11:30:00,741.75,743.5,740.55,741.8
20,2024-02-01 11:35:00,741.9,745.75,741.0,745.3
21,2024-02-01 11:40:00,745.05,748.2,745.0,745.5
22,2024-02-01 11:45:00,745.65,746.1,744.8,745.55
23,2024-02-01 11:50:00,745.7,745.7,744.0,744.2
24,2024-02-01 11:55:00,744.0,744.45,741.7,743.0
25,2024-02-01 12:00:00,743.15,743.55,740.6,741.35
26,2024-02-01 12:05:00,741.5,743.55,741.25,743.3
27,2024-02-01 12:10:00,743.25,743.8,742.1,742.45
28,2024-02-01 12:15:00,742.0,742.55,741.3,742.45
29,2024-02-01 12:20:00,742.35,743.0,741.55,742.7
30,2024-02-01 12:25:00,742.15,743.7,742.15,743.25
31,2024-02-01 12:30:00,743.75,745.45,743.45,745.45
32,2024-02-01 12:35:00,745.1,746.15,744.1,744.6
33,2024-02-01 12:40:00,744.55,745.75,744.15,744.15
34,2024-02-01 12:45:00,744.65,745.0,743.65,744.85
35,2024-02-01 12:50:00,744.9,745.5,743.3,744.9
36,2024-02-01 12:55:00,745.0,745.0,743.75,743.8
37,2024-02-01 13:00:00,744.0,744.05,742.95,744.05
38,2024-02-01 13:05:00,743.7,748.45,743.5,748.4
39,2024-02-01 13:10:00,747.95,748.35,747.7,748.05
40,2024-02-01 13:15:00,747.8,748.7,747.6,748.0
41,2024-02-01 13:20:00,748.05,748.45,747.7,748.3
42,2024-02-01 13:25:00,748.2,748.6,747.5,748.55
43,2024-02-01 13:30:00,748.15,748.4,748.0,748.0
44,2024-02-01 13:35:00,748.05,748.9,747.5,748.0
45,2024-02-01 13:40:00,748.1,748.45,747.8,748.0
46,2024-02-01 13:45:00,748.1,748.35,747.95,748.0
47,2024-02-01 13:50:00,748.05,748.2,748.0,748.0
48,2024-02-01 13:55:00,748.05,748.45,747.8,748.05
49,2024-02-01 14:00:00,748.1,748.15,748.0,748.0
50,2024-02-01 14:05:00,748.1,749.0,748.0,748.5
51,2024-02-01 14:10:00,748.6,748.95,748.5,748.5
52,2024-02-01 14:15:00,748.6,748.65,747.8,748.05
53,2024-02-01 14:20:00,748.2,748.7,747.9,748.0
54,2024-02-01 14:25:00,748.05,748.3,747.8,748.0
55,2024-02-01 14:30:00,748.2,748.9,748.0,748.7
56,2024-02-01 14:35:00,748.85,748.85,747.5,748.1
57,2024-02-01 14:40:00,748.05,748.6,747.8,748.1
58,2024-02-01 14:45:00,748.2,749.0,748.2,748.75
59,2024-02-01 14:50:00,748.8,750.0,748.55,750.0
60,2024-02-01 14:55:00,749.8,750.0,749.1,749.65
61,2024-02-01 15:00:00,749.8,749.9,747.4,748.05
62,2024-02-01 15:05:00,748.0,748.15,747.55,748.1
63,2024-02-01 15:10:00,748.2,748.45,745.4,745.5
64,2024-02-01 15:15:00,746.05,746.3,745.15,745.9
65,2024-02-01 15:20:00,745.95,746.65,745.0,745.0
66,2024-02-01 15:25:00,745.15,747.5,745.0,747.5
67,2024-02-02 09:15:00,747.9,751.4,743.6,744.25
68,2024-02-02 09:20:00,744.65,745.35,743.05,744.2
69,2024-02-02 09:25:00,744.0,744.65,739.75,742.35
70,2024-02-02 09:30:00,742.1,742.75,740.6,741.6
71,2024-02-02 09:35:00,741.85,744.75,741.6,743.6
72,2024-02-02 09:40:00,743.4,745.1,743.05,745.1
73,2024-02-02 09:45:00,745.0,745.55,743.85,744.65
74,2024-02-02 09:50:00,744.7,745.4,744.4,745.4
75,2024-02-02 09:55:00,745.0,746.7,745.0,745.45
76,2024-02-02 10:00:00,745.05,745.55,744.65,745.5
77,2024-02-02 10:05:00,745.05,745.6,744.3,745.0
78,2024-02-02 10:10:00,744.8,745.7,744.6,745.3
79,2024-02-02 10:15:00,745.7,745.75,745.0,745.3
80,2024-02-02 10:20:00,745.1,747.0,745.0,746.95
81,2024-02-02 10:25:00,746.7,747.1,746.0,746.75
82,2024-02-02 10:30:00,746.45,746.8,745.15,745.3
83,2024-02-02 10:35:00,745.7,746.3,745.2,745.7
84,2024-02-02 10:40:00,746.0,746.9,745.7,746.9
85,2024-02-02 10:45:00,746.95,748.7,746.65,748.6
86,2024-02-02 10:50:00,748.8,749.4,748.15,748.8
87,2024-02-02 10:55:00,749.3,755.15,748.5,752.25
88,2024-02-02 11:00:00,752.2,755.4,752.0,753.65
89,2024-02-02 11:05:00,753.9,754.2,753.0,753.65
90,2024-02-02 11:10:00,753.5,753.7,753.05,753.4
91,2024-02-02 11:15:00,753.65,753.65,752.5,752.75
92,2024-02-02 11:20:00,752.85,753.5,752.55,753.05
93,2024-02-02 11:25:00,753.4,753.5,752.25,752.95
94,2024-02-02 11:30:00,753.0,753.0,752.4,752.65
95,2024-02-02 11:35:00,752.7,753.0,752.25,752.75
96,2024-02-02 11:40:00,752.8,752.85,751.0,751.0
97,2024-02-02 11:45:00,751.25,752.0,750.1,751.05
98,2024-02-02 11:50:00,751.0,751.75,750.75,751.0
