,time,into,inth,intl,intc
0,2024-01-30 09:15:00,541.85,544.35,541.35,543.85
1,2024-01-30 09:20:00,543.9,546.4,543.1,545.4
2,2024-01-30 09:25:00,545.3,545.5,543.5,543.5
3,2024-01-30 09:30:00,543.35,544.5,541.7,542.05
4,2024-01-30 09:35:00,542.25,543.4,542.05,542.5
5,2024-01-30 09:40:00,542.4,543.45,542.35,543.1
6,2024-01-30 09:45:00,543.25,543.6,542.05,542.4
7,2024-01-30 09:50:00,542.55,542.75,541.7,542.6
8,2024-01-30 09:55:00,542.35,543.9,542.3,543.9
9,2024-01-30 10:00:00,543.65,544.1,543.1,543.75
10,2024-01-30 10:05:00,543.6,544.0,543.4,543.75
11,2024-01-30 10:10:00,543.6,544.4,543.4,543.95
12,2024-01-30 10:15:00,544.15,545.55,543.85,545.45
13,2024-01-30 10:20:00,545.2,546.4,545.0,545.9
14,2024-01-30 10:25:00,545.8,546.8,545.6,546.8
15,2024-01-30 10:30:00,546.65,547.5,546.15,546.75
16,2024-01-30 10:35:00,546.5,546.7,545.65,545.7
17,2024-01-30 10:40:00,545.8,546.35,545.6,546.3
18,2024-01-30 10:45:00,546.4,546.5,544.05,544.35
19,2024-01-30 10:50:00,544.3,544.3,542.65,543.2
20,2024-01-30 10:55:00,543.3,543.5,542.75,542.95
21,2024-01-30 11:00:00,543.1,543.45,542.55,542.65
22,2024-01-30 11:05:00,542.85,542.9,541.9,542.0
23,2024-01-30 11:10:00,542.1,542.6,541.6,542.1
24,2024-01-30 11:15:00,541.95,542.4,541.05,541.15
25,2024-01-30 11:20:00,541.0,541.05,539.75,540.5
26,2024-01-30 11:25:00,540.7,541.75,540.4,541.35
27,2024-01-30 11:30:00,541.25,543.5,541.1,543.3
28,2024-01-30 11:35:00,543.35,543.65,543.0,543.25
29,2024-01-30 11:40:00,543.35,543.45,543.0,543.1
30,2024-01-30 11:45:00,543.05,543.5,543.0,543.5
31,2024-01-30 11:50:00,543.55,544.3,543.25,543.65
32,2024-01-30 11:55:00,543.85,544.0,543.35,543.75
33,2024-01-30 12:00:00,543.9,543.9,543.5,543.6
34,2024-01-30 12:05:00,543.75,543.75,542.75,543.25
35,2024-01-30 12:10:00,543.0,543.5,542.2,542.55
36,2024-01-30 12:15:00,542.5,542.95,542.05,542.55
37,2024-01-30 12:20:00,542.5,542.7,542.0,542.05
38,2024-01-30 12:25:00,542.15,542.4,541.75,542.0
39,2024-01-30 12:30:00,541.8,542.15,541.75,542.15
40,2024-01-30 12:35:00,542.0,542.15,541.75,542.05
41,2024-01-30 12:40:00,541.95,542.0,541.45,541.85
42,2024-01-30 12:45:00,542.1,542.1,540.7,540.85
43,2024-01-30 12:50:00,541.0,541.6,540.8,541.55
44,2024-01-30 12:55:00,541.6,542.25,541.4,541.9
45,2024-01-30 13:00:00,542.0,542.5,541.2,541.5
46,2024-01-30 13:05:00,541.25,541.5,540.9,541.1
47,2024-01-30 13:10:00,541.25,541.45,541.1,541.15
48,2024-01-30 13:15:00,541.1,541.5,540.65,541.35
49,2024-01-30 13:20:00,541.4,541.4,540.25,541.1
50,2024-01-30 13:25:00,541.05,541.75,541.0,541.75
51,2024-01-30 13:30:00,541.7,542.1,541.5,541.75
52,2024-01-30 13:35:00,541.55,542.45,541.55,542.0
53,2024-01-30 13:40:00,541.95,542.6,541.8,542.25
54,2024-01-30 13:45:00,542.05,542.4,541.35,541.95
55,2024-01-30 13:50:00,541.7,542.0,541.4,541.8
56,2024-01-30 13:55:00,541.65,542.15,541.4,541.5
57,2024-01-30 14:00:00,541.65,541.9,541.2,541.55
58,2024-01-30 14:05:00,541.35,541.55,540.4,540.75
59,2024-01-30 14:10:00,540.65,541.45,540.6,541.35
60,2024-01-30 14:15:00,541.4,541.5,540.15,540.25
61,2024-01-30 14:20:00,540.4,540.65,540.0,540.1
62,2024-01-30 14:25:00,540.2,540.25,538.7,538.75
63,2024-01-30 14:30:00,538.65,538.85,537.4,537.95
64,2024-01-30 14:35:00,537.85,538.4,537.15,537.85
65,2024-01-30 14:40:00,537.6,537.85,537.1,537.2
66,2024-01-30 14:45:00,537.15,538.05,536.55,537.55
67,2024-01-30 14:50:00,537.45,537.7,536.0,536.05
68,2024-01-30 14:55:00,536.2,536.6,535.75,536.55
69,2024-01-30 15:00:00,536.25,536.65,535.3,535.5
70,2024-01-30 15:05:00,535.65,535.8,535.05,535.8
71,2024-01-30 15:10:00,535.35,535.6,535.2,535.55
72,2024-01-30 15:15:00,535.5,535.6,535.0,535.1
