,time,into,inth,intl,intc
0,2024-01-30 09:15:00,268.45,269.5,268.2,268.7
1,2024-01-30 09:20:00,268.6,269.35,268.2,268.8
2,2024-01-30 09:25:00,268.95,269.25,266.75,267.2
3,2024-01-30 09:30:00,267.05,268.0,266.7,266.95
4,2024-01-30 09:35:00,267.05,267.6,266.9,267.35
5,2024-01-30 09:40:00,267.45,267.9,267.3,267.9
6,2024-01-30 09:45:00,267.95,268.25,267.25,267.6
7,2024-01-30 09:50:00,267.65,267.75,266.0,266.35
8,2024-01-30 09:55:00,266.3,267.7,266.25,267.5
9,2024-01-30 10:00:00,267.6,267.95,267.35,267.85
10,2024-01-30 10:05:00,267.95,268.8,267.8,268.2
11,2024-01-30 10:10:00,268.1,268.65,268.0,268.25
12,2024-01-30 10:15:00,268.15,268.7,268.15,268.65
13,2024-01-30 10:20:00,268.55,268.8,268.4,268.55
14,2024-01-30 10:25:00,268.65,268.8,268.05,268.4
15,2024-01-30 10:30:00,268.45,268.6,268.0,268.3
16,2024-01-30 10:35:00,268.35,268.8,268.25,268.55
17,2024-01-30 10:40:00,268.4,268.8,268.25,268.65
18,2024-01-30 10:45:00,268.75,269.2,268.05,268.2
19,2024-01-30 10:50:00,268.3,268.3,267.15,267.35
20,2024-01-30 10:55:00,267.45,267.95,267.05,267.8
21,2024-01-30 11:00:00,267.95,268.45,267.65,267.75
22,2024-01-30 11:05:00,267.9,267.9,267.1,267.35
23,2024-01-30 11:10:00,267.3,267.75,267.15,267.7
24,2024-01-30 11:15:00,267.75,267.85,267.3,267.65
25,2024-01-30 11:20:00,267.6,267.65,266.8,266.8
26,2024-01-30 11:25:00,266.85,267.75,266.75,267.55
27,2024-01-30 11:30:00,267.6,268.35,267.55,268.15
28,2024-01-30 11:35:00,268.3,268.45,268.05,268.2
29,2024-01-30 11:40:00,268.25,268.45,268.0,268.2
30,2024-01-30 11:45:00,268.15,268.35,268.05,268.3
31,2024-01-30 11:50:00,268.15,268.3,268.0,268.25
32,2024-01-30 11:55:00,268.3,268.85,268.2,268.6
33,2024-01-30 12:00:00,268.55,268.75,267.8,267.95
34,2024-01-30 12:05:00,268.0,268.25,267.75,267.85
35,2024-01-30 12:10:00,267.95,268.3,267.85,268.2
36,2024-01-30 12:15:00,268.25,268.45,268.05,268.35
37,2024-01-30 12:20:00,268.4,268.75,268.1,268.6
38,2024-01-30 12:25:00,268.7,268.85,268.5,268.85
39,2024-01-30 12:30:00,268.8,269.55,268.35,269.5
40,2024-01-30 12:35:00,269.55,269.65,269.05,269.05
41,2024-01-30 12:40:00,269.15,269.6,269.0,269.25
42,2024-01-30 12:45:00,269.4,269.6,269.0,269.1
43,2024-01-30 12:50:00,269.05,271.0,269.0,270.35
44,2024-01-30 12:55:00,270.5,270.55,270.0,270.35
45,2024-01-30 13:00:00,270.4,270.5,270.2,270.3
46,2024-01-30 13:05:00,270.4,270.45,270.0,270.1
47,2024-01-30 13:10:00,270.05,271.3,270.0,270.4
48,2024-01-30 13:15:00,270.45,270.45,269.6,269.9
49,2024-01-30 13:20:00,269.85,269.9,269.15,269.8
50,2024-01-30 13:25:00,269.75,269.8,269.5,269.5
51,2024-01-30 13:30:00,269.6,269.85,269.5,269.6
52,2024-01-30 13:35:00,269.55,269.9,269.5,269.6
53,2024-01-30 13:40:00,269.75,269.75,269.35,269.65
54,2024-01-30 13:45:00,269.6,269.7,268.8,269.25
55,2024-01-30 13:50:00,269.4,269.8,269.0,269.35
56,2024-01-30 13:55:00,269.5,269.65,269.0,269.0
57,2024-01-30 14:00:00,269.05,269.5,269.0,269.5
58,2024-01-30 14:05:00,269.55,269.75,268.6,268.95
59,2024-01-30 14:10:00,269.0,269.3,268.8,269.3
60,2024-01-30 14:15:00,269.2,269.3,268.5,268.55
61,2024-01-30 14:20:00,268.65,268.75,268.5,268.75
62,2024-01-30 14:25:00,268.8,268.9,268.1,268.2
63,2024-01-30 14:30:00,268.25,268.25,267.4,267.95
64,2024-01-30 14:35:00,267.9,268.25,267.4,268.2
65,2024-01-30 14:40:00,268.15,268.15,267.3,267.5
66,2024-01-30 14:45:00,267.6,268.1,267.25,268.1
67,2024-01-30 14:50:00,268.0,268.25,267.5,267.5
68,2024-01-30 14:55:00,267.55,267.9,267.35,267.7
69,2024-01-30 15:00:00,267.65,268.0,266.9,267.05
70,2024-01-30 15:05:00,267.0,267.0,266.5,266.55
71,2024-01-30 15:10:00,266.5,266.65,265.6,266.15
72,2024-01-30 15:15:00,266.1,266.25,265.65,265.85
73,2024-01-30 15:20:00,265.8,266.4,265.7,266.05
74,2024-01-30 15:25:00,266.0,266.8,265.45,266.8
75,2024-01-31 09:15:00,266.7,268.5,266.05,268.15
76,2024-01-31 09:20:00,268.35,268.75,267.7,268.0
77,2024-01-31 09:25:00,268.05,268.7,267.75,268.3
78,2024-01-31 09:30:00,268.4,268.75,268.0,268.7
79,2024-01-31 09:35:00,268.75,268.85,268.1,268.6
80,2024-01-31 09:40:00,268.55,269.1,268.25,268.7
81,2024-01-31 09:45:00,268.8,268.8,267.3,267.55
82,2024-01-31 09:50:00,267.5,268.25,267.4,267.95
83,2024-01-31 09:55:00,267.9,268.4,267.85,268.2
84,2024-01-31 10:00:00,268.35,268.35,267.3,267.9
85,2024-01-31 10:05:00,267.85,268.25,267.5,267.8
86,2024-01-31 10:10:00,267.65,268.0,267.45,267.55
87,2024-01-31 10:15:00,267.6,267.95,267.35,267.75
88,2024-01-31 10:20:00,267.95,267.95,267.7,267.75
89,2024-01-31 10:25:00,267.8,267.85,267.15,267.35
90,2024-01-31 10:30:00,267.3,267.9,267.25,267.65
91,2024-01-31 10:35:00,267.6,267.65,267.3,267.35
92,2024-01-31 10:40:00,267.4,267.45,267.0,267.1
93,2024-01-31 10:45:00,267.4,267.95,267.2,267.7
94,2024-01-31 10:50:00,267.8,268.1,267.5,267.6
95,2024-01-31 10:55:00,267.8,267.95,267.5,267.8
96,2024-01-31 11:00:00,267.95,268.3,267.65,268.1
97,2024-01-31 11:05:00,268.0,268.5,268.0,268.2
98,2024-01-31 11:10:00,268.25,268.4,267.95,268.1
99,2024-01-31 11:15:00,268.05,268.05,267.3,267.6
100,2024-01-31 11:20:00,267.45,268.0,267.25,267.5
101,2024-01-31 11:25:00,267.55,268.1,267.5,267.9
102,2024-01-31 11:30:00,268.0,269.2,267.9,269.1
103,2024-01-31 11:35:00,268.95,269.65,268.95,269.05
104,2024-01-31 11:40:00,269.1,269.3,268.5,268.65
105,2024-01-31 11:45:00,268.5,268.75,268.4,268.6
106,2024-01-31 11:50:00,268.55,268.9,268.4,268.7
107,2024-01-31 11:55:00,268.6,268.75,268.3,268.6
108,2024-01-31 12:00:00,268.5,269.15,268.35,269.0
109,2024-01-31 12:05:00,268.85,269.0,268.5,268.7
110,2024-01-31 12:10:00,268.6,268.75,268.3,268.35
111,2024-01-31 12:15:00,268.3,268.45,267.9,268.1
112,2024-01-31 12:20:00,268.0,268.7,268.0,268.7
113,2024-01-31 12:25:00,268.6,268.9,268.55,268.65
114,2024-01-31 12:30:00,268.75,269.15,268.3,268.95
115,2024-01-31 12:35:00,268.85,269.0,268.5,268.55
116,2024-01-31 12:40:00,268.6,268.6,267.8,268.05
117,2024-01-31 12:45:00,268.0,268.35,267.65,268.3
118,2024-01-31 12:50:00,268.25,268.3,267.7,268.05
119,2024-01-31 12:55:00,267.9,268.5,267.85,268.25
120,2024-01-31 13:00:00,268.45,268.5,267.95,268.15
121,2024-01-31 13:05:00,268.05,268.35,268.05,268.25
122,2024-01-31 13:10:00,268.2,268.8,268.1,268.65
123,2024-01-31 13:15:00,268.7,268.9,268.5,268.8
124,2024-01-31 13:20:00,269.0,269.0,268.55,268.65
125,2024-01-31 13:25:00,268.55,268.9,268.55,268.75
126,2024-01-31 13:30:00,268.7,268.85,268.55,268.75
127,2024-01-31 13:35:00,268.7,268.95,268.4,268.5
128,2024-01-31 13:40:00,268.4,268.7,268.35,268.5
129,2024-01-31 13:45:00,268.55,268.7,268.4,268.4
130,2024-01-31 13:50:00,268.5,268.7,268.3,268.55
131,2024-01-31 13:55:00,268.5,268.55,268.4,268.5
132,2024-01-31 14:00:00,268.4,269.05,268.4,269.0
133,2024-01-31 14:05:00,269.05,269.05,268.55,268.85
134,2024-01-31 14:10:00,268.8,268.95,268.7,268.75
135,2024-01-31 14:15:00,268.7,268.85,268.6,268.8
136,2024-01-31 14:20:00,268.7,268.85,268.45,268.55
137,2024-01-31 14:25:00,268.6,268.75,268.3,268.65
138,2024-01-31 14:30:00,268.75,268.8,268.4,268.65
139,2024-01-31 14:35:00,268.7,268.9,268.6,268.9
140,2024-01-31 14:40:00,268.85,269.1,268.8,269.0
141,2024-01-31 14:45:00,269.05,269.1,269.0,269.0
142,2024-01-31 14:50:00,269.05,269.05,268.45,268.75
143,2024-01-31 14:55:00,268.7,269.65,268.3,269.05
144,2024-01-31 15:00:00,269.1,269.65,268.45,269.25
145,2024-01-31 15:05:00,269.15,269.5,269.0,269.3
146,2024-01-31 15:10:00,269.35,276.8,269.1,276.1
147,2024-01-31 15:15:00,276.2,276.2,273.6,275.0
148,2024-01-31 15:20:00,275.05,275.95,274.2,274.95
149,2024-01-31 15:25:00,275.0,276.2,274.9,275.2
150,2024-02-01 09:15:00,275.35,276.0,272.6,273.15
151,2024-02-01 09:20:00,273.25,273.75,271.8,271.95
152,2024-02-01 09:25:00,271.8,273.15,271.5,272.65
153,2024-02-01 09:30:00,272.8,274.1,272.55,273.55
