,stoploss,squee,lookback,ema_length,conv,length,lengthMA,lengthSignal,fast,slow,signal,net_profit
0,10,2,10,24,44,20,34,7,13,20,10,311.45000000001164
1,10,2,10,24,44,20,34,7,13,20,13,294.6000000000131
2,10,2,10,24,44,20,34,7,13,20,16,312.3000000000138
3,10,2,10,24,44,20,34,7,13,25,10,294.6000000000131
4,10,2,10,24,44,20,34,7,13,25,13,312.3000000000138
5,10,2,10,24,44,20,34,7,13,25,16,332.450000000008
6,10,2,10,24,44,20,34,7,13,30,10,294.6000000000131
7,10,2,10,24,44,20,34,7,13,30,13,312.3000000000138
8,10,2,10,24,44,20,34,7,13,30,16,332.450000000008
9,10,2,10,24,44,20,34,7,16,20,10,294.6000000000131
10,10,2,10,24,44,20,34,7,16,20,13,312.3000000000138
11,10,2,10,24,44,20,34,7,16,20,16,332.450000000008
12,10,2,10,24,44,20,34,7,16,25,10,312.3000000000138
13,10,2,10,24,44,20,34,7,16,25,13,332.450000000008
14,10,2,10,24,44,20,34,7,16,25,16,332.450000000008
15,10,2,10,24,44,20,34,7,16,30,10,312.3000000000138
16,10,2,10,24,44,20,34,7,16,30,13,332.450000000008
17,10,2,10,24,44,20,34,7,16,30,16,314.7500000000073
18,10,2,10,24,44,20,34,9,10,20,10,351.75000000000364
19,10,2,10,24,44,20,34,9,10,20,13,334.9000000000051
20,10,2,10,24,44,20,34,9,10,20,16,334.9000000000051
21,10,2,10,24,44,20,34,9,10,25,10,351.75000000000364
22,10,2,10,24,44,20,34,9,10,25,13,334.9000000000051
23,10,2,10,24,44,20,34,9,10,25,16,352.6000000000058
24,10,2,10,24,44,20,34,9,10,30,10,351.75000000000364
25,10,2,10,24,44,20,34,9,10,30,13,334.9000000000051
26,10,2,10,24,44,20,34,9,10,30,16,352.6000000000058
27,10,2,10,24,44,20,34,9,13,20,10,351.75000000000364
28,10,2,10,24,44,20,34,9,13,20,13,334.9000000000051
29,10,2,10,24,44,20,34,9,13,20,16,352.6000000000058
30,10,2,10,24,44,20,34,9,13,25,10,334.9000000000051
31,10,2,10,24,44,20,34,9,13,25,13,352.6000000000058
32,10,2,10,24,44,20,34,9,13,25,16,352.6000000000058
33,10,2,10,24,44,20,34,9,13,30,10,334.9000000000051
34,10,2,10,24,44,20,34,9,13,30,13,352.6000000000058
35,10,2,10,24,44,20,34,9,13,30,16,332.450000000008
36,10,2,10,24,44,20,34,9,16,20,10,334.9000000000051
37,10,2,10,24,44,20,34,9,16,20,13,352.6000000000058
38,10,2,10,24,44,20,34,9,16,20,16,352.6000000000058
39,10,2,10,24,44,20,34,9,16,25,10,352.6000000000058
40,10,2,10,24,44,20,34,9,16,25,13,352.6000000000058
41,10,2,10,24,44,20,34,9,16,25,16,332.450000000008
42,10,2,10,24,44,20,34,9,16,30,10,352.6000000000058
43,10,2,10,24,44,20,34,9,16,30,13,332.450000000008
44,10,2,10,24,44,20,34,9,16,30,16,314.7500000000073
45,10,2,10,24,44,20,34,11,10,20,10,327.4000000000051
46,10,2,10,24,44,20,34,11,10,20,13,310.55000000000655
47,10,2,10,24,44,20,34,11,10,20,16,310.55000000000655
48,10,2,10,24,44,20,34,11,10,25,10,327.4000000000051
49,10,2,10,24,44,20,34,11,10,25,13,310.55000000000655
50,10,2,10,24,44,20,34,11,10,25,16,310.55000000000655
51,10,2,10,24,44,20,34,11,10,30,10,327.4000000000051
52,10,2,10,24,44,20,34,11,10,30,13,310.55000000000655
53,10,2,10,24,44,20,34,11,10,30,16,310.55000000000655
54,10,2,10,24,44,20,34,11,13,20,10,327.4000000000051
55,10,2,10,24,44,20,34,11,13,20,13,310.55000000000655
56,10,2,10,24,44,20,34,11,13,20,16,310.55000000000655
57,10,2,10,24,44,20,34,11,13,25,10,310.55000000000655
58,10,2,10,24,44,20,34,11,13,25,13,310.55000000000655
59,10,2,10,24,44,20,34,11,13,25,16,298.1000000000058
60,10,2,10,24,44,20,34,11,13,30,10,310.55000000000655
61,10,2,10,24,44,20,34,11,13,30,13,310.55000000000655
62,10,2,10,24,44,20,34,11,13,30,16,277.950000000008
63,10,2,10,24,44,20,34,11,16,20,10,310.55000000000655
64,10,2,10,24,44,20,34,11,16,20,13,310.55000000000655
65,10,2,10,24,44,20,34,11,16,20,16,298.1000000000058
66,10,2,10,24,44,20,34,11,16,25,10,310.55000000000655
67,10,2,10,24,44,20,34,11,16,25,13,298.1000000000058
68,10,2,10,24,44,20,34,11,16,25,16,277.950000000008
69,10,2,10,24,44,20,34,11,16,30,10,310.55000000000655
70,10,2,10,24,44,20,34,11,16,30,13,277.950000000008
71,10,2,10,24,44,20,34,11,16,30,16,277.950000000008
72,10,2,10,24,44,20,38,7,10,20,10,299.0000000000109
73,10,2,10,24,44,20,38,7,10,20,13,282.15000000001237
74,10,2,10,24,44,20,38,7,10,20,16,282.15000000001237
75,10,2,10,24,44,20,38,7,10,25,10,299.0000000000109
76,10,2,10,24,44,20,38,7,10,25,13,282.15000000001237
77,10,2,10,24,44,20,38,7,10,25,16,299.8500000000131
78,10,2,10,24,44,20,38,7,10,30,10,299.0000000000109
79,10,2,10,24,44,20,38,7,10,30,13,282.15000000001237
80,10,2,10,24,44,20,38,7,10,30,16,299.8500000000131
81,10,2,10,24,44,20,38,7,13,20,10,299.0000000000109
82,10,2,10,24,44,20,38,7,13,20,13,282.15000000001237
83,10,2,10,24,44,20,38,7,13,20,16,299.8500000000131
84,10,2,10,24,44,20,38,7,13,25,10,282.15000000001237
85,10,2,10,24,44,20,38,7,13,25,13,299.8500000000131
86,10,2,10,24,44,20,38,7,13,25,16,332.450000000008
87,10,2,10,24,44,20,38,7,13,30,10,282.15000000001237
88,10,2,10,24,44,20,38,7,13,30,13,299.8500000000131
89,10,2,10,24,44,20,38,7,13,30,16,332.450000000008
90,10,2,10,24,44,20,38,7,16,20,10,282.15000000001237
91,10,2,10,24,44,20,38,7,16,20,13,299.8500000000131
92,10,2,10,24,44,20,38,7,16,20,16,332.450000000008
93,10,2,10,24,44,20,38,7,16,25,10,299.8500000000131
94,10,2,10,24,44,20,38,7,16,25,13,332.450000000008
95,10,2,10,24,44,20,38,7,16,25,16,332.450000000008
96,10,2,10,24,44,20,38,7,16,30,10,299.8500000000131
97,10,2,10,24,44,20,38,7,16,30,13,332.450000000008
98,10,2,10,24,44,20,38,7,16,30,16,314.7500000000073
99,10,2,10,24,44,20,38,9,10,20,10,297.25000000000364
100,10,2,10,24,44,20,38,9,10,20,13,280.4000000000051
101,10,2,10,24,44,20,38,9,10,20,16,280.4000000000051
102,10,2,10,24,44,20,38,9,10,25,10,297.25000000000364
103,10,2,10,24,44,20,38,9,10,25,13,280.4000000000051
104,10,2,10,24,44,20,38,9,10,25,16,298.1000000000058
105,10,2,10,24,44,20,38,9,10,30,10,297.25000000000364
106,10,2,10,24,44,20,38,9,10,30,13,280.4000000000051
107,10,2,10,24,44,20,38,9,10,30,16,298.1000000000058
108,10,2,10,24,44,20,38,9,13,20,10,297.25000000000364
109,10,2,10,24,44,20,38,9,13,20,13,280.4000000000051
110,10,2,10,24,44,20,38,9,13,20,16,298.1000000000058
111,10,2,10,24,44,20,38,9,13,25,10,280.4000000000051
112,10,2,10,24,44,20,38,9,13,25,13,298.1000000000058
113,10,2,10,24,44,20,38,9,13,25,16,298.1000000000058
114,10,2,10,24,44,20,38,9,13,30,10,280.4000000000051
115,10,2,10,24,44,20,38,9,13,30,13,298.1000000000058
116,10,2,10,24,44,20,38,9,13,30,16,277.950000000008
117,10,2,10,24,44,20,38,9,16,20,10,280.4000000000051
118,10,2,10,24,44,20,38,9,16,20,13,298.1000000000058
119,10,2,10,24,44,20,38,9,16,20,16,298.1000000000058
120,10,2,10,24,44,20,38,9,16,25,10,298.1000000000058
121,10,2,10,24,44,20,38,9,16,25,13,298.1000000000058
122,10,2,10,24,44,20,38,9,16,25,16,277.950000000008
123,10,2,10,24,44,20,38,9,16,30,10,298.1000000000058
124,10,2,10,24,44,20,38,9,16,30,13,277.950000000008
125,10,2,10,24,44,20,38,9,16,30,16,260.2500000000073
126,10,2,10,24,44,20,38,11,10,20,10,309.70000000000437
127,10,2,10,24,44,20,38,11,10,20,13,292.8500000000058
128,10,2,10,24,44,20,38,11,10,20,16,292.8500000000058
129,10,2,10,24,44,20,38,11,10,25,10,309.70000000000437
130,10,2,10,24,44,20,38,11,10,25,13,292.8500000000058
131,10,2,10,24,44,20,38,11,10,25,16,310.55000000000655
132,10,2,10,24,44,20,38,11,10,30,10,309.70000000000437
133,10,2,10,24,44,20,38,11,10,30,13,292.8500000000058
134,10,2,10,24,44,20,38,11,10,30,16,310.55000000000655
135,10,2,10,24,44,20,38,11,13,20,10,309.70000000000437
136,10,2,10,24,44,20,38,11,13,20,13,292.8500000000058
137,10,2,10,24,44,20,38,11,13,20,16,310.55000000000655
138,10,2,10,24,44,20,38,11,13,25,10,292.8500000000058
139,10,2,10,24,44,20,38,11,13,25,13,310.55000000000655
140,10,2,10,24,44,20,38,11,13,25,16,298.1000000000058
141,10,2,10,24,44,20,38,11,13,30,10,292.8500000000058
142,10,2,10,24,44,20,38,11,13,30,13,310.55000000000655
143,10,2,10,24,44,20,38,11,13,30,16,277.950000000008
144,10,2,10,24,44,20,38,11,16,20,10,292.8500000000058
145,10,2,10,24,44,20,38,11,16,20,13,310.55000000000655
146,10,2,10,24,44,20,38,11,16,20,16,298.1000000000058
147,10,2,10,24,44,20,38,11,16,25,10,310.55000000000655
148,10,2,10,24,44,20,38,11,16,25,13,298.1000000000058
149,10,2,10,24,44,20,38,11,16,25,16,277.950000000008
150,10,2,10,24,44,20,38,11,16,30,10,310.55000000000655
151,10,2,10,24,44,20,38,11,16,30,13,277.950000000008
152,10,2,10,24,44,20,38,11,16,30,16,260.2500000000073
153,10,2,10,24,44,24,30,7,10,20,10,290.2500000000073
154,10,2,10,24,44,24,30,7,10,20,13,257.8000000000102
155,10,2,10,24,44,24,30,7,10,20,16,257.8000000000102
156,10,2,10,24,44,24,30,7,10,25,10,268.10000000000946
157,10,2,10,24,44,24,30,7,10,25,13,257.8000000000102
158,10,2,10,24,44,24,30,7,10,25,16,275.5000000000109
159,10,2,10,24,44,24,30,7,10,30,10,268.10000000000946
160,10,2,10,24,44,24,30,7,10,30,13,257.8000000000102
161,10,2,10,24,44,24,30,7,10,30,16,275.5000000000109
162,10,2,10,24,44,24,30,7,13,20,10,268.10000000000946
163,10,2,10,24,44,24,30,7,13,20,13,257.8000000000102
164,10,2,10,24,44,24,30,7,13,20,16,275.5000000000109
165,10,2,10,24,44,24,30,7,13,25,10,257.8000000000102
166,10,2,10,24,44,24,30,7,13,25,13,275.5000000000109
167,10,2,10,24,44,24,30,7,13,25,16,308.5000000000073
168,10,2,10,24,44,24,30,7,13,30,10,257.8000000000102
169,10,2,10,24,44,24,30,7,13,30,13,275.5000000000109
170,10,2,10,24,44,24,30,7,13,30,16,285.6000000000058
171,10,2,10,24,44,24,30,7,16,20,10,257.8000000000102
172,10,2,10,24,44,24,30,7,16,20,13,275.5000000000109
173,10,2,10,24,44,24,30,7,16,20,16,308.5000000000073
174,10,2,10,24,44,24,30,7,16,25,10,275.5000000000109
175,10,2,10,24,44,24,30,7,16,25,13,291.0000000000073
176,10,2,10,24,44,24,30,7,16,25,16,285.6000000000058
177,10,2,10,24,44,24,30,7,16,30,10,275.5000000000109
178,10,2,10,24,44,24,30,7,16,30,13,285.6000000000058
179,10,2,10,24,44,24,30,7,16,30,16,267.9000000000051
180,10,2,10,24,44,24,30,9,10,20,10,292.70000000000437
181,10,2,10,24,44,24,30,9,10,20,13,282.4000000000051
182,10,2,10,24,44,24,30,9,10,20,16,282.4000000000051
183,10,2,10,24,44,24,30,9,10,25,10,292.70000000000437
184,10,2,10,24,44,24,30,9,10,25,13,282.4000000000051
185,10,2,10,24,44,24,30,9,10,25,16,300.1000000000058
186,10,2,10,24,44,24,30,9,10,30,10,292.70000000000437
187,10,2,10,24,44,24,30,9,10,30,13,282.4000000000051
188,10,2,10,24,44,24,30,9,10,30,16,300.1000000000058
189,10,2,10,24,44,24,30,9,13,20,10,292.70000000000437
190,10,2,10,24,44,24,30,9,13,20,13,282.4000000000051
191,10,2,10,24,44,24,30,9,13,20,16,300.1000000000058
192,10,2,10,24,44,24,30,9,13,25,10,282.4000000000051
193,10,2,10,24,44,24,30,9,13,25,13,300.1000000000058
194,10,2,10,24,44,24,30,9,13,25,16,317.6000000000058
195,10,2,10,24,44,24,30,9,13,30,10,282.4000000000051
196,10,2,10,24,44,24,30,9,13,30,13,300.1000000000058
197,10,2,10,24,44,24,30,9,13,30,16,317.6000000000058
198,10,2,10,24,44,24,30,9,16,20,10,282.4000000000051
199,10,2,10,24,44,24,30,9,16,20,13,300.1000000000058
200,10,2,10,24,44,24,30,9,16,20,16,317.6000000000058
201,10,2,10,24,44,24,30,9,16,25,10,300.1000000000058
202,10,2,10,24,44,24,30,9,16,25,13,300.1000000000058
203,10,2,10,24,44,24,30,9,16,25,16,317.6000000000058
204,10,2,10,24,44,24,30,9,16,30,10,300.1000000000058
205,10,2,10,24,44,24,30,9,16,30,13,317.6000000000058
206,10,2,10,24,44,24,30,9,16,30,16,299.9000000000051
207,10,2,10,24,44,24,30,11,10,20,10,332.5500000000029
208,10,2,10,24,44,24,30,11,10,20,13,339.75000000000364
