,time,into,inth,intl,intc
0,2024-01-30 09:15:00,2508.85,2577.0,2496.85,2543.95
1,2024-01-30 13:15:00,2543.35,2546.95,2505.1,2514.0
2,2024-01-31 09:15:00,2514.05,2569.5,2470.8,2538.05
3,2024-01-31 13:15:00,2538.7,2584.0,2533.95,2545.0
4,2024-02-01 09:15:00,2553.1,2564.25,2511.7,2541.9
5,2024-02-01 13:15:00,2541.8,2552.8,2520.3,2552.8
6,2024-02-02 09:15:00,2540.2,2563.9,2498.45,2501.85
7,2024-02-02 13:15:00,2500.05,2749.35,2250.0,2510.0
8,2024-02-05 09:15:00,2509.45,2521.0,2474.0,2509.45
9,2024-02-05 13:15:00,2509.0,2523.5,2475.85,2485.8
10,2024-02-06 09:15:00,2485.0,2521.15,2469.25,2501.05
11,2024-02-06 13:15:00,2500.9,2533.0,2500.9,2527.0
12,2024-02-07 09:15:00,2531.0,2555.55,2498.2,2503.6
13,2024-02-07 13:15:00,2503.3,2515.95,2494.8,2514.85
14,2024-02-08 09:15:00,2519.9,2538.25,2505.0,2532.0
15,2024-02-08 13:15:00,2533.2,2539.95,2503.35,2520.0
16,2024-02-09 09:15:00,2521.0,2645.0,2506.8,2619.65
17,2024-02-09 13:15:00,2618.1,2646.0,2603.35,2646.0
18,2024-02-12 09:15:00,2647.7,2670.0,2610.55,2648.05
19,2024-02-12 13:15:00,2648.1,2691.3,2622.65,2625.0
20,2024-02-13 09:15:00,2635.0,2635.0,2562.85,2605.05
21,2024-02-13 13:15:00,2606.0,2624.7,2595.0,2599.05
22,2024-02-14 09:15:00,2596.05,2646.6,2586.75,2612.85
23,2024-02-14 13:15:00,2613.9,2635.05,2601.95,2635.05
24,2024-02-15 09:15:00,2635.0,2651.95,2608.75,2629.55
25,2024-02-15 13:15:00,2629.95,2649.95,2620.3,2649.95
26,2024-02-16 09:15:00,2649.0,2746.25,2642.3,2725.0
27,2024-02-16 13:15:00,2725.15,2729.0,2712.05,2721.5
29,2024-02-19 09:15:00,2743.95,2743.95,2674.0,2677.0
30,2024-02-19 13:15:00,2677.75,2690.0,2660.4,2674.0
31,2024-02-20 09:15:00,2669.0,2715.0,2657.25,2686.95
32,2024-02-20 13:15:00,2687.0,2695.85,2674.55,2687.0
33,2024-02-21 09:15:00,2695.0,2719.0,2677.15,2686.2
34,2024-02-21 13:15:00,2687.45,2692.6,2653.9,2660.0
35,2024-02-22 09:15:00,2678.9,2680.0,2636.0,2643.25
36,2024-02-22 13:15:00,2643.4,2687.8,2642.35,2677.1
37,2024-02-23 09:15:00,2676.1,2717.95,2665.0,2702.2
38,2024-02-23 13:15:00,2702.75,2706.0,2550.0,2550.0
40,2024-02-26 09:15:00,2679.0,2720.0,2668.05,2692.35
41,2024-02-26 13:15:00,2693.1,2703.0,2666.65,2666.65
42,2024-02-27 09:15:00,2667.05,2688.0,2667.05,2673.0
43,2024-02-27 13:15:00,2672.5,2679.4,2660.5,2669.4
44,2024-02-28 09:15:00,2676.15,2683.35,2567.6,2569.15
45,2024-02-28 13:15:00,2569.8,2591.15,2567.0,2570.0
46,2024-02-29 09:15:00,2569.95,2627.05,2556.2,2623.1
47,2024-02-29 13:15:00,2621.45,2662.0,2610.3,2650.0
48,2024-03-01 09:15:00,2639.15,2663.95,2636.35,2658.5
49,2024-03-01 13:15:00,2658.55,2704.85,2654.7,2699.0
51,2024-03-04 09:15:00,2714.0,2723.15,2693.0,2694.8
52,2024-03-04 13:15:00,2695.65,2707.7,2688.95,2705.0
53,2024-03-05 09:15:00,2704.8,2704.8,2665.0,2667.7
54,2024-03-05 13:15:00,2666.55,2680.1,2660.0,2665.0
55,2024-03-06 09:15:00,2661.0,2673.4,2597.05,2610.0
56,2024-03-06 13:15:00,2610.9,2653.15,2605.6,2652.0
57,2024-03-11 09:15:00,2645.05,2677.1,2635.0,2654.65
58,2024-03-11 13:15:00,2656.25,2657.95,2635.3,2642.0
59,2024-03-12 09:15:00,2651.9,2659.35,2566.0,2575.4
60,2024-03-12 13:15:00,2575.45,2581.0,2550.05,2565.0
61,2024-03-13 09:15:00,2565.05,2575.65,2432.2,2455.2
62,2024-03-13 13:15:00,2455.25,2457.35,2354.45,2387.0
63,2024-03-14 09:15:00,2386.95,2479.75,2347.2,2467.0
64,2024-03-14 13:15:00,2467.4,2489.0,2457.65,2485.0
65,2024-03-15 09:15:00,2480.0,2523.6,2426.55,2463.0
66,2024-03-15 13:15:00,2462.35,2511.35,2459.05,2480.1
67,2024-03-18 09:15:00,2480.0,2480.0,2393.25,2439.55
68,2024-03-18 13:15:00,2440.6,2450.45,2435.0,2442.8
69,2024-03-19 09:15:00,2442.05,2449.85,2392.5,2398.25
70,2024-03-19 13:15:00,2398.2,2416.0,2375.75,2409.05
71,2024-03-20 09:15:00,2411.6,2431.45,2371.05,2399.0
72,2024-03-20 13:15:00,2400.05,2429.0,2385.9,2429.0
73,2024-03-21 09:15:00,2424.7,2450.9,2403.7,2435.5
74,2024-03-21 13:15:00,2435.4,2447.95,2432.0,2439.05
75,2024-03-22 09:15:00,2440.0,2450.0,2415.55,2440.25
76,2024-03-22 13:15:00,2440.2,2458.0,2436.8,2445.0
77,2024-03-26 09:15:00,2436.8,2477.2,2431.05,2451.05
78,2024-03-26 13:15:00,2452.3,2460.0,2445.05,2454.8
79,2024-03-27 09:15:00,2455.35,2500.0,2453.25,2491.9
80,2024-03-27 13:15:00,2491.85,2491.9,2448.55,2458.6
81,2024-03-28 09:15:00,2465.05,2504.2,2453.2,2489.7
82,2024-03-28 13:15:00,2488.9,2510.0,2480.5,2510.0
83,2024-04-01 09:15:00,2511.0,2555.65,2497.1,2523.85
84,2024-04-01 13:15:00,2523.15,2555.0,2522.1,2555.0
85,2024-04-02 09:15:00,2549.9,2594.65,2545.85,2583.05
86,2024-04-02 13:15:00,2583.4,2657.75,2576.7,2625.0
87,2024-04-03 09:15:00,2621.05,2657.0,2606.0,2642.65
88,2024-04-03 13:15:00,2643.45,2651.7,2626.65,2648.9
89,2024-04-04 09:15:00,2647.55,2666.7,2590.1,2604.45
90,2024-04-04 13:15:00,2604.9,2626.0,2602.2,2615.0
91,2024-04-05 09:15:00,2614.9,2628.0,2564.25,2577.55
92,2024-04-05 13:15:00,2577.3,2595.9,2570.05,2595.9
93,2024-04-08 09:15:00,2598.0,2607.0,2540.0,2589.1
94,2024-04-08 13:15:00,2589.3,2594.8,2575.0,2583.0
95,2024-04-09 09:15:00,2585.0,2598.3,2521.0,2528.45
96,2024-04-09 13:15:00,2527.2,2538.5,2515.0,2525.0
97,2024-04-10 09:15:00,2525.0,2542.0,2514.0,2530.85
98,2024-04-10 13:15:00,2532.0,2537.75,2520.0,2524.7
99,2024-04-12 09:15:00,2526.6,2532.5,2483.0,2489.15
100,2024-04-12 13:15:00,2490.15,2501.35,2462.65,2471.0
101,2024-04-15 09:15:00,2459.9,2478.15,2407.55,2456.3
102,2024-04-15 13:15:00,2456.15,2464.5,2422.1,2422.1
103,2024-04-16 09:15:00,2420.0,2457.0,2414.0,2445.0
104,2024-04-16 13:15:00,2444.85,2455.05,2433.0,2454.75
105,2024-04-18 09:15:00,2480.75,2480.75,2440.05,2459.35
106,2024-04-18 13:15:00,2458.2,2459.85,2400.15,2425.1
107,2024-04-19 09:15:00,2397.2,2416.4,2368.0,2396.1
108,2024-04-19 13:15:00,2397.95,2413.35,2385.0,2404.5
109,2024-04-22 09:15:00,2427.3,2427.3,2370.2,2412.65
110,2024-04-22 13:15:00,2411.8,2428.0,2400.0,2428.0
111,2024-04-23 09:15:00,2419.95,2457.95,2401.3,2431.4
112,2024-04-23 13:15:00,2431.55,2462.75,2430.45,2456.95
113,2024-04-24 09:15:00,2474.0,2557.0,2471.65,2548.5
114,2024-04-24 13:15:00,2549.65,2574.0,2544.15,2565.1
115,2024-04-25 09:15:00,2568.0,2583.25,2515.5,2530.15
116,2024-04-25 13:15:00,2530.0,2609.0,2530.0,2573.0
117,2024-04-26 09:15:00,2607.0,2610.0,2522.0,2524.85
118,2024-04-26 13:15:00,2524.75,2536.1,2516.0,2532.75
119,2024-04-29 09:15:00,2537.4,2561.3,2516.05,2555.0
120,2024-04-29 13:15:00,2554.4,2555.0,2520.55,2551.0
121,2024-04-30 09:15:00,2549.65,2554.7,2525.0,2535.0
122,2024-04-30 13:15:00,2536.3,2543.1,2527.0,2530.0
123,2024-05-02 09:15:00,2543.95,2552.0,2522.8,2524.25
124,2024-05-02 13:15:00,2524.7,2534.0,2521.5,2529.0
125,2024-05-03 09:15:00,2538.75,2564.0,2503.05,2520.65
126,2024-05-03 13:15:00,2520.4,2534.3,2517.05,2530.95
127,2024-05-06 09:15:00,2545.95,2551.4,2490.0,2495.15
128,2024-05-06 13:15:00,2493.45,2501.2,2482.0,2483.0
129,2024-05-07 09:15:00,2504.95,2516.2,2425.0,2425.3
130,2024-05-07 13:15:00,2425.0,2455.25,2422.0,2430.0
131,2024-05-08 09:15:00,2445.9,2455.0,2421.1,2446.2
132,2024-05-08 13:15:00,2446.05,2449.1,2435.85,2443.4
133,2024-05-09 09:15:00,2454.9,2454.9,2410.35,2436.55
134,2024-05-09 13:15:00,2435.9,2444.25,2403.0,2427.0
135,2024-05-10 09:15:00,2426.85,2439.75,2374.1,2378.25
136,2024-05-10 13:15:00,2378.3,2384.95,2355.45,2374.0
137,2024-05-13 09:15:00,2369.55,2374.75,2331.55,2370.75
138,2024-05-13 13:15:00,2370.65,2377.95,2358.65,2375.0
139,2024-05-14 09:15:00,2380.0,2456.5,2376.05,2452.75
140,2024-05-14 13:15:00,2453.1,2477.95,2442.75,2477.95
141,2024-05-15 09:15:00,2465.0,2488.7,2451.3,2482.7
142,2024-05-15 13:15:00,2482.85,2502.0,2470.0,2498.8
143,2024-05-16 09:15:00,2498.75,2500.1,2462.0,2474.7
144,2024-05-16 13:15:00,2474.3,2492.35,2461.5,2492.35
145,2024-05-17 09:15:00,2496.95,2514.95,2486.2,2506.2
146,2024-05-17 13:15:00,2507.0,2527.95,2492.1,2515.25
148,2024-05-21 09:15:00,2521.0,2559.9,2483.05,2537.45
149,2024-05-21 13:15:00,2537.6,2543.3,2520.0,2531.0
150,2024-05-22 09:15:00,2537.0,2548.15,2495.0,2528.0
151,2024-05-22 13:15:00,2528.05,2549.8,2528.0,2549.8
152,2024-05-23 09:15:00,2550.0,2578.0,2518.1,2575.7
153,2024-05-23 13:15:00,2575.4,2627.95,2567.6,2620.0
154,2024-05-24 09:15:00,2619.0,2662.8,2605.0,2625.45
155,2024-05-24 13:15:00,2624.05,2626.2,2599.35,2612.0
156,2024-05-27 09:15:00,2614.0,2624.8,2578.0,2578.95
157,2024-05-27 13:15:00,2579.0,2591.0,2573.8,2576.0
158,2024-05-28 09:15:00,2583.0,2593.6,2552.0,2573.45
159,2024-05-28 13:15:00,2573.5,2584.45,2560.0,2572.0
160,2024-05-29 09:15:00,2569.4,2569.4,2523.85,2543.05
161,2024-05-29 13:15:00,2541.75,2550.0,2528.75,2528.75
162,2024-05-30 09:15:00,2528.8,2545.0,2497.9,2510.4
163,2024-05-30 13:15:00,2510.95,2515.0,2485.05,2515.0
164,2024-05-31 09:15:00,2520.0,2548.25,2498.05,2526.5
165,2024-05-31 13:15:00,2526.9,2670.0,2526.45,2670.0
166,2024-06-03 09:15:00,2661.05,2681.95,2603.4,2672.85
167,2024-06-03 13:15:00,2672.05,2702.7,2654.8,2679.95
168,2024-06-04 09:15:00,2670.0,2670.0,2150.0,2324.9
169,2024-06-04 13:15:00,2325.0,2388.7,2270.0,2349.95
170,2024-06-05 09:15:00,2349.0,2405.0,2236.55,2398.25
171,2024-06-05 13:15:00,2396.35,2431.6,2391.55,2431.6
172,2024-06-06 09:15:00,2435.0,2506.2,2431.75,2469.35
173,2024-06-06 13:15:00,2469.85,2489.85,2440.25,2467.4
174,2024-06-07 09:15:00,2469.75,2496.0,2451.4,2488.8
175,2024-06-07 13:15:00,2488.0,2519.45,2484.0,2519.45
176,2024-06-10 09:15:00,2514.55,2565.95,2499.1,2542.35
177,2024-06-10 13:15:00,2541.45,2548.9,2533.05,2543.55
178,2024-06-11 09:15:00,2570.0,2573.95,2545.1,2566.1
179,2024-06-11 13:15:00,2565.0,2570.95,2556.1,2556.7
180,2024-06-12 09:15:00,2571.0,2578.0,2551.8,2571.85
181,2024-06-12 13:15:00,2571.0,2642.0,2570.95,2642.0
182,2024-06-13 09:15:00,2635.0,2644.0,2610.6,2634.0
183,2024-06-13 13:15:00,2632.9,2644.0,2628.1,2628.1
184,2024-06-14 09:15:00,2651.25,2713.9,2651.25,2663.15
185,2024-06-14 13:15:00,2663.1,2694.0,2655.0,2694.0
