,time,into,inth,intl,intc
0,2024-01-30 09:15:00,3079.95,3129.9,3022.05,3126.2
1,2024-01-30 13:15:00,3126.0,3128.0,3082.0,3092.75
2,2024-01-31 09:15:00,3090.95,3132.0,3072.65,3106.5
3,2024-01-31 13:15:00,3106.8,3151.6,3106.8,3138.0
4,2024-02-01 09:15:00,3154.0,3156.9,3084.9,3140.05
5,2024-02-01 13:15:00,3140.1,3234.95,3127.0,3184.95
6,2024-02-02 09:15:00,3183.95,3208.5,3146.75,3157.45
7,2024-02-02 13:15:00,3157.85,3471.0,2904.0,3170.0
8,2024-02-05 09:15:00,3167.0,3229.35,3152.2,3198.0
9,2024-02-05 13:15:00,3197.9,3212.0,3163.7,3183.9
10,2024-02-06 09:15:00,3182.0,3227.95,3160.0,3193.0
11,2024-02-06 13:15:00,3192.5,3224.0,3191.75,3200.65
12,2024-02-07 09:15:00,3221.65,3276.95,3210.0,3241.0
13,2024-02-07 13:15:00,3240.75,3247.65,3222.05,3233.0
14,2024-02-08 09:15:00,3243.0,3244.35,3169.0,3173.0
15,2024-02-08 13:15:00,3173.6,3180.9,3146.1,3179.0
16,2024-02-09 09:15:00,3184.0,3217.8,3121.35,3192.0
17,2024-02-09 13:15:00,3191.55,3229.0,3172.7,3229.0
18,2024-02-12 09:15:00,3229.5,3241.95,3160.75,3190.55
19,2024-02-12 13:15:00,3190.45,3203.15,3160.0,3166.0
20,2024-02-13 09:15:00,3177.0,3180.0,3092.85,3123.05
21,2024-02-13 13:15:00,3123.6,3194.0,3121.1,3184.0
22,2024-02-14 09:15:00,3178.5,3255.0,3171.25,3196.05
23,2024-02-14 13:15:00,3196.25,3232.0,3182.0,3219.85
24,2024-02-15 09:15:00,3216.6,3250.65,3205.05,3213.05
25,2024-02-15 13:15:00,3213.4,3220.9,3185.15,3214.0
26,2024-02-16 09:15:00,3212.9,3233.9,3192.65,3219.65
27,2024-02-16 13:15:00,3218.45,3351.1,3105.0,3240.0
28,2024-02-19 09:15:00,3239.0,3307.85,3238.9,3280.5
29,2024-02-19 13:15:00,3279.8,3283.55,3243.9,3267.0
30,2024-02-20 09:15:00,3265.0,3268.0,3210.15,3216.8
31,2024-02-20 13:15:00,3216.55,3235.85,3211.0,3235.0
32,2024-02-21 09:15:00,3235.05,3300.0,3230.35,3281.8
33,2024-02-21 13:15:00,3281.95,3287.45,3205.0,3226.95
34,2024-02-22 09:15:00,3234.0,3247.0,3210.5,3225.0
35,2024-02-22 13:15:00,3224.0,3274.0,3220.9,3263.05
36,2024-02-23 09:15:00,3263.1,3290.25,3225.35,3277.65
37,2024-02-23 13:15:00,3277.0,3319.75,3263.1,3273.05
40,2024-02-26 09:15:00,3272.95,3331.9,3263.0,3320.25
41,2024-02-26 13:15:00,3320.65,3344.0,3316.5,3339.0
42,2024-02-27 09:15:00,3336.0,3339.95,3291.75,3300.8
43,2024-02-27 13:15:00,3300.05,3309.2,3273.0,3309.2
44,2024-02-28 09:15:00,3305.0,3318.8,3213.0,3213.55
45,2024-02-28 13:15:00,3213.85,3248.35,3207.55,3220.05
46,2024-02-29 09:15:00,3220.0,3274.3,3205.35,3261.05
47,2024-02-29 13:15:00,3260.4,3309.85,3247.25,3309.85
48,2024-03-01 09:15:00,3299.0,3346.0,3282.0,3341.85
49,2024-03-01 13:15:00,3340.0,3340.25,3311.55,3320.0
51,2024-03-04 09:15:00,3339.0,3350.0,3315.55,3327.95
52,2024-03-04 13:15:00,3326.75,3331.0,3310.05,3325.3
53,2024-03-05 09:15:00,3324.0,3334.0,3295.15,3315.3
54,2024-03-05 13:15:00,3315.55,3329.0,3300.0,3328.0
55,2024-03-06 09:15:00,3322.95,3322.95,3184.35,3203.3
56,2024-03-06 13:15:00,3203.05,3242.0,3195.0,3237.0
57,2024-03-11 09:15:00,3241.15,3259.0,3213.75,3225.5
58,2024-03-11 13:15:00,3226.95,3237.9,3200.05,3207.35
59,2024-03-12 09:15:00,3207.9,3222.7,3135.0,3155.25
60,2024-03-12 13:15:00,3154.5,3166.0,3111.0,3125.0
61,2024-03-13 09:15:00,3131.95,3137.95,2914.2,2944.85
62,2024-03-13 13:15:00,2944.2,2953.0,2850.25,2927.45
63,2024-03-14 09:15:00,2925.95,3099.6,2880.0,3084.55
64,2024-03-14 13:15:00,3084.5,3101.2,3063.15,3085.0
65,2024-03-15 09:15:00,3118.0,3130.0,3063.8,3101.6
66,2024-03-15 13:15:00,3101.45,3142.85,3050.1,3050.1
67,2024-03-18 09:15:00,3064.9,3102.9,2976.95,3099.0
68,2024-03-18 13:15:00,3099.8,3126.0,3086.85,3126.0
69,2024-03-19 09:15:00,3128.8,3164.55,3042.1,3066.85
70,2024-03-19 13:15:00,3066.95,3075.0,3045.1,3075.0
71,2024-03-20 09:15:00,3070.0,3079.1,3021.1,3055.0
