,time,into,inth,intl,intc
0,2024-01-30 09:15:00,6334.95,6387.85,6305.4,6352.85
1,2024-01-30 13:15:00,6352.9,6365.0,6280.0,6280.0
2,2024-01-31 09:15:00,6298.85,6340.15,6255.85,6336.2
3,2024-01-31 13:15:00,6336.1,6371.65,6320.85,6322.3
4,2024-02-01 09:15:00,6280.0,6377.0,6280.0,6340.95
5,2024-02-01 13:15:00,6341.5,6347.55,6267.8,6320.0
6,2024-02-02 09:15:00,6319.9,6359.05,6292.15,6306.75
7,2024-02-02 13:15:00,6305.05,6949.0,6168.25,6320.55
8,2024-02-05 09:15:00,6320.0,6344.7,6243.8,6250.0
9,2024-02-05 13:15:00,6248.05,6260.95,6209.2,6259.95
10,2024-02-06 09:15:00,6259.9,6296.0,6155.2,6182.55
11,2024-02-06 13:15:00,6183.0,6205.3,6175.05,6188.0
12,2024-02-07 09:15:00,6240.0,6248.85,6155.0,6180.0
13,2024-02-07 13:15:00,6177.7,6194.0,6170.0,6170.0
14,2024-02-08 09:15:00,6200.1,6221.95,6150.0,6185.35
15,2024-02-08 13:15:00,6185.0,6362.7,6157.6,6216.7
16,2024-02-09 09:15:00,6267.65,6410.0,6213.6,6400.1
17,2024-02-09 13:15:00,6403.1,6473.5,6351.35,6464.9
18,2024-02-12 09:15:00,6469.0,6677.1,6375.0,6574.0
19,2024-02-12 13:15:00,6573.95,6635.0,6570.0,6604.7
20,2024-02-13 09:15:00,6614.0,6739.9,6598.25,6706.85
21,2024-02-13 13:15:00,6706.9,6738.0,6681.8,6718.8
22,2024-02-14 09:15:00,6717.6,6774.0,6700.0,6727.8
23,2024-02-14 13:15:00,6723.7,6768.8,6701.0,6750.0
24,2024-02-15 09:15:00,6753.95,6760.25,6631.25,6652.15
25,2024-02-15 13:15:00,6652.55,6656.6,6585.6,6631.05
26,2024-02-16 09:15:00,6638.7,6655.4,6525.1,6560.85
27,2024-02-16 13:15:00,6562.9,6907.35,6500.0,6620.0
28,2024-02-19 09:15:00,6618.25,6658.0,6511.05,6646.2
29,2024-02-19 13:15:00,6646.6,6675.25,6639.65,6667.5
30,2024-02-20 09:15:00,6667.45,6773.8,6638.9,6759.8
31,2024-02-20 13:15:00,6761.8,6785.0,6720.0,6748.0
32,2024-02-21 09:15:00,6780.0,6821.95,6717.35,6796.65
33,2024-02-21 13:15:00,6795.65,6805.65,6732.35,6759.65
34,2024-02-22 09:15:00,6760.0,6874.45,6690.05,6780.0
35,2024-02-22 13:15:00,6779.95,6795.0,6755.25,6779.0
36,2024-02-23 09:15:00,6779.4,6786.8,6723.1,6750.0
37,2024-02-23 13:15:00,6746.05,6875.0,6665.0,6665.0
39,2024-02-26 09:15:00,6764.05,6791.75,6627.0,6640.6
40,2024-02-26 13:15:00,6640.1,6645.0,6570.9,6588.0
41,2024-02-27 09:15:00,6585.0,6659.0,6570.0,6653.0
42,2024-02-27 13:15:00,6652.8,6668.45,6593.1,6630.0
43,2024-02-28 09:15:00,6628.7,6630.0,6366.65,6368.9
44,2024-02-28 13:15:00,6366.35,6413.0,6345.3,6392.55
45,2024-02-29 09:15:00,6388.65,6388.9,6088.75,6123.85
46,2024-02-29 13:15:00,6123.3,6156.95,6062.3,6102.0
47,2024-03-01 09:15:00,6106.5,6106.75,5941.85,6069.8
48,2024-03-01 13:15:00,6069.95,6099.25,6060.0,6082.2
50,2024-03-04 09:15:00,6150.0,6171.5,6060.5,6066.35
51,2024-03-04 13:15:00,6066.3,6071.2,6022.85,6035.05
52,2024-03-05 09:15:00,6037.0,6103.25,5978.35,6004.45
53,2024-03-05 13:15:00,6004.5,6084.5,6000.85,6050.0
54,2024-03-06 09:15:00,6020.95,6043.95,5945.65,6017.7
55,2024-03-06 13:15:00,6017.65,6078.9,6005.0,6064.05
56,2024-03-11 09:15:00,6079.85,6147.7,6036.1,6139.0
57,2024-03-11 13:15:00,6138.6,6240.0,6138.0,6240.0
58,2024-03-12 09:15:00,6235.0,6274.25,6118.0,6155.0
59,2024-03-12 13:15:00,6154.1,6180.0,6107.5,6180.0
60,2024-03-13 09:15:00,6160.05,6179.55,5992.9,6004.5
61,2024-03-13 13:15:00,6004.4,6037.8,5956.05,6008.4
62,2024-03-14 09:15:00,6010.15,6094.4,5980.0,6037.25
63,2024-03-14 13:15:00,6039.55,6048.5,6004.45,6034.9
64,2024-03-15 09:15:00,6004.9,6030.5,5981.1,6000.9
65,2024-03-15 13:15:00,6000.15,6024.85,5941.6,5997.75
66,2024-03-18 09:15:00,5990.05,6066.45,5980.0,6057.3
67,2024-03-18 13:15:00,6057.25,6143.5,6057.2,6077.0
68,2024-03-19 09:15:00,6097.9,6105.15,6034.05,6096.0
69,2024-03-19 13:15:00,6095.0,6148.0,6086.6,6148.0
70,2024-03-20 09:15:00,6129.45,6181.85,6073.5,6173.85
71,2024-03-20 13:15:00,6172.8,6200.65,6159.15,6189.9
72,2024-03-21 09:15:00,6189.95,6214.4,6105.6,6150.0
73,2024-03-21 13:15:00,6150.25,6195.9,6150.0,6169.15
74,2024-03-22 09:15:00,6168.7,6319.55,6168.7,6309.75
75,2024-03-22 13:15:00,6309.25,6390.0,6295.65,6365.0
76,2024-03-26 09:15:00,6389.9,6463.45,6322.55,6354.45
77,2024-03-26 13:15:00,6352.25,6362.7,6309.5,6325.0
78,2024-03-27 09:15:00,6352.05,6398.95,6225.0,6254.6
79,2024-03-27 13:15:00,6255.95,6280.0,6220.0,6225.0
80,2024-03-28 09:15:00,6232.0,6424.0,6112.55,6375.5
81,2024-03-28 13:15:00,6375.4,6405.95,6325.0,6401.0
82,2024-04-01 09:15:00,6399.35,6557.0,6373.1,6458.65
83,2024-04-01 13:15:00,6459.0,6480.0,6436.0,6469.5
84,2024-04-02 09:15:00,6454.95,6463.15,6404.2,6421.45
85,2024-04-02 13:15:00,6421.1,6439.75,6399.55,6399.55
86,2024-04-03 09:15:00,6394.95,6394.95,6311.0,6377.3
87,2024-04-03 13:15:00,6376.85,6425.0,6352.05,6425.0
88,2024-04-04 09:15:00,6410.0,6424.8,6326.4,6418.0
89,2024-04-04 13:15:00,6414.55,6475.0,6412.65,6440.6
90,2024-04-05 09:15:00,6435.0,6480.0,6382.15,6398.8
91,2024-04-05 13:15:00,6398.75,6405.0,6381.65,6397.75
92,2024-04-08 09:15:00,6390.1,6394.9,6280.0,6290.0
93,2024-04-08 13:15:00,6291.7,6347.8,6285.0,6347.8
94,2024-04-09 09:15:00,6347.75,6524.85,6335.15,6509.25
95,2024-04-09 13:15:00,6507.45,6539.55,6492.0,6505.1
96,2024-04-10 09:15:00,6505.0,6515.75,6451.0,6486.0
97,2024-04-10 13:15:00,6486.3,6499.0,6450.0,6450.0
98,2024-04-12 09:15:00,6464.0,6477.9,6365.5,6397.75
99,2024-04-12 13:15:00,6396.05,6435.75,6390.0,6414.0
100,2024-04-15 09:15:00,6339.9,6399.1,6298.0,6307.95
101,2024-04-15 13:15:00,6306.1,6319.0,6283.0,6299.95
102,2024-04-16 09:15:00,6290.0,6294.1,6202.0,6284.95
103,2024-04-16 13:15:00,6282.2,6347.6,6267.5,6325.0
104,2024-04-18 09:15:00,6303.1,6329.0,6240.0,6246.95
105,2024-04-18 13:15:00,6245.0,6250.0,6054.2,6100.0
106,2024-04-19 09:15:00,6081.55,6165.0,6061.45,6146.15
107,2024-04-19 13:15:00,6146.2,6199.0,6144.0,6155.0
108,2024-04-22 09:15:00,6155.0,6245.05,6150.1,6238.0
109,2024-04-22 13:15:00,6237.1,6256.5,6229.7,6241.5
110,2024-04-23 09:15:00,6250.0,6303.2,6195.5,6204.25
111,2024-04-23 13:15:00,6204.9,6222.0,6181.0,6185.0
112,2024-04-24 09:15:00,6227.0,6310.3,6186.15,6308.85
113,2024-04-24 13:15:00,6308.05,6310.5,6250.0,6266.75
114,2024-04-25 09:15:00,6279.85,6280.0,6169.05,6242.65
115,2024-04-25 13:15:00,6241.25,6402.15,6241.25,6360.0
116,2024-04-26 09:15:00,6367.95,6367.95,6254.45,6272.15
117,2024-04-26 13:15:00,6272.4,6288.9,6251.05,6260.7
118,2024-04-29 09:15:00,6094.0,6094.0,5733.3,5991.0
119,2024-04-29 13:15:00,5991.95,6002.55,5927.3,6000.0
120,2024-04-30 09:15:00,5989.8,6023.0,5905.6,5977.0
121,2024-04-30 13:15:00,5977.1,5987.35,5935.0,5957.55
122,2024-05-02 09:15:00,5984.85,6000.0,5939.45,5958.9
123,2024-05-02 13:15:00,5958.85,5978.0,5950.55,5951.0
124,2024-05-03 09:15:00,5973.0,6020.0,5960.05,5992.15
125,2024-05-03 13:15:00,5990.0,6026.75,5974.05,6014.0
126,2024-05-06 09:15:00,6047.7,6060.0,5986.4,6034.85
127,2024-05-06 13:15:00,6037.25,6081.8,6020.0,6066.5
128,2024-05-07 09:15:00,6079.55,6079.55,5875.6,5886.1
129,2024-05-07 13:15:00,5885.7,5916.6,5863.0,5900.0
130,2024-05-08 09:15:00,5900.0,5900.0,5813.05,5841.1
131,2024-05-08 13:15:00,5841.9,5860.0,5815.9,5848.95
132,2024-05-09 09:15:00,5860.0,5891.4,5809.45,5839.35
133,2024-05-09 13:15:00,5839.75,5840.3,5790.0,5819.95
134,2024-05-10 09:15:00,5825.0,5881.0,5753.25,5835.75
135,2024-05-10 13:15:00,5836.35,5866.45,5820.0,5820.0
136,2024-05-13 09:15:00,5842.4,5842.4,5790.2,5815.25
137,2024-05-13 13:15:00,5815.5,5855.0,5802.5,5855.0
138,2024-05-14 09:15:00,5850.0,5855.8,5740.0,5844.25
139,2024-05-14 13:15:00,5844.5,5894.65,5839.0,5869.95
140,2024-05-15 09:15:00,5868.85,5883.45,5833.0,5859.15
141,2024-05-15 13:15:00,5859.4,5890.0,5820.0,5890.0
142,2024-05-16 09:15:00,5870.15,5924.9,5850.0,5893.15
143,2024-05-16 13:15:00,5892.4,5944.0,5871.0,5925.0
144,2024-05-17 09:15:00,5928.95,5973.0,5910.1,5950.0
145,2024-05-17 13:15:00,5950.35,5969.0,5923.0,5944.8
147,2024-05-21 09:15:00,5985.0,6041.55,5946.0,5950.0
148,2024-05-21 13:15:00,5950.05,5958.6,5921.0,5958.6
149,2024-05-22 09:15:00,5951.0,5955.0,5845.0,5879.75
150,2024-05-22 13:15:00,5879.8,5885.4,5853.0,5878.45
151,2024-05-23 09:15:00,5879.95,5968.35,5860.6,5952.05
152,2024-05-23 13:15:00,5952.4,5991.0,5935.0,5938.3
153,2024-05-24 09:15:00,5935.1,5945.4,5867.0,5910.0
154,2024-05-24 13:15:00,5912.0,5971.85,5890.0,5970.0
