,time,into,inth,intl,intc
0,2024-01-30 09:15:00,532.5,537.45,526.2,536.45
1,2024-01-30 13:15:00,536.5,537.0,530.65,535.8
2,2024-01-31 09:15:00,535.7,547.85,525.25,535.4
3,2024-01-31 13:15:00,535.0,542.0,534.8,540.0
4,2024-02-01 09:15:00,543.2,544.0,533.0,537.8
5,2024-02-01 13:15:00,537.75,539.9,533.0,539.9
6,2024-02-02 09:15:00,540.8,544.7,538.1,539.6
7,2024-02-02 13:15:00,539.55,561.3,536.85,541.5
8,2024-02-05 09:15:00,541.45,552.35,539.75,549.7
9,2024-02-05 13:15:00,549.75,550.25,542.7,549.5
10,2024-02-06 09:15:00,549.75,553.25,546.05,552.85
11,2024-02-06 13:15:00,552.8,554.95,551.7,552.9
12,2024-02-07 09:15:00,555.3,556.7,547.25,551.15
13,2024-02-07 13:15:00,551.1,554.7,549.8,552.95
14,2024-02-08 09:15:00,555.95,557.85,540.25,543.0
15,2024-02-08 13:15:00,543.2,543.7,537.55,542.0
16,2024-02-09 09:15:00,531.05,531.05,502.0,503.25
17,2024-02-09 13:15:00,503.2,518.0,499.9,518.0
18,2024-02-12 09:15:00,516.55,520.9,508.25,513.8
19,2024-02-12 13:15:00,514.0,518.05,510.2,513.85
20,2024-02-13 09:15:00,515.0,518.2,504.25,506.95
21,2024-02-13 13:15:00,506.9,512.5,506.6,508.0
22,2024-02-14 09:15:00,507.95,513.65,502.85,511.95
23,2024-02-14 13:15:00,511.85,522.6,510.2,522.6
24,2024-02-15 09:15:00,520.95,523.65,517.05,522.85
25,2024-02-15 13:15:00,522.75,525.0,519.5,524.45
26,2024-02-16 09:15:00,522.0,531.45,522.0,529.35
27,2024-02-16 13:15:00,529.5,532.45,527.05,530.0
28,2024-02-19 09:15:00,530.75,537.2,527.1,534.85
29,2024-02-19 13:15:00,534.7,535.0,530.75,531.0
30,2024-02-20 09:15:00,530.95,532.8,516.45,520.45
31,2024-02-20 13:15:00,520.8,520.95,516.05,520.0
32,2024-02-21 09:15:00,520.4,525.0,517.0,523.4
33,2024-02-21 13:15:00,523.25,524.5,514.0,516.9
34,2024-02-22 09:15:00,519.55,519.55,513.15,517.7
35,2024-02-22 13:15:00,517.65,524.55,517.05,524.0
36,2024-02-23 09:15:00,523.95,528.05,520.9,526.75
37,2024-02-23 13:15:00,526.8,535.45,521.75,535.45
39,2024-02-26 09:15:00,524.0,526.45,519.65,524.6
40,2024-02-26 13:15:00,524.45,529.35,523.45,526.25
41,2024-02-27 09:15:00,527.0,528.35,520.0,521.6
42,2024-02-27 13:15:00,521.9,522.45,515.55,518.4
43,2024-02-28 09:15:00,518.5,522.1,508.0,509.6
44,2024-02-28 13:15:00,509.3,512.5,505.7,509.7
45,2024-02-29 09:15:00,509.0,515.4,505.6,514.45
46,2024-02-29 13:15:00,514.4,521.0,512.0,519.45
47,2024-03-01 09:15:00,521.3,528.85,519.7,528.0
48,2024-03-01 13:15:00,528.2,532.6,527.95,529.1
50,2024-03-04 09:15:00,531.0,533.7,521.95,532.05
51,2024-03-04 13:15:00,531.75,537.75,530.5,536.45
52,2024-03-05 09:15:00,535.2,546.0,534.85,544.95
53,2024-03-05 13:15:00,544.75,545.0,540.25,541.5
54,2024-03-06 09:15:00,542.1,542.8,524.85,531.85
55,2024-03-06 13:15:00,531.55,536.6,530.1,536.0
56,2024-03-11 09:15:00,519.0,519.8,499.45,509.9
57,2024-03-11 13:15:00,509.85,511.9,508.0,508.0
58,2024-03-12 09:15:00,505.05,512.4,500.75,507.8
59,2024-03-12 13:15:00,507.65,510.45,503.1,510.45
60,2024-03-13 09:15:00,509.0,514.55,491.1,495.15
61,2024-03-13 13:15:00,495.1,496.0,489.15,493.35
62,2024-03-14 09:15:00,492.55,500.6,481.75,499.85
63,2024-03-14 13:15:00,500.0,505.55,495.7,502.9
64,2024-03-15 09:15:00,501.65,502.55,470.7,474.5
65,2024-03-15 13:15:00,474.55,477.5,471.4,475.0
66,2024-03-18 09:15:00,474.45,475.9,458.75,460.3
67,2024-03-18 13:15:00,460.55,463.85,457.25,458.0
68,2024-03-19 09:15:00,457.5,458.0,441.8,456.75
69,2024-03-19 13:15:00,456.7,459.7,454.05,459.7
70,2024-03-20 09:15:00,459.05,459.05,444.0,451.7
71,2024-03-20 13:15:00,451.45,456.6,450.6,456.6
72,2024-03-21 09:15:00,456.85,461.85,453.6,459.8
73,2024-03-21 13:15:00,459.95,463.0,459.15,463.0
74,2024-03-22 09:15:00,462.95,470.4,457.2,469.9
75,2024-03-22 13:15:00,469.95,471.35,466.05,468.0
76,2024-03-26 09:15:00,468.95,473.0,465.1,472.4
77,2024-03-26 13:15:00,472.3,474.25,470.35,471.0
78,2024-03-27 09:15:00,471.9,476.45,468.75,470.45
79,2024-03-27 13:15:00,470.4,470.8,466.3,467.45
80,2024-03-28 09:15:00,468.9,470.65,462.7,463.25
81,2024-03-28 13:15:00,463.6,469.0,463.1,468.95
82,2024-04-01 09:15:00,469.45,472.75,464.55,464.9
83,2024-04-01 13:15:00,465.0,466.9,463.05,466.8
84,2024-04-02 09:15:00,466.6,470.0,464.6,469.4
85,2024-04-02 13:15:00,469.2,474.0,466.8,472.85
86,2024-04-03 09:15:00,472.0,472.0,467.05,469.2
87,2024-04-03 13:15:00,469.15,472.4,467.5,472.4
88,2024-04-04 09:15:00,472.35,474.7,459.0,461.05
89,2024-04-04 13:15:00,461.15,461.9,459.05,459.05
90,2024-04-05 09:15:00,459.0,469.95,453.1,465.45
91,2024-04-05 13:15:00,465.3,473.35,465.15,473.35
92,2024-04-08 09:15:00,473.0,473.95,467.5,472.2
93,2024-04-08 13:15:00,472.1,473.5,469.05,472.0
94,2024-04-09 09:15:00,471.5,471.95,465.95,466.7
95,2024-04-09 13:15:00,466.3,470.5,464.5,469.35
96,2024-04-10 09:15:00,472.3,486.85,472.25,482.2
97,2024-04-10 13:15:00,482.55,490.8,481.85,488.7
98,2024-04-12 09:15:00,488.4,488.9,480.25,482.6
99,2024-04-12 13:15:00,482.55,486.0,480.5,484.0
100,2024-04-15 09:15:00,470.7,478.8,462.65,477.7
101,2024-04-15 13:15:00,477.65,480.6,464.35,464.35
102,2024-04-16 09:15:00,466.7,480.9,458.6,472.5
103,2024-04-16 13:15:00,472.15,479.0,472.0,477.9
104,2024-04-18 09:15:00,480.0,485.4,478.0,481.8
105,2024-04-18 13:15:00,481.65,482.15,470.25,478.2
106,2024-04-19 09:15:00,464.0,474.55,460.15,473.25
107,2024-04-19 13:15:00,473.5,477.25,470.0,472.25
108,2024-04-22 09:15:00,476.35,494.0,476.05,483.75
