,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1885.0,1889.65,1865.45,1878.6
1,2024-01-30 13:15:00,1879.45,1882.65,1842.0,1842.0
2,2024-01-31 09:15:00,1845.1,1884.0,1807.25,1821.25
3,2024-01-31 13:15:00,1821.2,1840.0,1820.0,1835.0
4,2024-02-01 09:15:00,1833.5,1905.0,1820.6,1901.05
5,2024-02-01 13:15:00,1901.35,1902.8,1882.0,1889.9
6,2024-02-02 09:15:00,1890.05,1943.0,1890.05,1925.95
7,2024-02-02 13:15:00,1925.25,2092.65,1785.0,1910.0
8,2024-02-05 09:15:00,1909.9,1919.85,1877.7,1879.45
9,2024-02-05 13:15:00,1879.5,1893.95,1860.0,1893.95
10,2024-02-06 09:15:00,1894.0,1904.95,1874.8,1887.8
11,2024-02-06 13:15:00,1887.75,1895.0,1878.15,1885.0
12,2024-02-07 09:15:00,1894.95,1913.0,1886.5,1894.35
13,2024-02-07 13:15:00,1894.3,1898.5,1886.3,1898.0
14,2024-02-08 09:15:00,1900.0,1911.0,1874.15,1893.95
15,2024-02-08 13:15:00,1893.9,1893.9,1869.6,1884.0
16,2024-02-09 09:15:00,1878.85,1880.95,1844.25,1847.8
17,2024-02-09 13:15:00,1848.4,1855.4,1836.25,1852.45
18,2024-02-12 09:15:00,1853.0,1901.9,1835.15,1887.65
19,2024-02-12 13:15:00,1888.15,1954.95,1880.0,1934.05
20,2024-02-13 09:15:00,1942.0,1947.9,1875.0,1877.85
21,2024-02-13 13:15:00,1878.95,1907.45,1876.65,1880.0
22,2024-02-14 09:15:00,1894.9,1943.5,1882.25,1939.35
23,2024-02-14 13:15:00,1940.0,1954.95,1933.0,1954.95
24,2024-02-15 09:15:00,1952.0,1966.0,1944.7,1958.8
25,2024-02-15 13:15:00,1958.9,1964.0,1948.95,1955.25
26,2024-02-16 09:15:00,1958.3,1983.0,1948.2,1971.8
27,2024-02-16 13:15:00,1971.2,1979.95,1962.75,1970.15
28,2024-02-19 09:15:00,1969.05,1973.8,1948.45,1968.8
29,2024-02-19 13:15:00,1969.3,1973.75,1952.25,1966.7
30,2024-02-20 09:15:00,1965.2,1984.95,1947.1,1951.0
31,2024-02-20 13:15:00,1951.05,1958.4,1946.0,1951.0
32,2024-02-21 09:15:00,1966.7,1970.0,1930.55,1956.15
33,2024-02-21 13:15:00,1956.25,1959.0,1922.75,1931.0
34,2024-02-22 09:15:00,1940.4,1969.95,1925.3,1962.3
35,2024-02-22 13:15:00,1962.85,1981.0,1952.8,1981.0
36,2024-02-23 09:15:00,1972.3,2082.55,1970.0,2078.25
37,2024-02-23 13:15:00,2078.15,2095.0,1972.55,2074.85
39,2024-02-26 09:15:00,2090.45,2124.4,2043.95,2076.5
40,2024-02-26 13:15:00,2077.9,2110.0,2075.0,2094.9
41,2024-02-27 09:15:00,2090.0,2134.4,2077.35,2082.4
42,2024-02-27 13:15:00,2082.95,2104.0,2075.4,2104.0
43,2024-02-28 09:15:00,2100.05,2116.3,2048.2,2048.2
44,2024-02-28 13:15:00,2049.0,2074.0,2039.2,2052.5
45,2024-02-29 09:15:00,2052.55,2074.2,2031.7,2058.6
46,2024-02-29 13:15:00,2058.65,2089.0,2047.0,2086.5
47,2024-03-01 09:15:00,2084.4,2106.2,2070.15,2080.15
48,2024-03-01 13:15:00,2080.1,2081.9,2066.05,2070.45
50,2024-03-04 09:15:00,2110.0,2118.75,2071.7,2085.55
51,2024-03-04 13:15:00,2087.0,2106.0,2075.75,2106.0
52,2024-03-05 09:15:00,2105.65,2143.8,2088.0,2100.5
53,2024-03-05 13:15:00,2100.25,2114.0,2099.6,2105.0
54,2024-03-06 09:15:00,2110.05,2110.05,2047.8,2078.25
55,2024-03-06 13:15:00,2078.0,2098.95,2071.15,2095.0
56,2024-03-11 09:15:00,2100.2,2124.95,2077.3,2104.1
57,2024-03-11 13:15:00,2104.05,2116.7,2089.3,2102.0
58,2024-03-12 09:15:00,2109.25,2109.7,2050.7,2051.5
59,2024-03-12 13:15:00,2051.55,2055.65,2035.55,2049.05
60,2024-03-13 09:15:00,2049.45,2083.0,1995.05,2009.15
61,2024-03-13 13:15:00,2010.8,2017.95,1976.0,1982.25
62,2024-03-14 09:15:00,1988.35,2045.0,1975.55,2013.65
63,2024-03-14 13:15:00,2014.0,2032.45,1992.05,2028.0
64,2024-03-15 09:15:00,2015.65,2016.65,1956.8,2011.85
65,2024-03-15 13:15:00,2011.9,2035.25,2005.45,2035.25
66,2024-03-18 09:15:00,2034.7,2049.95,1978.5,1999.6
67,2024-03-18 13:15:00,1999.65,2000.0,1944.45,1979.9
68,2024-03-19 09:15:00,1974.6,1975.55,1879.5,1946.0
69,2024-03-19 13:15:00,1946.9,2022.0,1935.0,1951.75
70,2024-03-20 09:15:00,1953.25,1965.0,1898.45,1906.0
71,2024-03-20 13:15:00,1906.5,1914.6,1896.0,1914.6
72,2024-03-21 09:15:00,1922.85,1923.9,1902.0,1912.35
73,2024-03-21 13:15:00,1912.3,1950.0,1907.1,1940.0
74,2024-03-22 09:15:00,1938.05,1956.75,1915.55,1918.5
75,2024-03-22 13:15:00,1919.95,1948.85,1913.25,1944.95
76,2024-03-26 09:15:00,1937.0,1994.0,1930.0,1977.9
77,2024-03-26 13:15:00,1978.95,1999.0,1977.1,1991.0
78,2024-03-27 09:15:00,2000.0,2018.8,1990.85,1996.75
79,2024-03-27 13:15:00,1996.7,2000.95,1987.7,1998.0
80,2024-03-28 09:15:00,2010.1,2012.05,1982.0,1999.8
81,2024-03-28 13:15:00,1999.95,2002.0,1984.75,1998.2
82,2024-04-01 09:15:00,1995.0,2030.8,1995.0,2003.1
83,2024-04-01 13:15:00,2002.2,2050.0,2001.7,2050.0
84,2024-04-02 09:15:00,2049.5,2058.9,2037.0,2049.4
85,2024-04-02 13:15:00,2049.5,2061.0,2043.75,2051.7
86,2024-04-03 09:15:00,2051.75,2051.75,2028.4,2050.3
87,2024-04-03 13:15:00,2050.75,2094.0,2047.0,2094.0
88,2024-04-04 09:15:00,2088.0,2099.0,2060.5,2068.5
89,2024-04-04 13:15:00,2069.7,2070.0,2053.05,2062.5
90,2024-04-05 09:15:00,2067.75,2067.95,2040.0,2041.9
91,2024-04-05 13:15:00,2041.85,2058.65,2036.0,2058.65
92,2024-04-08 09:15:00,2050.1,2058.55,2019.5,2049.3
93,2024-04-08 13:15:00,2048.5,2055.55,2001.4,2042.9
94,2024-04-09 09:15:00,2035.0,2043.1,2003.0,2006.0
95,2024-04-09 13:15:00,2006.6,2008.35,1990.45,1994.0
96,2024-04-10 09:15:00,2007.15,2014.55,1990.0,2000.55
97,2024-04-10 13:15:00,2000.35,2005.95,1990.15,1990.15
98,2024-04-12 09:15:00,1994.1,2022.55,1988.35,1991.6
99,2024-04-12 13:15:00,1991.85,1995.55,1960.05,1969.9
100,2024-04-15 09:15:00,1940.0,1976.85,1940.0,1972.85
101,2024-04-15 13:15:00,1971.95,1975.0,1945.0,1945.0
102,2024-04-16 09:15:00,1954.1,2003.75,1946.85,1980.25
103,2024-04-16 13:15:00,1980.65,1998.0,1980.0,1980.15
104,2024-04-18 09:15:00,1992.35,2008.0,1983.05,2002.0
105,2024-04-18 13:15:00,2002.9,2005.0,1975.05,1999.0
106,2024-04-19 09:15:00,1967.65,1977.2,1941.0,1951.15
107,2024-04-19 13:15:00,1950.3,1955.35,1938.3,1943.0
108,2024-04-22 09:15:00,1952.4,1981.0,1950.55,1960.45
109,2024-04-22 13:15:00,1960.2,1968.05,1953.25,1968.05
110,2024-04-23 09:15:00,1965.05,1978.3,1955.0,1975.4
111,2024-04-23 13:15:00,1976.0,1978.0,1954.0,1959.85
112,2024-04-24 09:15:00,1965.0,1983.35,1958.0,1972.35
113,2024-04-24 13:15:00,1971.9,1995.0,1970.0,1995.0
114,2024-04-25 09:15:00,2007.05,2032.7,1986.0,2014.95
115,2024-04-25 13:15:00,2015.5,2020.9,2005.35,2009.85
116,2024-04-26 09:15:00,2014.95,2037.55,1985.7,2029.7
117,2024-04-26 13:15:00,2028.6,2043.2,2020.0,2043.0
118,2024-04-29 09:15:00,2057.85,2089.0,2045.0,2056.75
