,time,into,inth,intl,intc
0,2024-01-30 09:15:00,496.8,517.85,493.35,514.85
1,2024-01-30 13:15:00,514.9,516.0,501.85,505.95
2,2024-01-31 09:15:00,505.9,512.55,499.4,503.2
3,2024-01-31 13:15:00,503.25,503.6,498.55,502.25
4,2024-02-01 09:15:00,504.4,515.25,499.1,505.5
5,2024-02-01 13:15:00,505.45,517.35,503.85,517.35
6,2024-02-02 09:15:00,517.45,556.85,516.0,552.85
7,2024-02-02 13:15:00,552.7,614.15,502.55,566.0
8,2024-02-05 09:15:00,566.5,588.75,557.05,584.4
9,2024-02-05 13:15:00,584.5,586.8,570.1,579.95
10,2024-02-06 09:15:00,579.8,598.4,570.7,597.85
11,2024-02-06 13:15:00,598.0,614.4,597.6,610.5
12,2024-02-07 09:15:00,615.25,620.0,599.35,607.7
13,2024-02-07 13:15:00,607.65,608.2,600.65,605.0
14,2024-02-08 09:15:00,607.05,627.9,606.6,622.6
15,2024-02-08 13:15:00,622.75,635.3,618.55,623.0
16,2024-02-09 09:15:00,621.85,623.6,592.35,614.25
17,2024-02-09 13:15:00,614.5,615.5,607.05,614.8
18,2024-02-12 09:15:00,615.0,618.6,583.75,591.85
19,2024-02-12 13:15:00,591.9,597.8,586.55,590.4
20,2024-02-13 09:15:00,591.1,596.55,580.5,585.0
21,2024-02-13 13:15:00,584.95,586.9,581.85,582.0
22,2024-02-14 09:15:00,586.6,618.4,583.6,616.2
23,2024-02-14 13:15:00,616.3,630.0,611.5,630.0
24,2024-02-15 09:15:00,629.8,653.45,623.15,652.65
25,2024-02-15 13:15:00,652.7,666.0,649.5,666.0
26,2024-02-16 09:15:00,665.6,687.8,656.95,664.25
27,2024-02-16 13:15:00,664.1,700.0,639.7,659.9
28,2024-02-19 09:15:00,658.05,666.45,651.5,657.7
29,2024-02-19 13:15:00,657.8,660.95,650.85,652.55
30,2024-02-20 09:15:00,652.8,654.2,637.25,648.15
31,2024-02-20 13:15:00,648.25,664.0,645.6,663.6
32,2024-02-21 09:15:00,661.1,667.65,643.75,645.65
33,2024-02-21 13:15:00,645.8,648.55,630.0,633.1
34,2024-02-22 09:15:00,627.55,630.85,610.85,619.05
35,2024-02-22 13:15:00,619.0,627.5,615.95,622.05
36,2024-02-23 09:15:00,622.1,629.5,615.25,622.3
37,2024-02-23 13:15:00,622.35,623.55,616.3,617.0
40,2024-02-26 09:15:00,617.25,617.25,604.1,614.2
41,2024-02-26 13:15:00,614.25,633.6,613.55,627.1
42,2024-02-27 09:15:00,626.3,632.6,620.0,621.0
43,2024-02-27 13:15:00,620.95,626.35,616.45,624.85
44,2024-02-28 09:15:00,624.55,625.55,610.3,610.9
45,2024-02-28 13:15:00,610.75,622.5,606.1,609.0
46,2024-02-29 09:15:00,607.15,611.3,594.75,605.45
47,2024-02-29 13:15:00,605.8,611.0,600.1,611.0
48,2024-03-01 09:15:00,613.0,627.1,612.5,620.0
49,2024-03-01 13:15:00,619.9,625.0,619.4,622.0
51,2024-03-04 09:15:00,625.05,643.1,620.85,640.55
52,2024-03-04 13:15:00,640.35,642.2,637.05,641.05
53,2024-03-05 09:15:00,641.7,646.85,632.15,645.85
54,2024-03-05 13:15:00,645.75,649.45,642.65,645.5
55,2024-03-06 09:15:00,642.95,653.0,625.4,629.55
56,2024-03-06 13:15:00,629.6,639.6,628.65,636.5
57,2024-03-11 09:15:00,616.65,638.7,612.1,628.0
58,2024-03-11 13:15:00,628.1,631.25,624.35,627.0
59,2024-03-12 09:15:00,627.1,635.35,616.65,618.45
