,time,into,inth,intl,intc
0,2024-01-30 09:15:00,767.0,780.0,765.0,774.15
1,2024-01-30 13:15:00,774.05,776.05,763.0,767.05
2,2024-01-31 09:15:00,768.0,779.45,764.35,773.3
3,2024-01-31 13:15:00,773.25,778.6,773.0,778.0
4,2024-02-01 09:15:00,780.0,784.7,774.0,783.35
5,2024-02-01 13:15:00,783.3,806.7,778.6,806.7
6,2024-02-02 09:15:00,808.6,832.0,800.0,827.25
7,2024-02-02 13:15:00,827.0,905.1,766.65,836.85
8,2024-02-05 09:15:00,835.95,835.95,812.55,824.9
9,2024-02-05 13:15:00,825.5,825.6,797.05,808.7
10,2024-02-06 09:15:00,809.0,814.45,802.0,806.5
11,2024-02-06 13:15:00,806.8,819.8,804.5,815.0
12,2024-02-07 09:15:00,821.1,859.9,819.05,856.8
13,2024-02-07 13:15:00,856.35,859.0,848.75,850.5
14,2024-02-08 09:15:00,856.0,857.5,820.0,824.65
15,2024-02-08 13:15:00,824.7,825.45,809.7,817.0
16,2024-02-09 09:15:00,819.65,819.9,787.35,800.95
17,2024-02-09 13:15:00,801.1,811.75,795.25,809.15
18,2024-02-12 09:15:00,809.1,816.75,788.0,790.75
19,2024-02-12 13:15:00,790.35,795.95,780.05,783.7
20,2024-02-13 09:15:00,781.55,797.95,774.4,791.65
21,2024-02-13 13:15:00,791.15,799.9,781.0,781.0
22,2024-02-14 09:15:00,781.2,794.75,776.45,792.5
23,2024-02-14 13:15:00,792.25,817.2,788.95,817.2
24,2024-02-15 09:15:00,817.05,821.4,806.0,817.6
25,2024-02-15 13:15:00,817.4,820.25,815.25,820.25
26,2024-02-16 09:15:00,820.05,825.0,808.35,813.55
27,2024-02-16 13:15:00,813.45,816.15,800.5,807.9
28,2024-02-19 09:15:00,810.3,814.6,805.0,805.95
29,2024-02-19 13:15:00,805.9,808.9,799.8,804.0
30,2024-02-20 09:15:00,804.45,806.2,791.2,791.25
31,2024-02-20 13:15:00,791.3,799.7,790.65,797.25
32,2024-02-21 09:15:00,799.25,810.95,790.0,797.2
33,2024-02-21 13:15:00,797.25,799.5,782.4,783.6
34,2024-02-22 09:15:00,789.0,796.0,781.6,790.55
35,2024-02-22 13:15:00,790.55,800.0,790.0,800.0
36,2024-02-23 09:15:00,801.6,811.85,800.15,804.55
37,2024-02-23 13:15:00,804.15,810.75,797.0,804.5
39,2024-02-26 09:15:00,802.55,809.0,795.5,801.5
40,2024-02-26 13:15:00,801.5,803.4,797.7,799.3
41,2024-02-27 09:15:00,800.0,803.25,786.65,793.3
42,2024-02-27 13:15:00,793.0,794.05,785.25,791.6
43,2024-02-28 09:15:00,795.35,795.35,772.2,772.2
44,2024-02-28 13:15:00,772.7,780.85,761.9,768.55
45,2024-02-29 09:15:00,767.4,771.75,762.65,770.15
46,2024-02-29 13:15:00,770.0,785.35,766.9,785.35
47,2024-03-01 09:15:00,784.5,792.5,774.5,790.85
48,2024-03-01 13:15:00,790.75,797.6,787.2,790.0
50,2024-03-04 09:15:00,792.5,797.0,787.05,791.35
51,2024-03-04 13:15:00,790.3,793.0,787.55,789.95
52,2024-03-05 09:15:00,789.0,801.0,785.35,798.6
53,2024-03-05 13:15:00,798.15,798.6,788.85,794.95
54,2024-03-06 09:15:00,791.15,795.6,761.0,774.55
55,2024-03-06 13:15:00,774.5,787.4,773.25,783.3
56,2024-03-11 09:15:00,785.0,787.7,767.3,774.9
57,2024-03-11 13:15:00,774.45,782.6,766.0,770.95
58,2024-03-12 09:15:00,770.85,771.6,754.0,760.7
59,2024-03-12 13:15:00,760.8,763.8,756.0,757.2
60,2024-03-13 09:15:00,760.0,760.7,728.1,734.6
61,2024-03-13 13:15:00,735.0,736.2,716.85,716.85
62,2024-03-14 09:15:00,719.9,735.75,711.65,730.1
63,2024-03-14 13:15:00,731.65,736.0,724.55,725.0
64,2024-03-15 09:15:00,734.1,734.1,709.15,717.3
65,2024-03-15 13:15:00,717.1,728.95,715.7,724.45
66,2024-03-18 09:15:00,724.85,727.55,712.1,716.9
67,2024-03-18 13:15:00,716.95,722.4,713.0,722.0
68,2024-03-19 09:15:00,721.0,721.0,701.95,709.85
69,2024-03-19 13:15:00,709.75,714.15,706.1,709.4
70,2024-03-20 09:15:00,709.5,720.0,702.1,719.05
71,2024-03-20 13:15:00,719.0,724.0,715.25,724.0
72,2024-03-21 09:15:00,723.6,740.0,723.35,736.3
73,2024-03-21 13:15:00,736.2,741.75,735.85,739.95
74,2024-03-22 09:15:00,738.0,751.95,736.9,743.15
75,2024-03-22 13:15:00,743.6,749.65,742.7,746.75
76,2024-03-26 09:15:00,745.05,755.0,740.9,751.65
77,2024-03-26 13:15:00,751.15,758.0,750.0,754.75
78,2024-03-27 09:15:00,758.0,758.2,750.7,754.45
79,2024-03-27 13:15:00,754.95,761.5,752.6,754.0
80,2024-03-28 09:15:00,759.5,760.05,748.1,750.05
81,2024-03-28 13:15:00,750.0,755.4,749.5,754.0
82,2024-04-01 09:15:00,757.0,779.0,756.9,777.0
83,2024-04-01 13:15:00,776.65,795.5,774.75,790.75
84,2024-04-02 09:15:00,790.85,793.95,781.05,790.05
85,2024-04-02 13:15:00,790.0,796.9,789.0,789.95
86,2024-04-03 09:15:00,789.9,807.7,789.9,804.4
87,2024-04-03 13:15:00,804.65,813.0,801.75,813.0
88,2024-04-04 09:15:00,814.7,816.95,796.75,806.95
89,2024-04-04 13:15:00,806.9,813.75,799.05,799.05
90,2024-04-05 09:15:00,808.75,808.75,799.2,799.9
91,2024-04-05 13:15:00,799.7,802.0,797.5,798.85
92,2024-04-08 09:15:00,798.8,806.5,796.25,803.7
93,2024-04-08 13:15:00,803.95,815.0,797.25,815.0
94,2024-04-09 09:15:00,814.95,835.75,808.15,814.2
95,2024-04-09 13:15:00,813.8,817.0,806.95,811.05
96,2024-04-10 09:15:00,813.75,828.9,811.0,812.0
97,2024-04-10 13:15:00,812.05,813.95,806.25,808.8
98,2024-04-12 09:15:00,808.05,813.7,791.2,794.0
99,2024-04-12 13:15:00,793.6,793.85,784.15,788.0
100,2024-04-15 09:15:00,782.0,787.9,762.7,785.0
101,2024-04-15 13:15:00,784.9,786.0,772.5,776.05
