,time,into,inth,intl,intc
0,2024-01-30 09:15:00,415.55,415.7,406.1,406.75
1,2024-01-30 13:15:00,406.6,408.9,401.6,405.05
2,2024-01-31 09:15:00,405.0,409.15,400.4,406.45
3,2024-01-31 13:15:00,406.5,408.6,404.55,406.05
4,2024-02-01 09:15:00,407.75,411.9,402.5,404.35
5,2024-02-01 13:15:00,404.3,410.8,402.55,410.8
6,2024-02-02 09:15:00,410.9,418.55,410.15,413.9
7,2024-02-02 13:15:00,413.8,461.7,377.85,423.25
8,2024-02-05 09:15:00,421.3,445.7,417.15,443.3
9,2024-02-05 13:15:00,443.35,450.0,435.1,444.8
10,2024-02-06 09:15:00,444.7,445.05,437.35,439.9
11,2024-02-06 13:15:00,439.95,451.0,439.4,447.5
12,2024-02-07 09:15:00,454.75,460.55,447.8,453.05
13,2024-02-07 13:15:00,453.1,454.45,449.7,454.35
14,2024-02-08 09:15:00,454.75,468.55,450.0,467.8
15,2024-02-08 13:15:00,467.65,468.5,455.8,461.0
16,2024-02-09 09:15:00,462.0,463.8,435.65,449.7
17,2024-02-09 13:15:00,449.65,459.3,447.0,457.0
18,2024-02-12 09:15:00,457.45,457.45,430.35,437.3
19,2024-02-12 13:15:00,437.25,442.55,430.3,434.3
20,2024-02-13 09:15:00,443.0,457.85,434.0,449.15
21,2024-02-13 13:15:00,449.25,454.45,448.05,451.65
22,2024-02-14 09:15:00,451.45,462.45,443.2,461.25
23,2024-02-14 13:15:00,461.35,469.0,458.9,469.0
24,2024-02-15 09:15:00,468.85,480.0,467.9,478.25
25,2024-02-15 13:15:00,478.1,482.4,475.05,482.4
26,2024-02-16 09:15:00,480.5,487.5,477.5,484.15
27,2024-02-16 13:15:00,484.2,499.25,479.0,482.8
28,2024-02-19 09:15:00,481.45,487.45,479.0,481.25
29,2024-02-19 13:15:00,481.45,482.0,455.5,457.95
30,2024-02-20 09:15:00,452.4,455.3,441.1,446.8
31,2024-02-20 13:15:00,446.9,448.9,445.1,447.8
32,2024-02-21 09:15:00,449.35,450.0,439.05,439.9
33,2024-02-21 13:15:00,439.8,440.65,431.0,434.0
34,2024-02-22 09:15:00,437.9,442.45,427.95,438.3
35,2024-02-22 13:15:00,438.25,448.0,438.25,448.0
36,2024-02-23 09:15:00,448.35,449.0,441.65,444.6
37,2024-02-23 13:15:00,444.5,457.0,426.0,436.0
