,time,into,inth,intl,intc
0,2024-01-30 09:15:00,302.0,302.7,295.65,296.35
1,2024-01-30 13:15:00,296.3,296.9,293.6,295.1
2,2024-01-31 09:15:00,295.45,301.2,294.25,300.95
3,2024-01-31 13:15:00,300.85,303.5,300.75,302.95
4,2024-02-01 09:15:00,304.0,305.25,301.15,303.75
5,2024-02-01 13:15:00,303.65,303.85,301.1,303.4
6,2024-02-02 09:15:00,302.8,307.45,302.55,304.95
7,2024-02-02 13:15:00,304.8,319.65,283.05,304.5
8,2024-02-05 09:15:00,305.6,309.9,302.4,303.9
9,2024-02-05 13:15:00,304.1,305.1,300.0,300.0
10,2024-02-06 09:15:00,299.65,300.0,286.0,287.05
11,2024-02-06 13:15:00,287.0,289.8,286.25,289.25
12,2024-02-07 09:15:00,291.6,291.95,287.0,287.9
13,2024-02-07 13:15:00,287.8,288.5,287.2,288.5
14,2024-02-08 09:15:00,290.15,291.9,287.05,287.85
15,2024-02-08 13:15:00,287.7,288.7,286.2,287.65
16,2024-02-09 09:15:00,288.25,289.15,284.65,285.85
17,2024-02-09 13:15:00,285.95,288.6,285.0,288.6
18,2024-02-12 09:15:00,288.05,288.6,282.4,284.3
19,2024-02-12 13:15:00,284.2,285.75,283.0,284.55
20,2024-02-13 09:15:00,285.0,285.75,281.95,283.7
21,2024-02-13 13:15:00,283.75,286.0,282.15,282.15
22,2024-02-14 09:15:00,282.6,284.35,281.3,282.55
23,2024-02-14 13:15:00,282.6,286.55,281.5,285.0
24,2024-02-15 09:15:00,284.95,291.55,280.3,281.3
25,2024-02-15 13:15:00,281.2,283.7,281.0,283.7
26,2024-02-16 09:15:00,283.55,286.25,283.2,284.05
27,2024-02-16 13:15:00,283.95,286.65,282.7,286.65
28,2024-02-19 09:15:00,286.05,290.35,285.45,289.65
29,2024-02-19 13:15:00,289.45,291.75,288.9,288.9
30,2024-02-20 09:15:00,288.8,291.95,288.55,289.85
31,2024-02-20 13:15:00,289.75,290.9,288.5,290.2
32,2024-02-21 09:15:00,291.45,291.45,289.0,290.0
33,2024-02-21 13:15:00,290.1,291.25,288.25,290.1
34,2024-02-22 09:15:00,291.85,293.65,288.6,290.6
35,2024-02-22 13:15:00,290.55,294.0,290.5,294.0
36,2024-02-23 09:15:00,293.9,294.45,291.65,292.45
37,2024-02-23 13:15:00,292.3,302.0,291.95,293.3
39,2024-02-26 09:15:00,293.0,293.0,286.3,287.5
40,2024-02-26 13:15:00,287.45,292.75,287.0,292.75
