,time,into,inth,intl,intc
0,2024-01-30 09:15:00,143.8,145.0,143.75,144.7
1,2024-01-30 13:15:00,144.6,144.75,142.5,143.0
2,2024-01-31 09:15:00,142.8,145.6,142.75,144.9
3,2024-01-31 13:15:00,144.85,145.45,144.5,144.95
4,2024-02-01 09:15:00,145.6,145.65,141.6,144.0
5,2024-02-01 13:15:00,143.85,144.4,142.1,142.1
6,2024-02-02 09:15:00,142.8,145.85,138.6,138.7
7,2024-02-02 13:15:00,138.6,144.55,136.9,138.0
8,2024-02-05 09:15:00,138.05,139.6,136.75,138.45
9,2024-02-05 13:15:00,138.55,138.6,135.2,136.85
10,2024-02-06 09:15:00,136.3,136.65,132.3,132.75
11,2024-02-06 13:15:00,132.85,133.1,131.85,133.1
12,2024-02-07 09:15:00,133.9,134.5,131.0,131.3
13,2024-02-07 13:15:00,131.4,132.0,130.9,131.6
14,2024-02-08 09:15:00,132.4,135.25,131.65,133.6
15,2024-02-08 13:15:00,133.5,133.6,132.15,132.55
16,2024-02-09 09:15:00,133.0,133.75,130.55,131.9
17,2024-02-09 13:15:00,132.0,134.5,131.3,134.5
18,2024-02-12 09:15:00,134.45,134.45,130.4,130.95
19,2024-02-12 13:15:00,131.0,132.0,130.5,130.9
20,2024-02-13 09:15:00,132.0,134.4,130.1,133.95
21,2024-02-13 13:15:00,133.85,135.0,133.4,133.4
22,2024-02-14 09:15:00,133.2,135.5,132.4,135.5
23,2024-02-14 13:15:00,135.45,137.25,134.5,137.25
24,2024-02-15 09:15:00,137.2,137.55,136.3,137.15
25,2024-02-15 13:15:00,137.2,138.45,136.9,138.45
26,2024-02-16 09:15:00,138.4,140.95,137.8,140.9
27,2024-02-16 13:15:00,140.95,149.5,129.85,140.15
28,2024-02-19 09:15:00,140.1,140.7,137.65,137.9
29,2024-02-19 13:15:00,138.0,138.75,137.4,138.1
30,2024-02-20 09:15:00,137.8,138.05,135.85,136.05
31,2024-02-20 13:15:00,136.0,136.65,135.65,136.5
32,2024-02-21 09:15:00,136.65,137.25,134.8,134.95
33,2024-02-21 13:15:00,135.0,135.1,133.3,133.9
34,2024-02-22 09:15:00,134.4,135.15,132.95,134.75
35,2024-02-22 13:15:00,134.75,136.05,134.55,136.05
36,2024-02-23 09:15:00,136.0,136.45,135.25,135.95
37,2024-02-23 13:15:00,135.95,136.4,134.5,135.2
39,2024-02-26 09:15:00,134.95,135.75,134.5,135.55
