,time,into,inth,intl,intc
0,2024-01-30 09:15:00,3584.95,3617.85,3572.55,3598.2
1,2024-01-30 13:15:00,3598.1,3598.95,3541.2,3585.0
2,2024-01-31 09:15:00,3584.95,3647.0,3560.05,3643.0
3,2024-01-31 13:15:00,3642.05,3680.8,3629.1,3658.0
4,2024-02-01 09:15:00,3685.0,3689.25,3637.15,3660.05
5,2024-02-01 13:15:00,3660.1,3665.0,3644.05,3665.0
6,2024-02-02 09:15:00,3670.0,3744.7,3665.0,3691.65
7,2024-02-02 13:15:00,3691.6,4069.3,3394.5,3699.4
8,2024-02-05 09:15:00,3665.0,3742.0,3664.55,3696.85
9,2024-02-05 13:15:00,3695.95,3707.0,3685.1,3698.0
10,2024-02-06 09:15:00,3690.3,3744.0,3690.25,3729.1
11,2024-02-06 13:15:00,3728.95,3744.0,3721.5,3729.0
12,2024-02-07 09:15:00,3742.0,3770.65,3702.9,3715.6
13,2024-02-07 13:15:00,3716.95,3743.7,3715.3,3739.9
14,2024-02-08 09:15:00,3740.05,3764.95,3660.8,3694.05
15,2024-02-08 13:15:00,3693.6,3697.0,3661.2,3687.7
16,2024-02-09 09:15:00,3684.4,3696.2,3621.3,3652.1
17,2024-02-09 13:15:00,3650.35,3668.7,3613.5,3650.0
18,2024-02-12 09:15:00,3680.8,3818.0,3657.3,3741.0
19,2024-02-12 13:15:00,3742.0,3762.7,3729.2,3735.5
20,2024-02-13 09:15:00,3740.0,3832.8,3689.05,3695.0
21,2024-02-13 13:15:00,3696.0,3715.0,3687.0,3690.0
22,2024-02-14 09:15:00,3690.55,3695.9,3633.5,3691.0
23,2024-02-14 13:15:00,3690.25,3729.7,3671.35,3729.7
24,2024-02-15 09:15:00,3734.7,3745.0,3702.1,3722.4
25,2024-02-15 13:15:00,3724.3,3734.35,3696.55,3708.7
26,2024-02-16 09:15:00,3715.65,3778.9,3708.45,3727.85
27,2024-02-16 13:15:00,3727.8,3912.1,3564.5,3730.0
28,2024-02-19 09:15:00,3729.0,3763.25,3722.0,3739.15
29,2024-02-19 13:15:00,3739.25,3742.0,3715.7,3723.0
30,2024-02-20 09:15:00,3720.0,3739.0,3675.25,3704.65
31,2024-02-20 13:15:00,3706.75,3719.7,3700.0,3712.5
32,2024-02-21 09:15:00,3739.7,3739.7,3675.0,3678.4
33,2024-02-21 13:15:00,3678.45,3687.7,3637.2,3641.0
34,2024-02-22 09:15:00,3652.1,3657.15,3611.25,3615.35
35,2024-02-22 13:15:00,3615.0,3651.9,3597.05,3645.4
36,2024-02-23 09:15:00,3639.6,3669.05,3626.85,3668.65
37,2024-02-23 13:15:00,3669.0,3754.0,3516.75,3589.0
39,2024-02-26 09:15:00,3649.05,3650.0,3570.0,3573.05
40,2024-02-26 13:15:00,3573.0,3582.0,3556.4,3580.0
41,2024-02-27 09:15:00,3583.0,3598.0,3532.0,3538.95
42,2024-02-27 13:15:00,3538.45,3546.55,3512.0,3540.0
43,2024-02-28 09:15:00,3543.95,3552.0,3514.6,3517.2
44,2024-02-28 13:15:00,3517.1,3526.0,3507.0,3509.2
45,2024-02-29 09:15:00,3512.0,3529.4,3471.5,3475.15
46,2024-02-29 13:15:00,3475.25,3492.85,3465.0,3491.0
47,2024-03-01 09:15:00,3496.0,3516.55,3474.9,3489.75
48,2024-03-01 13:15:00,3489.8,3491.95,3477.8,3483.0
50,2024-03-04 09:15:00,3518.5,3541.85,3485.1,3500.3
51,2024-03-04 13:15:00,3500.55,3503.7,3478.0,3484.6
52,2024-03-05 09:15:00,3483.0,3495.9,3452.0,3469.8
53,2024-03-05 13:15:00,3468.6,3492.6,3464.0,3490.1
54,2024-03-06 09:15:00,3488.65,3499.0,3450.15,3496.75
55,2024-03-06 13:15:00,3498.7,3560.0,3495.2,3542.0
56,2024-03-11 09:15:00,3601.0,3652.0,3586.35,3610.65
57,2024-03-11 13:15:00,3611.35,3629.4,3597.75,3600.0
