,time,into,inth,intl,intc
0,2024-01-30 09:15:00,5897.9,5949.0,5852.05,5882.0
1,2024-01-30 13:15:00,5881.0,5909.2,5825.05,5825.05
2,2024-01-31 09:15:00,5811.75,6136.95,5808.0,6118.0
3,2024-01-31 13:15:00,6117.95,6128.8,6092.05,6120.0
4,2024-02-01 09:15:00,6089.0,6148.5,5950.1,6010.4
5,2024-02-01 13:15:00,6009.95,6015.95,5970.0,6015.95
6,2024-02-02 09:15:00,6019.0,6074.2,6005.0,6042.0
7,2024-02-02 13:15:00,6042.15,6637.0,5647.0,6039.0
8,2024-02-05 09:15:00,6038.1,6138.0,5997.0,6122.4
9,2024-02-05 13:15:00,6122.05,6124.0,6068.3,6085.0
10,2024-02-06 09:15:00,6083.75,6190.0,6083.75,6174.3
11,2024-02-06 13:15:00,6173.1,6183.85,6158.8,6164.0
12,2024-02-07 09:15:00,6164.6,6190.0,6130.6,6151.6
13,2024-02-07 13:15:00,6151.55,6189.0,6148.0,6171.6
14,2024-02-08 09:15:00,6205.0,6217.65,6125.0,6181.85
15,2024-02-08 13:15:00,6183.0,6190.0,6146.7,6180.0
16,2024-02-09 09:15:00,6137.5,6184.45,6104.2,6149.45
17,2024-02-09 13:15:00,6146.35,6234.3,6134.0,6234.3
18,2024-02-12 09:15:00,6235.05,6334.85,6234.3,6312.15
19,2024-02-12 13:15:00,6310.25,6388.0,6301.8,6321.0
20,2024-02-13 09:15:00,6342.1,6409.8,6311.05,6325.15
21,2024-02-13 13:15:00,6326.4,6356.45,6313.5,6330.05
22,2024-02-14 09:15:00,6271.65,6278.3,6170.1,6190.55
23,2024-02-14 13:15:00,6190.6,6279.0,6183.85,6240.1
24,2024-02-15 09:15:00,6247.15,6299.0,6207.5,6246.85
25,2024-02-15 13:15:00,6247.05,6278.1,6235.0,6271.95
26,2024-02-16 09:15:00,6260.0,6365.2,6247.35,6323.0
27,2024-02-16 13:15:00,6325.95,6334.8,6193.4,6317.15
28,2024-02-19 09:15:00,6320.0,6453.85,6318.95,6413.9
29,2024-02-19 13:15:00,6410.3,6428.95,6407.3,6422.0
30,2024-02-20 09:15:00,6425.0,6465.0,6341.15,6388.75
31,2024-02-20 13:15:00,6391.7,6396.95,6367.3,6379.0
32,2024-02-21 09:15:00,6386.95,6387.0,6325.0,6361.25
33,2024-02-21 13:15:00,6361.3,6371.0,6305.85,6322.0
34,2024-02-22 09:15:00,6361.6,6369.95,6231.35,6287.75
35,2024-02-22 13:15:00,6287.45,6379.75,6276.6,6367.7
36,2024-02-23 09:15:00,6368.6,6494.05,6368.6,6438.15
37,2024-02-23 13:15:00,6439.65,6538.0,6130.0,6538.0
39,2024-02-26 09:15:00,6455.15,6490.0,6380.65,6414.1
40,2024-02-26 13:15:00,6413.0,6453.0,6412.95,6416.0
41,2024-02-27 09:15:00,6434.7,6443.95,6385.25,6427.6
42,2024-02-27 13:15:00,6427.7,6459.6,6396.05,6443.45
43,2024-02-28 09:15:00,6443.5,6505.9,6395.05,6397.0
44,2024-02-28 13:15:00,6397.1,6446.95,6382.05,6382.05
45,2024-02-29 09:15:00,6399.0,6436.0,6357.8,6426.95
46,2024-02-29 13:15:00,6427.4,6472.45,6403.4,6449.0
