,time,into,inth,intl,intc
0,2024-01-30 09:15:00,146.35,146.5,144.7,145.7
1,2024-01-30 13:15:00,145.6,146.2,144.5,145.5
2,2024-01-31 09:15:00,145.45,148.4,144.95,147.95
3,2024-01-31 13:15:00,147.9,148.15,147.05,147.2
4,2024-02-01 09:15:00,148.0,148.0,145.0,147.3
5,2024-02-01 13:15:00,147.35,147.5,145.95,147.05
6,2024-02-02 09:15:00,147.35,148.9,147.0,147.1
7,2024-02-02 13:15:00,147.05,160.4,131.3,145.85
8,2024-02-05 09:15:00,145.9,147.1,144.05,147.0
9,2024-02-05 13:15:00,146.95,147.6,146.4,147.25
10,2024-02-06 09:15:00,147.2,148.1,146.3,146.9
11,2024-02-06 13:15:00,146.85,147.5,146.3,147.5
12,2024-02-07 09:15:00,147.55,149.9,147.3,149.4
13,2024-02-07 13:15:00,149.3,149.7,148.9,149.3
14,2024-02-08 09:15:00,150.05,151.4,148.0,148.5
15,2024-02-08 13:15:00,148.55,149.0,146.1,147.25
16,2024-02-09 09:15:00,147.2,147.2,143.4,146.4
17,2024-02-09 13:15:00,146.35,148.4,145.25,148.4
18,2024-02-12 09:15:00,148.25,148.25,145.4,145.95
19,2024-02-12 13:15:00,145.9,147.35,145.65,146.0
20,2024-02-13 09:15:00,146.0,148.2,144.25,147.0
21,2024-02-13 13:15:00,147.1,148.3,146.3,146.3
22,2024-02-14 09:15:00,146.7,148.6,145.5,148.15
23,2024-02-14 13:15:00,148.1,150.15,147.25,150.0
24,2024-02-15 09:15:00,150.2,155.1,149.4,154.2
25,2024-02-15 13:15:00,154.15,157.25,154.15,157.25
26,2024-02-16 09:15:00,157.35,165.5,156.25,165.1
27,2024-02-16 13:15:00,165.05,171.7,153.5,165.95
28,2024-02-19 09:15:00,165.3,166.35,163.1,164.0
29,2024-02-19 13:15:00,163.9,164.7,153.0,153.0
30,2024-02-20 09:15:00,149.45,155.6,149.45,153.75
31,2024-02-20 13:15:00,153.7,154.85,153.2,154.65
32,2024-02-21 09:15:00,155.9,156.1,153.55,154.55
33,2024-02-21 13:15:00,154.6,154.9,153.45,153.95
34,2024-02-22 09:15:00,154.55,154.7,152.35,153.0
35,2024-02-22 13:15:00,152.95,154.9,152.75,154.9
36,2024-02-23 09:15:00,154.3,154.85,152.95,153.05
37,2024-02-23 13:15:00,153.1,160.0,145.0,152.0
39,2024-02-26 09:15:00,152.65,152.9,149.9,151.65
40,2024-02-26 13:15:00,151.7,152.8,151.05,152.7
41,2024-02-27 09:15:00,152.9,153.65,151.05,153.65
42,2024-02-27 13:15:00,153.55,154.75,152.75,154.2
43,2024-02-28 09:15:00,153.9,154.6,150.6,150.7
44,2024-02-28 13:15:00,150.65,152.0,149.75,150.9
45,2024-02-29 09:15:00,150.8,150.8,148.1,150.2
46,2024-02-29 13:15:00,150.25,151.4,149.4,151.4
47,2024-03-01 09:15:00,151.5,152.35,150.9,151.8
48,2024-03-01 13:15:00,151.85,153.0,151.5,152.7
50,2024-03-04 09:15:00,154.0,154.1,152.15,152.45
51,2024-03-04 13:15:00,152.5,154.0,152.35,153.2
52,2024-03-05 09:15:00,153.1,157.15,153.1,155.5
53,2024-03-05 13:15:00,155.45,155.7,154.65,155.25
54,2024-03-06 09:15:00,155.4,158.4,152.7,158.3
55,2024-03-06 13:15:00,158.35,158.5,156.3,156.75
56,2024-03-11 09:15:00,156.4,157.2,154.8,155.45
57,2024-03-11 13:15:00,155.4,156.0,155.0,156.0
58,2024-03-12 09:15:00,155.45,155.9,151.35,152.1
59,2024-03-12 13:15:00,152.05,152.75,151.4,152.35
60,2024-03-13 09:15:00,152.75,152.75,148.55,149.05
61,2024-03-13 13:15:00,149.1,149.85,146.0,146.0
62,2024-03-14 09:15:00,146.25,148.25,139.85,146.7
63,2024-03-14 13:15:00,146.65,147.3,145.4,146.7
64,2024-03-15 09:15:00,146.65,149.25,146.0,148.55
65,2024-03-15 13:15:00,148.5,151.15,147.9,151.0
66,2024-03-18 09:15:00,151.2,152.15,147.0,147.95
67,2024-03-18 13:15:00,148.0,148.65,146.95,148.0
68,2024-03-19 09:15:00,148.05,148.5,145.65,147.35
69,2024-03-19 13:15:00,147.25,148.95,146.75,148.95
