,time,into,inth,intl,intc
0,2024-01-30 09:15:00,899.1,909.7,894.35,904.15
1,2024-01-30 13:15:00,903.5,908.75,893.75,898.0
2,2024-01-31 09:15:00,897.1,922.7,897.0,915.6
3,2024-01-31 13:15:00,915.9,918.5,906.45,907.7
4,2024-02-01 09:15:00,919.5,919.95,865.0,883.25
5,2024-02-01 13:15:00,883.05,892.5,880.8,890.5
6,2024-02-02 09:15:00,891.65,899.75,882.05,887.25
7,2024-02-02 13:15:00,887.15,921.15,883.35,886.0
8,2024-02-05 09:15:00,889.0,894.1,886.0,887.85
9,2024-02-05 13:15:00,887.95,890.55,879.55,888.0
10,2024-02-06 09:15:00,890.0,897.6,883.3,885.3
11,2024-02-06 13:15:00,885.25,890.0,881.5,885.0
12,2024-02-07 09:15:00,887.05,889.8,868.05,870.95
13,2024-02-07 13:15:00,870.85,880.0,868.55,872.0
14,2024-02-08 09:15:00,879.95,883.4,856.55,859.95
15,2024-02-08 13:15:00,859.9,861.35,853.35,859.3
16,2024-02-09 09:15:00,858.5,861.6,829.7,837.15
17,2024-02-09 13:15:00,836.5,847.0,835.0,843.1
18,2024-02-12 09:15:00,844.85,848.8,817.55,821.2
19,2024-02-12 13:15:00,821.05,840.75,820.4,829.45
20,2024-02-13 09:15:00,829.9,838.7,818.55,827.4
21,2024-02-13 13:15:00,827.55,834.15,825.45,828.0
22,2024-02-14 09:15:00,829.0,829.0,783.0,786.55
23,2024-02-14 13:15:00,786.5,801.35,771.0,771.0
24,2024-02-15 09:15:00,788.85,846.15,780.1,801.55
25,2024-02-15 13:15:00,801.6,822.0,800.15,822.0
26,2024-02-16 09:15:00,825.75,890.1,825.75,881.25
27,2024-02-16 13:15:00,881.9,885.0,864.25,875.0
28,2024-02-19 09:15:00,873.1,876.0,853.0,865.2
29,2024-02-19 13:15:00,865.65,871.1,860.65,871.1
30,2024-02-20 09:15:00,869.8,894.0,867.2,883.35
31,2024-02-20 13:15:00,883.5,904.1,880.0,893.0
32,2024-02-21 09:15:00,887.05,911.0,887.05,904.95
33,2024-02-21 13:15:00,905.0,906.2,898.0,900.0
34,2024-02-22 09:15:00,899.8,910.4,898.25,905.65
35,2024-02-22 13:15:00,905.7,916.0,904.0,912.55
36,2024-02-23 09:15:00,905.45,919.9,898.55,904.5
37,2024-02-23 13:15:00,904.45,905.45,894.5,900.1
38,2024-02-26 09:15:00,919.8,941.9,908.1,936.2
39,2024-02-26 13:15:00,936.5,937.35,924.65,926.5
40,2024-02-27 09:15:00,926.25,937.45,918.3,930.5
41,2024-02-27 13:15:00,930.45,930.6,922.7,925.0
42,2024-02-28 09:15:00,924.1,929.85,900.55,902.0
43,2024-02-28 13:15:00,902.05,915.85,902.05,911.0
44,2024-02-29 09:15:00,910.0,917.2,899.05,916.0
45,2024-02-29 13:15:00,916.05,926.95,915.55,925.1
46,2024-03-01 09:15:00,925.0,925.0,904.7,921.45
47,2024-03-01 13:15:00,920.85,924.9,919.15,920.0
49,2024-03-04 09:15:00,927.75,945.95,920.65,922.1
50,2024-03-04 13:15:00,922.15,926.65,919.3,920.9
51,2024-03-05 09:15:00,920.85,921.0,905.35,912.15
52,2024-03-05 13:15:00,911.65,921.35,906.95,912.6
53,2024-03-06 09:15:00,914.0,932.9,903.15,913.45
54,2024-03-06 13:15:00,913.2,935.3,909.0,933.4
55,2024-03-11 09:15:00,959.0,974.0,957.7,969.3
56,2024-03-11 13:15:00,969.35,970.7,950.05,955.3
57,2024-03-12 09:15:00,956.05,967.75,931.85,952.5
58,2024-03-12 13:15:00,951.25,959.6,941.6,941.6
59,2024-03-13 09:15:00,942.0,948.15,895.55,904.85
60,2024-03-13 13:15:00,904.3,907.9,885.5,890.55
61,2024-03-14 09:15:00,890.4,939.0,883.1,936.95
62,2024-03-14 13:15:00,937.0,941.45,928.25,936.8
63,2024-03-15 09:15:00,937.5,943.85,912.05,932.1
64,2024-03-15 13:15:00,932.75,935.5,923.5,924.65
65,2024-03-18 09:15:00,918.05,939.3,916.05,931.9
66,2024-03-18 13:15:00,932.35,944.55,932.0,938.5
67,2024-03-19 09:15:00,938.45,942.0,917.55,924.55
68,2024-03-19 13:15:00,925.15,931.0,915.85,915.85
69,2024-03-20 09:15:00,917.0,935.0,908.6,930.55
70,2024-03-20 13:15:00,930.95,946.45,928.85,941.8
71,2024-03-21 09:15:00,941.85,954.5,938.5,947.95
72,2024-03-21 13:15:00,947.3,950.6,943.7,943.7
73,2024-03-22 09:15:00,943.15,952.85,940.7,944.95
74,2024-03-22 13:15:00,944.75,954.4,944.0,952.5
75,2024-03-26 09:15:00,944.35,952.55,936.0,947.45
76,2024-03-26 13:15:00,947.05,961.35,945.9,952.0
77,2024-03-27 09:15:00,961.0,968.4,947.3,960.25
78,2024-03-27 13:15:00,960.2,967.4,959.45,962.0
79,2024-03-28 09:15:00,961.0,968.2,954.25,966.2
80,2024-03-28 13:15:00,966.45,968.15,955.15,959.05
81,2024-04-01 09:15:00,960.0,981.0,960.0,977.75
82,2024-04-01 13:15:00,977.8,985.0,975.4,984.75
83,2024-04-02 09:15:00,985.0,993.5,975.0,988.5
84,2024-04-02 13:15:00,988.9,990.9,983.5,984.05
85,2024-04-03 09:15:00,984.45,989.6,978.95,985.0
86,2024-04-03 13:15:00,985.2,999.45,985.2,999.45
87,2024-04-04 09:15:00,996.4,1009.95,990.1,1005.8
88,2024-04-04 13:15:00,1005.75,1010.0,1003.55,1010.0
89,2024-04-05 09:15:00,1008.9,1018.25,1004.0,1014.75
90,2024-04-05 13:15:00,1014.85,1019.0,1011.0,1017.4
91,2024-04-08 09:15:00,1017.8,1057.75,1017.55,1043.7
92,2024-04-08 13:15:00,1044.2,1058.0,1031.65,1058.0
93,2024-04-09 09:15:00,1050.05,1056.0,1035.65,1050.0
94,2024-04-09 13:15:00,1049.05,1050.0,1044.4,1047.0
95,2024-04-10 09:15:00,1048.0,1058.0,1031.55,1035.95
96,2024-04-10 13:15:00,1035.4,1046.8,1034.55,1043.35
97,2024-04-12 09:15:00,1048.0,1070.0,1031.0,1052.05
98,2024-04-12 13:15:00,1052.15,1054.85,1047.05,1051.4
99,2024-04-15 09:15:00,1036.35,1060.0,1033.45,1045.35
100,2024-04-15 13:15:00,1044.65,1049.6,1032.6,1044.0
101,2024-04-16 09:15:00,1045.5,1063.95,1040.1,1058.1
102,2024-04-16 13:15:00,1057.25,1061.7,1055.4,1060.0
103,2024-04-18 09:15:00,1060.8,1063.85,1043.6,1057.65
104,2024-04-18 13:15:00,1057.7,1058.0,1034.2,1044.0
105,2024-04-19 09:15:00,1029.95,1039.45,1020.15,1030.25
106,2024-04-19 13:15:00,1030.3,1032.2,1022.25,1030.0
107,2024-04-22 09:15:00,1026.45,1054.1,1026.45,1038.25
108,2024-04-22 13:15:00,1038.4,1042.2,1036.05,1039.35
109,2024-04-23 09:15:00,1041.0,1044.25,1018.0,1030.0
110,2024-04-23 13:15:00,1030.0,1038.0,1028.65,1037.65
111,2024-04-24 09:15:00,1036.35,1069.7,1033.3,1068.75
112,2024-04-24 13:15:00,1068.7,1074.55,1062.15,1072.0
113,2024-04-25 09:15:00,1072.0,1096.0,1071.0,1080.1
114,2024-04-25 13:15:00,1080.05,1085.0,1076.4,1080.3
115,2024-04-26 09:15:00,1085.6,1088.75,1061.25,1079.9
116,2024-04-26 13:15:00,1079.45,1084.15,1074.0,1078.0
117,2024-04-29 09:15:00,1089.95,1098.0,1078.25,1098.0
118,2024-04-29 13:15:00,1097.7,1097.95,1063.05,1075.0
119,2024-04-30 09:15:00,1079.95,1081.6,1057.25,1067.2
120,2024-04-30 13:15:00,1067.85,1069.7,1054.5,1060.0
121,2024-05-02 09:15:00,1060.0,1068.95,1053.7,1058.55
122,2024-05-02 13:15:00,1057.8,1067.85,1056.0,1060.0
123,2024-05-03 09:15:00,1067.35,1071.3,1045.3,1054.35
124,2024-05-03 13:15:00,1054.25,1059.0,1048.0,1050.0
125,2024-05-06 09:15:00,1055.05,1061.95,1033.65,1046.75
126,2024-05-06 13:15:00,1047.0,1054.6,1038.1,1040.0
127,2024-05-07 09:15:00,1043.6,1043.6,997.8,1003.0
128,2024-05-07 13:15:00,1002.95,1020.0,1001.8,1012.9
129,2024-05-08 09:15:00,1012.45,1029.5,1008.05,1024.9
130,2024-05-08 13:15:00,1025.4,1028.0,1017.0,1020.0
131,2024-05-09 09:15:00,1016.5,1024.75,997.2,999.0
132,2024-05-09 13:15:00,998.95,1004.75,995.25,1002.85
133,2024-05-10 09:15:00,1004.4,1027.15,997.4,1020.1
134,2024-05-10 13:15:00,1019.95,1027.25,1012.75,1025.0
135,2024-05-13 09:15:00,1026.8,1040.7,1010.0,1031.35
136,2024-05-13 13:15:00,1030.75,1035.8,1019.3,1033.15
137,2024-05-14 09:15:00,1039.85,1040.0,1013.25,1018.7
138,2024-05-14 13:15:00,1018.8,1018.9,1008.1,1013.95
139,2024-05-15 09:15:00,1014.0,1017.35,986.4,1008.05
140,2024-05-15 13:15:00,1008.35,1010.0,999.25,1005.0
141,2024-05-16 09:15:00,1011.95,1011.95,995.05,1001.2
142,2024-05-16 13:15:00,1000.15,1011.8,985.25,1010.0
143,2024-05-17 09:15:00,1009.0,1021.2,999.8,1014.25
144,2024-05-17 13:15:00,1013.95,1021.5,1011.8,1021.5
146,2024-05-21 09:15:00,1049.3,1052.0,1023.1,1025.5
147,2024-05-21 13:15:00,1025.45,1038.45,1025.45,1034.5
148,2024-05-22 09:15:00,1034.45,1043.0,1026.3,1028.4
149,2024-05-22 13:15:00,1028.7,1036.45,1021.9,1036.45
150,2024-05-23 09:15:00,1032.9,1036.05,1010.45,1029.5
151,2024-05-23 13:15:00,1029.0,1034.2,1025.75,1031.0
152,2024-05-24 09:15:00,1030.0,1042.6,1001.0,1032.5
153,2024-05-24 13:15:00,1031.65,1039.5,1028.35,1031.55
154,2024-05-27 09:15:00,1033.0,1123.0,1033.0,1112.0
155,2024-05-27 13:15:00,1112.25,1124.5,1108.0,1123.95
156,2024-05-28 09:15:00,1119.45,1176.05,1110.25,1138.25
157,2024-05-28 13:15:00,1138.95,1163.0,1137.75,1160.0
158,2024-05-29 09:15:00,1159.0,1183.9,1144.15,1178.9
159,2024-05-29 13:15:00,1179.0,1183.75,1171.4,1173.3
160,2024-05-30 09:15:00,1175.1,1180.75,1156.55,1158.4
161,2024-05-30 13:15:00,1158.15,1165.0,1148.55,1160.0
162,2024-05-31 09:15:00,1160.2,1182.0,1145.6,1162.2
163,2024-05-31 13:15:00,1161.6,1174.95,1154.4,1174.95
164,2024-06-03 09:15:00,1172.0,1198.95,1151.8,1172.2
165,2024-06-03 13:15:00,1172.15,1179.0,1171.5,1176.2
166,2024-06-04 09:15:00,1185.55,1185.55,1037.35,1124.75
167,2024-06-04 13:15:00,1125.15,1148.9,1120.0,1135.0
168,2024-06-05 09:15:00,1139.4,1203.0,1117.4,1186.8
169,2024-06-05 13:15:00,1186.65,1198.15,1178.0,1184.55
170,2024-06-06 09:15:00,1183.55,1199.95,1164.25,1182.35
171,2024-06-06 13:15:00,1181.7,1216.0,1181.7,1213.0
172,2024-06-07 09:15:00,1220.95,1220.95,1188.6,1191.8
173,2024-06-07 13:15:00,1191.85,1200.0,1188.0,1198.0
174,2024-06-10 09:15:00,1200.0,1211.5,1182.55,1207.55
