,time,into,inth,intl,intc
0,2024-01-30 09:15:00,755.0,759.9,745.35,747.2
1,2024-01-30 13:15:00,747.1,749.95,736.0,742.0
2,2024-01-31 09:15:00,741.35,748.8,738.3,746.05
3,2024-01-31 13:15:00,746.65,752.75,745.45,750.0
4,2024-02-01 09:15:00,753.0,755.0,736.75,742.05
5,2024-02-01 13:15:00,742.45,743.0,732.3,738.25
6,2024-02-02 09:15:00,738.0,744.85,734.35,739.95
7,2024-02-02 13:15:00,739.7,793.0,660.1,735.0
8,2024-02-05 09:15:00,733.55,734.65,718.85,723.6
9,2024-02-05 13:15:00,723.5,724.0,706.7,715.0
10,2024-02-06 09:15:00,715.1,721.0,711.2,715.75
11,2024-02-06 13:15:00,716.3,719.45,712.65,716.0
12,2024-02-07 09:15:00,718.0,720.0,696.45,704.0
13,2024-02-07 13:15:00,703.85,706.6,699.35,701.0
14,2024-02-08 09:15:00,665.55,700.5,665.55,693.0
15,2024-02-08 13:15:00,692.9,693.25,681.0,685.0
16,2024-02-09 09:15:00,684.0,690.0,663.8,670.25
17,2024-02-09 13:15:00,669.7,674.0,667.95,674.0
18,2024-02-12 09:15:00,672.95,675.5,648.05,649.55
19,2024-02-12 13:15:00,650.05,655.65,640.0,645.5
20,2024-02-13 09:15:00,643.15,653.8,634.45,637.9
21,2024-02-13 13:15:00,638.2,644.2,635.0,635.0
22,2024-02-14 09:15:00,632.85,642.7,630.0,641.35
23,2024-02-14 13:15:00,641.35,650.0,639.55,650.0
24,2024-02-15 09:15:00,649.0,667.45,647.35,654.0
25,2024-02-15 13:15:00,654.05,658.05,650.95,656.0
26,2024-02-16 09:15:00,657.5,667.65,655.55,664.05
27,2024-02-16 13:15:00,663.7,665.85,657.75,663.0
28,2024-02-19 09:15:00,662.35,676.65,660.75,674.5
29,2024-02-19 13:15:00,674.35,677.0,672.65,674.0
30,2024-02-20 09:15:00,673.95,681.0,669.0,674.0
31,2024-02-20 13:15:00,673.6,675.5,672.35,674.0
32,2024-02-21 09:15:00,672.9,683.0,667.1,681.95
33,2024-02-21 13:15:00,681.65,683.0,665.0,668.6
34,2024-02-22 09:15:00,669.0,669.25,658.15,666.65
35,2024-02-22 13:15:00,667.1,671.8,666.5,669.95
36,2024-02-23 09:15:00,670.0,675.75,669.2,673.6
37,2024-02-23 13:15:00,673.45,676.1,670.0,673.6
39,2024-02-26 09:15:00,674.9,677.0,663.85,675.5
40,2024-02-26 13:15:00,675.95,680.0,673.45,678.9
41,2024-02-27 09:15:00,677.15,686.6,668.6,669.55
42,2024-02-27 13:15:00,669.9,672.25,664.35,671.95
43,2024-02-28 09:15:00,671.8,673.8,652.55,652.65
44,2024-02-28 13:15:00,652.9,659.2,643.35,646.0
45,2024-02-29 09:15:00,645.95,650.95,627.7,629.9
46,2024-02-29 13:15:00,630.0,645.5,628.65,642.6
47,2024-03-01 09:15:00,643.0,650.15,633.9,634.1
48,2024-03-01 13:15:00,634.4,635.0,630.5,632.3
