,time,into,inth,intl,intc
0,2024-01-30 09:15:00,2113.95,2139.0,2108.2,2132.8
1,2024-01-30 13:15:00,2131.75,2139.0,2108.6,2126.5
2,2024-01-31 09:15:00,2126.45,2151.0,2115.6,2148.6
3,2024-01-31 13:15:00,2148.15,2182.05,2148.0,2160.0
4,2024-02-01 09:15:00,2178.9,2178.9,2130.25,2139.8
5,2024-02-01 13:15:00,2139.85,2147.95,2113.0,2147.95
6,2024-02-02 09:15:00,2146.7,2169.9,2136.2,2139.45
7,2024-02-02 13:15:00,2140.0,2351.0,2130.1,2130.1
8,2024-02-05 09:15:00,2135.0,2147.3,2106.0,2112.1
9,2024-02-05 13:15:00,2111.3,2115.15,2081.0,2082.0
10,2024-02-06 09:15:00,2087.6,2097.95,2072.3,2086.6
11,2024-02-06 13:15:00,2086.65,2089.0,2061.1,2063.0
12,2024-02-07 09:15:00,2079.75,2109.85,2076.15,2100.1
13,2024-02-07 13:15:00,2100.6,2116.8,2093.05,2115.2
14,2024-02-08 09:15:00,2125.0,2125.0,2067.8,2085.6
15,2024-02-08 13:15:00,2086.5,2104.0,2048.75,2070.05
16,2024-02-09 09:15:00,2050.1,2166.85,2047.35,2152.9
17,2024-02-09 13:15:00,2153.95,2180.95,2145.0,2175.0
18,2024-02-12 09:15:00,2172.0,2197.05,2150.7,2153.65
19,2024-02-12 13:15:00,2154.0,2159.0,2138.1,2140.05
20,2024-02-13 09:15:00,2173.65,2173.85,2053.95,2063.25
21,2024-02-13 13:15:00,2063.5,2078.55,2054.0,2054.0
22,2024-02-14 09:15:00,2057.8,2063.75,2027.5,2061.05
23,2024-02-14 13:15:00,2061.35,2085.7,2054.85,2085.7
24,2024-02-15 09:15:00,2085.85,2096.05,2072.8,2095.0
25,2024-02-15 13:15:00,2094.2,2103.65,2076.0,2091.4
26,2024-02-16 09:15:00,2092.9,2119.0,2086.85,2107.55
27,2024-02-16 13:15:00,2107.95,2113.0,2095.85,2104.0
29,2024-02-19 09:15:00,2107.5,2171.8,2102.2,2171.25
30,2024-02-19 13:15:00,2170.4,2190.0,2161.05,2169.0
31,2024-02-20 09:15:00,2171.5,2222.0,2161.3,2190.8
32,2024-02-20 13:15:00,2190.75,2199.6,2175.8,2195.0
33,2024-02-21 09:15:00,2203.85,2222.0,2190.0,2206.5
34,2024-02-21 13:15:00,2206.3,2210.0,2180.05,2197.0
35,2024-02-22 09:15:00,2231.2,2244.0,2113.2,2143.75
36,2024-02-22 13:15:00,2142.5,2234.0,2141.75,2234.0
37,2024-02-23 09:15:00,2230.05,2232.45,2182.6,2189.95
38,2024-02-23 13:15:00,2190.0,2227.0,2159.0,2159.0
40,2024-02-26 09:15:00,2208.0,2211.25,2175.0,2193.2
41,2024-02-26 13:15:00,2193.5,2205.0,2183.45,2190.2
42,2024-02-27 09:15:00,2192.95,2214.0,2192.95,2200.85
43,2024-02-27 13:15:00,2200.9,2209.9,2191.05,2202.0
44,2024-02-28 09:15:00,2200.0,2218.9,2180.1,2184.0
45,2024-02-28 13:15:00,2184.1,2198.85,2173.25,2186.0
46,2024-02-29 09:15:00,2190.0,2201.5,2157.8,2188.4
47,2024-02-29 13:15:00,2187.25,2209.0,2177.05,2209.0
48,2024-03-01 09:15:00,2196.75,2256.05,2196.75,2253.25
49,2024-03-01 13:15:00,2253.9,2259.4,2247.6,2255.0
51,2024-03-04 09:15:00,2244.0,2254.05,2226.65,2231.3
52,2024-03-04 13:15:00,2231.7,2239.0,2227.25,2230.1
53,2024-03-05 09:15:00,2228.85,2251.75,2220.55,2248.0
54,2024-03-05 13:15:00,2247.25,2250.0,2225.3,2225.3
55,2024-03-06 09:15:00,2244.6,2247.15,2196.6,2210.4
56,2024-03-06 13:15:00,2210.55,2244.55,2210.0,2242.0
57,2024-03-11 09:15:00,2235.35,2270.05,2225.6,2240.85
58,2024-03-11 13:15:00,2240.65,2249.0,2230.35,2236.0
59,2024-03-12 09:15:00,2235.0,2246.95,2186.6,2192.0
60,2024-03-12 13:15:00,2191.65,2202.85,2173.65,2194.0
61,2024-03-13 09:15:00,2193.9,2203.05,2159.85,2163.1
62,2024-03-13 13:15:00,2163.6,2165.95,2137.3,2149.9
63,2024-03-14 09:15:00,2149.0,2196.0,2129.1,2191.1
64,2024-03-14 13:15:00,2191.35,2204.8,2179.55,2189.9
65,2024-03-15 09:15:00,2184.1,2195.3,2165.05,2191.9
66,2024-03-15 13:15:00,2191.95,2208.15,2169.6,2181.0
67,2024-03-18 09:15:00,2179.75,2214.0,2170.0,2206.1
68,2024-03-18 13:15:00,2205.9,2209.25,2199.0,2199.0
69,2024-03-19 09:15:00,2198.95,2206.1,2163.9,2189.05
70,2024-03-19 13:15:00,2189.0,2189.05,2168.95,2175.5
71,2024-03-20 09:15:00,2179.0,2187.9,2131.0,2186.3
72,2024-03-20 13:15:00,2185.65,2196.0,2146.7,2188.0
73,2024-03-21 09:15:00,2180.0,2207.4,2175.3,2197.05
74,2024-03-21 13:15:00,2197.1,2210.9,2188.4,2200.0
75,2024-03-22 09:15:00,2198.95,2213.75,2194.65,2209.35
76,2024-03-22 13:15:00,2209.3,2234.0,2209.3,2220.0
77,2024-03-26 09:15:00,2219.55,2241.65,2201.65,2237.35
78,2024-03-26 13:15:00,2236.5,2242.1,2233.0,2237.55
79,2024-03-27 09:15:00,2240.05,2251.95,2232.0,2236.55
80,2024-03-27 13:15:00,2236.9,2240.05,2198.7,2215.0
81,2024-03-28 09:15:00,2211.8,2285.25,2210.45,2277.0
82,2024-03-28 13:15:00,2277.4,2308.95,2276.95,2300.0
83,2024-04-01 09:15:00,2302.0,2319.2,2297.5,2303.65
84,2024-04-01 13:15:00,2303.75,2307.75,2289.05,2297.0
85,2024-04-02 09:15:00,2297.25,2311.95,2275.0,2293.2
86,2024-04-02 13:15:00,2293.0,2315.75,2290.6,2303.6
87,2024-04-03 09:15:00,2296.1,2316.15,2288.05,2306.3
88,2024-04-03 13:15:00,2306.45,2312.55,2300.2,2309.5
89,2024-04-04 09:15:00,2310.05,2321.7,2249.6,2261.3
90,2024-04-04 13:15:00,2261.8,2285.0,2256.2,2275.05
