,time,into,inth,intl,intc
0,2024-01-30 09:15:00,556.0,559.9,553.65,558.1
1,2024-01-30 13:15:00,558.3,562.5,553.15,555.65
2,2024-01-31 09:15:00,557.85,578.25,555.75,573.8
3,2024-01-31 13:15:00,574.0,582.75,573.7,579.7
4,2024-02-01 09:15:00,587.5,593.0,575.45,577.75
5,2024-02-01 13:15:00,578.0,585.0,576.25,585.0
6,2024-02-02 09:15:00,584.95,599.8,584.7,592.45
7,2024-02-02 13:15:00,592.75,614.5,585.95,596.8
8,2024-02-05 09:15:00,596.95,607.0,591.0,600.95
9,2024-02-05 13:15:00,601.55,603.4,595.05,599.7
10,2024-02-06 09:15:00,599.1,610.5,592.65,609.8
11,2024-02-06 13:15:00,609.9,617.75,609.05,615.8
12,2024-02-07 09:15:00,619.7,619.7,600.3,603.15
13,2024-02-07 13:15:00,603.0,605.7,600.8,603.0
14,2024-02-08 09:15:00,605.8,612.05,604.0,605.7
15,2024-02-08 13:15:00,605.3,605.9,598.45,601.35
16,2024-02-09 09:15:00,595.0,595.0,566.05,580.0
17,2024-02-09 13:15:00,579.65,584.4,577.4,580.3
18,2024-02-12 09:15:00,582.9,584.55,561.45,564.6
19,2024-02-12 13:15:00,564.5,568.55,558.75,560.0
20,2024-02-13 09:15:00,559.55,566.8,556.35,562.05
21,2024-02-13 13:15:00,562.1,566.1,529.0,529.0
22,2024-02-14 09:15:00,529.6,559.0,512.0,550.85
23,2024-02-14 13:15:00,551.15,562.55,550.0,559.0
24,2024-02-15 09:15:00,559.45,585.0,556.15,584.15
25,2024-02-15 13:15:00,584.05,585.4,567.5,567.5
26,2024-02-16 09:15:00,566.25,566.25,544.55,547.45
27,2024-02-16 13:15:00,547.4,566.85,542.0,545.0
28,2024-02-19 09:15:00,544.0,565.45,541.0,555.15
29,2024-02-19 13:15:00,555.25,556.05,549.6,551.0
30,2024-02-20 09:15:00,550.85,560.75,544.45,555.05
31,2024-02-20 13:15:00,555.0,556.9,553.55,555.5
32,2024-02-21 09:15:00,558.6,567.2,554.0,565.75
33,2024-02-21 13:15:00,566.1,569.75,563.5,568.0
34,2024-02-22 09:15:00,565.9,575.7,561.9,562.05
35,2024-02-22 13:15:00,562.4,567.95,562.25,567.95
36,2024-02-23 09:15:00,569.35,576.3,564.0,575.0
37,2024-02-23 13:15:00,575.45,580.5,574.8,577.3
39,2024-02-26 09:15:00,579.85,583.6,566.6,569.1
40,2024-02-26 13:15:00,568.8,569.3,565.65,567.1
41,2024-02-27 09:15:00,568.0,572.85,559.65,560.9
42,2024-02-27 13:15:00,561.15,561.15,557.0,558.35
43,2024-02-28 09:15:00,558.5,568.0,550.45,550.9
44,2024-02-28 13:15:00,550.65,554.9,545.0,552.75
45,2024-02-29 09:15:00,550.25,558.3,544.75,557.95
46,2024-02-29 13:15:00,558.0,568.4,557.7,568.0
47,2024-03-01 09:15:00,573.35,582.35,571.55,573.25
48,2024-03-01 13:15:00,572.85,579.5,572.8,578.95
50,2024-03-04 09:15:00,578.4,595.55,577.15,585.55
51,2024-03-04 13:15:00,585.95,594.8,585.65,594.8
52,2024-03-05 09:15:00,593.0,594.5,586.4,592.05
53,2024-03-05 13:15:00,592.4,594.85,589.75,594.35
54,2024-03-06 09:15:00,593.45,594.45,555.65,560.85
55,2024-03-06 13:15:00,560.8,568.6,557.1,568.6
56,2024-03-11 09:15:00,575.65,576.45,556.0,564.35
57,2024-03-11 13:15:00,564.3,566.65,560.7,561.0
58,2024-03-12 09:15:00,576.9,576.9,555.2,557.1
59,2024-03-12 13:15:00,557.0,559.95,553.3,556.15
60,2024-03-13 09:15:00,556.1,556.15,535.25,536.95
61,2024-03-13 13:15:00,536.85,538.05,523.2,528.0
62,2024-03-14 09:15:00,527.95,542.65,522.05,533.15
63,2024-03-14 13:15:00,532.9,538.8,532.05,538.7
64,2024-03-15 09:15:00,535.15,541.7,528.6,535.65
65,2024-03-15 13:15:00,535.3,546.95,535.0,543.15
66,2024-03-18 09:15:00,543.55,544.4,535.0,539.9
67,2024-03-18 13:15:00,539.95,545.9,538.35,543.0
68,2024-03-19 09:15:00,542.95,543.0,526.85,529.65
69,2024-03-19 13:15:00,529.2,529.65,516.25,518.45
70,2024-03-20 09:15:00,518.25,518.35,498.95,513.55
71,2024-03-20 13:15:00,513.65,518.65,512.4,515.3
72,2024-03-21 09:15:00,518.0,530.0,518.0,526.0
73,2024-03-21 13:15:00,526.3,530.8,525.35,528.5
74,2024-03-22 09:15:00,527.05,532.2,524.15,531.35
75,2024-03-22 13:15:00,531.0,531.55,527.45,529.0
76,2024-03-26 09:15:00,528.55,548.2,525.05,548.15
77,2024-03-26 13:15:00,548.3,553.05,547.4,548.4
