,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1580.95,1592.45,1570.95,1579.0
1,2024-01-30 13:15:00,1578.85,1582.9,1555.0,1559.3
2,2024-01-31 09:15:00,1559.8,1578.9,1546.55,1574.7
3,2024-01-31 13:15:00,1574.65,1581.0,1565.0,1570.8
4,2024-02-01 09:15:00,1574.3,1597.0,1566.5,1574.7
5,2024-02-01 13:15:00,1574.1,1584.8,1568.5,1584.8
6,2024-02-02 09:15:00,1584.75,1613.6,1578.0,1578.35
7,2024-02-02 13:15:00,1578.3,1742.1,1514.95,1584.95
8,2024-02-05 09:15:00,1587.95,1588.5,1567.2,1570.85
9,2024-02-05 13:15:00,1570.8,1572.4,1551.45,1566.0
10,2024-02-06 09:15:00,1565.4,1613.6,1558.05,1613.05
11,2024-02-06 13:15:00,1613.0,1626.95,1610.8,1623.8
12,2024-02-07 09:15:00,1627.95,1629.1,1599.05,1620.9
13,2024-02-07 13:15:00,1620.8,1623.85,1611.15,1614.95
14,2024-02-08 09:15:00,1625.95,1647.65,1617.35,1639.8
15,2024-02-08 13:15:00,1639.75,1641.5,1625.3,1634.55
16,2024-02-09 09:15:00,1639.75,1646.2,1615.25,1622.85
17,2024-02-09 13:15:00,1623.1,1639.0,1619.9,1639.0
18,2024-02-12 09:15:00,1644.0,1685.0,1640.35,1678.95
19,2024-02-12 13:15:00,1679.15,1679.5,1658.8,1659.4
20,2024-02-13 09:15:00,1666.95,1671.95,1648.6,1657.95
21,2024-02-13 13:15:00,1658.1,1669.3,1649.75,1649.75
22,2024-02-14 09:15:00,1649.0,1657.05,1626.25,1652.55
23,2024-02-14 13:15:00,1652.35,1678.0,1648.55,1678.0
24,2024-02-15 09:15:00,1678.95,1696.0,1650.1,1661.25
25,2024-02-15 13:15:00,1661.65,1675.0,1657.75,1675.0
26,2024-02-16 09:15:00,1676.9,1676.9,1650.05,1671.95
27,2024-02-16 13:15:00,1672.0,1674.0,1665.15,1670.0
28,2024-02-19 09:15:00,1669.95,1682.95,1660.5,1681.9
29,2024-02-19 13:15:00,1681.65,1682.3,1661.0,1661.0
30,2024-02-20 09:15:00,1668.75,1672.45,1645.0,1651.5
31,2024-02-20 13:15:00,1651.7,1666.0,1650.4,1660.0
32,2024-02-21 09:15:00,1655.45,1664.8,1641.2,1646.15
33,2024-02-21 13:15:00,1645.8,1646.9,1632.1,1635.5
34,2024-02-22 09:15:00,1644.8,1670.0,1639.0,1662.0
35,2024-02-22 13:15:00,1662.2,1697.0,1659.5,1697.0
36,2024-02-23 09:15:00,1695.0,1696.0,1674.0,1675.4
37,2024-02-23 13:15:00,1675.45,1697.0,1607.0,1639.0
39,2024-02-26 09:15:00,1660.55,1665.45,1639.5,1649.85
40,2024-02-26 13:15:00,1650.0,1653.5,1645.45,1649.0
41,2024-02-27 09:15:00,1654.0,1673.4,1650.0,1670.7
42,2024-02-27 13:15:00,1670.75,1672.0,1653.2,1664.7
43,2024-02-28 09:15:00,1665.0,1671.95,1644.2,1647.2
44,2024-02-28 13:15:00,1647.1,1656.6,1642.15,1642.15
45,2024-02-29 09:15:00,1645.4,1664.95,1636.95,1661.3
46,2024-02-29 13:15:00,1660.8,1677.5,1651.55,1675.45
47,2024-03-01 09:15:00,1675.4,1678.3,1648.25,1650.0
48,2024-03-01 13:15:00,1649.95,1653.1,1639.1,1646.45
50,2024-03-04 09:15:00,1650.0,1653.7,1635.25,1645.3
51,2024-03-04 13:15:00,1645.45,1646.7,1624.0,1624.0
52,2024-03-05 09:15:00,1624.55,1629.9,1607.35,1628.45
53,2024-03-05 13:15:00,1628.3,1629.85,1610.25,1617.4
54,2024-03-06 09:15:00,1613.6,1628.6,1603.85,1627.65
55,2024-03-06 13:15:00,1627.9,1649.35,1622.2,1648.0
56,2024-03-11 09:15:00,1653.4,1659.5,1633.65,1653.35
57,2024-03-11 13:15:00,1653.25,1653.9,1634.05,1635.9
58,2024-03-12 09:15:00,1636.0,1665.0,1635.05,1644.3
59,2024-03-12 13:15:00,1644.5,1646.0,1633.1,1638.75
60,2024-03-13 09:15:00,1639.1,1651.25,1611.05,1621.85
61,2024-03-13 13:15:00,1621.75,1639.3,1610.4,1634.0
62,2024-03-14 09:15:00,1619.15,1662.0,1610.35,1659.85
63,2024-03-14 13:15:00,1660.45,1682.85,1656.0,1677.0
64,2024-03-15 09:15:00,1675.0,1675.0,1652.65,1657.45
65,2024-03-15 13:15:00,1657.5,1660.0,1642.85,1649.9
66,2024-03-18 09:15:00,1654.0,1663.3,1648.0,1652.95
67,2024-03-18 13:15:00,1652.4,1658.5,1634.8,1641.55
68,2024-03-19 09:15:00,1641.5,1641.5,1601.15,1611.35
69,2024-03-19 13:15:00,1611.3,1614.9,1594.1,1604.75
70,2024-03-20 09:15:00,1605.2,1619.1,1589.55,1599.35
71,2024-03-20 13:15:00,1598.75,1608.0,1578.2,1608.0
72,2024-03-21 09:15:00,1607.85,1619.9,1583.35,1600.1
73,2024-03-21 13:15:00,1600.5,1603.75,1560.0,1560.0
74,2024-03-22 09:15:00,1563.15,1564.55,1508.65,1560.5
75,2024-03-22 13:15:00,1560.05,1567.75,1553.35,1557.9
76,2024-03-26 09:15:00,1561.95,1592.55,1555.55,1561.25
77,2024-03-26 13:15:00,1560.75,1568.0,1557.0,1563.0
78,2024-03-27 09:15:00,1569.75,1576.85,1559.0,1568.75
79,2024-03-27 13:15:00,1569.2,1570.4,1540.0,1549.0
80,2024-03-28 09:15:00,1549.9,1554.95,1531.0,1551.6
81,2024-03-28 13:15:00,1551.65,1561.05,1538.05,1549.0
82,2024-04-01 09:15:00,1550.95,1569.0,1550.25,1559.05
83,2024-04-01 13:15:00,1559.85,1561.0,1553.85,1559.0
84,2024-04-02 09:15:00,1560.0,1564.25,1539.55,1539.9
85,2024-04-02 13:15:00,1539.8,1539.9,1525.1,1525.35
86,2024-04-03 09:15:00,1527.2,1558.35,1519.6,1548.15
87,2024-04-03 13:15:00,1548.2,1550.45,1533.3,1540.8
88,2024-04-04 09:15:00,1542.4,1543.6,1518.75,1540.0
89,2024-04-04 13:15:00,1539.4,1552.5,1536.35,1542.45
90,2024-04-05 09:15:00,1542.4,1543.4,1523.8,1538.25
91,2024-04-05 13:15:00,1538.45,1554.0,1534.05,1554.0
92,2024-04-08 09:15:00,1553.9,1553.9,1541.2,1546.3
93,2024-04-08 13:15:00,1546.2,1547.35,1537.75,1540.0
94,2024-04-09 09:15:00,1542.75,1561.8,1536.25,1540.05
95,2024-04-09 13:15:00,1540.25,1544.05,1534.55,1543.0
96,2024-04-10 09:15:00,1543.3,1552.15,1538.4,1543.9
97,2024-04-10 13:15:00,1544.1,1547.15,1536.2,1537.0
98,2024-04-12 09:15:00,1536.95,1542.45,1516.2,1520.6
99,2024-04-12 13:15:00,1520.7,1526.1,1517.9,1521.3
100,2024-04-15 09:15:00,1510.0,1530.5,1494.0,1495.2
101,2024-04-15 13:15:00,1495.1,1508.75,1486.35,1486.35
102,2024-04-16 09:15:00,1489.35,1501.6,1467.55,1472.2
103,2024-04-16 13:15:00,1471.8,1480.25,1469.1,1474.1
104,2024-04-18 09:15:00,1477.15,1480.9,1452.25,1468.0
105,2024-04-18 13:15:00,1467.7,1474.0,1458.95,1468.0
106,2024-04-19 09:15:00,1445.85,1455.0,1435.0,1447.65
107,2024-04-19 13:15:00,1447.2,1450.5,1440.9,1449.9
108,2024-04-22 09:15:00,1450.5,1473.0,1450.5,1460.8
109,2024-04-22 13:15:00,1460.6,1474.9,1454.0,1474.9
110,2024-04-23 09:15:00,1474.45,1501.45,1472.75,1497.5
111,2024-04-23 13:15:00,1497.35,1498.0,1485.0,1485.55
112,2024-04-24 09:15:00,1493.5,1496.95,1481.0,1483.35
113,2024-04-24 13:15:00,1483.4,1485.9,1476.3,1482.0
114,2024-04-25 09:15:00,1481.0,1504.75,1480.5,1495.9
