,time,into,inth,intl,intc
0,2024-01-30 09:15:00,3524.0,3533.95,3478.05,3510.3
1,2024-01-30 13:15:00,3512.35,3533.95,3497.4,3528.0
2,2024-01-31 09:15:00,3523.1,3612.0,3523.1,3590.0
3,2024-01-31 13:15:00,3589.95,3590.0,3555.8,3584.15
4,2024-02-01 09:15:00,3584.1,3601.0,3535.05,3559.85
5,2024-02-01 13:15:00,3562.0,3597.9,3556.85,3597.9
6,2024-02-02 09:15:00,3602.2,3616.6,3562.15,3565.6
7,2024-02-02 13:15:00,3564.55,3923.5,3449.95,3574.0
8,2024-02-05 09:15:00,3570.0,3606.0,3513.65,3548.9
9,2024-02-05 13:15:00,3549.15,3570.85,3527.55,3570.0
10,2024-02-06 09:15:00,3574.05,3599.0,3552.25,3572.45
11,2024-02-06 13:15:00,3573.65,3630.0,3564.0,3623.0
12,2024-02-07 09:15:00,3631.0,3657.95,3610.0,3636.95
13,2024-02-07 13:15:00,3636.8,3659.85,3630.0,3640.0
14,2024-02-08 09:15:00,3643.8,3674.75,3621.05,3657.95
15,2024-02-08 13:15:00,3659.7,3663.95,3634.2,3641.6
16,2024-02-09 09:15:00,3667.75,3690.0,3577.75,3604.8
17,2024-02-09 13:15:00,3605.15,3644.45,3591.55,3642.0
18,2024-02-12 09:15:00,3645.95,3684.8,3590.25,3595.6
19,2024-02-12 13:15:00,3594.2,3657.6,3580.8,3621.0
20,2024-02-13 09:15:00,3640.6,3779.0,3623.2,3751.0
21,2024-02-13 13:15:00,3752.0,3775.2,3747.35,3750.0
22,2024-02-14 09:15:00,3745.0,3750.0,3681.05,3722.2
23,2024-02-14 13:15:00,3723.35,3797.25,3720.05,3778.3
24,2024-02-15 09:15:00,3778.25,3818.6,3724.0,3769.3
25,2024-02-15 13:15:00,3769.05,3814.7,3763.5,3814.7
26,2024-02-16 09:15:00,3814.6,3857.85,3788.45,3853.0
27,2024-02-16 13:15:00,3852.8,3885.05,3850.0,3885.05
28,2024-02-19 09:15:00,3880.0,3885.4,3695.35,3711.95
29,2024-02-19 13:15:00,3711.0,3746.75,3690.0,3746.0
30,2024-02-20 09:15:00,3740.0,3830.0,3725.15,3762.9
31,2024-02-20 13:15:00,3761.35,3781.35,3756.7,3777.0
32,2024-02-21 09:15:00,3779.9,3809.8,3760.0,3782.5
33,2024-02-21 13:15:00,3783.4,3788.95,3726.0,3734.0
34,2024-02-22 09:15:00,3750.0,3792.95,3715.05,3783.7
35,2024-02-22 13:15:00,3784.9,3791.45,3764.3,3784.0
36,2024-02-23 09:15:00,3785.65,3835.0,3776.0,3831.1
37,2024-02-23 13:15:00,3832.9,3838.3,3779.65,3779.65
39,2024-02-26 09:15:00,3819.0,3855.0,3742.5,3846.1
40,2024-02-26 13:15:00,3846.95,3911.0,3840.0,3911.0
41,2024-02-27 09:15:00,3905.95,4066.45,3905.95,3937.25
42,2024-02-27 13:15:00,3937.3,3938.0,3861.45,3903.85
43,2024-02-28 09:15:00,3905.15,3916.0,3836.25,3836.4
44,2024-02-28 13:15:00,3836.35,3882.6,3815.0,3815.0
45,2024-02-29 09:15:00,3818.55,3825.2,3740.0,3751.0
46,2024-02-29 13:15:00,3752.0,3795.7,3712.45,3753.0
47,2024-03-01 09:15:00,3752.95,3781.05,3723.0,3766.45
48,2024-03-01 13:15:00,3768.5,3807.75,3755.1,3778.75
50,2024-03-04 09:15:00,3770.05,3836.95,3770.0,3826.7
51,2024-03-04 13:15:00,3828.9,3875.6,3825.35,3852.95
52,2024-03-05 09:15:00,3851.0,3855.55,3770.0,3815.0
53,2024-03-05 13:15:00,3814.9,3818.35,3785.2,3794.0
54,2024-03-06 09:15:00,3791.0,3815.75,3733.0,3752.6
55,2024-03-06 13:15:00,3750.85,3782.15,3733.3,3764.0
56,2024-03-11 09:15:00,3760.0,3834.65,3728.05,3778.5
57,2024-03-11 13:15:00,3778.6,3802.05,3746.0,3746.0
58,2024-03-12 09:15:00,3745.0,3770.0,3659.95,3696.7
59,2024-03-12 13:15:00,3695.85,3717.5,3675.0,3689.1
60,2024-03-13 09:15:00,3689.0,3750.9,3606.05,3679.7
61,2024-03-13 13:15:00,3682.45,3690.0,3585.05,3585.05
62,2024-03-14 09:15:00,3588.05,3720.0,3582.35,3711.5
63,2024-03-14 13:15:00,3712.95,3779.0,3703.0,3741.35
64,2024-03-15 09:15:00,3748.1,3758.1,3680.0,3750.0
65,2024-03-15 13:15:00,3748.65,3831.45,3736.2,3819.95
66,2024-03-18 09:15:00,3824.0,3824.0,3716.9,3752.4
67,2024-03-18 13:15:00,3753.6,3757.3,3716.65,3724.9
68,2024-03-19 09:15:00,3724.4,3729.4,3650.05,3656.85
