,time,into,inth,intl,intc
0,2024-01-30 09:15:00,4625.1,4662.0,4597.4,4619.65
1,2024-01-30 13:15:00,4618.65,4630.5,4567.5,4567.5
2,2024-01-31 09:15:00,4570.0,4629.9,4520.0,4605.4
3,2024-01-31 13:15:00,4607.6,4636.9,4595.55,4620.0
4,2024-02-01 09:15:00,4633.0,4717.85,4580.05,4615.1
5,2024-02-01 13:15:00,4615.15,4622.0,4575.0,4598.0
6,2024-02-02 09:15:00,4590.1,4766.2,4590.05,4723.4
7,2024-02-02 13:15:00,4724.15,5184.0,4680.0,4720.0
8,2024-02-05 09:15:00,4719.95,4774.35,4700.0,4764.0
9,2024-02-05 13:15:00,4762.85,4770.35,4718.7,4746.55
10,2024-02-06 09:15:00,4736.0,4778.35,4733.0,4773.3
11,2024-02-06 13:15:00,4775.0,4792.0,4760.4,4790.0
12,2024-02-07 09:15:00,4789.0,4817.25,4730.15,4792.0
13,2024-02-07 13:15:00,4791.1,4803.95,4781.3,4795.0
14,2024-02-08 09:15:00,4790.0,4819.3,4764.4,4809.95
15,2024-02-08 13:15:00,4812.0,4824.7,4786.65,4810.0
16,2024-02-09 09:15:00,4824.0,4899.95,4792.45,4865.0
17,2024-02-09 13:15:00,4863.05,4949.05,4840.0,4949.05
18,2024-02-12 09:15:00,4934.05,4934.05,4630.2,4662.05
19,2024-02-12 13:15:00,4662.0,4707.95,4651.1,4699.05
20,2024-02-13 09:15:00,4726.9,4828.0,4707.75,4740.05
21,2024-02-13 13:15:00,4740.0,4755.0,4707.0,4707.0
22,2024-02-14 09:15:00,4710.0,4787.7,4662.15,4778.0
23,2024-02-14 13:15:00,4779.0,4830.2,4747.55,4830.2
24,2024-02-15 09:15:00,4833.4,4854.15,4787.05,4814.85
25,2024-02-15 13:15:00,4814.5,4834.5,4802.5,4830.0
26,2024-02-16 09:15:00,4849.95,4918.45,4831.3,4909.0
27,2024-02-16 13:15:00,4909.2,4928.95,4872.85,4928.95
28,2024-02-19 09:15:00,4924.55,4942.0,4860.0,4889.75
29,2024-02-19 13:15:00,4887.85,4890.0,4844.15,4852.6
30,2024-02-20 09:15:00,4879.0,4880.15,4662.05,4683.0
31,2024-02-20 13:15:00,4682.85,4689.0,4654.7,4665.7
32,2024-02-21 09:15:00,4591.75,4619.95,4552.15,4584.85
33,2024-02-21 13:15:00,4584.95,4588.95,4508.0,4540.0
34,2024-02-22 09:15:00,4565.0,4578.15,4440.65,4449.0
35,2024-02-22 13:15:00,4448.3,4535.0,4441.6,4535.0
36,2024-02-23 09:15:00,4533.0,4604.95,4488.0,4529.9
37,2024-02-23 13:15:00,4529.15,4598.85,4446.0,4446.0
39,2024-02-26 09:15:00,4514.25,4530.0,4471.45,4495.2
