,time,into,inth,intl,intc
0,2024-01-30 09:15:00,141.65,147.0,141.25,145.6
1,2024-01-30 13:15:00,145.55,146.0,144.25,146.0
2,2024-01-31 09:15:00,145.8,148.2,144.95,147.05
3,2024-01-31 13:15:00,147.0,147.9,146.9,147.8
4,2024-02-01 09:15:00,148.3,148.85,145.0,146.0
5,2024-02-01 13:15:00,145.95,147.0,145.5,147.0
6,2024-02-02 09:15:00,147.1,148.2,145.55,146.45
7,2024-02-02 13:15:00,146.4,152.4,142.15,146.85
8,2024-02-05 09:15:00,146.8,150.05,146.05,148.2
9,2024-02-05 13:15:00,148.25,149.4,145.7,149.4
10,2024-02-06 09:15:00,149.35,153.45,148.35,151.15
11,2024-02-06 13:15:00,151.2,153.75,150.5,152.5
12,2024-02-07 09:15:00,154.3,154.4,143.15,144.4
13,2024-02-07 13:15:00,144.3,147.0,144.3,145.25
14,2024-02-08 09:15:00,145.45,148.25,145.0,146.4
15,2024-02-08 13:15:00,146.45,146.45,144.05,144.5
16,2024-02-09 09:15:00,145.55,145.65,140.0,143.3
17,2024-02-09 13:15:00,143.2,144.15,142.6,144.05
18,2024-02-12 09:15:00,144.0,144.6,139.85,140.75
19,2024-02-12 13:15:00,140.7,142.0,139.5,140.15
20,2024-02-13 09:15:00,140.0,144.5,138.2,143.9
21,2024-02-13 13:15:00,143.95,145.1,142.4,142.4
22,2024-02-14 09:15:00,142.1,144.35,140.9,143.5
23,2024-02-14 13:15:00,143.45,144.5,142.75,144.5
24,2024-02-15 09:15:00,144.7,146.1,144.15,144.7
25,2024-02-15 13:15:00,144.75,145.2,143.8,145.0
26,2024-02-16 09:15:00,144.9,146.1,144.4,145.0
27,2024-02-16 13:15:00,144.95,152.0,135.0,145.95
28,2024-02-19 09:15:00,145.9,146.85,145.5,146.2
29,2024-02-19 13:15:00,146.1,146.45,145.1,145.1
30,2024-02-20 09:15:00,145.15,147.55,145.05,146.0
31,2024-02-20 13:15:00,145.9,147.2,145.7,146.7
32,2024-02-21 09:15:00,146.55,147.4,145.05,145.35
33,2024-02-21 13:15:00,145.25,146.2,142.6,144.65
34,2024-02-22 09:15:00,144.4,145.6,143.1,144.05
35,2024-02-22 13:15:00,144.0,145.25,143.75,145.1
36,2024-02-23 09:15:00,145.15,148.2,145.15,147.6
37,2024-02-23 13:15:00,147.55,151.8,140.25,147.0
39,2024-02-26 09:15:00,146.95,147.8,146.1,146.9
40,2024-02-26 13:15:00,146.8,148.1,146.45,148.1
41,2024-02-27 09:15:00,148.05,149.7,146.65,146.7
42,2024-02-27 13:15:00,146.75,146.9,144.8,145.9
43,2024-02-28 09:15:00,145.75,145.9,140.6,140.7
44,2024-02-28 13:15:00,140.65,142.95,140.0,141.25
45,2024-02-29 09:15:00,141.15,141.9,139.1,141.9
46,2024-02-29 13:15:00,141.8,143.15,140.5,143.15
47,2024-03-01 09:15:00,143.2,145.35,142.7,144.8
48,2024-03-01 13:15:00,144.85,145.0,144.05,144.3
