,time,into,inth,intl,intc
0,2024-01-30 09:15:00,446.65,453.7,438.5,439.15
1,2024-01-30 13:15:00,439.05,441.2,437.4,440.0
2,2024-01-31 09:15:00,439.95,442.45,438.7,440.95
3,2024-01-31 13:15:00,441.0,442.4,440.5,441.75
4,2024-02-01 09:15:00,441.95,447.75,439.35,444.45
5,2024-02-01 13:15:00,444.4,445.0,442.05,445.0
6,2024-02-02 09:15:00,444.95,447.2,440.55,441.3
7,2024-02-02 13:15:00,441.25,506.1,396.1,442.0
8,2024-02-05 09:15:00,441.1,443.5,439.65,442.15
9,2024-02-05 13:15:00,442.3,442.45,436.55,440.0
10,2024-02-06 09:15:00,440.55,440.55,429.6,431.95
11,2024-02-06 13:15:00,432.0,433.2,430.25,431.9
12,2024-02-07 09:15:00,434.75,434.75,431.4,431.9
13,2024-02-07 13:15:00,431.85,432.9,430.85,431.8
14,2024-02-08 09:15:00,429.05,429.05,413.95,418.2
15,2024-02-08 13:15:00,418.3,420.1,408.6,414.45
16,2024-02-09 09:15:00,412.0,424.2,408.95,418.05
17,2024-02-09 13:15:00,418.15,418.65,414.15,417.55
18,2024-02-12 09:15:00,417.0,417.35,407.2,407.5
19,2024-02-12 13:15:00,407.35,409.5,406.1,406.8
20,2024-02-13 09:15:00,407.0,410.6,403.35,406.85
21,2024-02-13 13:15:00,406.8,407.45,404.8,406.0
22,2024-02-14 09:15:00,406.3,410.85,404.45,409.9
23,2024-02-14 13:15:00,409.8,413.0,407.75,413.0
24,2024-02-15 09:15:00,412.45,414.25,405.4,405.75
25,2024-02-15 13:15:00,405.7,407.0,403.3,405.0
26,2024-02-16 09:15:00,404.95,409.45,399.4,407.25
27,2024-02-16 13:15:00,407.2,445.05,395.8,405.0
28,2024-02-19 09:15:00,406.0,412.45,405.35,411.8
29,2024-02-19 13:15:00,411.85,412.7,408.85,410.45
30,2024-02-20 09:15:00,409.95,409.95,405.3,405.85
31,2024-02-20 13:15:00,405.8,406.7,404.3,406.7
32,2024-02-21 09:15:00,407.1,410.0,406.0,407.35
33,2024-02-21 13:15:00,407.4,407.6,401.3,402.75
34,2024-02-22 09:15:00,406.75,408.2,403.45,407.4
35,2024-02-22 13:15:00,407.35,415.9,407.0,415.9
36,2024-02-23 09:15:00,415.7,415.8,411.8,412.45
37,2024-02-23 13:15:00,412.4,413.35,410.5,410.9
40,2024-02-26 09:15:00,411.4,413.0,407.3,407.9
41,2024-02-26 13:15:00,407.85,410.8,407.6,410.0
42,2024-02-27 09:15:00,410.8,412.75,408.8,410.4
43,2024-02-27 13:15:00,410.5,411.9,408.55,411.15
44,2024-02-28 09:15:00,411.1,412.35,406.8,407.4
45,2024-02-28 13:15:00,407.35,409.5,407.25,409.0
46,2024-02-29 09:15:00,408.85,410.7,406.9,408.55
