,time,into,inth,intl,intc
0,2024-01-30 09:15:00,732.1,760.95,731.05,753.6
1,2024-01-30 13:15:00,754.0,757.5,744.0,748.0
2,2024-01-31 09:15:00,750.0,763.4,748.8,755.2
3,2024-01-31 13:15:00,755.5,759.7,752.15,755.35
4,2024-02-01 09:15:00,768.0,768.0,732.85,739.5
5,2024-02-01 13:15:00,739.7,747.35,738.3,747.0
6,2024-02-02 09:15:00,747.75,769.0,746.5,763.5
7,2024-02-02 13:15:00,763.15,835.25,758.6,781.9
8,2024-02-05 09:15:00,781.85,781.85,764.4,774.7
9,2024-02-05 13:15:00,774.65,777.95,758.05,768.0
10,2024-02-06 09:15:00,766.2,768.0,751.1,767.2
11,2024-02-06 13:15:00,767.1,784.85,764.75,784.2
12,2024-02-07 09:15:00,787.0,804.4,776.6,787.5
13,2024-02-07 13:15:00,787.75,789.95,779.15,780.7
14,2024-02-08 09:15:00,784.55,795.0,770.05,781.3
15,2024-02-08 13:15:00,781.45,782.65,772.05,777.7
16,2024-02-09 09:15:00,775.45,776.85,741.85,760.2
17,2024-02-09 13:15:00,759.9,762.95,753.85,761.45
18,2024-02-12 09:15:00,760.45,770.9,743.9,749.6
19,2024-02-12 13:15:00,749.55,755.5,737.35,743.9
20,2024-02-13 09:15:00,740.7,741.7,708.7,735.0
21,2024-02-13 13:15:00,735.25,741.4,720.0,720.0
22,2024-02-14 09:15:00,724.8,742.0,722.2,737.2
23,2024-02-14 13:15:00,737.0,763.0,734.55,763.0
24,2024-02-15 09:15:00,763.05,773.95,755.5,761.3
25,2024-02-15 13:15:00,761.25,769.0,760.65,769.0
26,2024-02-16 09:15:00,769.3,779.35,766.95,774.65
27,2024-02-16 13:15:00,774.9,775.4,749.9,772.0
28,2024-02-19 09:15:00,762.65,773.95,760.3,768.35
29,2024-02-19 13:15:00,768.25,768.95,757.05,763.0
30,2024-02-20 09:15:00,763.2,768.0,756.5,760.0
31,2024-02-20 13:15:00,759.95,761.25,753.0,758.2
32,2024-02-21 09:15:00,767.55,785.0,762.0,774.0
33,2024-02-21 13:15:00,773.95,775.45,763.6,772.0
