,time,into,inth,intl,intc
0,2024-01-30 09:15:00,4334.7,4418.25,4308.05,4410.0
1,2024-01-30 13:15:00,4409.95,4409.95,4317.4,4330.95
2,2024-01-31 09:15:00,4336.0,4394.2,4331.25,4354.0
3,2024-01-31 13:15:00,4355.4,4410.0,4350.0,4374.45
4,2024-02-01 09:15:00,4431.8,4441.1,4360.0,4409.45
5,2024-02-01 13:15:00,4409.1,4437.85,4363.95,4437.85
6,2024-02-02 09:15:00,4412.2,4468.05,4368.3,4391.05
7,2024-02-02 13:15:00,4391.0,4540.85,4355.1,4366.4
8,2024-02-05 09:15:00,4389.0,4404.7,4354.8,4375.3
9,2024-02-05 13:15:00,4374.6,4379.95,4292.8,4350.0
10,2024-02-06 09:15:00,4349.9,4400.0,4317.3,4387.9
11,2024-02-06 13:15:00,4387.85,4395.0,4326.85,4343.95
12,2024-02-07 09:15:00,4345.0,4395.0,4300.0,4345.2
13,2024-02-07 13:15:00,4345.9,4359.25,4329.0,4332.1
14,2024-02-08 09:15:00,4360.1,4368.7,4245.0,4253.0
15,2024-02-08 13:15:00,4252.95,4259.0,4202.55,4227.0
16,2024-02-09 09:15:00,4250.0,4253.55,4133.3,4230.2
17,2024-02-09 13:15:00,4224.0,4250.0,4216.3,4250.0
18,2024-02-12 09:15:00,4240.3,4287.45,4196.2,4227.9
19,2024-02-12 13:15:00,4228.7,4258.2,4206.6,4222.3
20,2024-02-13 09:15:00,4234.75,4277.35,4155.0,4243.8
21,2024-02-13 13:15:00,4245.8,4269.95,4215.0,4215.0
22,2024-02-14 09:15:00,4214.95,4246.4,4156.85,4195.0
23,2024-02-14 13:15:00,4192.6,4230.0,4182.0,4230.0
24,2024-02-15 09:15:00,4232.0,4235.0,4098.65,4137.9
25,2024-02-15 13:15:00,4140.15,4159.05,4118.6,4140.0
26,2024-02-16 09:15:00,4145.0,4256.0,4145.0,4231.4
27,2024-02-16 13:15:00,4233.95,4249.95,4198.25,4249.95
28,2024-02-19 09:15:00,4240.65,4240.65,4181.0,4209.6
29,2024-02-19 13:15:00,4209.4,4229.9,4197.1,4206.1
30,2024-02-20 09:15:00,4173.4,4206.1,4146.95,4165.4
31,2024-02-20 13:15:00,4160.3,4218.45,4160.3,4201.05
32,2024-02-21 09:15:00,4218.5,4294.0,4204.6,4260.0
33,2024-02-21 13:15:00,4262.0,4272.5,4225.6,4246.0
34,2024-02-22 09:15:00,4285.0,4294.0,4205.0,4258.0
35,2024-02-22 13:15:00,4258.95,4289.95,4258.75,4289.95
36,2024-02-23 09:15:00,4290.0,4354.8,4280.0,4333.3
37,2024-02-23 13:15:00,4335.7,4350.0,4281.0,4287.95
39,2024-02-26 09:15:00,4360.0,4395.0,4343.65,4382.2
40,2024-02-26 13:15:00,4380.0,4439.0,4378.95,4439.0
41,2024-02-27 09:15:00,4431.05,4548.0,4415.4,4548.0
42,2024-02-27 13:15:00,4549.0,4550.0,4476.5,4510.05
43,2024-02-28 09:15:00,4512.65,4528.25,4396.0,4422.65
44,2024-02-28 13:15:00,4421.1,4500.0,4416.4,4446.7
45,2024-02-29 09:15:00,4446.05,4496.45,4422.0,4483.1
46,2024-02-29 13:15:00,4485.0,4550.0,4474.9,4534.05
47,2024-03-01 09:15:00,4545.45,4545.45,4503.65,4528.45
48,2024-03-01 13:15:00,4532.85,4555.0,4491.75,4515.0
50,2024-03-04 09:15:00,4550.0,4550.0,4450.1,4460.75
51,2024-03-04 13:15:00,4460.0,4491.05,4445.1,4491.05
52,2024-03-05 09:15:00,4491.0,4494.45,4389.7,4394.6
53,2024-03-05 13:15:00,4394.7,4410.0,4385.15,4405.0
54,2024-03-06 09:15:00,4395.0,4395.0,4280.1,4280.25
55,2024-03-06 13:15:00,4280.7,4325.0,4268.0,4324.0
56,2024-03-11 09:15:00,4262.55,4262.55,4217.55,4230.0
57,2024-03-11 13:15:00,4229.9,4275.0,4200.0,4275.0
58,2024-03-12 09:15:00,4263.0,4309.5,4153.5,4181.25
59,2024-03-12 13:15:00,4180.15,4198.35,4151.9,4171.95
60,2024-03-13 09:15:00,4171.9,4198.65,4081.55,4110.8
61,2024-03-13 13:15:00,4111.35,4117.05,4051.3,4090.0
62,2024-03-14 09:15:00,4086.2,4105.0,4041.3,4066.0
63,2024-03-14 13:15:00,4066.35,4109.95,4048.8,4075.05
64,2024-03-15 09:15:00,4120.1,4120.1,4010.05,4051.75
65,2024-03-15 13:15:00,4051.3,4097.75,4045.0,4097.75
66,2024-03-18 09:15:00,4070.15,4114.95,4049.0,4077.8
67,2024-03-18 13:15:00,4077.75,4091.15,4058.0,4067.55
68,2024-03-19 09:15:00,4080.0,4080.0,3981.3,4021.25
69,2024-03-19 13:15:00,4018.8,4048.1,3995.0,4048.1
70,2024-03-20 09:15:00,4035.0,4039.85,3976.7,4025.9
71,2024-03-20 13:15:00,4028.0,4051.9,4015.0,4051.9
72,2024-03-21 09:15:00,4055.0,4110.0,4001.05,4070.0
73,2024-03-21 13:15:00,4068.5,4127.0,4061.2,4127.0
74,2024-03-22 09:15:00,4132.25,4142.0,4083.05,4108.0
75,2024-03-22 13:15:00,4107.8,4111.35,4092.5,4100.0
76,2024-03-26 09:15:00,4109.95,4110.0,4025.6,4048.0
77,2024-03-26 13:15:00,4044.6,4068.55,4036.0,4068.55
78,2024-03-27 09:15:00,4070.45,4109.35,4043.2,4090.0
79,2024-03-27 13:15:00,4090.05,4096.4,4042.85,4065.0
80,2024-03-28 09:15:00,4077.7,4098.8,4060.05,4069.15
81,2024-03-28 13:15:00,4066.35,4109.0,4061.0,4107.0
82,2024-04-01 09:15:00,4108.0,4284.95,4097.0,4280.1
83,2024-04-01 13:15:00,4280.05,4359.9,4245.05,4359.9
84,2024-04-02 09:15:00,4357.7,4357.7,4237.55,4295.0
85,2024-04-02 13:15:00,4293.8,4358.9,4251.35,4350.0
86,2024-04-03 09:15:00,4330.25,4359.4,4300.0,4337.0
87,2024-04-03 13:15:00,4335.05,4375.0,4327.95,4375.0
88,2024-04-04 09:15:00,4375.7,4375.7,4333.05,4349.95
89,2024-04-04 13:15:00,4348.6,4364.1,4305.0,4305.0
90,2024-04-05 09:15:00,4340.0,4408.3,4310.3,4362.05
91,2024-04-05 13:15:00,4360.0,4385.15,4354.1,4385.15
92,2024-04-08 09:15:00,4385.1,4385.1,4349.9,4375.35
93,2024-04-08 13:15:00,4377.3,4410.0,4360.7,4390.75
94,2024-04-09 09:15:00,4394.65,4410.0,4346.15,4360.0
95,2024-04-09 13:15:00,4358.7,4364.75,4301.75,4326.0
96,2024-04-10 09:15:00,4322.35,4375.0,4322.25,4344.75
97,2024-04-10 13:15:00,4345.0,4350.35,4322.05,4341.0
98,2024-04-12 09:15:00,4348.5,4349.7,4260.9,4287.95
99,2024-04-12 13:15:00,4290.15,4303.45,4272.0,4285.0
100,2024-04-15 09:15:00,4250.0,4295.0,4200.5,4284.25
101,2024-04-15 13:15:00,4285.75,4289.95,4231.65,4239.85
102,2024-04-16 09:15:00,4237.0,4242.0,4170.0,4208.4
103,2024-04-16 13:15:00,4206.8,4223.05,4195.1,4212.0
104,2024-04-18 09:15:00,4170.0,4250.8,4170.0,4237.65
105,2024-04-18 13:15:00,4238.4,4242.05,4106.3,4159.9
106,2024-04-19 09:15:00,4105.0,4174.85,4041.05,4169.05
107,2024-04-19 13:15:00,4165.6,4175.75,4141.0,4150.05
108,2024-04-22 09:15:00,4151.5,4154.75,4001.0,4041.5
109,2024-04-22 13:15:00,4044.9,4114.85,4039.7,4114.85
110,2024-04-23 09:15:00,4113.3,4138.7,4085.0,4121.3
111,2024-04-23 13:15:00,4121.25,4150.0,4118.2,4150.0
112,2024-04-24 09:15:00,4161.65,4222.7,4146.2,4193.5
113,2024-04-24 13:15:00,4194.75,4208.65,4155.0,4175.45
114,2024-04-25 09:15:00,4148.0,4150.0,4006.05,4016.05
115,2024-04-25 13:15:00,4014.2,4044.0,4000.5,4042.0
116,2024-04-26 09:15:00,4022.5,4108.0,4003.8,4092.05
117,2024-04-26 13:15:00,4091.9,4095.6,4042.95,4056.0
118,2024-04-29 09:15:00,4075.7,4093.8,4013.75,4038.05
119,2024-04-29 13:15:00,4037.0,4070.0,4025.05,4058.4
120,2024-04-30 09:15:00,4062.5,4075.95,3991.5,3996.2
121,2024-04-30 13:15:00,4000.0,4014.75,3990.95,3999.0
122,2024-05-02 09:15:00,4020.0,4023.0,3928.1,3929.0
123,2024-05-02 13:15:00,3928.05,3956.45,3928.05,3940.0
124,2024-05-03 09:15:00,3960.2,4008.95,3926.7,3937.25
125,2024-05-03 13:15:00,3938.75,3992.6,3938.0,3980.0
126,2024-05-06 09:15:00,3986.0,4010.0,3952.9,3980.0
127,2024-05-06 13:15:00,3979.9,3998.9,3976.0,3985.9
128,2024-05-07 09:15:00,3990.9,4008.0,3880.0,3886.1
129,2024-05-07 13:15:00,3885.1,3938.0,3880.65,3937.0
130,2024-05-08 09:15:00,3921.1,3934.55,3872.4,3926.55
131,2024-05-08 13:15:00,3926.65,3957.85,3922.15,3948.15
132,2024-05-09 09:15:00,3939.0,3939.0,3864.05,3882.3
133,2024-05-09 13:15:00,3881.3,3904.95,3836.45,3900.0
134,2024-05-10 09:15:00,3899.95,3899.95,3790.0,3803.05
135,2024-05-10 13:15:00,3804.75,3871.6,3800.05,3868.9
136,2024-05-13 09:15:00,3864.65,4070.75,3855.65,3899.2
137,2024-05-13 13:15:00,3899.9,3958.0,3872.05,3958.0
138,2024-05-14 09:15:00,3957.9,3957.9,3860.0,3914.1
139,2024-05-14 13:15:00,3914.6,3944.4,3901.0,3913.75
140,2024-05-15 09:15:00,3885.0,3898.6,3791.8,3870.7
141,2024-05-15 13:15:00,3870.6,3918.3,3861.5,3889.05
142,2024-05-16 09:15:00,3889.0,3930.0,3838.0,3841.9
143,2024-05-16 13:15:00,3840.95,3871.75,3805.3,3871.75
144,2024-05-17 09:15:00,3870.0,3870.0,3828.0,3857.3
145,2024-05-17 13:15:00,3860.0,3910.8,3841.65,3885.6
147,2024-05-21 09:15:00,3898.8,3907.95,3859.9,3891.7
148,2024-05-21 13:15:00,3892.9,3920.0,3882.2,3920.0
149,2024-05-22 09:15:00,3916.95,4003.95,3893.55,3986.4
150,2024-05-22 13:15:00,3986.8,3998.2,3956.5,3969.95
151,2024-05-23 09:15:00,3919.0,3961.5,3855.3,3925.0
152,2024-05-23 13:15:00,3924.55,3994.0,3920.05,3994.0
153,2024-05-24 09:15:00,3999.0,4066.0,3985.0,4007.95
154,2024-05-24 13:15:00,4008.0,4013.1,3975.0,3990.0
155,2024-05-27 09:15:00,4021.2,4028.95,3973.05,3995.8
156,2024-05-27 13:15:00,3995.7,4007.3,3970.05,4000.0
157,2024-05-28 09:15:00,4010.0,4049.0,3970.0,3985.75
158,2024-05-28 13:15:00,3986.45,4007.05,3980.4,3985.0
159,2024-05-29 09:15:00,3985.05,4002.95,3940.0,3945.05
160,2024-05-29 13:15:00,3946.4,3956.9,3926.5,3935.55
161,2024-05-30 09:15:00,4048.0,4048.0,3872.0,3917.25
162,2024-05-30 13:15:00,3919.8,3925.0,3881.25,3881.25
163,2024-05-31 09:15:00,3891.0,3935.55,3872.4,3885.5
164,2024-05-31 13:15:00,3887.65,4002.25,3851.6,4002.25
165,2024-06-03 09:15:00,4002.3,4067.75,3952.15,4037.8
166,2024-06-03 13:15:00,4039.0,4049.0,4016.2,4040.0
167,2024-06-04 09:15:00,4050.0,4050.0,3642.0,3868.95
168,2024-06-04 13:15:00,3870.3,3927.95,3800.25,3899.0
169,2024-06-05 09:15:00,3898.95,4034.75,3844.0,3966.45
170,2024-06-05 13:15:00,3965.9,3978.2,3888.05,3918.3
171,2024-06-06 09:15:00,3918.0,4013.0,3900.95,3967.05
172,2024-06-06 13:15:00,3967.4,4027.7,3967.4,4025.0
173,2024-06-07 09:15:00,4027.75,4164.0,4014.35,4156.45
174,2024-06-07 13:15:00,4156.05,4243.0,4144.9,4243.0
175,2024-06-10 09:15:00,4234.95,4310.0,4157.15,4258.4
176,2024-06-10 13:15:00,4258.45,4265.55,4219.05,4230.05
177,2024-06-11 09:15:00,4235.0,4275.95,4214.2,4254.9
178,2024-06-11 13:15:00,4252.65,4260.0,4191.8,4225.0
179,2024-06-12 09:15:00,4210.4,4238.7,4180.55,4203.6
180,2024-06-12 13:15:00,4203.7,4278.0,4201.1,4278.0
181,2024-06-13 09:15:00,4257.75,4297.45,4229.8,4254.8
