,time,into,inth,intl,intc
0,2024-01-30 09:15:00,181.15,188.2,180.5,186.75
1,2024-01-30 13:15:00,186.65,187.35,181.8,184.15
2,2024-01-31 09:15:00,184.0,185.0,179.1,184.75
3,2024-01-31 13:15:00,184.8,185.65,183.75,185.0
4,2024-02-01 09:15:00,179.3,183.7,176.8,180.9
5,2024-02-01 13:15:00,180.85,182.7,178.75,182.7
6,2024-02-02 09:15:00,182.95,187.8,182.75,186.65
7,2024-02-02 13:15:00,186.6,192.0,175.0,186.85
8,2024-02-05 09:15:00,186.7,187.65,184.05,185.95
9,2024-02-05 13:15:00,185.9,186.2,179.6,182.55
10,2024-02-06 09:15:00,182.7,188.4,182.15,184.25
11,2024-02-06 13:15:00,184.3,187.2,183.6,186.05
12,2024-02-07 09:15:00,187.65,191.9,185.75,187.35
13,2024-02-07 13:15:00,187.4,191.45,187.15,190.0
14,2024-02-08 09:15:00,192.4,192.45,181.45,183.55
15,2024-02-08 13:15:00,183.5,185.0,181.75,183.95
16,2024-02-09 09:15:00,185.05,186.6,178.8,182.4
17,2024-02-09 13:15:00,182.35,185.0,181.0,185.0
18,2024-02-12 09:15:00,184.55,184.85,176.15,176.65
19,2024-02-12 13:15:00,176.6,177.85,174.15,175.0
20,2024-02-13 09:15:00,175.85,179.45,172.9,178.0
21,2024-02-13 13:15:00,177.95,179.55,175.0,175.0
22,2024-02-14 09:15:00,174.15,181.2,170.4,181.1
23,2024-02-14 13:15:00,181.05,184.5,180.0,184.5
24,2024-02-15 09:15:00,183.6,186.9,183.6,186.35
25,2024-02-15 13:15:00,186.25,186.8,184.95,186.2
26,2024-02-16 09:15:00,186.05,188.25,183.9,186.9
27,2024-02-16 13:15:00,186.85,200.0,182.5,187.5
28,2024-02-19 09:15:00,187.05,188.25,184.45,184.85
29,2024-02-19 13:15:00,184.8,184.85,182.8,183.4
30,2024-02-20 09:15:00,183.25,184.15,180.3,182.55
31,2024-02-20 13:15:00,182.5,186.65,181.85,182.9
32,2024-02-21 09:15:00,184.0,184.4,180.0,181.95
33,2024-02-21 13:15:00,182.0,182.0,177.75,179.05
34,2024-02-22 09:15:00,179.15,182.95,178.1,181.9
35,2024-02-22 13:15:00,181.95,182.8,180.75,182.8
36,2024-02-23 09:15:00,182.7,184.3,181.15,183.55
37,2024-02-23 13:15:00,183.5,184.45,182.05,182.7
38,2024-02-26 09:15:00,182.7,185.85,182.15,182.8
39,2024-02-26 13:15:00,182.85,183.1,181.5,181.9
40,2024-02-27 09:15:00,182.0,182.85,179.7,180.0
41,2024-02-27 13:15:00,180.1,180.1,178.4,179.45
42,2024-02-28 09:15:00,179.65,180.4,172.65,172.8
43,2024-02-28 13:15:00,172.65,176.0,171.2,172.55
44,2024-02-29 09:15:00,172.9,174.25,170.65,173.45
45,2024-02-29 13:15:00,173.5,177.5,172.15,177.5
46,2024-03-01 09:15:00,177.55,180.95,176.95,179.95
47,2024-03-01 13:15:00,180.0,180.5,179.0,180.2
49,2024-03-04 09:15:00,181.85,184.4,181.45,183.75
50,2024-03-04 13:15:00,183.8,187.5,183.4,187.5
51,2024-03-05 09:15:00,188.85,198.95,188.65,189.75
52,2024-03-05 13:15:00,189.8,190.15,185.65,186.0
53,2024-03-06 09:15:00,186.95,186.95,168.75,171.95
54,2024-03-06 13:15:00,171.9,174.85,171.2,173.5
55,2024-03-11 09:15:00,173.65,173.8,168.25,170.65
56,2024-03-11 13:15:00,170.6,171.7,168.5,169.4
57,2024-03-12 09:15:00,169.45,172.45,164.5,170.35
58,2024-03-12 13:15:00,170.3,171.65,168.5,169.55
59,2024-03-13 09:15:00,169.6,171.95,160.95,163.95
60,2024-03-13 13:15:00,163.9,164.25,158.5,161.8
61,2024-03-14 09:15:00,161.45,168.1,158.7,166.45
62,2024-03-14 13:15:00,166.35,166.55,165.2,166.0
63,2024-03-15 09:15:00,165.55,167.35,161.65,164.8
64,2024-03-15 13:15:00,164.85,167.5,162.75,167.5
65,2024-03-18 09:15:00,167.7,169.4,165.8,167.15
66,2024-03-18 13:15:00,167.1,168.2,165.7,165.7
67,2024-03-19 09:15:00,166.3,167.75,163.8,165.7
68,2024-03-19 13:15:00,165.75,167.25,165.65,167.0
69,2024-03-20 09:15:00,167.05,171.85,166.25,167.85
70,2024-03-20 13:15:00,167.8,169.1,166.2,169.1
71,2024-03-21 09:15:00,169.15,172.3,169.15,171.4
72,2024-03-21 13:15:00,171.35,173.05,171.25,173.0
73,2024-03-22 09:15:00,172.85,173.7,170.75,173.0
74,2024-03-22 13:15:00,173.05,173.5,172.2,172.85
75,2024-03-26 09:15:00,173.05,175.7,172.55,175.5
76,2024-03-26 13:15:00,175.45,176.9,174.0,175.0
77,2024-03-27 09:15:00,175.95,176.5,174.0,175.05
78,2024-03-27 13:15:00,175.1,175.95,173.6,173.6
79,2024-03-28 09:15:00,174.55,175.25,172.75,173.8
80,2024-03-28 13:15:00,173.85,175.05,172.65,175.05
81,2024-04-01 09:15:00,175.0,181.9,175.0,179.95
82,2024-04-01 13:15:00,179.85,182.8,179.8,182.6
83,2024-04-02 09:15:00,182.5,185.3,181.65,183.35
84,2024-04-02 13:15:00,183.05,184.35,182.7,184.0
85,2024-04-03 09:15:00,183.4,186.9,183.0,185.9
86,2024-04-03 13:15:00,185.85,196.5,185.85,196.5
87,2024-04-04 09:15:00,197.05,202.4,194.3,194.5
88,2024-04-04 13:15:00,194.4,195.5,193.0,195.5
89,2024-04-05 09:15:00,195.0,195.0,188.8,191.25
90,2024-04-05 13:15:00,191.3,194.2,191.0,194.2
91,2024-04-08 09:15:00,194.45,197.0,192.75,195.35
92,2024-04-08 13:15:00,195.45,196.45,194.0,195.95
93,2024-04-09 09:15:00,195.9,197.25,194.85,196.7
94,2024-04-09 13:15:00,196.5,196.7,194.85,195.5
95,2024-04-10 09:15:00,196.15,196.9,193.55,196.1
96,2024-04-10 13:15:00,196.0,196.2,194.85,195.3
97,2024-04-12 09:15:00,195.25,201.9,194.8,196.75
98,2024-04-12 13:15:00,196.65,197.75,195.5,195.9
99,2024-04-15 09:15:00,190.4,192.7,184.4,191.25
100,2024-04-15 13:15:00,191.35,192.25,188.5,189.2
101,2024-04-16 09:15:00,189.25,192.35,187.5,189.0
102,2024-04-16 13:15:00,188.95,190.85,188.45,189.05
103,2024-04-18 09:15:00,190.85,195.5,190.25,193.7
104,2024-04-18 13:15:00,193.65,193.85,188.2,190.0
105,2024-04-19 09:15:00,185.0,189.45,184.85,188.9
106,2024-04-19 13:15:00,188.85,189.95,187.85,188.5
107,2024-04-22 09:15:00,189.15,190.8,186.45,189.75
108,2024-04-22 13:15:00,189.8,191.75,189.35,191.0
109,2024-04-23 09:15:00,189.1,191.65,187.8,190.6
110,2024-04-23 13:15:00,190.55,191.1,189.5,189.95
111,2024-04-24 09:15:00,192.0,194.0,191.55,192.4
112,2024-04-24 13:15:00,192.3,193.2,191.85,192.25
113,2024-04-25 09:15:00,191.4,193.0,191.0,192.4
114,2024-04-25 13:15:00,192.45,195.0,192.0,194.2
115,2024-04-26 09:15:00,194.75,200.0,194.7,195.95
116,2024-04-26 13:15:00,196.1,197.2,194.8,196.0
117,2024-04-29 09:15:00,196.3,197.8,194.05,196.25
118,2024-04-29 13:15:00,196.2,197.5,195.65,197.0
119,2024-04-30 09:15:00,197.2,207.25,195.6,201.5
120,2024-04-30 13:15:00,201.55,204.3,199.5,200.0
121,2024-05-02 09:15:00,200.95,203.0,199.2,200.9
122,2024-05-02 13:15:00,201.0,202.6,200.15,200.9
123,2024-05-03 09:15:00,201.5,206.35,197.0,197.65
124,2024-05-03 13:15:00,197.55,198.3,195.7,196.95
125,2024-05-06 09:15:00,197.45,198.5,192.3,193.35
126,2024-05-06 13:15:00,193.4,194.35,192.0,192.5
127,2024-05-07 09:15:00,193.05,193.8,185.0,185.2
128,2024-05-07 13:15:00,185.3,187.45,185.0,186.25
129,2024-05-08 09:15:00,185.7,187.65,183.9,186.5
130,2024-05-08 13:15:00,186.6,187.45,177.7,180.9
131,2024-05-09 09:15:00,172.5,174.5,165.4,168.4
132,2024-05-09 13:15:00,168.35,169.0,165.05,167.55
133,2024-05-10 09:15:00,168.35,172.65,168.35,170.7
134,2024-05-10 13:15:00,170.8,174.95,170.6,174.5
135,2024-05-13 09:15:00,173.5,174.6,170.2,173.8
136,2024-05-13 13:15:00,173.85,175.25,172.0,175.0
137,2024-05-14 09:15:00,175.3,178.4,175.05,175.35
138,2024-05-14 13:15:00,175.45,177.3,174.05,177.3
139,2024-05-15 09:15:00,177.05,181.45,176.5,180.2
140,2024-05-15 13:15:00,180.05,181.0,179.05,180.9
141,2024-05-16 09:15:00,181.0,185.4,181.0,183.6
142,2024-05-16 13:15:00,183.55,185.9,182.5,185.8
143,2024-05-17 09:15:00,185.7,188.35,183.65,184.4
144,2024-05-17 13:15:00,184.35,184.65,182.35,184.2
146,2024-05-21 09:15:00,182.95,182.95,179.8,181.15
147,2024-05-21 13:15:00,181.25,181.5,179.65,181.45
148,2024-05-22 09:15:00,180.0,180.7,177.1,178.35
149,2024-05-22 13:15:00,178.5,179.35,178.1,178.4
150,2024-05-23 09:15:00,178.3,178.35,173.5,178.2
151,2024-05-23 13:15:00,178.1,180.0,177.3,179.35
152,2024-05-24 09:15:00,179.5,181.45,177.35,178.7
153,2024-05-24 13:15:00,178.75,181.8,177.7,181.25
154,2024-05-27 09:15:00,180.0,180.3,173.85,175.15
155,2024-05-27 13:15:00,175.3,177.65,175.0,175.9
156,2024-05-28 09:15:00,177.05,177.05,172.0,172.75
157,2024-05-28 13:15:00,172.65,174.1,172.65,172.8
158,2024-05-29 09:15:00,171.8,175.25,170.5,173.4
159,2024-05-29 13:15:00,173.5,173.85,171.45,171.85
160,2024-05-30 09:15:00,171.4,172.35,168.3,168.6
161,2024-05-30 13:15:00,168.7,169.15,166.7,169.15
162,2024-05-31 09:15:00,168.9,171.05,167.7,169.6
163,2024-05-31 13:15:00,169.75,174.2,168.0,174.2
164,2024-06-03 09:15:00,174.25,175.0,172.6,174.75
165,2024-06-03 13:15:00,174.7,174.7,172.9,174.6
166,2024-06-04 09:15:00,174.55,174.55,156.1,160.6
167,2024-06-04 13:15:00,160.65,165.25,158.8,164.0
168,2024-06-05 09:15:00,163.1,169.4,160.9,168.9
169,2024-06-05 13:15:00,169.05,170.25,167.1,170.0
170,2024-06-06 09:15:00,170.2,177.45,170.1,176.05
171,2024-06-06 13:15:00,176.0,178.8,176.0,178.5
172,2024-06-07 09:15:00,178.0,179.6,176.85,177.35
173,2024-06-07 13:15:00,177.4,179.75,177.2,177.99
174,2024-06-10 09:15:00,177.45,179.84,177.05,179.25
175,2024-06-10 13:15:00,179.17,179.4,177.0,177.46
176,2024-06-11 09:15:00,176.95,183.9,176.95,182.23
177,2024-06-11 13:15:00,182.17,183.3,180.4,181.89
178,2024-06-12 09:15:00,182.08,184.9,181.16,183.99
179,2024-06-12 13:15:00,183.95,185.55,183.61,185.55
180,2024-06-13 09:15:00,185.7,188.15,185.56,186.31
181,2024-06-13 13:15:00,186.35,187.3,185.81,186.45
182,2024-06-14 09:15:00,187.0,187.7,184.85,185.4
183,2024-06-14 13:15:00,185.32,186.4,184.97,186.4
184,2024-06-18 09:15:00,185.94,190.78,184.4,190.38
185,2024-06-18 13:15:00,190.37,193.2,190.31,191.85
186,2024-06-19 09:15:00,192.64,192.99,187.5,191.5
187,2024-06-19 13:15:00,191.45,192.8,189.71,190.5
188,2024-06-20 09:15:00,191.26,195.1,190.71,193.25
189,2024-06-20 13:15:00,193.32,193.83,192.2,192.5
190,2024-06-21 09:15:00,193.39,193.85,190.56,190.9
191,2024-06-21 13:15:00,191.0,192.95,189.98,190.8
192,2024-06-24 09:15:00,188.3,193.38,187.2,192.89
193,2024-06-24 13:15:00,192.98,193.99,192.31,193.9
194,2024-06-25 09:15:00,193.76,194.8,189.92,191.3
195,2024-06-25 13:15:00,191.36,196.15,191.26,196.15
196,2024-06-26 09:15:00,196.0,199.8,194.56,195.05
197,2024-06-26 13:15:00,195.01,196.94,194.07,196.8
198,2024-06-27 09:15:00,196.83,214.0,195.88,210.49
199,2024-06-27 13:15:00,210.5,212.6,209.62,212.6
200,2024-06-28 09:15:00,211.01,212.18,208.0,210.88
201,2024-06-28 13:15:00,210.78,211.23,206.61,210.05
202,2024-07-01 09:15:00,210.5,214.63,209.66,212.09
203,2024-07-01 13:15:00,212.12,213.4,211.4,211.75
