,time,into,inth,intl,intc
0,2024-01-30 09:15:00,518.9,526.45,515.4,525.15
1,2024-01-30 13:15:00,525.1,526.5,522.2,526.5
2,2024-01-31 09:15:00,526.45,532.55,523.35,528.15
3,2024-01-31 13:15:00,528.0,529.55,523.6,528.8
4,2024-02-01 09:15:00,530.7,554.7,529.4,539.7
5,2024-02-01 13:15:00,539.65,541.0,534.5,541.0
6,2024-02-02 09:15:00,539.9,540.25,528.15,529.25
7,2024-02-02 13:15:00,529.3,582.45,528.0,528.0
8,2024-02-05 09:15:00,528.1,534.35,523.8,524.75
9,2024-02-05 13:15:00,524.8,525.5,522.45,525.0
10,2024-02-06 09:15:00,525.05,527.9,522.3,523.0
11,2024-02-06 13:15:00,523.05,525.0,519.2,524.2
12,2024-02-07 09:15:00,524.35,527.85,521.85,527.0
13,2024-02-07 13:15:00,526.95,527.5,524.05,525.15
14,2024-02-08 09:15:00,525.5,528.8,521.1,523.25
15,2024-02-08 13:15:00,523.2,523.8,520.95,521.0
16,2024-02-09 09:15:00,523.9,523.9,516.65,519.9
17,2024-02-09 13:15:00,519.55,521.8,519.05,520.5
18,2024-02-12 09:15:00,521.0,524.8,519.9,522.5
19,2024-02-12 13:15:00,522.7,526.4,522.3,524.95
20,2024-02-13 09:15:00,526.2,528.55,523.0,524.8
21,2024-02-13 13:15:00,525.05,526.0,515.5,515.5
22,2024-02-14 09:15:00,519.7,527.9,519.7,524.9
23,2024-02-14 13:15:00,524.85,527.9,524.05,527.0
24,2024-02-15 09:15:00,526.05,527.2,518.85,520.75
25,2024-02-15 13:15:00,520.6,522.95,520.1,522.4
26,2024-02-16 09:15:00,524.0,524.35,519.85,520.0
27,2024-02-16 13:15:00,520.1,525.9,492.1,524.45
28,2024-02-19 09:15:00,523.85,529.5,523.5,527.0
29,2024-02-19 13:15:00,526.8,528.7,525.95,527.95
30,2024-02-20 09:15:00,526.85,534.25,524.75,532.9
31,2024-02-20 13:15:00,532.8,537.4,531.65,536.55
32,2024-02-21 09:15:00,536.7,540.8,533.65,539.55
33,2024-02-21 13:15:00,539.25,540.0,536.85,537.75
34,2024-02-22 09:15:00,542.65,544.0,538.5,540.7
35,2024-02-22 13:15:00,540.55,541.0,537.75,539.5
36,2024-02-23 09:15:00,539.55,540.4,532.8,535.7
37,2024-02-23 13:15:00,535.75,536.5,529.35,530.15
38,2024-02-26 09:15:00,526.2,532.8,526.2,528.45
39,2024-02-26 13:15:00,528.45,528.7,525.05,527.0
40,2024-02-27 09:15:00,527.05,527.05,522.15,523.3
41,2024-02-27 13:15:00,523.5,524.0,520.0,523.25
42,2024-02-28 09:15:00,524.05,525.6,520.7,521.9
43,2024-02-28 13:15:00,521.75,525.95,521.0,523.35
44,2024-02-29 09:15:00,524.0,526.5,520.15,524.65
45,2024-02-29 13:15:00,524.85,526.6,520.25,523.25
46,2024-03-01 09:15:00,524.4,526.45,522.2,525.1
47,2024-03-01 13:15:00,525.35,525.5,523.4,525.0
49,2024-03-04 09:15:00,529.8,529.8,522.1,524.4
50,2024-03-04 13:15:00,524.35,526.15,522.0,524.05
51,2024-03-05 09:15:00,524.0,525.0,518.7,519.2
52,2024-03-05 13:15:00,519.25,520.7,517.1,517.75
53,2024-03-06 09:15:00,511.75,511.95,504.05,506.0
54,2024-03-06 13:15:00,505.95,507.45,504.35,505.65
55,2024-03-11 09:15:00,514.0,514.9,508.1,511.1
56,2024-03-11 13:15:00,511.0,511.95,508.5,509.2
57,2024-03-12 09:15:00,509.35,510.5,504.0,504.65
58,2024-03-12 13:15:00,504.55,505.65,501.0,504.9
59,2024-03-13 09:15:00,506.6,511.6,500.0,502.2
60,2024-03-13 13:15:00,502.05,502.85,494.75,496.15
61,2024-03-14 09:15:00,496.05,503.5,492.15,502.25
62,2024-03-14 13:15:00,502.3,509.15,502.05,508.95
63,2024-03-15 09:15:00,506.95,509.4,496.5,498.1
64,2024-03-15 13:15:00,498.15,502.4,497.05,500.15
65,2024-03-18 09:15:00,500.1,502.75,499.05,501.2
66,2024-03-18 13:15:00,501.5,501.5,496.0,496.0
67,2024-03-19 09:15:00,497.45,497.45,486.3,490.7
68,2024-03-19 13:15:00,490.85,491.5,488.0,490.05
69,2024-03-20 09:15:00,490.45,496.4,487.3,494.75
70,2024-03-20 13:15:00,494.6,495.15,491.5,495.0
71,2024-03-21 09:15:00,495.55,499.5,491.55,499.35
72,2024-03-21 13:15:00,499.25,501.5,498.0,501.0
73,2024-03-22 09:15:00,500.95,503.15,495.0,497.5
74,2024-03-22 13:15:00,497.45,498.7,496.5,498.0
75,2024-03-26 09:15:00,491.55,499.7,491.55,496.35
76,2024-03-26 13:15:00,496.1,499.3,494.9,497.0
77,2024-03-27 09:15:00,498.9,498.9,494.05,494.4
78,2024-03-27 13:15:00,494.5,498.75,492.6,495.9
79,2024-03-28 09:15:00,496.25,498.8,490.8,498.8
80,2024-03-28 13:15:00,498.75,499.9,495.15,497.2
81,2024-04-01 09:15:00,498.85,504.9,495.55,495.55
82,2024-04-01 13:15:00,495.8,497.7,494.7,497.0
83,2024-04-02 09:15:00,497.65,499.15,496.1,497.35
84,2024-04-02 13:15:00,497.6,501.25,496.5,501.25
85,2024-04-03 09:15:00,500.0,501.2,495.65,496.9
86,2024-04-03 13:15:00,496.6,499.25,495.2,499.25
87,2024-04-04 09:15:00,499.15,499.15,493.4,494.8
88,2024-04-04 13:15:00,494.95,495.95,490.55,494.5
89,2024-04-05 09:15:00,494.95,507.85,493.35,503.4
90,2024-04-05 13:15:00,503.6,511.5,502.35,511.5
91,2024-04-08 09:15:00,511.15,521.0,509.9,518.5
92,2024-04-08 13:15:00,518.2,520.4,515.7,518.8
93,2024-04-09 09:15:00,519.1,519.75,511.05,511.05
94,2024-04-09 13:15:00,511.1,511.25,507.65,509.85
95,2024-04-10 09:15:00,513.1,513.15,507.15,509.2
96,2024-04-10 13:15:00,509.1,516.7,508.1,516.7
97,2024-04-12 09:15:00,516.0,519.3,513.15,513.9
98,2024-04-12 13:15:00,513.65,518.0,512.95,513.8
99,2024-04-15 09:15:00,509.95,514.0,505.7,511.1
100,2024-04-15 13:15:00,511.0,512.25,506.7,506.7
101,2024-04-16 09:15:00,506.65,515.45,503.1,509.3
102,2024-04-16 13:15:00,509.05,510.9,506.4,510.05
103,2024-04-18 09:15:00,512.95,515.95,495.15,514.5
104,2024-04-18 13:15:00,514.25,514.5,504.1,508.05
105,2024-04-19 09:15:00,503.3,507.75,502.0,505.9
106,2024-04-19 13:15:00,505.85,507.35,503.05,506.0
107,2024-04-22 09:15:00,512.3,515.0,506.25,509.25
108,2024-04-22 13:15:00,509.45,509.75,505.25,507.5
109,2024-04-23 09:15:00,506.4,513.35,505.6,510.5
110,2024-04-23 13:15:00,510.45,511.35,509.1,510.6
111,2024-04-24 09:15:00,510.75,513.2,508.65,510.15
112,2024-04-24 13:15:00,510.25,511.0,508.0,510.35
113,2024-04-25 09:15:00,510.1,511.0,503.15,507.4
114,2024-04-25 13:15:00,507.1,511.0,505.9,509.95
115,2024-04-26 09:15:00,511.9,518.7,510.7,517.15
116,2024-04-26 13:15:00,517.2,518.45,515.55,518.45
117,2024-04-29 09:15:00,520.95,524.0,515.65,515.75
118,2024-04-29 13:15:00,515.9,518.0,512.8,518.0
119,2024-04-30 09:15:00,518.05,519.95,516.05,518.0
120,2024-04-30 13:15:00,518.1,519.45,516.2,518.9
121,2024-05-02 09:15:00,517.7,519.35,513.45,518.55
122,2024-05-02 13:15:00,518.3,522.8,516.05,517.45
123,2024-05-03 09:15:00,519.1,521.45,510.45,515.8
124,2024-05-03 13:15:00,515.5,517.8,513.6,517.5
125,2024-05-06 09:15:00,519.5,528.0,518.35,525.0
126,2024-05-06 13:15:00,525.25,534.0,525.0,530.25
127,2024-05-07 09:15:00,562.15,586.0,560.35,580.1
128,2024-05-07 13:15:00,580.15,585.4,577.0,582.1
129,2024-05-08 09:15:00,583.0,596.75,577.6,592.2
130,2024-05-08 13:15:00,592.45,598.35,589.8,595.0
131,2024-05-09 09:15:00,589.55,593.65,580.25,581.5
132,2024-05-09 13:15:00,581.65,583.15,580.0,581.0
133,2024-05-10 09:15:00,580.95,588.0,574.2,582.6
134,2024-05-10 13:15:00,582.7,590.85,580.3,590.85
135,2024-05-13 09:15:00,590.7,604.9,584.4,596.15
136,2024-05-13 13:15:00,596.3,597.45,590.9,593.95
137,2024-05-14 09:15:00,593.1,603.95,585.75,603.95
138,2024-05-14 13:15:00,604.0,612.4,598.45,601.8
139,2024-05-15 09:15:00,603.15,603.15,588.85,590.0
140,2024-05-15 13:15:00,590.2,593.3,586.15,590.7
141,2024-05-16 09:15:00,591.55,601.0,588.0,590.4
142,2024-05-16 13:15:00,590.45,594.25,585.1,591.4
143,2024-05-17 09:15:00,593.45,594.55,582.3,594.1
144,2024-05-17 13:15:00,594.15,600.0,593.5,599.0
146,2024-05-21 09:15:00,593.85,597.25,585.05,587.0
147,2024-05-21 13:15:00,586.85,593.2,585.15,591.0
148,2024-05-22 09:15:00,590.4,608.2,590.35,603.5
149,2024-05-22 13:15:00,603.7,607.15,599.75,607.15
150,2024-05-23 09:15:00,607.2,613.65,602.0,606.3
151,2024-05-23 13:15:00,606.0,609.85,605.0,606.6
152,2024-05-24 09:15:00,606.0,606.0,596.25,601.4
153,2024-05-24 13:15:00,601.7,605.25,600.55,605.25
154,2024-05-27 09:15:00,611.3,611.3,603.4,604.9
155,2024-05-27 13:15:00,605.0,605.25,600.6,604.4
156,2024-05-28 09:15:00,606.85,615.9,602.85,608.75
157,2024-05-28 13:15:00,608.65,611.25,606.6,607.5
158,2024-05-29 09:15:00,607.5,615.0,606.9,610.25
159,2024-05-29 13:15:00,610.05,610.45,601.05,601.05
160,2024-05-30 09:15:00,601.1,604.65,592.55,596.4
161,2024-05-30 13:15:00,596.25,601.1,590.65,597.25
162,2024-05-31 09:15:00,595.15,602.55,594.75,598.2
163,2024-05-31 13:15:00,598.1,609.0,591.85,609.0
164,2024-06-03 09:15:00,608.75,608.75,597.55,599.0
165,2024-06-03 13:15:00,599.05,602.0,592.0,602.0
166,2024-06-04 09:15:00,603.8,614.65,588.4,609.75
167,2024-06-04 13:15:00,609.85,621.45,604.5,621.45
168,2024-06-05 09:15:00,621.0,667.1,620.6,654.6
169,2024-06-05 13:15:00,654.5,656.75,639.3,646.8
170,2024-06-06 09:15:00,646.65,650.0,626.6,646.85
171,2024-06-06 13:15:00,647.25,648.6,634.1,634.1
172,2024-06-07 09:15:00,636.9,651.15,636.2,644.25
173,2024-06-07 13:15:00,644.5,655.0,644.4,655.0
174,2024-06-10 09:15:00,655.05,659.5,646.6,653.5
175,2024-06-10 13:15:00,653.6,655.9,649.25,650.5
176,2024-06-11 09:15:00,650.0,661.05,647.1,649.4
177,2024-06-11 13:15:00,649.5,651.8,645.6,646.6
178,2024-06-12 09:15:00,647.35,650.0,625.8,626.6
179,2024-06-12 13:15:00,626.55,634.95,626.0,634.95
180,2024-06-13 09:15:00,633.95,633.95,606.0,607.45
181,2024-06-13 13:15:00,607.4,612.9,605.6,610.8
182,2024-06-14 09:15:00,614.8,621.95,610.85,620.1
183,2024-06-14 13:15:00,620.3,625.0,618.0,625.0
184,2024-06-18 09:15:00,624.25,624.25,615.7,621.45
185,2024-06-18 13:15:00,621.3,624.85,620.0,624.05
186,2024-06-19 09:15:00,625.7,630.55,618.1,629.35
187,2024-06-19 13:15:00,628.85,629.95,620.2,621.0
188,2024-06-20 09:15:00,624.95,627.75,616.25,627.0
189,2024-06-20 13:15:00,627.5,629.5,624.5,629.3
190,2024-06-21 09:15:00,627.85,629.55,617.15,619.25
191,2024-06-21 13:15:00,619.1,619.95,609.0,610.0
192,2024-06-24 09:15:00,612.0,622.0,607.0,616.5
193,2024-06-24 13:15:00,616.25,623.95,615.85,623.6
194,2024-06-25 09:15:00,623.7,624.9,617.6,620.15
195,2024-06-25 13:15:00,620.35,622.95,613.55,614.8
196,2024-06-26 09:15:00,612.15,619.9,609.1,618.1
197,2024-06-26 13:15:00,617.75,619.0,611.05,613.0
198,2024-06-27 09:15:00,613.75,620.4,608.8,610.75
199,2024-06-27 13:15:00,610.7,615.0,609.7,613.0
200,2024-06-28 09:15:00,614.8,622.65,610.8,612.4
201,2024-06-28 13:15:00,612.25,615.0,611.95,614.2
202,2024-07-01 09:15:00,615.75,622.9,615.0,617.1
203,2024-07-01 13:15:00,616.8,621.5,615.25,620.3
