,time,into,inth,intl,intc
0,2024-01-30 09:15:00,903.25,904.35,885.1,886.0
1,2024-01-30 13:15:00,885.9,888.25,874.25,880.0
2,2024-01-31 09:15:00,877.5,877.5,854.55,875.25
3,2024-01-31 13:15:00,875.05,894.55,874.0,883.35
4,2024-02-01 09:15:00,890.3,907.75,876.0,895.15
5,2024-02-01 13:15:00,895.1,906.05,892.85,902.0
6,2024-02-02 09:15:00,901.2,902.7,882.25,885.15
7,2024-02-02 13:15:00,885.0,923.05,884.55,888.0
8,2024-02-05 09:15:00,888.6,900.0,884.75,886.85
9,2024-02-05 13:15:00,886.9,887.7,866.7,875.55
10,2024-02-06 09:15:00,866.5,915.9,861.75,905.65
11,2024-02-06 13:15:00,905.75,918.0,897.0,915.0
12,2024-02-07 09:15:00,929.55,970.35,920.0,946.8
13,2024-02-07 13:15:00,946.4,964.1,946.4,959.85
14,2024-02-08 09:15:00,969.75,1005.3,963.05,991.0
15,2024-02-08 13:15:00,990.6,1000.0,989.5,995.8
16,2024-02-09 09:15:00,991.1,1005.2,973.65,999.95
17,2024-02-09 13:15:00,999.75,999.95,984.5,985.5
18,2024-02-12 09:15:00,985.45,985.45,954.25,964.65
19,2024-02-12 13:15:00,964.75,969.75,955.1,963.0
20,2024-02-13 09:15:00,965.0,984.5,949.9,970.0
21,2024-02-13 13:15:00,970.6,982.6,969.65,973.4
22,2024-02-14 09:15:00,970.0,970.4,946.35,949.9
23,2024-02-14 13:15:00,949.4,976.0,948.7,976.0
24,2024-02-15 09:15:00,975.0,983.3,965.2,968.25
25,2024-02-15 13:15:00,967.75,970.0,938.9,954.2
26,2024-02-16 09:15:00,953.7,978.1,945.95,977.3
27,2024-02-16 13:15:00,976.9,988.95,967.05,977.2
28,2024-02-19 09:15:00,976.95,979.8,961.95,979.0
29,2024-02-19 13:15:00,979.45,984.85,965.0,965.0
30,2024-02-20 09:15:00,977.85,984.85,959.45,960.8
31,2024-02-20 13:15:00,961.0,966.9,957.1,963.0
32,2024-02-21 09:15:00,965.7,970.35,960.9,961.6
33,2024-02-21 13:15:00,962.0,963.85,949.8,950.0
34,2024-02-22 09:15:00,950.4,956.25,941.5,945.65
35,2024-02-22 13:15:00,945.8,953.2,941.3,953.2
36,2024-02-23 09:15:00,952.0,952.0,920.7,938.45
37,2024-02-23 13:15:00,938.0,942.95,920.0,930.2
38,2024-02-26 09:15:00,938.0,938.0,921.65,929.6
39,2024-02-26 13:15:00,929.8,930.15,922.15,922.3
40,2024-02-27 09:15:00,922.25,936.2,913.05,930.6
41,2024-02-27 13:15:00,930.85,945.0,925.2,945.0
42,2024-02-28 09:15:00,944.9,972.9,942.35,966.3
43,2024-02-28 13:15:00,966.4,979.95,961.0,964.45
44,2024-02-29 09:15:00,964.4,978.9,958.6,975.7
45,2024-02-29 13:15:00,975.15,975.95,963.95,963.95
46,2024-03-01 09:15:00,964.95,977.7,955.7,972.35
47,2024-03-01 13:15:00,972.3,975.5,964.55,969.0
49,2024-03-04 09:15:00,973.5,991.45,959.25,989.15
50,2024-03-04 13:15:00,989.45,1005.0,988.0,1004.0
51,2024-03-05 09:15:00,1003.0,1003.55,977.6,985.85
52,2024-03-05 13:15:00,985.15,987.9,976.5,976.8
53,2024-03-06 09:15:00,978.1,984.1,962.5,970.95
54,2024-03-06 13:15:00,970.65,982.95,968.6,978.2
55,2024-03-11 09:15:00,998.9,1010.0,983.0,989.5
56,2024-03-11 13:15:00,989.65,993.45,988.4,993.45
57,2024-03-12 09:15:00,992.5,995.0,968.35,981.4
58,2024-03-12 13:15:00,980.9,990.0,975.0,990.0
59,2024-03-13 09:15:00,988.6,1000.0,956.3,966.35
60,2024-03-13 13:15:00,967.2,970.0,945.75,950.6
61,2024-03-14 09:15:00,949.8,963.6,930.85,953.75
62,2024-03-14 13:15:00,954.3,984.0,944.05,970.95
63,2024-03-15 09:15:00,976.85,994.0,952.9,966.3
64,2024-03-15 13:15:00,965.85,975.8,958.0,961.0
65,2024-03-18 09:15:00,960.5,961.0,946.35,953.95
66,2024-03-18 13:15:00,953.85,960.0,952.5,954.2
67,2024-03-19 09:15:00,955.0,967.05,947.65,961.75
68,2024-03-19 13:15:00,961.65,966.6,959.0,966.6
69,2024-03-20 09:15:00,962.05,971.95,939.55,950.0
70,2024-03-20 13:15:00,950.25,950.5,940.55,946.6
71,2024-03-21 09:15:00,948.0,965.0,943.1,956.85
72,2024-03-21 13:15:00,956.95,957.25,948.95,956.75
73,2024-03-22 09:15:00,951.95,952.9,932.0,944.05
74,2024-03-22 13:15:00,944.1,950.75,940.05,944.2
75,2024-03-26 09:15:00,986.3,1004.65,976.3,990.25
76,2024-03-26 13:15:00,990.3,993.6,979.0,984.0
77,2024-03-27 09:15:00,981.2,1006.95,976.75,1003.7
78,2024-03-27 13:15:00,1003.55,1021.0,1002.0,1018.0
79,2024-03-28 09:15:00,1024.75,1027.4,1000.25,1006.35
80,2024-03-28 13:15:00,1006.8,1011.0,999.0,1007.45
81,2024-04-01 09:15:00,1005.2,1022.5,1005.2,1016.65
82,2024-04-01 13:15:00,1016.35,1025.0,1014.7,1025.0
83,2024-04-02 09:15:00,1024.95,1036.0,1015.5,1017.5
84,2024-04-02 13:15:00,1017.55,1020.0,1010.3,1014.0
85,2024-04-03 09:15:00,1015.0,1015.0,992.0,1004.85
86,2024-04-03 13:15:00,1005.0,1024.95,1001.25,1024.95
87,2024-04-04 09:15:00,1021.0,1021.0,996.65,1019.7
88,2024-04-04 13:15:00,1019.35,1039.65,1018.35,1020.0
89,2024-04-05 09:15:00,1016.0,1026.65,1008.1,1012.8
90,2024-04-05 13:15:00,1012.6,1020.0,1011.3,1020.0
91,2024-04-08 09:15:00,1019.9,1038.25,1016.15,1036.25
92,2024-04-08 13:15:00,1036.8,1045.0,1033.25,1045.0
93,2024-04-09 09:15:00,1044.95,1046.25,1026.25,1033.5
94,2024-04-09 13:15:00,1032.65,1038.35,1029.75,1034.15
95,2024-04-10 09:15:00,1033.95,1043.65,1029.1,1035.2
96,2024-04-10 13:15:00,1035.25,1047.35,1033.25,1043.5
