,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1418.1,1449.0,1418.0,1449.0
1,2024-01-30 13:15:00,1448.45,1460.15,1437.4,1450.0
2,2024-01-31 09:15:00,1457.4,1487.95,1446.55,1473.65
3,2024-01-31 13:15:00,1473.5,1488.8,1472.55,1477.5
4,2024-02-01 09:15:00,1484.9,1514.0,1450.1,1466.95
5,2024-02-01 13:15:00,1467.0,1480.0,1459.0,1480.0
6,2024-02-02 09:15:00,1479.8,1506.4,1476.25,1477.25
7,2024-02-02 13:15:00,1476.9,1536.05,1471.2,1471.5
8,2024-02-05 09:15:00,1471.0,1490.8,1456.2,1481.05
9,2024-02-05 13:15:00,1481.0,1483.9,1462.85,1468.55
10,2024-02-06 09:15:00,1474.9,1525.0,1469.4,1523.9
11,2024-02-06 13:15:00,1523.1,1539.9,1521.05,1539.3
12,2024-02-07 09:15:00,1553.95,1553.95,1478.6,1481.0
13,2024-02-07 13:15:00,1481.0,1496.0,1475.45,1480.0
14,2024-02-08 09:15:00,1489.85,1499.25,1471.0,1484.75
15,2024-02-08 13:15:00,1484.25,1494.0,1471.65,1475.7
16,2024-02-09 09:15:00,1485.0,1489.85,1440.4,1468.0
17,2024-02-09 13:15:00,1467.05,1477.35,1460.05,1470.0
18,2024-02-12 09:15:00,1469.8,1486.95,1449.05,1458.85
19,2024-02-12 13:15:00,1458.5,1469.75,1447.35,1455.0
20,2024-02-13 09:15:00,1459.3,1474.95,1436.0,1474.45
21,2024-02-13 13:15:00,1473.55,1479.15,1465.0,1465.0
22,2024-02-14 09:15:00,1462.0,1477.0,1450.8,1468.9
23,2024-02-14 13:15:00,1469.2,1494.35,1469.05,1494.35
24,2024-02-15 09:15:00,1495.95,1534.8,1493.4,1517.7
25,2024-02-15 13:15:00,1516.8,1530.0,1508.75,1530.0
26,2024-02-16 09:15:00,1527.05,1527.05,1507.2,1519.95
27,2024-02-16 13:15:00,1519.0,1524.75,1513.0,1524.75
28,2024-02-19 09:15:00,1522.05,1534.9,1519.7,1527.0
29,2024-02-19 13:15:00,1527.05,1530.95,1519.8,1530.0
30,2024-02-20 09:15:00,1529.6,1532.95,1486.3,1501.35
31,2024-02-20 13:15:00,1501.7,1514.65,1500.0,1514.6
32,2024-02-21 09:15:00,1512.85,1514.15,1494.15,1508.0
33,2024-02-21 13:15:00,1508.45,1520.0,1503.25,1506.05
34,2024-02-22 09:15:00,1510.0,1527.8,1495.0,1523.6
35,2024-02-22 13:15:00,1524.45,1547.85,1523.55,1547.85
36,2024-02-23 09:15:00,1546.9,1547.65,1520.3,1535.15
37,2024-02-23 13:15:00,1535.35,1537.85,1520.55,1528.0
38,2024-02-26 09:15:00,1520.05,1537.0,1498.45,1501.45
39,2024-02-26 13:15:00,1501.95,1515.4,1500.6,1504.75
40,2024-02-27 09:15:00,1504.65,1520.0,1499.0,1515.1
41,2024-02-27 13:15:00,1515.0,1517.95,1506.1,1512.55
42,2024-02-28 09:15:00,1513.9,1525.7,1470.55,1470.7
43,2024-02-28 13:15:00,1471.2,1483.9,1461.2,1461.2
44,2024-02-29 09:15:00,1464.0,1475.4,1453.8,1474.05
45,2024-02-29 13:15:00,1475.0,1498.95,1470.85,1498.95
46,2024-03-01 09:15:00,1498.0,1508.55,1487.45,1497.3
47,2024-03-01 13:15:00,1497.65,1509.95,1490.0,1503.0
48,2024-03-04 09:15:00,1504.65,1546.5,1503.0,1539.4
49,2024-03-04 13:15:00,1538.55,1564.0,1531.0,1564.0
50,2024-03-05 09:15:00,1564.4,1580.0,1541.65,1553.1
51,2024-03-05 13:15:00,1553.3,1569.9,1547.0,1563.7
