,time,into,inth,intl,intc
0,2024-01-30 09:15:00,3354.2,3363.95,3305.05,3328.5
1,2024-01-30 13:15:00,3327.9,3344.0,3303.0,3310.0
2,2024-01-31 09:15:00,3330.0,3375.0,3286.8,3369.55
3,2024-01-31 13:15:00,3373.0,3425.0,3363.15,3408.55
4,2024-02-01 09:15:00,3419.6,3422.6,3333.05,3336.85
5,2024-02-01 13:15:00,3337.0,3352.15,3315.25,3352.15
6,2024-02-02 09:15:00,3348.0,3366.0,3322.6,3335.05
7,2024-02-02 13:15:00,3334.7,3458.2,3320.0,3325.0
8,2024-02-05 09:15:00,3330.0,3330.0,3261.45,3266.25
9,2024-02-05 13:15:00,3266.0,3269.0,3218.0,3221.2
10,2024-02-06 09:15:00,3235.0,3295.0,3205.3,3245.85
11,2024-02-06 13:15:00,3246.0,3275.0,3239.05,3264.6
12,2024-02-07 09:15:00,3214.5,3219.9,3030.6,3093.0
13,2024-02-07 13:15:00,3092.85,3105.45,3073.0,3085.3
14,2024-02-08 09:15:00,3090.05,3104.0,3045.3,3081.0
15,2024-02-08 13:15:00,3081.15,3084.75,3060.1,3076.95
16,2024-02-09 09:15:00,3087.0,3087.2,3005.65,3020.0
17,2024-02-09 13:15:00,3021.2,3064.0,3001.1,3064.0
18,2024-02-12 09:15:00,3051.55,3125.75,3040.3,3072.25
19,2024-02-12 13:15:00,3073.0,3097.0,3061.0,3066.0
20,2024-02-13 09:15:00,3099.3,3100.0,3030.05,3095.5
21,2024-02-13 13:15:00,3095.1,3114.45,3065.0,3065.0
22,2024-02-14 09:15:00,3083.2,3115.0,3060.55,3083.55
23,2024-02-14 13:15:00,3085.5,3115.9,3072.3,3115.9
24,2024-02-15 09:15:00,3115.95,3140.0,3110.05,3132.0
25,2024-02-15 13:15:00,3133.5,3134.25,3117.0,3133.0
26,2024-02-16 09:15:00,3130.9,3184.45,3125.1,3175.0
27,2024-02-16 13:15:00,3177.0,3185.95,3165.0,3185.95
28,2024-02-19 09:15:00,3186.95,3193.9,3160.2,3178.05
29,2024-02-19 13:15:00,3179.55,3186.0,3157.0,3157.0
30,2024-02-20 09:15:00,3157.1,3188.0,3141.0,3181.5
31,2024-02-20 13:15:00,3181.05,3219.0,3173.3,3215.0
32,2024-02-21 09:15:00,3229.5,3229.5,3180.7,3185.0
33,2024-02-21 13:15:00,3184.95,3193.0,3151.05,3163.0
34,2024-02-22 09:15:00,3167.0,3186.0,3133.7,3179.6
35,2024-02-22 13:15:00,3180.0,3207.4,3178.55,3205.0
36,2024-02-23 09:15:00,3194.95,3213.75,3150.0,3180.0
37,2024-02-23 13:15:00,3179.75,3182.5,3143.0,3143.6
38,2024-02-26 09:15:00,3151.25,3161.7,3116.1,3136.0
39,2024-02-26 13:15:00,3135.0,3136.0,3100.75,3115.0
40,2024-02-27 09:15:00,3114.95,3128.9,3075.2,3118.1
41,2024-02-27 13:15:00,3116.85,3124.3,3095.6,3120.55
42,2024-02-28 09:15:00,3119.7,3120.15,3037.15,3039.2
43,2024-02-28 13:15:00,3039.9,3061.3,3000.0,3017.7
44,2024-02-29 09:15:00,3019.0,3024.9,2989.15,3007.1
45,2024-02-29 13:15:00,3008.0,3034.5,3006.85,3021.1
46,2024-03-01 09:15:00,3020.0,3065.05,3018.65,3054.25
47,2024-03-01 13:15:00,3052.5,3062.05,3045.2,3055.9
49,2024-03-04 09:15:00,3094.95,3097.95,3036.85,3057.35
50,2024-03-04 13:15:00,3055.95,3059.95,3046.0,3050.75
51,2024-03-05 09:15:00,3060.0,3127.0,3045.2,3048.25
52,2024-03-05 13:15:00,3048.55,3058.95,3035.0,3050.0
53,2024-03-06 09:15:00,3054.0,3054.0,3000.0,3015.0
54,2024-03-06 13:15:00,3015.45,3035.0,3008.25,3027.9
55,2024-03-11 09:15:00,3061.35,3079.85,3020.05,3052.45
56,2024-03-11 13:15:00,3054.15,3069.85,3040.95,3068.95
57,2024-03-12 09:15:00,3059.55,3062.15,3009.0,3014.85
58,2024-03-12 13:15:00,3013.9,3025.35,2994.55,3015.0
59,2024-03-13 09:15:00,3010.85,3030.9,2927.1,2964.0
60,2024-03-13 13:15:00,2962.85,2964.0,2914.15,2918.05
61,2024-03-14 09:15:00,2920.0,2987.45,2899.25,2980.15
62,2024-03-14 13:15:00,2981.35,3005.25,2964.2,2992.1
63,2024-03-15 09:15:00,3005.0,3007.9,2964.3,3000.9
64,2024-03-15 13:15:00,3000.1,3006.95,2992.2,3000.6
65,2024-03-18 09:15:00,2999.95,3022.95,2963.1,3022.2
66,2024-03-18 13:15:00,3022.0,3031.0,3010.75,3020.0
67,2024-03-19 09:15:00,3019.95,3019.95,2966.2,2983.5
68,2024-03-19 13:15:00,2983.0,3002.05,2968.35,2994.95
69,2024-03-20 09:15:00,2988.05,2988.75,2932.1,2971.55
70,2024-03-20 13:15:00,2971.55,2976.5,2955.0,2973.65
71,2024-03-21 09:15:00,2980.1,3044.0,2973.8,3033.8
72,2024-03-21 13:15:00,3032.15,3099.0,3022.5,3094.95
73,2024-03-22 09:15:00,3087.0,3125.0,3074.0,3098.45
74,2024-03-22 13:15:00,3099.0,3110.0,3089.3,3096.0
75,2024-03-26 09:15:00,3054.45,3125.0,3040.1,3124.0
76,2024-03-26 13:15:00,3123.55,3149.0,3100.0,3117.0
77,2024-03-27 09:15:00,3133.0,3188.0,3094.75,3171.7
78,2024-03-27 13:15:00,3170.0,3176.0,3129.0,3135.0
79,2024-03-28 09:15:00,3123.5,3135.0,3086.55,3125.45
80,2024-03-28 13:15:00,3125.65,3160.0,3092.8,3160.0
81,2024-04-01 09:15:00,3155.75,3166.15,3101.5,3102.05
82,2024-04-01 13:15:00,3102.0,3150.7,3096.15,3150.7
83,2024-04-02 09:15:00,3153.0,3208.15,3121.05,3154.05
84,2024-04-02 13:15:00,3153.1,3168.8,3130.0,3130.0
85,2024-04-03 09:15:00,3135.05,3155.9,3119.85,3133.65
86,2024-04-03 13:15:00,3134.1,3170.0,3132.4,3170.0
87,2024-04-04 09:15:00,3173.95,3173.95,3127.5,3141.0
88,2024-04-04 13:15:00,3141.0,3145.65,3128.1,3145.0
89,2024-04-05 09:15:00,3149.0,3179.95,3126.5,3148.1
90,2024-04-05 13:15:00,3145.1,3169.95,3140.05,3169.95
91,2024-04-08 09:15:00,3160.1,3167.85,3112.05,3113.85
92,2024-04-08 13:15:00,3113.5,3128.9,3091.55,3128.9
93,2024-04-09 09:15:00,3110.3,3127.9,3085.7,3086.0
94,2024-04-09 13:15:00,3085.1,3086.85,3051.05,3051.05
95,2024-04-10 09:15:00,3080.0,3256.4,3037.05,3249.0
