,time,into,inth,intl,intc
0,2024-01-31 09:15:00,45314.9,46177.85,45072.85,46015.45
1,2024-01-31 13:15:00,46014.45,46137.8,45922.35,45974.0
2,2024-02-01 09:15:00,46159.5,46305.9,45669.95,46176.4
3,2024-02-01 13:15:00,46179.35,46568.2,45958.05,46568.2
4,2024-02-02 09:15:00,46575.1,46890.5,46234.2,46254.7
5,2024-02-02 13:15:00,46252.55,51778.2,44753.8,45962.25
6,2024-02-05 09:15:00,45960.35,46046.75,45621.35,45986.2
7,2024-02-05 13:15:00,45983.9,46008.85,45710.3,45891.2
8,2024-02-06 09:15:00,45917.4,45917.4,45531.85,45702.45
9,2024-02-06 13:15:00,45704.9,45784.1,45571.25,45774.45
10,2024-02-07 09:15:00,45947.6,46058.4,45620.9,45717.15
11,2024-02-07 13:15:00,45717.7,45939.25,45680.9,45916.4
12,2024-02-08 09:15:00,45980.35,46178.7,45228.9,45457.5
13,2024-02-08 13:15:00,45460.7,45533.65,44894.95,45105.45
14,2024-02-09 09:15:00,45038.05,45485.55,44861.75,45455.6
15,2024-02-09 13:15:00,45456.35,45717.1,45263.9,45664.3
16,2024-02-12 09:15:00,45679.0,45718.65,44660.05,44745.85
17,2024-02-12 13:15:00,44750.85,44996.75,44636.45,44887.75
18,2024-02-13 09:15:00,45041.25,45461.15,44824.15,45285.8
19,2024-02-13 13:15:00,45282.95,45748.1,45014.65,45014.65
20,2024-02-14 09:15:00,45041.0,45757.25,44866.15,45666.8
21,2024-02-14 13:15:00,45665.95,46167.85,45430.0,46027.1
22,2024-02-15 09:15:00,46059.95,46092.65,45594.0,45980.7
23,2024-02-15 13:15:00,45982.65,46454.3,45922.15,46454.3
24,2024-02-16 09:15:00,46437.6,46478.5,46266.0,46442.35
25,2024-02-16 13:15:00,46443.15,46691.3,46310.3,46369.75
27,2024-02-19 09:15:00,46549.4,46690.9,46320.5,46669.75
28,2024-02-19 13:15:00,46670.2,46715.1,46444.9,46444.9
29,2024-02-20 09:15:00,46448.25,46991.25,46380.95,46934.3
30,2024-02-20 13:15:00,46935.05,47134.3,46806.15,47126.65
31,2024-02-21 09:15:00,47291.55,47359.05,46925.9,47271.2
32,2024-02-21 13:15:00,47270.65,47298.85,46888.85,46933.6
33,2024-02-22 09:15:00,46953.35,47023.6,46430.05,46530.8
34,2024-02-22 13:15:00,46529.05,47060.7,46513.35,47060.7
35,2024-02-23 09:15:00,47066.25,47243.0,46858.75,47050.35
36,2024-02-23 13:15:00,47049.75,47055.6,46727.1,46768.6
39,2024-02-26 09:15:00,46654.4,46890.2,46517.85,46771.95
40,2024-02-26 13:15:00,46770.8,46801.8,46480.2,46480.2
41,2024-02-27 09:15:00,46529.8,46664.65,46328.45,46664.5
42,2024-02-27 13:15:00,46656.7,46721.4,46522.9,46640.9
43,2024-02-28 09:15:00,46682.05,46754.55,45917.75,45939.75
44,2024-02-28 13:15:00,45944.1,46279.55,45855.6,45881.45
45,2024-02-29 09:15:00,45882.0,46154.2,45665.15,46075.75
46,2024-02-29 13:15:00,46073.5,46323.45,45933.15,46218.0
47,2024-03-01 09:15:00,46262.2,47079.8,46262.2,46993.55
48,2024-03-01 13:15:00,46992.8,47338.75,46965.6,47255.95
50,2024-03-04 09:15:00,47306.85,47517.45,47199.9,47326.75
51,2024-03-04 13:15:00,47326.4,47523.25,47265.7,47265.7
52,2024-03-05 09:15:00,47286.75,47729.75,47202.0,47676.8
53,2024-03-05 13:15:00,47674.8,47712.7,47512.75,47582.15
54,2024-03-06 09:15:00,47493.2,48148.5,47445.75,48110.25
55,2024-03-06 13:15:00,48109.45,48160.5,47861.2,47959.85
56,2024-03-11 09:15:00,47801.25,47808.05,47285.2,47308.2
57,2024-03-11 13:15:00,47308.75,47422.3,47234.85,47351.35
58,2024-03-12 09:15:00,47345.85,47811.5,46895.2,47410.7
59,2024-03-12 13:15:00,47412.25,47491.95,47240.1,47341.15
60,2024-03-13 09:15:00,47374.05,47468.4,47035.95,47104.3
61,2024-03-13 13:15:00,47099.95,47163.05,46825.75,46825.75
62,2024-03-14 09:15:00,46834.45,47231.2,46573.35,47044.65
63,2024-03-14 13:15:00,47043.2,47072.9,46688.35,46834.7
64,2024-03-15 09:15:00,46582.55,46800.95,46310.6,46439.2
65,2024-03-15 13:15:00,46437.1,46711.7,46381.7,46458.75
66,2024-03-18 09:15:00,46478.75,46735.05,46028.45,46622.3
67,2024-03-18 13:15:00,46626.2,46727.3,46421.9,46421.9
68,2024-03-19 09:15:00,46435.4,46599.9,46330.2,46432.8
69,2024-03-19 13:15:00,46434.25,46464.2,46263.65,46392.9
70,2024-03-20 09:15:00,46378.1,46575.05,45836.7,46542.65
