,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1321.55,1324.85,1302.2,1315.25
1,2024-01-30 13:15:00,1315.2,1325.5,1296.35,1302.0
2,2024-01-31 09:15:00,1307.25,1322.1,1297.45,1321.45
3,2024-01-31 13:15:00,1321.8,1326.65,1319.0,1326.0
4,2024-02-01 09:15:00,1327.05,1329.5,1291.65,1303.85
5,2024-02-01 13:15:00,1303.55,1315.0,1296.35,1315.0
6,2024-02-02 09:15:00,1315.25,1324.15,1294.35,1298.0
7,2024-02-02 13:15:00,1298.2,1336.55,1277.45,1283.0
8,2024-02-05 09:15:00,1293.25,1304.7,1273.9,1301.35
9,2024-02-05 13:15:00,1301.55,1308.85,1294.05,1302.0
10,2024-02-06 09:15:00,1307.45,1335.35,1295.0,1330.05
11,2024-02-06 13:15:00,1330.15,1330.75,1310.0,1321.5
12,2024-02-07 09:15:00,1334.85,1355.5,1299.55,1318.5
13,2024-02-07 13:15:00,1318.05,1321.75,1310.0,1318.95
14,2024-02-08 09:15:00,1319.0,1351.0,1311.0,1347.75
15,2024-02-08 13:15:00,1347.85,1349.35,1340.0,1349.35
16,2024-02-09 09:15:00,1351.25,1352.3,1309.2,1336.0
17,2024-02-09 13:15:00,1335.2,1347.9,1330.5,1347.9
18,2024-02-12 09:15:00,1349.0,1359.5,1315.0,1320.0
19,2024-02-12 13:15:00,1319.95,1335.5,1318.5,1329.7
20,2024-02-13 09:15:00,1331.35,1331.35,1298.75,1312.4
21,2024-02-13 13:15:00,1312.9,1323.5,1311.15,1312.05
22,2024-02-14 09:15:00,1311.95,1316.3,1298.0,1305.45
23,2024-02-14 13:15:00,1305.65,1331.65,1304.1,1330.4
24,2024-02-15 09:15:00,1330.35,1357.75,1307.4,1310.2
25,2024-02-15 13:15:00,1310.25,1323.15,1304.65,1323.15
26,2024-02-16 09:15:00,1324.1,1324.1,1301.5,1305.0
27,2024-02-16 13:15:00,1304.85,1331.95,1304.5,1331.95
28,2024-02-19 09:15:00,1328.3,1330.25,1308.35,1315.0
29,2024-02-19 13:15:00,1315.0,1315.0,1295.1,1299.5
30,2024-02-20 09:15:00,1300.0,1318.5,1296.0,1316.65
31,2024-02-20 13:15:00,1316.6,1316.7,1304.9,1311.5
32,2024-02-21 09:15:00,1308.75,1354.0,1304.3,1341.65
33,2024-02-21 13:15:00,1341.75,1347.75,1315.0,1325.1
34,2024-02-22 09:15:00,1334.2,1374.2,1329.0,1366.45
35,2024-02-22 13:15:00,1367.05,1384.0,1360.95,1378.15
36,2024-02-23 09:15:00,1383.0,1406.55,1362.1,1367.35
37,2024-02-23 13:15:00,1368.05,1373.2,1360.4,1365.0
38,2024-02-26 09:15:00,1364.15,1377.9,1358.75,1375.05
39,2024-02-26 13:15:00,1376.0,1386.9,1370.55,1376.4
40,2024-02-27 09:15:00,1376.0,1399.0,1373.0,1392.35
41,2024-02-27 13:15:00,1392.45,1393.75,1374.85,1374.85
42,2024-02-28 09:15:00,1374.0,1380.0,1330.9,1333.0
43,2024-02-28 13:15:00,1333.4,1340.0,1327.0,1336.0
44,2024-02-29 09:15:00,1337.0,1348.05,1326.9,1336.2
45,2024-02-29 13:15:00,1335.55,1353.55,1327.5,1351.75
46,2024-03-01 09:15:00,1353.0,1373.0,1345.7,1361.85
47,2024-03-01 13:15:00,1361.95,1374.0,1358.4,1367.05
49,2024-03-04 09:15:00,1380.0,1398.8,1374.1,1387.75
50,2024-03-04 13:15:00,1387.7,1389.95,1379.9,1386.05
51,2024-03-05 09:15:00,1388.85,1390.3,1371.3,1373.05
52,2024-03-05 13:15:00,1373.2,1379.85,1366.0,1376.95
53,2024-03-06 09:15:00,1373.35,1375.0,1334.65,1348.1
54,2024-03-06 13:15:00,1348.35,1359.8,1338.05,1359.2
55,2024-03-11 09:15:00,1383.0,1397.7,1369.9,1374.55
56,2024-03-11 13:15:00,1375.35,1377.95,1354.9,1361.8
57,2024-03-12 09:15:00,1361.9,1368.0,1317.75,1328.6
58,2024-03-12 13:15:00,1328.95,1336.95,1320.45,1321.2
59,2024-03-13 09:15:00,1321.45,1353.15,1298.45,1316.65
60,2024-03-13 13:15:00,1316.45,1316.7,1284.15,1295.0
61,2024-03-14 09:15:00,1294.9,1334.4,1283.85,1322.0
62,2024-03-14 13:15:00,1321.25,1329.35,1309.95,1328.0
63,2024-03-15 09:15:00,1325.0,1343.95,1302.15,1304.1
64,2024-03-15 13:15:00,1304.05,1333.35,1297.4,1320.45
65,2024-03-18 09:15:00,1315.25,1336.5,1314.2,1332.95
66,2024-03-18 13:15:00,1333.35,1356.3,1330.0,1356.3
67,2024-03-19 09:15:00,1356.2,1377.4,1336.05,1374.3
68,2024-03-19 13:15:00,1374.75,1375.6,1352.85,1360.5
69,2024-03-20 09:15:00,1363.85,1371.55,1352.5,1369.15
70,2024-03-20 13:15:00,1369.0,1394.0,1368.05,1394.0
71,2024-03-21 09:15:00,1397.5,1408.6,1386.0,1400.0
72,2024-03-21 13:15:00,1400.85,1427.15,1400.0,1424.95
73,2024-03-22 09:15:00,1427.15,1449.0,1421.6,1447.2
74,2024-03-22 13:15:00,1447.25,1458.65,1443.4,1447.0
75,2024-03-26 09:15:00,1457.5,1485.25,1443.45,1485.0
76,2024-03-26 13:15:00,1484.55,1499.6,1484.55,1499.0
77,2024-03-27 09:15:00,1500.3,1529.9,1480.35,1529.85
78,2024-03-27 13:15:00,1529.05,1530.0,1508.6,1513.1
79,2024-03-28 09:15:00,1514.55,1521.2,1491.95,1493.85
80,2024-03-28 13:15:00,1493.15,1501.0,1465.1,1475.0
81,2024-04-01 09:15:00,1475.85,1531.6,1475.85,1507.45
82,2024-04-01 13:15:00,1507.65,1512.9,1492.8,1508.0
83,2024-04-02 09:15:00,1511.0,1573.4,1495.05,1544.6
84,2024-04-02 13:15:00,1544.05,1562.9,1537.4,1547.7
85,2024-04-03 09:15:00,1547.55,1547.55,1511.15,1513.0
86,2024-04-03 13:15:00,1513.8,1528.5,1509.2,1526.45
87,2024-04-04 09:15:00,1528.5,1544.7,1522.05,1537.8
88,2024-04-04 13:15:00,1537.75,1542.25,1531.0,1531.0
89,2024-04-05 09:15:00,1531.65,1586.5,1529.55,1565.65
90,2024-04-05 13:15:00,1566.25,1567.6,1545.6,1563.95
91,2024-04-08 09:15:00,1565.0,1584.0,1541.5,1551.35
92,2024-04-08 13:15:00,1551.65,1552.05,1527.25,1533.0
93,2024-04-09 09:15:00,1539.95,1550.0,1529.7,1533.4
94,2024-04-09 13:15:00,1533.35,1535.0,1518.55,1527.2
95,2024-04-10 09:15:00,1532.95,1532.95,1503.1,1518.3
96,2024-04-10 13:15:00,1518.25,1522.0,1510.0,1510.0
97,2024-04-12 09:15:00,1540.45,1540.45,1506.85,1517.8
98,2024-04-12 13:15:00,1517.1,1521.95,1493.0,1495.0
99,2024-04-15 09:15:00,1486.0,1491.6,1448.4,1481.1
100,2024-04-15 13:15:00,1481.1,1483.3,1446.2,1446.2
101,2024-04-16 09:15:00,1446.9,1469.05,1442.05,1464.0
102,2024-04-16 13:15:00,1461.3,1465.85,1455.1,1464.6
103,2024-04-18 09:15:00,1460.0,1473.45,1430.95,1434.0
104,2024-04-18 13:15:00,1434.55,1435.95,1394.25,1404.0
105,2024-04-19 09:15:00,1384.05,1395.0,1360.0,1394.45
106,2024-04-19 13:15:00,1394.35,1404.7,1388.95,1392.05
107,2024-04-22 09:15:00,1399.5,1439.6,1399.5,1426.4
108,2024-04-22 13:15:00,1426.0,1430.0,1419.95,1430.0
109,2024-04-23 09:15:00,1439.85,1476.25,1421.85,1473.75
110,2024-04-23 13:15:00,1474.4,1481.8,1470.1,1471.45
111,2024-04-24 09:15:00,1475.35,1490.0,1458.55,1459.55
112,2024-04-24 13:15:00,1460.75,1466.0,1458.05,1459.0
113,2024-04-25 09:15:00,1458.1,1464.35,1437.0,1443.65
114,2024-04-25 13:15:00,1444.15,1479.0,1441.05,1469.25
115,2024-04-26 09:15:00,1469.25,1500.0,1467.0,1498.5
116,2024-04-26 13:15:00,1498.15,1512.7,1492.75,1505.0
117,2024-04-29 09:15:00,1509.5,1514.95,1468.05,1475.0
118,2024-04-29 13:15:00,1474.05,1484.9,1468.05,1480.05
119,2024-04-30 09:15:00,1487.95,1502.25,1478.05,1495.7
120,2024-04-30 13:15:00,1495.0,1502.0,1475.25,1477.15
121,2024-05-02 09:15:00,1478.05,1492.85,1456.3,1489.25
122,2024-05-02 13:15:00,1489.3,1536.15,1489.05,1536.0
123,2024-05-03 09:15:00,1538.95,1544.95,1478.3,1489.75
124,2024-05-03 13:15:00,1489.55,1491.45,1467.0,1475.25
125,2024-05-06 09:15:00,1489.4,1514.8,1474.2,1501.2
126,2024-05-06 13:15:00,1501.9,1505.0,1491.9,1498.0
127,2024-05-07 09:15:00,1512.0,1542.4,1447.35,1452.05
128,2024-05-07 13:15:00,1452.85,1474.6,1452.05,1470.0
129,2024-05-08 09:15:00,1473.9,1509.0,1459.3,1509.0
130,2024-05-08 13:15:00,1508.95,1514.9,1486.55,1503.0
131,2024-05-09 09:15:00,1530.0,1530.0,1474.3,1478.4
132,2024-05-09 13:15:00,1477.7,1480.0,1452.0,1474.0
133,2024-05-10 09:15:00,1475.0,1484.7,1444.4,1453.5
134,2024-05-10 13:15:00,1453.1,1479.0,1450.0,1469.65
135,2024-05-13 09:15:00,1472.75,1480.95,1445.9,1478.95
136,2024-05-13 13:15:00,1479.55,1487.45,1467.55,1487.0
137,2024-05-14 09:15:00,1480.2,1500.9,1480.2,1493.65
138,2024-05-14 13:15:00,1493.6,1585.0,1490.05,1585.0
139,2024-05-15 09:15:00,1573.1,1629.0,1538.9,1577.5
140,2024-05-15 13:15:00,1577.8,1591.2,1565.1,1591.2
141,2024-05-16 09:15:00,1590.25,1717.45,1589.9,1712.15
142,2024-05-16 13:15:00,1712.4,1727.95,1694.3,1727.45
143,2024-05-17 09:15:00,1722.1,1771.45,1718.55,1762.05
144,2024-05-17 13:15:00,1762.6,1765.5,1736.45,1741.25
146,2024-05-21 09:15:00,1751.95,1758.5,1718.75,1729.15
147,2024-05-21 13:15:00,1729.0,1736.35,1721.25,1736.35
148,2024-05-22 09:15:00,1736.3,1749.2,1707.6,1720.1
149,2024-05-22 13:15:00,1720.8,1798.5,1716.65,1798.5
150,2024-05-23 09:15:00,1794.85,1811.35,1729.55,1772.7
151,2024-05-23 13:15:00,1771.75,1794.45,1771.6,1788.15
152,2024-05-24 09:15:00,1793.9,1818.85,1763.5,1796.0
153,2024-05-24 13:15:00,1795.0,1809.8,1792.5,1798.5
154,2024-05-27 09:15:00,1800.75,1818.4,1791.1,1803.9
155,2024-05-27 13:15:00,1804.0,1817.2,1797.15,1801.25
156,2024-05-28 09:15:00,1803.0,1839.55,1803.0,1832.5
157,2024-05-28 13:15:00,1834.7,1849.0,1826.1,1832.5
158,2024-05-29 09:15:00,1820.65,1848.75,1816.35,1838.35
159,2024-05-29 13:15:00,1838.05,1843.0,1820.0,1825.0
160,2024-05-30 09:15:00,1835.8,1835.8,1793.15,1796.95
161,2024-05-30 13:15:00,1796.3,1848.8,1791.65,1835.0
162,2024-05-31 09:15:00,1835.15,1868.25,1800.0,1815.55
163,2024-05-31 13:15:00,1813.5,1924.95,1809.95,1924.95
164,2024-06-03 09:15:00,1924.45,1924.45,1852.35,1892.45
165,2024-06-03 13:15:00,1893.6,1894.1,1875.2,1886.0
