,time,into,inth,intl,intc
0,2024-01-30 09:15:00,873.9,916.15,868.15,908.15
1,2024-01-30 13:15:00,908.0,908.0,889.0,899.55
2,2024-01-31 09:15:00,899.45,910.0,889.95,908.5
3,2024-01-31 13:15:00,908.9,917.95,908.0,914.55
4,2024-02-01 09:15:00,907.65,907.9,884.0,899.0
5,2024-02-01 13:15:00,899.2,901.0,891.4,901.0
6,2024-02-02 09:15:00,900.0,931.0,900.0,927.0
7,2024-02-02 13:15:00,926.75,974.8,900.65,923.0
8,2024-02-05 09:15:00,924.9,925.0,902.85,910.0
9,2024-02-05 13:15:00,910.1,910.4,893.05,903.8
10,2024-02-06 09:15:00,903.75,907.0,889.4,897.95
11,2024-02-06 13:15:00,897.9,905.35,895.0,902.7
12,2024-02-07 09:15:00,907.95,934.75,906.0,925.5
13,2024-02-07 13:15:00,925.6,928.95,920.0,923.4
14,2024-02-08 09:15:00,928.3,928.3,900.6,904.1
15,2024-02-08 13:15:00,904.2,904.5,886.0,890.0
16,2024-02-09 09:15:00,904.85,904.85,872.0,887.85
17,2024-02-09 13:15:00,887.8,897.0,882.65,897.0
18,2024-02-12 09:15:00,898.8,899.8,864.05,865.0
19,2024-02-12 13:15:00,864.95,872.2,857.0,860.0
20,2024-02-13 09:15:00,863.95,865.05,837.2,855.7
21,2024-02-13 13:15:00,856.1,862.45,855.0,856.05
22,2024-02-14 09:15:00,855.8,879.85,848.0,878.6
23,2024-02-14 13:15:00,878.45,894.0,872.75,894.0
24,2024-02-15 09:15:00,893.9,902.0,886.1,899.35
25,2024-02-15 13:15:00,899.95,901.8,892.95,893.05
26,2024-02-16 09:15:00,898.7,903.95,893.0,898.85
27,2024-02-16 13:15:00,899.5,931.2,880.7,895.0
28,2024-02-19 09:15:00,894.8,901.0,885.1,895.0
29,2024-02-19 13:15:00,894.65,895.75,887.0,888.0
30,2024-02-20 09:15:00,889.2,889.75,882.6,883.7
31,2024-02-20 13:15:00,883.9,889.4,881.1,886.95
32,2024-02-21 09:15:00,885.55,964.5,883.85,941.85
33,2024-02-21 13:15:00,941.3,942.6,918.0,922.55
34,2024-02-22 09:15:00,930.9,937.4,913.6,932.0
35,2024-02-22 13:15:00,931.6,939.25,931.1,937.9
36,2024-02-23 09:15:00,937.45,946.65,932.05,936.4
37,2024-02-23 13:15:00,936.9,940.4,930.0,930.95
38,2024-02-26 09:15:00,938.0,939.0,908.6,911.4
39,2024-02-26 13:15:00,911.65,916.65,907.5,916.65
40,2024-02-27 09:15:00,915.6,928.0,910.9,911.65
41,2024-02-27 13:15:00,911.5,915.95,903.85,913.7
42,2024-02-28 09:15:00,914.0,925.7,896.55,897.3
43,2024-02-28 13:15:00,897.45,919.0,895.0,900.0
44,2024-02-29 09:15:00,900.3,915.2,891.0,909.65
45,2024-02-29 13:15:00,909.1,922.9,901.0,916.0
46,2024-03-01 09:15:00,918.5,939.05,918.5,936.2
47,2024-03-01 13:15:00,935.6,938.9,933.0,934.75
49,2024-03-04 09:15:00,943.9,956.0,937.4,948.15
50,2024-03-04 13:15:00,948.4,974.7,946.25,971.95
51,2024-03-05 09:15:00,970.0,970.0,939.5,944.45
52,2024-03-05 13:15:00,944.7,945.0,921.5,924.8
53,2024-03-06 09:15:00,925.0,925.2,864.55,882.55
54,2024-03-06 13:15:00,882.5,891.5,878.05,887.0
55,2024-03-11 09:15:00,894.4,894.45,874.5,877.55
56,2024-03-11 13:15:00,877.5,878.8,865.0,868.8
57,2024-03-12 09:15:00,872.95,875.55,858.6,867.85
58,2024-03-12 13:15:00,867.35,871.5,856.15,860.05
59,2024-03-13 09:15:00,864.95,866.45,815.1,831.8
60,2024-03-13 13:15:00,832.5,837.0,806.45,822.85
61,2024-03-14 09:15:00,822.5,848.45,806.0,842.65
62,2024-03-14 13:15:00,843.25,844.5,830.05,832.45
63,2024-03-15 09:15:00,829.0,843.5,822.0,833.0
64,2024-03-15 13:15:00,832.9,836.75,814.0,814.0
65,2024-03-18 09:15:00,818.95,826.1,815.4,821.85
66,2024-03-18 13:15:00,821.7,822.95,815.0,818.95
67,2024-03-19 09:15:00,818.85,829.85,815.1,820.9
68,2024-03-19 13:15:00,820.5,822.0,814.05,822.0
69,2024-03-20 09:15:00,820.05,826.65,810.0,816.4
