,time,into,inth,intl,intc
0,2024-01-30 09:15:00,266.7,284.55,264.5,270.5
1,2024-01-30 13:15:00,270.3,272.2,266.75,268.5
2,2024-01-31 09:15:00,267.65,270.6,263.6,267.15
3,2024-01-31 13:15:00,267.1,269.9,266.7,268.8
4,2024-02-01 09:15:00,269.95,269.95,261.1,262.85
5,2024-02-01 13:15:00,262.75,268.6,260.9,268.4
6,2024-02-02 09:15:00,268.0,272.4,266.55,269.25
7,2024-02-02 13:15:00,269.35,296.25,244.9,271.8
8,2024-02-05 09:15:00,271.0,277.75,268.35,277.3
9,2024-02-05 13:15:00,277.45,279.25,271.8,276.95
10,2024-02-06 09:15:00,276.0,293.25,274.55,290.3
11,2024-02-06 13:15:00,290.15,296.45,284.7,287.0
12,2024-02-07 09:15:00,291.6,291.6,281.05,282.75
13,2024-02-07 13:15:00,282.6,284.05,282.05,283.1
14,2024-02-08 09:15:00,285.55,285.7,279.05,279.55
15,2024-02-08 13:15:00,279.5,280.5,277.2,278.7
16,2024-02-09 09:15:00,280.95,280.95,264.8,270.95
17,2024-02-09 13:15:00,270.85,272.4,269.25,272.4
18,2024-02-12 09:15:00,271.9,271.9,257.35,260.75
19,2024-02-12 13:15:00,260.7,261.85,256.0,257.4
20,2024-02-13 09:15:00,257.8,264.5,255.85,263.9
21,2024-02-13 13:15:00,263.85,266.5,263.35,264.55
22,2024-02-14 09:15:00,263.5,268.95,262.1,268.15
23,2024-02-14 13:15:00,268.2,273.8,268.15,273.8
24,2024-02-15 09:15:00,273.7,284.0,271.1,278.8
25,2024-02-15 13:15:00,278.95,280.5,276.6,279.9
26,2024-02-16 09:15:00,279.65,282.45,277.15,279.9
27,2024-02-16 13:15:00,279.95,289.05,271.6,279.05
28,2024-02-19 09:15:00,279.5,284.4,276.1,282.55
29,2024-02-19 13:15:00,282.6,285.85,281.65,283.7
30,2024-02-20 09:15:00,283.0,284.15,278.6,282.05
31,2024-02-20 13:15:00,282.1,283.5,280.7,281.3
32,2024-02-21 09:15:00,283.15,284.15,280.5,283.5
33,2024-02-21 13:15:00,283.45,284.95,279.5,280.45
34,2024-02-22 09:15:00,279.9,282.5,277.15,279.4
35,2024-02-22 13:15:00,279.45,285.9,279.35,283.95
36,2024-02-23 09:15:00,283.55,287.7,281.3,286.35
37,2024-02-23 13:15:00,286.5,287.0,283.6,287.0
38,2024-02-26 09:15:00,284.2,289.0,283.4,286.85
39,2024-02-26 13:15:00,287.0,289.0,285.55,286.7
40,2024-02-27 09:15:00,286.85,287.45,279.8,280.35
41,2024-02-27 13:15:00,280.2,282.1,278.15,280.5
42,2024-02-28 09:15:00,280.7,285.9,275.15,275.5
43,2024-02-28 13:15:00,275.7,277.45,272.5,273.6
44,2024-02-29 09:15:00,273.0,275.25,270.8,274.9
45,2024-02-29 13:15:00,274.95,275.3,272.0,273.45
46,2024-03-01 09:15:00,273.55,282.85,273.55,282.35
47,2024-03-01 13:15:00,282.3,283.85,281.95,282.6
49,2024-03-04 09:15:00,282.75,292.3,282.25,291.45
50,2024-03-04 13:15:00,291.35,294.0,289.35,294.0
51,2024-03-05 09:15:00,293.7,293.7,286.95,287.95
52,2024-03-05 13:15:00,287.85,292.2,287.75,291.2
53,2024-03-06 09:15:00,291.0,292.8,280.3,283.55
54,2024-03-06 13:15:00,283.5,286.45,282.35,285.7
55,2024-03-11 09:15:00,281.5,281.5,275.3,278.55
56,2024-03-11 13:15:00,278.5,283.3,278.4,279.7
57,2024-03-12 09:15:00,278.85,281.2,274.7,275.45
58,2024-03-12 13:15:00,275.6,277.8,274.9,275.65
59,2024-03-13 09:15:00,275.55,278.25,265.8,268.9
60,2024-03-13 13:15:00,269.05,269.7,262.4,263.65
61,2024-03-14 09:15:00,263.25,269.0,261.35,265.45
62,2024-03-14 13:15:00,265.35,268.2,263.25,266.95
63,2024-03-15 09:15:00,265.9,269.6,258.05,260.4
