,time,into,inth,intl,intc
0,2024-01-30 09:15:00,1402.2,1409.2,1377.35,1382.8
1,2024-01-30 13:15:00,1382.5,1385.95,1369.15,1371.7
2,2024-01-31 09:15:00,1372.25,1436.95,1366.95,1436.3
3,2024-01-31 13:15:00,1436.25,1438.9,1412.25,1415.0
4,2024-02-01 09:15:00,1426.05,1430.4,1406.6,1411.15
5,2024-02-01 13:15:00,1411.1,1411.95,1398.95,1409.0
6,2024-02-02 09:15:00,1409.8,1433.85,1405.15,1411.05
7,2024-02-02 13:15:00,1410.85,1558.0,1280.0,1426.8
8,2024-02-05 09:15:00,1425.2,1458.0,1425.2,1455.9
9,2024-02-05 13:15:00,1455.95,1466.0,1450.0,1450.0
10,2024-02-06 09:15:00,1446.55,1472.55,1446.55,1467.7
11,2024-02-06 13:15:00,1467.65,1478.0,1466.5,1472.1
12,2024-02-07 09:15:00,1482.0,1498.5,1480.65,1495.35
13,2024-02-07 13:15:00,1495.5,1500.45,1493.4,1498.0
14,2024-02-08 09:15:00,1502.5,1507.5,1485.35,1498.9
15,2024-02-08 13:15:00,1499.05,1504.7,1492.1,1497.9
16,2024-02-09 09:15:00,1502.35,1538.95,1492.25,1527.7
17,2024-02-09 13:15:00,1527.5,1539.85,1526.65,1539.85
18,2024-02-12 09:15:00,1539.0,1554.5,1527.2,1538.1
19,2024-02-12 13:15:00,1538.0,1538.2,1522.35,1531.9
20,2024-02-13 09:15:00,1533.3,1551.0,1528.15,1541.35
21,2024-02-13 13:15:00,1541.4,1545.8,1538.3,1545.8
22,2024-02-14 09:15:00,1534.45,1539.35,1508.25,1510.75
23,2024-02-14 13:15:00,1510.05,1530.0,1510.0,1529.05
24,2024-02-15 09:15:00,1527.85,1527.85,1506.25,1507.35
25,2024-02-15 13:15:00,1507.1,1515.0,1505.8,1515.0
26,2024-02-16 09:15:00,1513.85,1522.0,1504.85,1510.75
27,2024-02-16 13:15:00,1510.65,1514.85,1506.45,1514.85
28,2024-02-19 09:15:00,1510.05,1525.85,1507.4,1523.8
29,2024-02-19 13:15:00,1523.9,1532.75,1522.7,1532.0
30,2024-02-20 09:15:00,1531.1,1533.5,1512.25,1527.45
31,2024-02-20 13:15:00,1527.05,1541.95,1525.55,1541.0
32,2024-02-21 09:15:00,1545.0,1549.5,1535.25,1547.8
33,2024-02-21 13:15:00,1547.7,1548.65,1533.0,1545.0
34,2024-02-22 09:15:00,1550.0,1552.0,1535.0,1545.05
35,2024-02-22 13:15:00,1545.1,1561.0,1542.0,1558.0
36,2024-02-23 09:15:00,1555.05,1568.45,1551.85,1565.45
37,2024-02-23 13:15:00,1565.3,1584.0,1536.0,1584.0
39,2024-02-26 09:15:00,1561.55,1566.9,1548.7,1554.45
40,2024-02-26 13:15:00,1554.3,1558.55,1551.15,1556.75
41,2024-02-27 09:15:00,1556.8,1569.95,1549.95,1568.95
42,2024-02-27 13:15:00,1568.9,1586.5,1567.0,1586.5
43,2024-02-28 09:15:00,1586.55,1587.45,1562.85,1569.65
44,2024-02-28 13:15:00,1569.95,1576.0,1568.3,1575.0
45,2024-02-29 09:15:00,1573.95,1574.95,1556.55,1568.3
46,2024-02-29 13:15:00,1568.5,1587.75,1565.15,1580.0
47,2024-03-01 09:15:00,1579.75,1581.45,1559.0,1560.7
48,2024-03-01 13:15:00,1560.8,1562.55,1548.05,1562.1
50,2024-03-04 09:15:00,1556.8,1569.1,1554.45,1559.5
51,2024-03-04 13:15:00,1559.75,1560.5,1548.9,1553.8
52,2024-03-05 09:15:00,1553.5,1571.0,1535.4,1570.0
53,2024-03-05 13:15:00,1569.9,1576.35,1568.3,1573.45
54,2024-03-06 09:15:00,1574.9,1587.3,1566.4,1585.0
55,2024-03-06 13:15:00,1584.9,1606.65,1584.0,1605.0
56,2024-03-11 09:15:00,1614.9,1627.0,1600.0,1614.85
57,2024-03-11 13:15:00,1614.75,1615.9,1586.9,1592.2
58,2024-03-12 09:15:00,1593.0,1603.8,1587.95,1589.35
59,2024-03-12 13:15:00,1589.15,1590.55,1580.2,1581.2
60,2024-03-13 09:15:00,1581.45,1585.95,1548.3,1550.1
61,2024-03-13 13:15:00,1550.7,1567.25,1544.0,1567.25
62,2024-03-14 09:15:00,1564.0,1571.45,1546.25,1562.3
63,2024-03-14 13:15:00,1562.05,1574.3,1556.65,1569.0
64,2024-03-15 09:15:00,1568.9,1573.5,1545.45,1550.75
65,2024-03-15 13:15:00,1550.65,1553.9,1541.2,1548.25
66,2024-03-18 09:15:00,1548.05,1564.4,1543.65,1562.85
67,2024-03-18 13:15:00,1562.8,1575.85,1561.0,1574.0
68,2024-03-19 09:15:00,1572.0,1579.75,1557.0,1569.85
69,2024-03-19 13:15:00,1569.8,1571.0,1540.9,1559.95
70,2024-03-20 09:15:00,1558.95,1558.95,1520.5,1556.65
71,2024-03-20 13:15:00,1556.5,1564.8,1546.5,1564.8
72,2024-03-21 09:15:00,1561.8,1568.4,1542.55,1564.75
73,2024-03-21 13:15:00,1564.7,1570.85,1561.05,1568.9
74,2024-03-22 09:15:00,1567.95,1608.8,1566.6,1605.4
75,2024-03-22 13:15:00,1605.35,1620.95,1600.75,1616.0
76,2024-03-26 09:15:00,1599.65,1614.5,1593.4,1609.3
77,2024-03-26 13:15:00,1609.35,1612.7,1593.25,1602.0
78,2024-03-27 09:15:00,1605.3,1617.7,1592.6,1613.8
79,2024-03-27 13:15:00,1614.15,1626.15,1596.1,1608.45
80,2024-03-28 09:15:00,1619.9,1634.0,1607.95,1625.0
81,2024-03-28 13:15:00,1625.05,1631.6,1615.1,1631.6
82,2024-04-01 09:15:00,1632.25,1633.0,1619.05,1630.0
83,2024-04-01 13:15:00,1629.75,1632.45,1624.7,1629.25
84,2024-04-02 09:15:00,1629.2,1632.8,1616.05,1620.0
85,2024-04-02 13:15:00,1620.05,1628.0,1609.0,1609.0
86,2024-04-03 09:15:00,1608.25,1628.95,1594.2,1623.75
87,2024-04-03 13:15:00,1623.9,1627.1,1615.3,1620.9
88,2024-04-04 09:15:00,1620.95,1621.9,1587.15,1614.25
89,2024-04-04 13:15:00,1613.35,1628.0,1611.0,1611.0
90,2024-04-05 09:15:00,1611.05,1638.8,1607.8,1617.35
91,2024-04-05 13:15:00,1617.3,1621.35,1606.1,1611.0
92,2024-04-08 09:15:00,1611.05,1618.6,1602.2,1605.45
93,2024-04-08 13:15:00,1605.15,1605.4,1597.25,1601.0
