,time,into,inth,intl,intc
0,2024-01-30 09:15:00,2446.95,2480.0,2445.3,2477.95
1,2024-01-30 13:15:00,2479.3,2489.8,2465.25,2475.4
2,2024-01-31 09:15:00,2473.15,2523.0,2463.0,2516.6
3,2024-01-31 13:15:00,2516.55,2540.25,2511.55,2514.4
4,2024-02-01 09:15:00,2531.1,2532.5,2487.15,2501.55
5,2024-02-01 13:15:00,2502.35,2524.4,2488.05,2520.0
6,2024-02-02 09:15:00,2510.1,2543.9,2499.75,2504.35
7,2024-02-02 13:15:00,2505.3,2626.7,2482.15,2580.0
8,2024-02-05 09:15:00,2576.65,2681.95,2540.9,2643.0
9,2024-02-05 13:15:00,2642.95,2657.5,2636.0,2636.0
10,2024-02-06 09:15:00,2637.0,2642.0,2581.0,2601.4
11,2024-02-06 13:15:00,2600.9,2634.5,2597.4,2614.25
12,2024-02-07 09:15:00,2634.2,2700.0,2615.5,2660.5
13,2024-02-07 13:15:00,2660.25,2669.95,2644.5,2648.0
14,2024-02-08 09:15:00,2668.0,2679.1,2646.2,2676.05
15,2024-02-08 13:15:00,2676.05,2679.15,2635.4,2640.0
16,2024-02-09 09:15:00,2638.0,2673.0,2615.8,2648.7
17,2024-02-09 13:15:00,2648.75,2663.95,2639.15,2650.95
18,2024-02-12 09:15:00,2636.75,2655.8,2604.6,2617.9
19,2024-02-12 13:15:00,2617.75,2636.5,2613.35,2620.0
20,2024-02-13 09:15:00,2609.0,2632.65,2609.0,2629.4
21,2024-02-13 13:15:00,2629.5,2632.4,2613.05,2614.0
22,2024-02-14 09:15:00,2610.0,2619.1,2575.0,2583.05
23,2024-02-14 13:15:00,2583.1,2615.8,2583.1,2614.9
24,2024-02-15 09:15:00,2617.8,2617.85,2578.0,2585.55
25,2024-02-15 13:15:00,2585.2,2599.0,2566.45,2599.0
26,2024-02-16 09:15:00,2597.0,2634.9,2581.5,2622.1
27,2024-02-16 13:15:00,2621.55,2648.5,2616.55,2639.45
28,2024-02-19 09:15:00,2645.5,2655.0,2612.9,2621.9
29,2024-02-19 13:15:00,2621.95,2627.4,2595.85,2614.0
30,2024-02-20 09:15:00,2613.95,2653.3,2610.35,2648.0
31,2024-02-20 13:15:00,2648.65,2654.95,2628.5,2644.15
32,2024-02-21 09:15:00,2656.9,2668.25,2630.05,2638.1
33,2024-02-21 13:15:00,2638.0,2649.75,2591.45,2598.9
34,2024-02-22 09:15:00,2600.7,2623.85,2576.1,2598.15
35,2024-02-22 13:15:00,2598.45,2620.75,2587.1,2610.0
36,2024-02-23 09:15:00,2613.35,2638.6,2598.1,2622.7
37,2024-02-23 13:15:00,2625.65,2637.3,2601.65,2615.3
39,2024-02-26 09:15:00,2639.0,2643.9,2611.95,2618.75
40,2024-02-26 13:15:00,2618.9,2628.95,2612.05,2624.05
41,2024-02-27 09:15:00,2624.1,2644.75,2611.25,2623.6
42,2024-02-27 13:15:00,2623.7,2632.45,2606.7,2632.45
43,2024-02-28 09:15:00,2632.4,2657.95,2608.05,2609.0
44,2024-02-28 13:15:00,2609.4,2623.15,2593.4,2614.15
45,2024-02-29 09:15:00,2619.25,2635.95,2586.65,2635.0
46,2024-02-29 13:15:00,2635.9,2686.1,2626.45,2686.1
47,2024-03-01 09:15:00,2689.95,2723.95,2672.2,2697.0
48,2024-03-01 13:15:00,2696.85,2700.3,2658.05,2661.55
50,2024-03-04 09:15:00,2700.0,2733.0,2681.55,2721.4
51,2024-03-04 13:15:00,2721.45,2722.95,2685.25,2690.85
52,2024-03-05 09:15:00,2695.0,2699.0,2648.25,2664.8
53,2024-03-05 13:15:00,2664.85,2670.0,2656.15,2669.8
54,2024-03-06 09:15:00,2685.0,2742.6,2642.4,2664.45
55,2024-03-06 13:15:00,2664.5,2701.65,2664.15,2694.05
56,2024-03-11 09:15:00,2692.0,2744.0,2669.65,2710.0
57,2024-03-11 13:15:00,2709.9,2710.2,2687.05,2697.8
58,2024-03-12 09:15:00,2695.0,2711.95,2655.05,2669.75
59,2024-03-12 13:15:00,2669.3,2683.35,2655.5,2678.3
60,2024-03-13 09:15:00,2670.05,2690.45,2640.75,2656.35
61,2024-03-13 13:15:00,2658.65,2676.0,2640.05,2652.0
62,2024-03-14 09:15:00,2652.05,2731.0,2643.05,2688.3
63,2024-03-14 13:15:00,2688.25,2701.0,2667.55,2693.8
64,2024-03-15 09:15:00,2700.05,2710.85,2577.0,2595.05
65,2024-03-15 13:15:00,2595.45,2614.8,2577.85,2602.0
66,2024-03-18 09:15:00,2601.95,2601.95,2555.45,2562.2
67,2024-03-18 13:15:00,2562.3,2584.0,2545.1,2584.0
68,2024-03-19 09:15:00,2582.0,2582.0,2500.0,2515.4
69,2024-03-19 13:15:00,2515.15,2524.0,2487.8,2519.0
70,2024-03-20 09:15:00,2516.9,2531.15,2489.3,2526.0
71,2024-03-20 13:15:00,2526.05,2529.85,2513.0,2529.85
72,2024-03-21 09:15:00,2529.8,2547.25,2500.5,2542.65
73,2024-03-21 13:15:00,2541.3,2561.3,2522.45,2554.4
74,2024-03-22 09:15:00,2561.55,2563.05,2532.0,2541.5
75,2024-03-22 13:15:00,2541.45,2567.1,2541.45,2551.7
76,2024-03-26 09:15:00,2566.0,2610.0,2548.8,2583.2
77,2024-03-26 13:15:00,2584.4,2586.4,2562.0,2562.0
78,2024-03-27 09:15:00,2593.7,2593.7,2545.0,2585.05
79,2024-03-27 13:15:00,2584.8,2599.0,2515.05,2515.05
80,2024-03-28 09:15:00,2568.0,2599.0,2522.0,2596.05
81,2024-03-28 13:15:00,2597.95,2620.0,2582.2,2608.7
82,2024-04-01 09:15:00,2612.0,2682.25,2608.05,2675.0
83,2024-04-01 13:15:00,2674.1,2688.7,2670.0,2680.95
84,2024-04-02 09:15:00,2680.0,2684.95,2641.65,2654.0
85,2024-04-02 13:15:00,2653.95,2676.4,2653.3,2666.2
86,2024-04-03 09:15:00,2663.15,2664.55,2595.6,2600.05
87,2024-04-03 13:15:00,2600.0,2608.95,2583.15,2608.95
88,2024-04-04 09:15:00,2608.9,2608.9,2525.45,2541.85
89,2024-04-04 13:15:00,2542.15,2553.8,2529.0,2544.1
90,2024-04-05 09:15:00,2546.4,2619.3,2544.45,2583.45
91,2024-04-05 13:15:00,2583.3,2595.05,2570.1,2595.05
92,2024-04-08 09:15:00,2594.9,2626.9,2541.65,2619.45
93,2024-04-08 13:15:00,2619.5,2620.0,2590.0,2609.8
94,2024-04-09 09:15:00,2608.6,2608.6,2572.85,2580.8
95,2024-04-09 13:15:00,2581.65,2585.95,2563.25,2585.9
96,2024-04-10 09:15:00,2579.7,2590.2,2556.6,2559.7
97,2024-04-10 13:15:00,2560.65,2586.0,2558.0,2580.0
98,2024-04-12 09:15:00,2577.8,2599.95,2551.95,2574.8
99,2024-04-12 13:15:00,2574.65,2589.0,2570.15,2589.0
100,2024-04-15 09:15:00,2529.9,2574.85,2525.05,2550.25
101,2024-04-15 13:15:00,2551.5,2559.0,2514.0,2519.0
102,2024-04-16 09:15:00,2519.85,2543.55,2505.6,2540.4
103,2024-04-16 13:15:00,2540.35,2546.0,2529.05,2533.45
104,2024-04-18 09:15:00,2550.0,2580.1,2532.0,2575.0
105,2024-04-18 13:15:00,2575.4,2582.55,2537.25,2582.0
106,2024-04-19 09:15:00,2537.95,2553.5,2523.15,2538.5
107,2024-04-19 13:15:00,2538.2,2560.0,2526.15,2546.8
108,2024-04-22 09:15:00,2562.2,2616.75,2550.25,2596.95
109,2024-04-22 13:15:00,2596.35,2610.65,2586.3,2610.0
110,2024-04-23 09:15:00,2609.85,2643.0,2583.95,2634.05
111,2024-04-23 13:15:00,2634.85,2645.55,2630.6,2638.0
112,2024-04-24 09:15:00,2650.0,2696.95,2647.0,2686.65
113,2024-04-24 13:15:00,2686.95,2698.5,2680.3,2682.25
114,2024-04-25 09:15:00,2697.1,2698.85,2672.0,2684.3
115,2024-04-25 13:15:00,2684.15,2702.0,2675.0,2699.95
116,2024-04-26 09:15:00,2699.0,2729.2,2696.45,2712.1
117,2024-04-26 13:15:00,2712.15,2714.0,2685.1,2698.45
118,2024-04-29 09:15:00,2696.75,2698.9,2675.0,2689.0
119,2024-04-29 13:15:00,2690.05,2698.1,2653.85,2696.0
120,2024-04-30 09:15:00,2701.85,2712.1,2672.25,2681.55
121,2024-04-30 13:15:00,2681.9,2688.75,2635.8,2645.0
122,2024-05-02 09:15:00,2646.2,2688.4,2646.2,2673.4
123,2024-05-02 13:15:00,2674.65,2686.9,2663.3,2670.0
124,2024-05-03 09:15:00,2678.1,2782.85,2678.1,2735.95
125,2024-05-03 13:15:00,2735.1,2747.75,2720.0,2723.0
126,2024-05-06 09:15:00,2749.95,2761.9,2697.05,2709.25
127,2024-05-06 13:15:00,2709.3,2727.6,2697.3,2725.0
128,2024-05-07 09:15:00,2720.0,2725.65,2610.1,2611.6
129,2024-05-07 13:15:00,2610.5,2636.7,2610.5,2612.25
130,2024-05-08 09:15:00,2607.0,2625.45,2575.15,2601.0
131,2024-05-08 13:15:00,2602.3,2608.95,2576.0,2584.15
132,2024-05-09 09:15:00,2597.1,2613.1,2551.05,2554.55
133,2024-05-09 13:15:00,2554.45,2558.8,2520.0,2526.5
134,2024-05-10 09:15:00,2526.55,2594.9,2526.55,2579.6
135,2024-05-10 13:15:00,2579.3,2617.85,2570.0,2609.7
136,2024-05-13 09:15:00,2609.45,2624.95,2575.0,2611.45
137,2024-05-13 13:15:00,2610.25,2618.9,2592.05,2605.05
138,2024-05-14 09:15:00,2610.65,2625.75,2585.15,2625.0
139,2024-05-14 13:15:00,2625.2,2639.05,2622.75,2639.05
140,2024-05-15 09:15:00,2630.9,2648.9,2619.3,2643.2
141,2024-05-15 13:15:00,2642.05,2655.2,2637.15,2648.95
142,2024-05-16 09:15:00,2645.55,2698.0,2635.35,2685.3
143,2024-05-16 13:15:00,2685.25,2720.0,2664.9,2702.6
144,2024-05-17 09:15:00,2706.05,2718.8,2684.45,2699.25
145,2024-05-17 13:15:00,2697.7,2705.0,2686.65,2704.45
147,2024-05-21 09:15:00,2682.55,2706.95,2650.9,2658.05
148,2024-05-21 13:15:00,2662.4,2698.9,2658.05,2698.9
149,2024-05-22 09:15:00,2684.5,2702.7,2662.95,2670.0
150,2024-05-22 13:15:00,2670.05,2685.7,2646.85,2671.55
151,2024-05-23 09:15:00,2687.7,2693.45,2657.4,2682.4
152,2024-05-23 13:15:00,2682.45,2705.0,2672.95,2705.0
153,2024-05-24 09:15:00,2704.8,2704.8,2630.0,2631.85
154,2024-05-24 13:15:00,2632.8,2636.9,2600.0,2606.05
155,2024-05-27 09:15:00,2765.7,2778.6,2663.15,2671.35
156,2024-05-27 13:15:00,2671.4,2688.0,2645.5,2648.05
157,2024-05-28 09:15:00,2659.95,2674.0,2635.0,2655.0
158,2024-05-28 13:15:00,2654.95,2672.5,2634.85,2663.05
159,2024-05-29 09:15:00,2674.35,2723.35,2648.0,2722.45
160,2024-05-29 13:15:00,2722.9,2735.0,2707.4,2714.2
161,2024-05-30 09:15:00,2706.55,2740.0,2665.65,2682.0
162,2024-05-30 13:15:00,2681.95,2690.0,2649.55,2660.0
163,2024-05-31 09:15:00,2658.85,2698.95,2648.0,2663.6
164,2024-05-31 13:15:00,2663.55,2722.5,2650.1,2712.0
165,2024-06-03 09:15:00,2720.0,2727.15,2690.05,2695.85
166,2024-06-03 13:15:00,2695.05,2697.3,2670.0,2678.1
167,2024-06-04 09:15:00,2688.55,2719.95,2570.5,2670.5
168,2024-06-04 13:15:00,2673.3,2730.6,2667.95,2730.6
169,2024-06-05 09:15:00,2730.0,2800.7,2690.25,2771.7
170,2024-06-05 13:15:00,2771.15,2815.0,2759.35,2815.0
171,2024-06-06 09:15:00,2816.9,2828.0,2745.35,2782.0
172,2024-06-06 13:15:00,2781.05,2791.7,2770.0,2780.0
