,time,into,inth,intl,intc
0,2024-01-30 09:15:00,3262.2,3275.0,3136.2,3141.6
1,2024-01-30 13:15:00,3141.0,3143.6,3030.85,3054.0
2,2024-01-31 09:15:00,3053.95,3104.45,2992.3,3059.9
3,2024-01-31 13:15:00,3059.95,3098.0,3054.95,3088.55
4,2024-02-01 09:15:00,3099.95,3133.8,3071.4,3090.0
5,2024-02-01 13:15:00,3089.7,3130.0,3063.0,3130.0
6,2024-02-02 09:15:00,3123.0,3212.75,3117.95,3146.0
7,2024-02-02 13:15:00,3144.95,3438.65,3113.05,3175.0
8,2024-02-05 09:15:00,3174.4,3180.0,3006.75,3015.0
9,2024-02-05 13:15:00,3014.95,3051.2,3010.0,3025.0
10,2024-02-06 09:15:00,3025.05,3117.4,3021.8,3027.8
11,2024-02-06 13:15:00,3027.2,3049.85,3022.55,3040.0
12,2024-02-07 09:15:00,3067.5,3332.1,2955.0,3228.1
13,2024-02-07 13:15:00,3225.6,3634.7,3225.6,3628.0
14,2024-02-08 09:15:00,3724.45,3935.95,3622.4,3843.2
15,2024-02-08 13:15:00,3843.9,3883.85,3806.1,3840.0
16,2024-02-09 09:15:00,3798.05,3858.0,3667.2,3725.0
17,2024-02-09 13:15:00,3728.25,3775.0,3709.1,3767.8
18,2024-02-12 09:15:00,3765.0,3834.0,3700.1,3719.4
19,2024-02-12 13:15:00,3718.1,3823.85,3716.95,3797.0
20,2024-02-13 09:15:00,3767.2,3880.0,3767.2,3808.0
21,2024-02-13 13:15:00,3807.15,3858.75,3796.2,3802.15
22,2024-02-14 09:15:00,3808.0,3873.9,3795.9,3839.0
23,2024-02-14 13:15:00,3839.1,3950.5,3820.0,3931.1
24,2024-02-15 09:15:00,3940.25,4004.9,3876.85,3902.05
25,2024-02-15 13:15:00,3902.0,3970.0,3900.4,3970.0
26,2024-02-16 09:15:00,3969.85,4036.3,3930.3,4000.0
27,2024-02-16 13:15:00,3999.95,4048.0,3981.0,4048.0
28,2024-02-19 09:15:00,4040.0,4098.4,4013.8,4063.25
29,2024-02-19 13:15:00,4063.3,4075.2,4038.2,4057.95
30,2024-02-20 09:15:00,4067.95,4073.85,4022.6,4038.55
31,2024-02-20 13:15:00,4039.0,4049.85,4010.55,4026.0
32,2024-02-21 09:15:00,4047.05,4047.05,3916.15,3931.85
33,2024-02-21 13:15:00,3933.3,3942.75,3874.0,3885.0
34,2024-02-22 09:15:00,3920.75,3936.55,3836.45,3837.35
35,2024-02-22 13:15:00,3837.55,3966.0,3829.7,3950.0
36,2024-02-23 09:15:00,3947.75,3947.8,3870.55,3889.4
37,2024-02-23 13:15:00,3889.45,3894.8,3870.4,3872.0
38,2024-02-26 09:15:00,3877.95,3913.95,3835.65,3857.5
39,2024-02-26 13:15:00,3857.7,3864.8,3824.0,3864.8
40,2024-02-27 09:15:00,3855.1,3995.0,3841.8,3932.0
41,2024-02-27 13:15:00,3933.0,3948.2,3913.9,3939.95
42,2024-02-28 09:15:00,3937.0,3954.9,3885.0,3888.95
43,2024-02-28 13:15:00,3887.2,3936.7,3887.2,3931.45
44,2024-02-29 09:15:00,3932.95,3948.05,3782.0,3827.75
45,2024-02-29 13:15:00,3827.8,3926.2,3810.35,3924.0
46,2024-03-01 09:15:00,3928.95,3928.95,3858.7,3910.3
47,2024-03-01 13:15:00,3910.25,3923.95,3890.0,3893.6
49,2024-03-04 09:15:00,3925.0,3935.95,3842.5,3922.55
50,2024-03-04 13:15:00,3922.5,3929.95,3896.7,3929.5
51,2024-03-05 09:15:00,3928.15,3935.85,3850.0,3861.7
52,2024-03-05 13:15:00,3863.6,3897.7,3845.05,3860.0
53,2024-03-06 09:15:00,3870.0,3893.85,3750.25,3822.75
54,2024-03-06 13:15:00,3822.7,3885.0,3806.7,3874.0
55,2024-03-11 09:15:00,3981.0,4243.3,3900.25,4036.0
