,time,into,inth,intl,intc
0,2024-01-30 09:15:00,10289.0,10319.1,10104.4,10138.85
1,2024-01-30 13:15:00,10138.7,10143.2,9942.0,9960.0
2,2024-01-31 09:15:00,9955.1,10147.55,9903.15,10074.55
3,2024-01-31 13:15:00,10073.15,10186.1,10060.0,10175.0
4,2024-02-01 09:15:00,10180.0,10233.25,9964.7,10000.85
5,2024-02-01 13:15:00,10006.75,10007.45,9901.0,10000.0
6,2024-02-02 09:15:00,10000.95,10165.9,9992.3,10056.4
7,2024-02-02 13:15:00,10055.85,11098.0,9889.25,10050.0
8,2024-02-05 09:15:00,10099.0,10128.3,10000.1,10018.1
9,2024-02-05 13:15:00,10018.15,10034.3,9878.45,9980.0
10,2024-02-06 09:15:00,9935.05,10074.0,9935.05,10045.0
11,2024-02-06 13:15:00,10045.35,10075.0,10019.65,10066.0
12,2024-02-07 09:15:00,10100.0,10187.45,10080.4,10180.95
13,2024-02-07 13:15:00,10178.6,10287.05,10175.0,10231.0
14,2024-02-08 09:15:00,10289.75,10289.75,10040.0,10134.65
15,2024-02-08 13:15:00,10134.75,10138.15,9950.5,10011.0
16,2024-02-09 09:15:00,10002.05,10064.1,9852.0,9955.05
17,2024-02-09 13:15:00,9955.0,9991.95,9927.9,9951.0
18,2024-02-12 09:15:00,9975.0,10017.45,9906.9,9942.25
19,2024-02-12 13:15:00,9939.05,10005.0,9936.0,9960.0
20,2024-02-13 09:15:00,9996.95,9997.8,9841.75,9845.0
21,2024-02-13 13:15:00,9844.95,9882.4,9802.05,9802.05
22,2024-02-14 09:15:00,9824.85,9824.85,9704.0,9781.0
23,2024-02-14 13:15:00,9779.35,9835.9,9719.25,9835.9
24,2024-02-15 09:15:00,9835.85,9839.15,9706.0,9770.0
25,2024-02-15 13:15:00,9770.05,9875.05,9760.0,9875.05
26,2024-02-16 09:15:00,9881.0,9948.0,9851.1,9930.7
27,2024-02-16 13:15:00,9930.0,10500.0,9888.7,9948.95
28,2024-02-19 09:15:00,9935.05,9948.5,9885.0,9920.5
29,2024-02-19 13:15:00,9920.4,9924.3,9885.0,9902.2
30,2024-02-20 09:15:00,9902.85,9977.95,9855.05,9937.8
31,2024-02-20 13:15:00,9937.15,10000.0,9906.0,9972.25
32,2024-02-21 09:15:00,9955.05,10115.0,9950.0,10059.8
33,2024-02-21 13:15:00,10059.9,10065.4,9920.0,9960.0
34,2024-02-22 09:15:00,10020.9,10020.9,9802.35,9855.55
35,2024-02-22 13:15:00,9858.5,9989.0,9855.0,9961.2
36,2024-02-23 09:15:00,9970.0,10015.0,9894.05,9968.05
37,2024-02-23 13:15:00,9966.95,10250.0,9840.0,9840.0
39,2024-02-26 09:15:00,9998.9,10046.9,9900.95,9913.0
40,2024-02-26 13:15:00,9913.05,9941.0,9908.35,9930.05
41,2024-02-27 09:15:00,9969.0,10074.9,9924.05,9969.7
42,2024-02-27 13:15:00,9969.75,9970.0,9881.45,9960.0
43,2024-02-28 09:15:00,9959.95,9989.8,9833.0,9856.1
44,2024-02-28 13:15:00,9853.05,9870.5,9780.9,9785.0
45,2024-02-29 09:15:00,9780.0,9861.0,9705.65,9837.9
46,2024-02-29 13:15:00,9835.7,9935.0,9801.05,9900.0
47,2024-03-01 09:15:00,9893.0,10126.0,9893.0,10115.2
48,2024-03-01 13:15:00,10117.3,10183.85,10096.6,10107.0
50,2024-03-04 09:15:00,10156.65,10166.0,9990.0,10017.9
51,2024-03-04 13:15:00,10018.2,10021.85,9966.25,9978.4
52,2024-03-05 09:15:00,9990.0,10030.9,9860.0,9866.25
53,2024-03-05 13:15:00,9865.0,9869.9,9830.0,9868.5
54,2024-03-06 09:15:00,9884.45,9914.25,9565.45,9567.8
55,2024-03-06 13:15:00,9569.95,9666.0,9532.0,9658.0
