time,into,inth,intl,intc
2024-02-27 09:15:00,46529.8,46536.65,46483.05,46504.4
2024-02-27 09:18:00,46506.95,46518.85,46428.4,46458.35
2024-02-27 09:21:00,46458.25,46557.1,46457.55,46529.15
2024-02-27 09:24:00,46527.25,46567.25,46512.6,46564.15
2024-02-27 09:27:00,46566.4,46566.4,46502.95,46507.55
2024-02-27 09:30:00,46507.8,46522.2,46450.3,46519.15
2024-02-27 09:33:00,46516.35,46537.15,46490.7,46531.85
2024-02-27 09:36:00,46530.85,46547.15,46509.65,46547.15
2024-02-27 09:39:00,46546.0,46581.4,46540.3,46555.3
2024-02-27 09:42:00,46554.0,46554.55,46502.05,46550.25
2024-02-27 09:45:00,46546.45,46558.4,46519.4,46541.5
2024-02-27 09:48:00,46539.85,46600.6,46535.4,46570.65
2024-02-27 09:51:00,46569.1,46600.5,46522.6,46534.0
2024-02-27 09:54:00,46530.6,46547.7,46494.6,46510.15
2024-02-27 09:57:00,46511.6,46530.3,46502.25,46528.0
2024-02-27 10:00:00,46525.7,46555.9,46511.15,46555.9
2024-02-27 10:03:00,46550.65,46552.2,46472.75,46494.2
2024-02-27 10:06:00,46493.95,46493.95,46401.2,46434.95
2024-02-27 10:09:00,46433.85,46459.6,46421.15,46445.15
2024-02-27 10:12:00,46452.15,46467.2,46360.1,46384.6
2024-02-27 10:15:00,46386.9,46421.25,46369.85,46412.55
2024-02-27 10:18:00,46412.85,46424.35,46385.95,46409.1
2024-02-27 10:21:00,46408.05,46411.55,46344.2,46359.35
2024-02-27 10:24:00,46357.65,46390.35,46328.45,46385.1
2024-02-27 10:27:00,46385.2,46432.8,46376.1,46391.3
2024-02-27 10:30:00,46391.85,46399.8,46367.7,46398.2
2024-02-27 10:33:00,46399.3,46411.35,46381.95,46409.05
2024-02-27 10:36:00,46407.5,46414.8,46385.65,46405.55
2024-02-27 10:39:00,46404.65,46412.7,46381.85,46391.25
2024-02-27 10:42:00,46395.75,46447.95,46393.55,46447.95
2024-02-27 10:45:00,46450.65,46465.4,46439.4,46464.45
2024-02-27 10:48:00,46461.85,46478.05,46452.85,46469.1
2024-02-27 10:51:00,46467.6,46487.75,46429.65,46456.0
2024-02-27 10:54:00,46455.45,46480.15,46446.45,46466.85
2024-02-27 10:57:00,46467.4,46478.15,46439.55,46459.45
2024-02-27 11:00:00,46458.75,46506.75,46456.65,46480.75
2024-02-27 11:03:00,46475.1,46494.35,46470.1,46479.85
2024-02-27 11:06:00,46482.1,46494.55,46470.4,46479.95
2024-02-27 11:09:00,46479.6,46485.6,46443.4,46450.55
2024-02-27 11:12:00,46446.35,46464.9,46442.75,46453.3
2024-02-27 11:15:00,46452.85,46460.7,46424.95,46429.4
2024-02-27 11:18:00,46427.35,46440.3,46417.3,46431.4
2024-02-27 11:21:00,46430.15,46522.6,46428.4,46513.15
2024-02-27 11:24:00,46503.5,46533.7,46474.3,46518.35
2024-02-27 11:27:00,46521.3,46528.05,46493.45,46513.9
2024-02-27 11:30:00,46512.6,46516.6,46499.5,46511.15
2024-02-27 11:33:00,46510.45,46512.15,46496.4,46497.4
2024-02-27 11:36:00,46494.35,46505.45,46486.9,46496.7
2024-02-27 11:39:00,46496.35,46520.45,46435.5,46475.25
2024-02-27 11:42:00,46472.75,46481.0,46451.3,46466.05
2024-02-27 11:45:00,46461.6,46480.4,46451.75,46457.6
2024-02-27 11:48:00,46456.55,46479.1,46451.55,46473.9
2024-02-27 11:51:00,46477.7,46487.35,46465.6,46481.3
2024-02-27 11:54:00,46481.1,46481.1,46459.1,46464.5
