time,into,inth,intl,intc
2024-04-23 09:15:00,22416.95,22422.65,22393.1,22419.35
2024-04-23 09:20:00,22417.75,22431.25,22395.65,22399.55
2024-04-23 09:25:00,22397.9,22410.9,22389.25,22399.1
2024-04-23 09:30:00,22399.0,22408.95,22390.05,22390.1
2024-04-23 09:35:00,22386.95,22398.65,22383.0,22396.2
2024-04-23 09:40:00,22396.3,22406.1,22392.3,22398.65
2024-04-23 09:45:00,22399.3,22400.15,22368.8,22382.45
2024-04-23 09:50:00,22383.25,22396.45,22377.6,22382.9
2024-04-23 09:55:00,22384.15,22398.85,22380.75,22392.25
2024-04-23 10:00:00,22391.65,22409.25,22390.95,22404.8
2024-04-23 10:05:00,22404.3,22414.7,22399.5,22411.0
2024-04-23 10:10:00,22411.35,22418.85,22404.65,22417.65
2024-04-23 10:15:00,22417.45,22419.4,22406.8,22409.5
2024-04-23 10:20:00,22408.6,22415.5,22407.9,22412.8
2024-04-23 10:25:00,22413.25,22417.55,22395.05,22400.7
2024-04-23 10:30:00,22400.2,22406.3,22395.05,22399.75
2024-04-23 10:35:00,22400.0,22401.05,22395.4,22397.45
2024-04-23 10:40:00,22397.25,22399.5,22376.2,22376.4
2024-04-23 10:45:00,22376.35,22382.8,22357.8,22360.5
2024-04-23 10:50:00,22361.9,22375.85,22356.5,22369.5
2024-04-23 10:55:00,22370.4,22385.35,22368.85,22381.6
2024-04-23 11:00:00,22381.5,22382.95,22362.85,22364.2
2024-04-23 11:05:00,22363.7,22378.1,22363.15,22375.35
2024-04-23 11:10:00,22375.25,22385.75,22369.15,22381.4
2024-04-23 11:15:00,22382.25,22395.55,22378.7,22391.45
2024-04-23 11:20:00,22393.05,22401.4,22384.8,22399.55
2024-04-23 11:25:00,22399.35,22402.05,22391.4,22399.75
2024-04-23 11:30:00,22400.05,22403.15,22392.35,22393.35
2024-04-23 11:35:00,22393.45,22395.55,22387.5,22393.25
2024-04-23 11:40:00,22392.75,22395.35,22383.15,22390.5
2024-04-23 11:45:00,22389.8,22393.3,22383.45,22388.15
2024-04-23 11:50:00,22387.2,22395.8,22385.45,22395.6
2024-04-23 11:55:00,22394.65,22402.9,22394.35,22402.9
2024-04-23 12:00:00,22402.2,22414.8,22401.5,22405.75
2024-04-23 12:05:00,22406.1,22415.45,22403.2,22415.45
2024-04-23 12:10:00,22415.55,22423.25,22410.95,22420.8
2024-04-23 12:15:00,22420.75,22423.6,22414.55,22416.05
2024-04-23 12:20:00,22415.9,22422.55,22412.75,22416.5
2024-04-23 12:25:00,22415.6,22417.5,22407.25,22410.6
2024-04-23 12:30:00,22409.5,22415.3,22406.7,22412.55
2024-04-23 12:35:00,22412.35,22415.3,22406.15,22412.9
2024-04-23 12:40:00,22412.65,22415.25,22400.35,22403.15
2024-04-23 12:45:00,22400.55,22403.55,22393.1,22402.05
2024-04-23 12:50:00,22400.9,22411.8,22396.85,22409.65
2024-04-23 12:55:00,22409.25,22410.35,22403.6,22406.8
2024-04-23 13:00:00,22406.45,22407.35,22394.45,22398.2
2024-04-23 13:05:00,22397.45,22400.75,22380.05,22381.5
2024-04-23 13:10:00,22381.25,22385.4,22369.15,22382.45
2024-04-23 13:15:00,22382.15,22382.15,22358.4,22363.5
2024-04-23 13:20:00,22363.6,22376.0,22359.7,22375.75
2024-04-23 13:25:00,22375.6,22390.25,22373.55,22387.85
2024-04-23 13:30:00,22387.15,22394.5,22383.9,22386.5
2024-04-23 13:35:00,22385.2,22391.7,22380.55,22389.65
